# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/567qxsm7.json
# init = 2 (Default)
# random
#   seed = 23358
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_11xg4iwo8/poisson_1-20250829005214_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.221222
# Diagonal elements of inverse mass matrix:
# 0.0122068, 0.00886821, 0.00995774, 0.0114496, 0.0114278, 0.0119499, 0.0126925, 0.0117235, 0.0126386, 0.00981657, 0.0112973, 0.0108126, 0.0109348, 0.0107881, 0.0118694, 0.0105154, 0.0123182, 0.0106032, 0.0116798
-1080.16,0.996256,0.221222,4,15,0,1086.51,0.326245,0.3941,-0.544591,-0.152903,0.226501,-0.437483,-0.00473546,0.137029,0.152733,-0.0308794,0.234183,0.0742233,-0.509323,0.0291211,-0.262009,0.523153,-0.226979,0.0327186,-0.184329,0.326245,0.3941,-0.544591,-0.152903,0.226501,-0.437483,-0.00473546,0.137029,0.152733,-0.0308794,0.234183,0.0742233,-0.509323,0.0291211,-0.262009,0.523153,-0.226979,0.0327186,-0.184329,0.223226,-1079.35
-1077.31,0.98397,0.221222,4,15,0,1089.18,0.106356,0.0732614,-0.220963,-0.0781509,0.127478,-0.114697,0.0154745,0.158396,-0.129175,0.0429449,0.0153037,0.200613,0.00318322,-0.0588665,-0.322116,0.146619,0.0415264,0.0110501,-0.282703,0.106356,0.0732614,-0.220963,-0.0781509,0.127478,-0.114697,0.0154745,0.158396,-0.129175,0.0429449,0.0153037,0.200613,0.00318322,-0.0588665,-0.322116,0.146619,0.0415264,0.0110501,-0.282703,0.264467,-1077.11
-1072.6,0.929399,0.221222,4,15,0,1083.02,0.207338,0.0719293,-0.280507,-0.130057,0.036471,-0.142631,0.128563,0.00669864,5.54617e-05,-0.0962064,0.181569,0.179795,-0.134189,0.0993456,-0.346511,0.335707,-0.0987539,-0.124932,-0.19847,0.207338,0.0719293,-0.280507,-0.130057,0.036471,-0.142631,0.128563,0.00669864,5.54617e-05,-0.0962064,0.181569,0.179795,-0.134189,0.0993456,-0.346511,0.335707,-0.0987539,-0.124932,-0.19847,0.304786,-1072.31
-1071.75,0.996249,0.221222,4,15,0,1077.37,0.051933,0.191921,-0.409827,0.025863,0.191644,-0.205009,0.0556456,0.108573,-0.0880116,-0.113881,0.136056,0.16671,-0.186944,-0.0497919,-0.292225,0.344554,-0.000495293,-0.0186281,-0.160267,0.051933,0.191921,-0.409827,0.025863,0.191644,-0.205009,0.0556456,0.108573,-0.0880116,-0.113881,0.136056,0.16671,-0.186944,-0.0497919,-0.292225,0.344554,-0.000495293,-0.0186281,-0.160267,0.252179,-1071.43
-1079.46,0.935013,0.221222,4,15,0,1084.32,0.218909,0.368137,-0.198041,-0.0820406,0.0999986,-0.178638,-0.151549,-0.0865007,-0.133881,-0.266092,0.0393554,0.161757,-0.283449,0.00235827,-0.119464,0.449678,0.0164548,-0.04434,-0.104846,0.218909,0.368137,-0.198041,-0.0820406,0.0999986,-0.178638,-0.151549,-0.0865007,-0.133881,-0.266092,0.0393554,0.161757,-0.283449,0.00235827,-0.119464,0.449678,0.0164548,-0.04434,-0.104846,0.292193,-1079.09
-1073.75,0.993454,0.221222,4,15,0,1085.37,0.320441,0.00183064,-0.358192,-0.20064,0.191578,-0.204353,0.147683,0.284654,0.0650794,0.0442465,0.236397,0.0788287,-0.206881,0.0468084,-0.312459,0.277271,-0.259566,-0.0035673,-0.298537,0.320441,0.00183064,-0.358192,-0.20064,0.191578,-0.204353,0.147683,0.284654,0.0650794,0.0442465,0.236397,0.0788287,-0.206881,0.0468084,-0.312459,0.277271,-0.259566,-0.0035673,-0.298537,0.149377,-1073.3
-1072.88,0.974203,0.221222,4,15,0,1079.92,0.17951,0.399945,-0.393147,-0.0514193,0.242672,-0.26334,-0.0203042,-0.0263046,-0.011209,-0.134747,0.0318403,0.183639,-0.309794,0.0374302,-0.261517,0.386466,0.00567279,0.0796277,-0.37227,0.17951,0.399945,-0.393147,-0.0514193,0.242672,-0.26334,-0.0203042,-0.0263046,-0.011209,-0.134747,0.0318403,0.183639,-0.309794,0.0374302,-0.261517,0.386466,0.00567279,0.0796277,-0.37227,0.297247,-1072.38
-1075.68,0.923192,0.221222,4,15,0,1083.32,0.122037,0.306508,-0.427711,-0.017342,0.354373,-0.281475,-0.109519,-0.108614,-0.00994825,-0.148319,0.171938,0.174364,-0.248286,0.0188634,-0.226201,0.387995,0.00954118,0.186784,-0.301073,0.122037,0.306508,-0.427711,-0.017342,0.354373,-0.281475,-0.109519,-0.108614,-0.00994825,-0.148319,0.171938,0.174364,-0.248286,0.0188634,-0.226201,0.387995,0.00954118,0.186784,-0.301073,0.146086,-1075.18
-1077.09,0.842764,0.221222,4,15,0,1085.61,0.353255,0.209003,-0.308024,-0.28162,0.0131779,-0.159977,0.146809,0.344938,0.00768114,0.14644,0.132889,0.203551,-0.256428,0.0507647,-0.309619,0.229002,-0.254391,-0.0865328,-0.240596,0.353255,0.209003,-0.308024,-0.28162,0.0131779,-0.159977,0.146809,0.344938,0.00768114,0.14644,0.132889,0.203551,-0.256428,0.0507647,-0.309619,0.229002,-0.254391,-0.0865328,-0.240596,0.0596775,-1076.63
-1073.77,0.927983,0.221222,4,15,0,1083.05,0.178523,0.238892,-0.381695,-0.154676,0.266688,-0.287438,-0.0262306,-0.0763901,0.0664078,-0.249182,0.0719599,0.190451,-0.192161,0.0131103,-0.205889,0.368292,-0.0248038,0.15055,-0.311226,0.178523,0.238892,-0.381695,-0.154676,0.266688,-0.287438,-0.0262306,-0.0763901,0.0664078,-0.249182,0.0719599,0.190451,-0.192161,0.0131103,-0.205889,0.368292,-0.0248038,0.15055,-0.311226,0.364817,-1073.34
-1080.2,0.959143,0.221222,4,15,0,1086.98,0.238375,0.256136,-0.384348,0.0954635,0.153484,-0.254619,0.0557108,-0.0271772,-0.188253,-0.0321258,0.288425,0.19536,-0.23646,-0.0795312,-0.0754649,0.274997,-0.150656,0.0646755,-0.573774,0.238375,0.256136,-0.384348,0.0954635,0.153484,-0.254619,0.0557108,-0.0271772,-0.188253,-0.0321258,0.288425,0.19536,-0.23646,-0.0795312,-0.0754649,0.274997,-0.150656,0.0646755,-0.573774,0.379784,-1079.69
-1075.26,0.999751,0.221222,4,15,0,1088.16,0.232219,0.224799,-0.509156,-0.142361,0.101288,-0.190019,0.0492041,0.047253,0.0488919,0.0887499,0.180006,-0.0457973,0.0240889,-0.0300062,-0.237205,0.342324,-0.0609594,-0.0897553,-0.331722,0.232219,0.224799,-0.509156,-0.142361,0.101288,-0.190019,0.0492041,0.047253,0.0488919,0.0887499,0.180006,-0.0457973,0.0240889,-0.0300062,-0.237205,0.342324,-0.0609594,-0.0897553,-0.331722,0.298159,-1074.88
-1075.99,0.997141,0.221222,4,15,0,1084.38,0.22113,0.210654,-0.373198,-0.0174288,0.0837069,-0.315556,-0.0376914,0.0443871,0.0323579,0.137094,0.152559,0.00415897,-0.0124585,-0.0273497,-0.135157,0.358103,-0.046945,-0.160553,-0.255395,0.22113,0.210654,-0.373198,-0.0174288,0.0837069,-0.315556,-0.0376914,0.0443871,0.0323579,0.137094,0.152559,0.00415897,-0.0124585,-0.0273497,-0.135157,0.358103,-0.046945,-0.160553,-0.255395,0.137582,-1075.68
-1079.21,0.994228,0.221222,4,15,0,1085.98,0.276145,0.299147,-0.270688,-0.32931,0.228764,-0.0761961,0.130656,0.14642,-0.0562755,-0.286794,0.132329,0.401671,-0.355071,0.0886526,-0.405563,0.19849,-0.130601,0.182773,-0.308743,0.276145,0.299147,-0.270688,-0.32931,0.228764,-0.0761961,0.130656,0.14642,-0.0562755,-0.286794,0.132329,0.401671,-0.355071,0.0886526,-0.405563,0.19849,-0.130601,0.182773,-0.308743,0.134192,-1078.61
-1076.9,0.962491,0.221222,4,15,0,1090.54,0.157813,0.116154,-0.295897,0.0987723,0.196798,-0.332635,-0.104318,0.156168,0.0287228,0.070028,0.301615,-0.00479014,-0.215908,0.0187605,-0.221502,0.164433,-0.123515,-0.0383436,-0.0838279,0.157813,0.116154,-0.295897,0.0987723,0.196798,-0.332635,-0.104318,0.156168,0.0287228,0.070028,0.301615,-0.00479014,-0.215908,0.0187605,-0.221502,0.164433,-0.123515,-0.0383436,-0.0838279,0.111471,-1076.62
-1075.89,1,0.221222,4,15,0,1085.37,0.296432,0.0925689,-0.339943,-0.0361894,-0.00763049,-0.120136,0.153154,0.124781,0.0186317,-0.132116,-0.0513269,0.0287287,-0.144782,-0.00189348,-0.277136,0.425719,-0.0546875,0.109253,-0.390045,0.296432,0.0925689,-0.339943,-0.0361894,-0.00763049,-0.120136,0.153154,0.124781,0.0186317,-0.132116,-0.0513269,0.0287287,-0.144782,-0.00189348,-0.277136,0.425719,-0.0546875,0.109253,-0.390045,0.306618,-1075.52
-1076.25,0.995372,0.221222,4,15,0,1085.67,0.336879,0.108213,-0.327111,-0.0363766,-0.0411658,-0.101415,0.163855,0.13967,0.0361851,-0.149397,-0.0539072,0.035289,-0.165266,0.0608995,-0.303093,0.410805,-0.048655,0.0801198,-0.385533,0.336879,0.108213,-0.327111,-0.0363766,-0.0411658,-0.101415,0.163855,0.13967,0.0361851,-0.149397,-0.0539072,0.035289,-0.165266,0.0608995,-0.303093,0.410805,-0.048655,0.0801198,-0.385533,0.240006,-1075.86
-1074.85,0.657929,0.221222,4,15,0,1086.87,0.305741,0.214212,-0.326036,-0.122327,-0.0779488,-0.201266,0.132647,0.0317355,-0.0590937,0.057931,0.196847,0.102789,-0.162511,-0.110019,-0.0926992,0.26253,-0.11651,0.0256034,-0.36934,0.305741,0.214212,-0.326036,-0.122327,-0.0779488,-0.201266,0.132647,0.0317355,-0.0590937,0.057931,0.196847,0.102789,-0.162511,-0.110019,-0.0926992,0.26253,-0.11651,0.0256034,-0.36934,0.307714,-1074.53
-1074.34,0.999001,0.221222,4,15,0,1082.49,0.253708,0.218296,-0.561376,-0.0915954,0.249154,-0.262528,-0.0213652,0.173569,0.0917639,-0.182348,0.137606,0.278766,-0.229505,0.199992,-0.480229,0.267042,-0.138441,0.0397008,-0.189433,0.253708,0.218296,-0.561376,-0.0915954,0.249154,-0.262528,-0.0213652,0.173569,0.0917639,-0.182348,0.137606,0.278766,-0.229505,0.199992,-0.480229,0.267042,-0.138441,0.0397008,-0.189433,0.247223,-1073.74
