# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/xdsoilvx.json
# init = 2 (Default)
# random
#   seed = 45293
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1we5r4z59/poisson_1-20250829005216_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.261801
# Diagonal elements of inverse mass matrix:
# 0.0811502, 0.0847127, 0.0964188, 0.0968984, 0.0860109, 0.0669062, 0.0751724, 0.0705872, 0.0898688, 0.0919218, 0.100831, 0.0749131, 0.0914688, 0.0902295, 0.078621, 0.0795873, 0.0923606, 0.0767279, 0.0820966
-137.126,0.598536,0.261801,4,15,0,143.779,-0.598303,-0.0683998,-0.227839,0.0390639,0.54365,0.816248,-0.264143,0.5157,-0.504352,-0.0421383,0.189041,0.11668,0.0194635,-0.520858,-0.706582,0.415548,0.418221,0.0728927,-0.181592,-0.598303,-0.0683998,-0.227839,0.0390639,0.54365,0.816248,-0.264143,0.5157,-0.504352,-0.0421383,0.189041,0.11668,0.0194635,-0.520858,-0.706582,0.415548,0.418221,0.0728927,-0.181592,-0.0323005,-135.538
-144.218,0.756236,0.261801,4,15,0,152.832,-0.634524,0.0242729,0.0993032,0.063024,-0.323664,0.149472,0.855065,-0.596387,0.563563,-0.125221,-0.10401,0.067445,0.177177,0.17728,-0.26534,0.351925,-0.43861,-0.607584,-0.493812,-0.634524,0.0242729,0.0993032,0.063024,-0.323664,0.149472,0.855065,-0.596387,0.563563,-0.125221,-0.10401,0.067445,0.177177,0.17728,-0.26534,0.351925,-0.43861,-0.607584,-0.493812,1.06063,-142.697
-137.652,0.960112,0.261801,4,15,0,155.791,-0.204312,0.142533,0.0711675,-0.141393,0.703903,0.61506,-0.594075,0.394284,-0.535012,-0.352703,0.137973,0.675702,-0.618458,-0.408217,-0.0453319,0.319393,-0.17962,0.456856,-0.073855,-0.204312,0.142533,0.0711675,-0.141393,0.703903,0.61506,-0.594075,0.394284,-0.535012,-0.352703,0.137973,0.675702,-0.618458,-0.408217,-0.0453319,0.319393,-0.17962,0.456856,-0.073855,-0.363894,-136.025
-136.011,0.863977,0.261801,4,15,0,150.928,-0.305876,0.0083245,-0.130436,-0.06297,0.202869,0.341227,0.438616,0.382326,-0.381571,-0.110376,0.116704,0.594174,-0.0631451,-0.909177,0.514413,0.642499,-0.212183,0.00647596,-0.751699,-0.305876,0.0083245,-0.130436,-0.06297,0.202869,0.341227,0.438616,0.382326,-0.381571,-0.110376,0.116704,0.594174,-0.0631451,-0.909177,0.514413,0.642499,-0.212183,0.00647596,-0.751699,-0.320196,-134.385
-132.265,1,0.261801,4,15,0,144.218,-0.236237,0.13014,0.141646,0.160612,-0.0030481,0.367261,0.0336024,0.218262,-0.00740811,-0.185669,-0.0279084,0.247421,-0.597708,-0.136585,-1.03185,0.680313,-0.150839,-0.202527,0.0195123,-0.236237,0.13014,0.141646,0.160612,-0.0030481,0.367261,0.0336024,0.218262,-0.00740811,-0.185669,-0.0279084,0.247421,-0.597708,-0.136585,-1.03185,0.680313,-0.150839,-0.202527,0.0195123,0.581006,-131.082
-135.556,0.725612,0.261801,4,15,0,152.832,-0.278304,-0.192724,-0.259063,-0.220847,0.389448,0.45163,-0.302274,-0.0435443,0.222649,-0.42242,0.197037,-0.357055,0.106072,-0.133489,0.0489919,0.586168,0.0912831,0.41628,-0.738087,-0.278304,-0.192724,-0.259063,-0.220847,0.389448,0.45163,-0.302274,-0.0435443,0.222649,-0.42242,0.197037,-0.357055,0.106072,-0.133489,0.0489919,0.586168,0.0912831,0.41628,-0.738087,0.438247,-134.468
