# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/3ql4v3xn.json
# init = 2 (Default)
# random
#   seed = 79034
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1s2m6ros1/poisson_1-20250829005225_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.246856
# Diagonal elements of inverse mass matrix:
# 0.0374648, 0.0397916, 0.0400421, 0.0463055, 0.0399056, 0.0386051, 0.0384831, 0.0396834, 0.0377046, 0.0519717, 0.0426662, 0.0383359, 0.0432254, 0.0363286, 0.0372833, 0.044039, 0.0367314, 0.0425823, 0.0437011
-272.933,0.968308,0.246856,4,15,0,275.892,-0.0743897,0.290905,0.405773,-0.236136,-0.366657,0.0599605,0.256612,0.671032,-0.214895,-0.137265,0.0065645,-0.0792867,-0.0375034,-0.117414,0.396513,-0.406277,-0.39017,0.475858,-0.0580593,-0.0743897,0.290905,0.405773,-0.236136,-0.366657,0.0599605,0.256612,0.671032,-0.214895,-0.137265,0.0065645,-0.0792867,-0.0375034,-0.117414,0.396513,-0.406277,-0.39017,0.475858,-0.0580593,-0.445164,-272.055
-274.654,0.931551,0.246856,4,15,0,280.459,-0.152714,0.0868843,0.245452,-0.326653,-0.142221,0.325642,0.255222,0.71289,-0.186493,-0.268141,-0.22073,-0.0153618,0.0848746,0.00531718,0.289481,-0.306,-0.374079,0.505913,-0.0259677,-0.152714,0.0868843,0.245452,-0.326653,-0.142221,0.325642,0.255222,0.71289,-0.186493,-0.268141,-0.22073,-0.0153618,0.0848746,0.00531718,0.289481,-0.306,-0.374079,0.505913,-0.0259677,-0.493317,-273.837
-273.859,0.999945,0.246856,4,15,0,283.671,0.36529,0.535531,-0.035542,0.220698,-0.208796,-0.283937,-0.0799957,-0.0134339,-0.249066,-0.102485,0.26604,-0.601078,0.470471,-0.0203321,0.3566,-0.0836065,-0.299157,0.354949,-0.468624,0.36529,0.535531,-0.035542,0.220698,-0.208796,-0.283937,-0.0799957,-0.0134339,-0.249066,-0.102485,0.26604,-0.601078,0.470471,-0.0203321,0.3566,-0.0836065,-0.299157,0.354949,-0.468624,-0.123526,-272.911
-273.361,0.969379,0.246856,4,15,0,281.505,-0.0772949,0.0663963,0.0686138,-0.270119,-0.220514,0.323868,0.332898,0.670115,-0.253677,-0.179834,-0.235573,0.0753492,0.0405945,0.0996674,0.222909,-0.306307,-0.37172,0.398182,0.00779622,-0.0772949,0.0663963,0.0686138,-0.270119,-0.220514,0.323868,0.332898,0.670115,-0.253677,-0.179834,-0.235573,0.0753492,0.0405945,0.0996674,0.222909,-0.306307,-0.37172,0.398182,0.00779622,-0.39135,-272.655
-273.244,0.89999,0.246856,4,15,0,281.356,0.0260576,0.00188801,0.0452002,0.0772664,-0.285288,0.46211,0.459117,0.473957,-0.292354,-0.324974,0.00248592,-0.232437,0.221464,-0.102042,0.302639,-0.432242,-0.46861,0.362538,0.235985,0.0260576,0.00188801,0.0452002,0.0772664,-0.285288,0.46211,0.459117,0.473957,-0.292354,-0.324974,0.00248592,-0.232437,0.221464,-0.102042,0.302639,-0.432242,-0.46861,0.362538,0.235985,-0.532761,-272.379
-271,0.959966,0.246856,4,15,0,283.042,0.300475,0.313593,-0.0792664,-0.284194,-0.232882,-0.168879,-0.0923954,0.310497,-0.207224,-0.147566,0.152098,-0.391827,0.128869,0.0452904,0.492225,0.19388,-0.0805473,0.240919,-0.455444,0.300475,0.313593,-0.0792664,-0.284194,-0.232882,-0.168879,-0.0923954,0.310497,-0.207224,-0.147566,0.152098,-0.391827,0.128869,0.0452904,0.492225,0.19388,-0.0805473,0.240919,-0.455444,-0.0376209,-270.363
