# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/3ql4v3xn.json
# init = 2 (Default)
# random
#   seed = 79034
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1s2m6ros1/poisson_1-20250829005225_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.215023
# Diagonal elements of inverse mass matrix:
# 0.0352159, 0.0355733, 0.0407601, 0.0371041, 0.0453228, 0.0510909, 0.0433334, 0.0459939, 0.0361196, 0.0348801, 0.0458707, 0.0374778, 0.0422616, 0.0475654, 0.0357314, 0.0344386, 0.0327228, 0.0314152, 0.0383075
-273.527,0.976011,0.215023,4,15,0,282.448,0.165112,0.356263,0.0478399,0.163283,-0.182821,0.0345295,0.0359405,-0.152384,-0.29383,-0.330797,0.133944,-0.353578,0.331171,0.0374034,0.207265,-0.320002,-0.0869715,0.240227,0.299914,0.165112,0.356263,0.0478399,0.163283,-0.182821,0.0345295,0.0359405,-0.152384,-0.29383,-0.330797,0.133944,-0.353578,0.331171,0.0374034,0.207265,-0.320002,-0.0869715,0.240227,0.299914,-0.332508,-273.031
-273.857,0.925003,0.215023,4,15,0,280.763,0.13744,0.142579,-0.0564324,0.000960216,-0.194352,0.109181,0.304019,0.842459,-0.274974,-0.0146694,-0.186674,-0.106207,-0.00998468,-0.0408272,0.469891,-0.262915,-0.474816,0.536209,-0.706585,0.13744,0.142579,-0.0564324,0.000960216,-0.194352,0.109181,0.304019,0.842459,-0.274974,-0.0146694,-0.186674,-0.106207,-0.00998468,-0.0408272,0.469891,-0.262915,-0.474816,0.536209,-0.706585,-0.2143,-272.697
-272.981,0.969527,0.215023,4,15,0,285.781,0.0472953,0.499858,0.238206,0.173497,-0.0194512,-0.398875,0.189938,-0.0578394,-0.174897,-0.0363372,0.240881,-0.350737,0.366257,0.115061,0.312502,-0.500582,-0.287615,0.233819,-0.297921,0.0472953,0.499858,0.238206,0.173497,-0.0194512,-0.398875,0.189938,-0.0578394,-0.174897,-0.0363372,0.240881,-0.350737,0.366257,0.115061,0.312502,-0.500582,-0.287615,0.233819,-0.297921,-0.293058,-272.245
-271.208,0.98064,0.215023,4,15,0,277.288,0.162866,0.00658167,-0.0730467,-0.000313408,-0.416312,0.497716,0.12628,0.561365,-0.362957,-0.296531,-0.121895,-0.308566,0.209416,-0.0991788,0.448221,-0.106815,-0.462953,0.709865,-0.114914,0.162866,0.00658167,-0.0730467,-0.000313408,-0.416312,0.497716,0.12628,0.561365,-0.362957,-0.296531,-0.121895,-0.308566,0.209416,-0.0991788,0.448221,-0.106815,-0.462953,0.709865,-0.114914,-0.358829,-270.152
-271.396,0.979639,0.215023,4,31,0,280.24,0.00195736,0.497778,0.339892,0.129628,-0.00601267,-0.227359,0.274196,0.421765,-0.183069,0.103802,-0.126919,-0.397013,0.116959,-0.0463062,0.0828704,-0.457242,-0.488171,0.246683,-0.108762,0.00195736,0.497778,0.339892,0.129628,-0.00601267,-0.227359,0.274196,0.421765,-0.183069,0.103802,-0.126919,-0.397013,0.116959,-0.0463062,0.0828704,-0.457242,-0.488171,0.246683,-0.108762,-0.174677,-270.673
-270.27,0.975514,0.215023,4,15,0,283.474,-0.00549743,0.214228,-0.156973,-0.129979,-0.335416,0.163391,-0.0274716,0.163731,0.0121703,-0.300364,0.260431,-0.155861,0.380866,-0.0644706,0.196979,-0.192769,-0.137968,0.635473,-0.363496,-0.00549743,0.214228,-0.156973,-0.129979,-0.335416,0.163391,-0.0274716,0.163731,0.0121703,-0.300364,0.260431,-0.155861,0.380866,-0.0644706,0.196979,-0.192769,-0.137968,0.635473,-0.363496,-0.157004,-269.661
-274.376,0.932702,0.215023,4,15,0,287.167,0.379495,0.215102,0.0230069,0.142546,-0.181628,-0.0206075,0.356417,0.532608,-0.681844,0.157887,-0.237796,-0.290767,0.0109208,0.240618,0.505216,-0.329072,-0.608386,-0.0039698,-0.16078,0.379495,0.215102,0.0230069,0.142546,-0.181628,-0.0206075,0.356417,0.532608,-0.681844,0.157887,-0.237796,-0.290767,0.0109208,0.240618,0.505216,-0.329072,-0.608386,-0.0039698,-0.16078,-0.0489665,-273.325
-280.721,0.955904,0.215023,4,31,0,292.138,0.033338,-0.0240318,-0.043029,0.640102,-0.00878051,0.112319,-0.300875,0.30686,-0.715476,-0.425287,0.353252,-0.067493,0.0577344,-0.211374,0.247114,-0.0235572,-0.102267,0.593225,-0.26877,0.033338,-0.0240318,-0.043029,0.640102,-0.00878051,0.112319,-0.300875,0.30686,-0.715476,-0.425287,0.353252,-0.067493,0.0577344,-0.211374,0.247114,-0.0235572,-0.102267,0.593225,-0.26877,-0.153004,-279.732
-279.301,0.949286,0.215023,4,31,0,293.635,0.0056935,0.190607,0.287642,0.620719,0.0282052,0.12296,0.0901328,0.320056,-0.622544,-0.458207,0.0916808,-0.240294,0.291659,-0.476883,0.330118,-0.172943,-0.276527,0.902376,-0.446213,0.0056935,0.190607,0.287642,0.620719,0.0282052,0.12296,0.0901328,0.320056,-0.622544,-0.458207,0.0916808,-0.240294,0.291659,-0.476883,0.330118,-0.172943,-0.276527,0.902376,-0.446213,-0.588237,-277.884
-276.255,0.96351,0.215023,4,15,0,293.234,0.391641,0.161884,-0.385781,-0.169128,-0.129339,-0.0185153,0.192478,0.185573,-0.028554,-0.131912,0.215961,-0.149433,-0.15455,0.292821,0.378889,-0.620721,0.0324962,0.218409,-0.0150192,0.391641,0.161884,-0.385781,-0.169128,-0.129339,-0.0185153,0.192478,0.185573,-0.028554,-0.131912,0.215961,-0.149433,-0.15455,0.292821,0.378889,-0.620721,0.0324962,0.218409,-0.0150192,-0.267199,-275.645
-269.748,0.998584,0.215023,4,15,0,282.246,0.0413847,0.359418,0.162431,0.0503372,-0.242901,-0.14526,0.141429,0.188389,-0.504477,-0.0253191,0.3192,-0.218026,0.150663,-0.225926,0.353444,-0.234093,-0.442881,0.530547,-0.00237689,0.0413847,0.359418,0.162431,0.0503372,-0.242901,-0.14526,0.141429,0.188389,-0.504477,-0.0253191,0.3192,-0.218026,0.150663,-0.225926,0.353444,-0.234093,-0.442881,0.530547,-0.00237689,-0.255983,-269.032
-273.672,0.883882,0.215023,4,15,0,279.805,0.0335288,0.255202,-0.00624742,0.379577,-0.530543,0.304942,0.0674675,0.627148,-0.292882,-0.469342,-0.0308623,-0.190152,0.392902,0.0703858,0.266539,-0.395296,-0.244989,0.69239,-0.452705,0.0335288,0.255202,-0.00624742,0.379577,-0.530543,0.304942,0.0674675,0.627148,-0.292882,-0.469342,-0.0308623,-0.190152,0.392902,0.0703858,0.266539,-0.395296,-0.244989,0.69239,-0.452705,-0.477065,-272.444
-273.639,0.976269,0.215023,4,15,0,281.297,0.207715,0.314641,0.0469883,-0.394196,0.140597,-0.0815251,0.150187,-0.0984736,-0.237333,0.0133228,0.143273,-0.298608,0.14563,0.0298471,0.453789,0.0229648,-0.366568,0.202351,0.0070898,0.207715,0.314641,0.0469883,-0.394196,0.140597,-0.0815251,0.150187,-0.0984736,-0.237333,0.0133228,0.143273,-0.298608,0.14563,0.0298471,0.453789,0.0229648,-0.366568,0.202351,0.0070898,-0.401692,-273.174
-272.656,0.975283,0.215023,4,15,0,282.228,0.297535,0.281146,-0.0268949,0.017562,-0.56093,0.0882618,0.087912,0.615136,-0.150379,-0.599151,-0.0882201,-0.190961,0.414265,-0.0105718,0.198478,-0.224244,-0.169261,0.729322,-0.188247,0.297535,0.281146,-0.0268949,0.017562,-0.56093,0.0882618,0.087912,0.615136,-0.150379,-0.599151,-0.0882201,-0.190961,0.414265,-0.0105718,0.198478,-0.224244,-0.169261,0.729322,-0.188247,-0.520757,-271.575
-274.403,0.987463,0.215023,4,15,0,285.531,0.245255,0.1992,0.239159,-0.113247,0.173819,0.185823,0.0107052,-0.044477,-0.678423,-0.211535,0.130919,-0.451453,0.176472,0.176769,0.636393,0.0373111,-0.350428,0.296102,-0.277157,0.245255,0.1992,0.239159,-0.113247,0.173819,0.185823,0.0107052,-0.044477,-0.678423,-0.211535,0.130919,-0.451453,0.176472,0.176769,0.636393,0.0373111,-0.350428,0.296102,-0.277157,-0.381206,-273.544
-276.309,0.8272,0.215023,4,31,0,289.85,0.395031,0.202914,-0.356831,0.221719,-0.572029,-0.282231,0.281863,0.407524,-0.422943,-0.370985,0.349458,0.249539,0.0366607,0.150077,0.622111,-0.318896,-0.438611,0.376792,-0.303911,0.395031,0.202914,-0.356831,0.221719,-0.572029,-0.282231,0.281863,0.407524,-0.422943,-0.370985,0.349458,0.249539,0.0366607,0.150077,0.622111,-0.318896,-0.438611,0.376792,-0.303911,-0.227254,-275.076
-271.692,0.987328,0.215023,4,15,0,282.52,0.00906541,0.215313,0.178618,-0.0974546,0.109262,0.40661,-0.0557153,0.41943,-0.150871,0.0332197,-0.358866,-0.500169,0.230844,-0.111249,0.229006,-0.233563,-0.350068,0.36343,-0.00705047,0.00906541,0.215313,0.178618,-0.0974546,0.109262,0.40661,-0.0557153,0.41943,-0.150871,0.0332197,-0.358866,-0.500169,0.230844,-0.111249,0.229006,-0.233563,-0.350068,0.36343,-0.00705047,-0.329793,-271.055
-272.625,0.966137,0.215023,4,15,0,276.779,0.33092,0.282537,-0.104727,0.316947,-0.488225,-0.349355,0.457525,0.339294,-0.41633,-0.239924,0.0554764,0.029767,-0.00275433,-0.0171966,0.466844,-0.302353,-0.395167,0.220038,-0.17866,0.33092,0.282537,-0.104727,0.316947,-0.488225,-0.349355,0.457525,0.339294,-0.41633,-0.239924,0.0554764,0.029767,-0.00275433,-0.0171966,0.466844,-0.302353,-0.395167,0.220038,-0.17866,-0.00465764,-271.742
-269.544,0.888509,0.215023,4,15,0,281.745,0.383622,0.542059,0.0648083,0.00581874,-0.236228,0.0379785,0.213334,0.185874,-0.243368,-0.234095,-0.275238,-0.486306,0.0428215,0.177257,0.382137,-0.11356,-0.429663,0.211141,-0.157929,0.383622,0.542059,0.0648083,0.00581874,-0.236228,0.0379785,0.213334,0.185874,-0.243368,-0.234095,-0.275238,-0.486306,0.0428215,0.177257,0.382137,-0.11356,-0.429663,0.211141,-0.157929,-0.0704641,-268.817
-269.813,0.994135,0.215023,4,15,0,274.64,0.198241,0.352299,-0.0347589,-0.042862,-0.377172,-0.107907,0.247936,0.206468,-0.224936,-0.458075,0.10333,-0.393883,0.47818,-0.156341,0.389045,0.213313,-0.393325,0.271206,-0.220662,0.198241,0.352299,-0.0347589,-0.042862,-0.377172,-0.107907,0.247936,0.206468,-0.224936,-0.458075,0.10333,-0.393883,0.47818,-0.156341,0.389045,0.213313,-0.393325,0.271206,-0.220662,-0.0500946,-269.024
-271.178,0.985245,0.215023,4,15,0,275.897,-0.0726695,0.242512,0.0657411,0.0162419,-0.144689,0.132405,-0.177167,0.253243,-0.301967,0.210873,-0.250956,-0.180624,0.131637,0.185032,0.640882,-0.361041,-0.344488,0.413539,-0.124341,-0.0726695,0.242512,0.0657411,0.0162419,-0.144689,0.132405,-0.177167,0.253243,-0.301967,0.210873,-0.250956,-0.180624,0.131637,0.185032,0.640882,-0.361041,-0.344488,0.413539,-0.124341,-0.334163,-270.512
-271.886,0.75472,0.215023,5,31,0,281.403,0.131188,0.396273,-0.0706714,-0.263565,-0.0855652,0.0134382,-0.0828866,0.210192,-0.478382,0.149463,-0.00089301,-0.00447772,0.0872086,0.238636,0.309209,-0.459033,-0.0835842,0.489205,-0.138467,0.131188,0.396273,-0.0706714,-0.263565,-0.0855652,0.0134382,-0.0828866,0.210192,-0.478382,0.149463,-0.00089301,-0.00447772,0.0872086,0.238636,0.309209,-0.459033,-0.0835842,0.489205,-0.138467,-0.357287,-271.289
-272.213,0.993748,0.215023,4,15,0,282.161,0.0453649,0.244839,0.158547,-0.158079,-0.180873,-0.22379,0.442677,0.00694207,0.0431063,-0.24436,0.0621334,-0.374727,0.474212,-0.0291788,0.115529,0.0420162,-0.55341,0.28302,-0.0589532,0.0453649,0.244839,0.158547,-0.158079,-0.180873,-0.22379,0.442677,0.00694207,0.0431063,-0.24436,0.0621334,-0.374727,0.474212,-0.0291788,0.115529,0.0420162,-0.55341,0.28302,-0.0589532,-0.0950145,-271.6
-275.06,0.926459,0.215023,4,15,0,281.889,0.289641,0.357919,0.0699852,-0.271591,0.044404,0.264766,-0.190491,0.542207,-0.665659,-0.17853,0.0618731,-0.322602,0.107438,0.242156,0.276158,-0.192359,0.0685721,0.452259,-0.466655,0.289641,0.357919,0.0699852,-0.271591,0.044404,0.264766,-0.190491,0.542207,-0.665659,-0.17853,0.0618731,-0.322602,0.107438,0.242156,0.276158,-0.192359,0.0685721,0.452259,-0.466655,-0.489489,-274.116
-275.242,0.996548,0.215023,4,15,0,283.362,0.126429,0.47505,0.23274,0.090513,-0.576023,0.0586888,0.171928,-0.088077,-0.254331,-0.375396,-0.460852,-0.311856,0.450237,-0.144842,0.704628,-0.0779625,-0.388442,0.562439,-0.128398,0.126429,0.47505,0.23274,0.090513,-0.576023,0.0586888,0.171928,-0.088077,-0.254331,-0.375396,-0.460852,-0.311856,0.450237,-0.144842,0.704628,-0.0779625,-0.388442,0.562439,-0.128398,-0.0664734,-274.041
-276.458,0.934539,0.215023,4,15,0,283.685,0.108752,0.488883,0.204074,0.12232,-0.588276,0.0105797,0.115055,-0.104301,-0.250603,-0.340057,-0.466664,-0.36069,0.460904,-0.132655,0.739128,-0.013099,-0.416069,0.523823,-0.215294,0.108752,0.488883,0.204074,0.12232,-0.588276,0.0105797,0.115055,-0.104301,-0.250603,-0.340057,-0.466664,-0.36069,0.460904,-0.132655,0.739128,-0.013099,-0.416069,0.523823,-0.215294,0.114189,-275.221
-279.275,0.735435,0.215023,4,15,0,295.278,-0.0722626,-0.0853508,-0.117763,-0.207634,0.328212,0.140673,0.0865439,0.529016,-0.358406,-0.0188287,0.530183,-0.348387,0.0755066,0.28823,-0.230726,-0.402927,-0.322887,0.469787,-0.252534,-0.0722626,-0.0853508,-0.117763,-0.207634,0.328212,0.140673,0.0865439,0.529016,-0.358406,-0.0188287,0.530183,-0.348387,0.0755066,0.28823,-0.230726,-0.402927,-0.322887,0.469787,-0.252534,-0.0304453,-278.421
-270.183,0.97185,0.215023,4,15,0,284.519,0.412452,-0.00382936,-0.00373592,-0.087801,-0.104069,0.0200246,0.380251,0.0557725,-0.30975,-0.403381,0.131867,-0.380788,0.161532,-0.0186426,0.495356,-0.0744928,-0.282876,0.471849,-0.0685257,0.412452,-0.00382936,-0.00373592,-0.087801,-0.104069,0.0200246,0.380251,0.0557725,-0.30975,-0.403381,0.131867,-0.380788,0.161532,-0.0186426,0.495356,-0.0744928,-0.282876,0.471849,-0.0685257,-0.391211,-269.511
