# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/j30kfkgy.json
# init = 2 (Default)
# random
#   seed = 53775
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_12gtri95z/poisson_1-20250829005228_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.248996
# Diagonal elements of inverse mass matrix:
# 0.0194162, 0.0269201, 0.0188592, 0.0194328, 0.0190525, 0.0196634, 0.0216095, 0.0227355, 0.0205612, 0.0216804, 0.0188941, 0.020416, 0.0201262, 0.0200649, 0.0202423, 0.0211392, 0.0205215, 0.0186643, 0.0197598
-539.585,0.974706,0.248996,4,15,0,548.379,0.46041,0.182334,-0.0724789,0.031788,0.0839867,-0.195637,0.458221,0.238012,0.320209,-0.148685,-0.0540708,0.00896746,-0.308505,-0.211854,0.169761,-0.306628,-0.328167,-0.0741955,-0.127398,0.46041,0.182334,-0.0724789,0.031788,0.0839867,-0.195637,0.458221,0.238012,0.320209,-0.148685,-0.0540708,0.00896746,-0.308505,-0.211854,0.169761,-0.306628,-0.328167,-0.0741955,-0.127398,-0.126071,-539.044
-540.111,0.989239,0.248996,4,15,0,549.253,0.454359,0.112449,0.33444,0.0196774,0.0938158,0.159167,0.316442,0.169165,0.0297254,-0.287692,-0.201312,-0.221597,-0.186665,0.184027,-0.0622557,-0.199965,-0.372496,-0.0439209,-0.105796,0.454359,0.112449,0.33444,0.0196774,0.0938158,0.159167,0.316442,0.169165,0.0297254,-0.287692,-0.201312,-0.221597,-0.186665,0.184027,-0.0622557,-0.199965,-0.372496,-0.0439209,-0.105796,-0.191569,-539.645
-544.244,0.823064,0.248996,4,15,0,554.728,0.619511,0.0762756,0.209321,-0.0921444,-0.0346759,-0.162225,0.540696,0.259536,0.0127648,0.0831666,-0.0806963,-0.239674,-0.277899,0.0120214,-0.0609626,0.0527203,-0.200702,-0.288607,-0.068105,0.619511,0.0762756,0.209321,-0.0921444,-0.0346759,-0.162225,0.540696,0.259536,0.0127648,0.0831666,-0.0806963,-0.239674,-0.277899,0.0120214,-0.0609626,0.0527203,-0.200702,-0.288607,-0.068105,-0.360321,-543.688
-544.103,0.999237,0.248996,4,15,0,550.254,0.207855,0.367737,-0.162505,-0.0980002,-0.230647,0.170117,0.228108,0.0877722,0.0343413,-0.400772,-0.00480506,0.105117,-0.0384082,-0.188124,0.103001,-0.197461,-0.456772,0.640204,0.081843,0.207855,0.367737,-0.162505,-0.0980002,-0.230647,0.170117,0.228108,0.0877722,0.0343413,-0.400772,-0.00480506,0.105117,-0.0384082,-0.188124,0.103001,-0.197461,-0.456772,0.640204,0.081843,-0.248601,-543.483
-543.472,0.990901,0.248996,4,15,0,553.383,0.48896,0.00271549,0.172473,0.0107924,0.101886,-0.146285,0.470688,0.280122,-0.126016,0.0323366,-0.418681,-0.139544,-0.339508,0.130943,0.081403,-0.229511,-0.218769,-0.125404,0.0659616,0.48896,0.00271549,0.172473,0.0107924,0.101886,-0.146285,0.470688,0.280122,-0.126016,0.0323366,-0.418681,-0.139544,-0.339508,0.130943,0.081403,-0.229511,-0.218769,-0.125404,0.0659616,-0.0945631,-542.936
-538.481,0.989465,0.248996,4,15,0,551.495,0.255599,0.24185,0.109956,0.126369,-0.152976,0.00532183,0.459895,0.0328813,0.222848,-0.297642,0.0211055,-0.0906498,-0.349679,-0.190669,0.250201,-0.0577599,-0.565576,0.236667,-0.0324946,0.255599,0.24185,0.109956,0.126369,-0.152976,0.00532183,0.459895,0.0328813,0.222848,-0.297642,0.0211055,-0.0906498,-0.349679,-0.190669,0.250201,-0.0577599,-0.565576,0.236667,-0.0324946,-0.225247,-537.913
-538.306,0.993704,0.248996,4,15,0,544.137,0.561312,0.200707,-0.0279764,-0.292085,-0.118213,-0.0796124,0.316745,0.32171,-0.208174,-0.0234289,-0.118563,-0.0338008,-0.0230031,-0.0549961,-0.253973,-0.168539,-0.0642861,0.172469,0.0732153,0.561312,0.200707,-0.0279764,-0.292085,-0.118213,-0.0796124,0.316745,0.32171,-0.208174,-0.0234289,-0.118563,-0.0338008,-0.0230031,-0.0549961,-0.253973,-0.168539,-0.0642861,0.172469,0.0732153,-0.179509,-537.876
-538.74,0.885243,0.248996,4,15,0,556.624,0.307956,0.0506636,0.0553985,0.191479,-0.189691,0.0627082,0.435848,0.0562346,0.276409,-0.315419,-0.0176996,-0.151613,-0.357215,-0.0894285,0.190991,-0.0367789,-0.525931,0.190453,-0.0262047,0.307956,0.0506636,0.0553985,0.191479,-0.189691,0.0627082,0.435848,0.0562346,0.276409,-0.315419,-0.0176996,-0.151613,-0.357215,-0.0894285,0.190991,-0.0367789,-0.525931,0.190453,-0.0262047,-0.10816,-538.212
