# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/izim5zcm.json
# init = 2 (Default)
# random
#   seed = 96227
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1zv9s9pi6/poisson_1-20250829005222_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.235317
# Diagonal elements of inverse mass matrix:
# 0.0115636, 0.00949507, 0.0115208, 0.0118275, 0.0118814, 0.0104603, 0.0104565, 0.00894166, 0.0106353, 0.011123, 0.014433, 0.012212, 0.0133302, 0.0117739, 0.0110619, 0.0107192, 0.00909709, 0.00980751, 0.0107446
-1019.13,0.996884,0.235317,4,15,0,1026.26,0.438203,0.101678,0.0827457,-0.112039,-0.120156,-0.0602499,0.405954,-0.0554614,0.112788,-0.0577657,-0.00748208,0.0747657,-0.224287,-0.0672424,-0.15341,-0.045091,-0.535723,0.254644,0.126558,0.438203,0.101678,0.0827457,-0.112039,-0.120156,-0.0602499,0.405954,-0.0554614,0.112788,-0.0577657,-0.00748208,0.0747657,-0.224287,-0.0672424,-0.15341,-0.045091,-0.535723,0.254644,0.126558,-0.158428,-1018.69
-1023.13,0.85929,0.235317,4,15,0,1034.4,0.413266,0.299971,0.19729,0.026934,-0.0594232,0.180164,0.338159,-0.0900766,0.0175168,-0.105636,0.0859666,-0.239413,-0.112655,-0.229747,-0.02015,-0.0265237,-0.288144,-0.122327,-0.055758,0.413266,0.299971,0.19729,0.026934,-0.0594232,0.180164,0.338159,-0.0900766,0.0175168,-0.105636,0.0859666,-0.239413,-0.112655,-0.229747,-0.02015,-0.0265237,-0.288144,-0.122327,-0.055758,-0.209413,-1022.78
-1025.95,0.991296,0.235317,4,15,0,1034.54,0.620237,0.430247,0.132469,0.024518,-0.0295632,-0.0641301,0.27787,-0.0215605,0.244502,-0.269882,-0.075518,-0.235519,-0.156117,-0.140569,-0.085532,0.127351,-0.387052,-0.0538055,-0.124894,0.620237,0.430247,0.132469,0.024518,-0.0295632,-0.0641301,0.27787,-0.0215605,0.244502,-0.269882,-0.075518,-0.235519,-0.156117,-0.140569,-0.085532,0.127351,-0.387052,-0.0538055,-0.124894,-0.213051,-1025.4
-1029.03,0.718834,0.235317,4,15,0,1037.22,0.162923,-0.029253,-0.0300177,-0.083914,-0.143242,0.101753,0.477422,0.115056,-0.144143,-0.0377072,0.148413,0.0900894,-0.0378768,0.0369216,0.0118849,-0.00203447,-0.579955,0.270113,0.0666457,0.162923,-0.029253,-0.0300177,-0.083914,-0.143242,0.101753,0.477422,0.115056,-0.144143,-0.0377072,0.148413,0.0900894,-0.0378768,0.0369216,0.0118849,-0.00203447,-0.579955,0.270113,0.0666457,-0.393078,-1028.65
-1032.26,0.995981,0.235317,4,15,0,1042.59,0.629251,0.0217596,0.0146578,0.0241745,0.096822,-0.173805,0.419791,0.0346962,0.195642,-0.154392,-0.260818,-0.29917,-0.166046,-0.219384,-0.114234,0.204375,-0.501232,0.17226,-0.119347,0.629251,0.0217596,0.0146578,0.0241745,0.096822,-0.173805,0.419791,0.0346962,0.195642,-0.154392,-0.260818,-0.29917,-0.166046,-0.219384,-0.114234,0.204375,-0.501232,0.17226,-0.119347,0.194998,-1031.63
-1027.07,1,0.235317,4,15,0,1046.51,0.117668,0.225952,0.104444,-0.107235,-0.305333,0.173316,0.359448,-0.0342851,-0.105882,-0.192914,0.230456,0.12518,-0.050557,0.0840683,-0.0133983,-0.104369,-0.453085,-0.02821,0.0384204,0.117668,0.225952,0.104444,-0.107235,-0.305333,0.173316,0.359448,-0.0342851,-0.105882,-0.192914,0.230456,0.12518,-0.050557,0.0840683,-0.0133983,-0.104369,-0.453085,-0.02821,0.0384204,-0.0636855,-1026.73
-1020.67,0.995002,0.235317,4,15,0,1036.13,0.236489,0.317721,0.0165066,-0.0592788,-0.0966098,0.0801067,0.423801,0.0865793,-0.128246,-0.193873,-0.122083,0.0263769,-0.282248,0.0166595,-0.0174767,0.121959,-0.315815,0.103268,-0.121264,0.236489,0.317721,0.0165066,-0.0592788,-0.0966098,0.0801067,0.423801,0.0865793,-0.128246,-0.193873,-0.122083,0.0263769,-0.282248,0.0166595,-0.0174767,0.121959,-0.315815,0.103268,-0.121264,-0.092572,-1020.34
-1022.48,0.99202,0.235317,4,15,0,1030.43,0.600986,-0.00428116,0.00972255,-0.0291428,0.064729,0.0369749,0.483054,-0.27587,-0.0739729,-0.0387721,0.00680733,-0.0926276,-0.114687,-0.0930317,0.00670258,0.0871829,-0.567547,0.153911,-0.068437,0.600986,-0.00428116,0.00972255,-0.0291428,0.064729,0.0369749,0.483054,-0.27587,-0.0739729,-0.0387721,0.00680733,-0.0926276,-0.114687,-0.0930317,0.00670258,0.0871829,-0.567547,0.153911,-0.068437,-0.0917,-1021.95
