# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/swmnj22v.json
# init = 2 (Default)
# random
#   seed = 71542
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1y6yfth4o/poisson_1-20250829005236_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.254971
# Diagonal elements of inverse mass matrix:
# 0.0185984, 0.0193978, 0.0195556, 0.0171107, 0.0207633, 0.0235799, 0.0170165, 0.0207308, 0.0239034, 0.0205979, 0.0184739, 0.0208039, 0.0187062, 0.0223156, 0.0200877, 0.0176826, 0.0185674, 0.0173965, 0.0219766
-551.807,0.684927,0.254971,4,15,0,562.951,0.207184,0.14896,0.195558,0.0458475,0.232125,0.0578712,0.566902,-0.031337,-0.0771555,-0.00575978,-0.388396,0.101821,-0.0439874,-0.183146,-0.16602,0.48082,-0.352949,-0.281993,-0.0630814,0.207184,0.14896,0.195558,0.0458475,0.232125,0.0578712,0.566902,-0.031337,-0.0771555,-0.00575978,-0.388396,0.101821,-0.0439874,-0.183146,-0.16602,0.48082,-0.352949,-0.281993,-0.0630814,-0.443264,-551.229
-554.88,0.995747,0.254971,4,15,0,564.776,0.162566,0.0133121,0.0844163,-0.0322147,-0.171434,0.0701177,0.287771,0.218628,-0.166433,0.410738,-0.278486,0.238844,-0.330295,-0.0643716,-0.409158,0.139081,-0.338333,0.0631904,-0.0752907,0.162566,0.0133121,0.0844163,-0.0322147,-0.171434,0.0701177,0.287771,0.218628,-0.166433,0.410738,-0.278486,0.238844,-0.330295,-0.0643716,-0.409158,0.139081,-0.338333,0.0631904,-0.0752907,0.177349,-554.403
-549.74,0.997623,0.254971,4,15,0,560.967,0.106041,0.272543,0.167001,0.310952,-0.103191,0.218601,0.641888,-0.0837356,0.0335976,0.137005,-0.286817,-0.107032,-0.234069,-0.220589,-0.349985,0.0977577,-0.303056,-0.16906,-0.144733,0.106041,0.272543,0.167001,0.310952,-0.103191,0.218601,0.641888,-0.0837356,0.0335976,0.137005,-0.286817,-0.107032,-0.234069,-0.220589,-0.349985,0.0977577,-0.303056,-0.16906,-0.144733,0.0168801,-549.15
-556.711,0.971357,0.254971,4,15,0,563.134,0.144428,-0.0882297,0.148192,-0.174112,-0.0812666,0.0955796,0.328947,0.201974,-0.0624769,-0.0276419,-0.500491,0.315632,0.0188553,-0.306258,-0.148648,0.506812,0.000208776,-0.0320962,-0.16666,0.144428,-0.0882297,0.148192,-0.174112,-0.0812666,0.0955796,0.328947,0.201974,-0.0624769,-0.0276419,-0.500491,0.315632,0.0188553,-0.306258,-0.148648,0.506812,0.000208776,-0.0320962,-0.16666,-0.172749,-556.21
-550.546,0.998024,0.254971,4,15,0,564.06,0.0334749,0.0576461,0.212104,-0.029697,0.187968,-0.0637718,0.370218,0.132127,-0.171926,0.25709,-0.342609,0.0103576,-0.128933,-0.206193,-0.378748,0.174195,-0.0315772,0.0459184,-0.0304829,0.0334749,0.0576461,0.212104,-0.029697,0.187968,-0.0637718,0.370218,0.132127,-0.171926,0.25709,-0.342609,0.0103576,-0.128933,-0.206193,-0.378748,0.174195,-0.0315772,0.0459184,-0.0304829,-0.0971599,-550.199
-556.905,0.962613,0.254971,4,15,0,563.199,0.134373,0.439285,0.0531945,0.130655,0.145523,-0.0175293,0.447562,0.0214851,-0.313985,0.0418986,-0.198228,0.187797,-0.231814,-0.207304,-0.690149,0.0502318,0.0276659,0.178997,-0.0806264,0.134373,0.439285,0.0531945,0.130655,0.145523,-0.0175293,0.447562,0.0214851,-0.313985,0.0418986,-0.198228,0.187797,-0.231814,-0.207304,-0.690149,0.0502318,0.0276659,0.178997,-0.0806264,-0.119031,-556.284
