# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/o_8wnamc.json
# init = 2 (Default)
# random
#   seed = 57398
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1o11nj222/poisson_1-20250829005230_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.213455
# Diagonal elements of inverse mass matrix:
# 0.0129816, 0.0113672, 0.0108883, 0.0110584, 0.0106145, 0.0103694, 0.0102214, 0.0123067, 0.0118791, 0.01065, 0.00839575, 0.0132179, 0.0125825, 0.0104624, 0.0090511, 0.0101496, 0.0114367, 0.0132546, 0.0119351
-1038.07,0.590432,0.213455,4,15,0,1048.44,0.0761975,0.315366,0.0924424,-0.0247718,0.188903,-0.112604,0.657739,-0.115326,-0.13873,0.215969,-0.43576,-0.142884,0.0347527,-0.0732579,-0.249246,0.210793,-0.500129,-0.000588728,-0.101714,0.0761975,0.315366,0.0924424,-0.0247718,0.188903,-0.112604,0.657739,-0.115326,-0.13873,0.215969,-0.43576,-0.142884,0.0347527,-0.0732579,-0.249246,0.210793,-0.500129,-0.000588728,-0.101714,0.102849,-1037.44
-1039.96,0.920466,0.213455,4,15,0,1050.84,0.139193,0.315019,0.448143,-0.136436,0.053457,0.216687,0.439832,-0.0749182,0.0153727,0.0650542,-0.554235,-0.0994324,0.191756,-0.247371,-0.138503,0.125732,-0.0929946,0.0591686,-0.309976,0.139193,0.315019,0.448143,-0.136436,0.053457,0.216687,0.439832,-0.0749182,0.0153727,0.0650542,-0.554235,-0.0994324,0.191756,-0.247371,-0.138503,0.125732,-0.0929946,0.0591686,-0.309976,-0.415548,-1039.38
-1035.73,1,0.213455,4,15,0,1044.78,0.125807,0.366366,0.135762,0.157721,0.255294,-0.163926,0.479628,-0.109057,-0.0603207,0.123647,-0.406369,-0.0112471,-0.0779883,-0.0103072,-0.21723,0.337661,-0.46553,-0.0362427,-0.118797,0.125807,0.366366,0.135762,0.157721,0.255294,-0.163926,0.479628,-0.109057,-0.0603207,0.123647,-0.406369,-0.0112471,-0.0779883,-0.0103072,-0.21723,0.337661,-0.46553,-0.0362427,-0.118797,-0.30487,-1035.18
-1034.19,0.997896,0.213455,4,15,0,1039.38,0.0780062,0.283564,0.390389,-0.0827538,0.0673814,0.144453,0.410296,-0.0415816,0.025767,0.0789674,-0.435594,-0.217323,0.252845,-0.229301,-0.267415,0.213699,-0.144781,0.0478083,-0.377529,0.0780062,0.283564,0.390389,-0.0827538,0.0673814,0.144453,0.410296,-0.0415816,0.025767,0.0789674,-0.435594,-0.217323,0.252845,-0.229301,-0.267415,0.213699,-0.144781,0.0478083,-0.377529,-0.196899,-1033.65
-1032.56,1,0.213455,4,15,0,1039.33,0.242015,0.323848,0.356531,-0.00462963,0.171716,-0.0390388,0.535219,-0.0822472,-0.099461,0.18024,-0.41544,-0.128845,-0.110721,-0.204824,-0.238922,0.100313,-0.282384,0.0642854,-0.209206,0.242015,0.323848,0.356531,-0.00462963,0.171716,-0.0390388,0.535219,-0.0822472,-0.099461,0.18024,-0.41544,-0.128845,-0.110721,-0.204824,-0.238922,0.100313,-0.282384,0.0642854,-0.209206,-0.158448,-1032.01
-1037.12,0.926551,0.213455,4,15,0,1042.61,0.108215,0.249839,0.194799,0.204863,0.173633,0.169288,0.421877,-0.071202,-0.270574,0.041319,-0.452078,-0.172608,0.145521,0.0440512,-0.236638,0.226093,-0.361462,-0.110309,-0.0449521,0.108215,0.249839,0.194799,0.204863,0.173633,0.169288,0.421877,-0.071202,-0.270574,0.041319,-0.452078,-0.172608,0.145521,0.0440512,-0.236638,0.226093,-0.361462,-0.110309,-0.0449521,-0.259675,-1036.63
-1037.39,0.995516,0.213455,4,15,0,1047.14,0.0557499,0.396528,0.338293,-0.11474,0.147988,-0.170764,0.490964,-0.0801673,0.230206,0.151784,-0.498236,-0.0117055,0.0110856,-0.308041,-0.160507,0.249659,-0.238032,0.117453,-0.439774,0.0557499,0.396528,0.338293,-0.11474,0.147988,-0.170764,0.490964,-0.0801673,0.230206,0.151784,-0.498236,-0.0117055,0.0110856,-0.308041,-0.160507,0.249659,-0.238032,0.117453,-0.439774,-0.167744,-1036.71
-1037.58,0.80373,0.213455,4,15,0,1048.42,0.0272207,0.192402,0.151145,-0.0543526,0.0758679,0.0677793,0.656996,-0.117646,-0.0978968,0.290348,-0.386134,-0.207471,0.232789,-0.132072,-0.307382,0.249436,-0.308705,-0.00261141,-0.042868,0.0272207,0.192402,0.151145,-0.0543526,0.0758679,0.0677793,0.656996,-0.117646,-0.0978968,0.290348,-0.386134,-0.207471,0.232789,-0.132072,-0.307382,0.249436,-0.308705,-0.00261141,-0.042868,-0.286844,-1037.02
-1034.07,0.986269,0.213455,4,15,0,1044.3,0.122358,0.30278,0.135934,-0.091915,0.328858,0.0336174,0.514851,-0.155926,0.0216245,0.0389125,-0.409942,-0.264761,0.120437,-0.247485,-0.189551,0.274274,-0.256644,0.00172064,-0.0540563,0.122358,0.30278,0.135934,-0.091915,0.328858,0.0336174,0.514851,-0.155926,0.0216245,0.0389125,-0.409942,-0.264761,0.120437,-0.247485,-0.189551,0.274274,-0.256644,0.00172064,-0.0540563,-0.225089,-1033.56
