# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/m6d1as3o.json
# init = 2 (Default)
# random
#   seed = 26640
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1wg4df8n4/poisson_1-20250829005241_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.23012
# Diagonal elements of inverse mass matrix:
# 0.0401094, 0.0382827, 0.0397071, 0.0393648, 0.034533, 0.041181, 0.0414336, 0.0391399, 0.0458119, 0.0291782, 0.0372961, 0.0438084, 0.0415505, 0.0357287, 0.0385248, 0.0376125, 0.0428003, 0.0431293, 0.0429062
-289.073,0.882391,0.23012,4,15,0,295.059,0.0798678,-0.179594,0.67906,0.0981989,0.0570218,-0.434328,-0.0294161,-0.163977,-0.231183,-0.463593,0.572376,-0.178839,-0.0920564,0.0807393,0.102561,-0.179445,0.0537783,0.363887,-0.299882,0.0798678,-0.179594,0.67906,0.0981989,0.0570218,-0.434328,-0.0294161,-0.163977,-0.231183,-0.463593,0.572376,-0.178839,-0.0920564,0.0807393,0.102561,-0.179445,0.0537783,0.363887,-0.299882,0.164825,-288.253
-285.06,0.920491,0.23012,4,15,0,296.222,0.2112,-0.2716,0.706436,0.125396,0.245179,-0.369681,-0.0944947,-0.064741,-0.438838,-0.331587,0.332216,-0.262153,0.115784,0.13481,-0.053108,-0.268196,0.0127077,0.327827,-0.277712,0.2112,-0.2716,0.706436,0.125396,0.245179,-0.369681,-0.0944947,-0.064741,-0.438838,-0.331587,0.332216,-0.262153,0.115784,0.13481,-0.053108,-0.268196,0.0127077,0.327827,-0.277712,0.220558,-284.252
-287.747,0.990828,0.23012,4,15,0,293.542,0.409899,-0.617033,0.087052,0.224686,0.914654,-0.0506637,-0.309876,0.312648,0.628153,-0.225031,-0.0203417,-0.390696,-0.00162803,-0.0679363,0.195134,-0.364407,0.132278,-0.499607,-0.571734,0.409899,-0.617033,0.087052,0.224686,0.914654,-0.0506637,-0.309876,0.312648,0.628153,-0.225031,-0.0203417,-0.390696,-0.00162803,-0.0679363,0.195134,-0.364407,0.132278,-0.499607,-0.571734,0.214451,-286.243
-288.47,0.843194,0.23012,4,15,0,296.423,0.245026,-0.258627,0.611342,-0.127228,0.165744,-0.327686,-0.221587,0.0449771,-0.424071,-0.272888,0.624532,-0.316312,0.20073,0.138691,-0.105524,-0.332869,-0.0892861,0.227744,-0.28507,0.245026,-0.258627,0.611342,-0.127228,0.165744,-0.327686,-0.221587,0.0449771,-0.424071,-0.272888,0.624532,-0.316312,0.20073,0.138691,-0.105524,-0.332869,-0.0892861,0.227744,-0.28507,0.502365,-287.585
-284.56,0.996379,0.23012,4,15,0,298.502,0.363163,-0.437744,0.679851,0.00971908,0.732849,0.138293,-0.39464,0.460978,0.121663,-0.0674509,0.290535,-0.1502,-0.127761,-0.358712,-0.1973,-0.339109,0.0737401,-0.221849,-0.556413,0.363163,-0.437744,0.679851,0.00971908,0.732849,0.138293,-0.39464,0.460978,0.121663,-0.0674509,0.290535,-0.1502,-0.127761,-0.358712,-0.1973,-0.339109,0.0737401,-0.221849,-0.556413,-0.0196126,-283.31
-281.918,0.994793,0.23012,4,15,0,290.244,0.115901,-0.287906,0.360541,-0.0609184,0.826145,-0.0358278,-0.449974,0.199083,0.0698447,0.034117,0.278189,-0.341675,0.116614,-0.0783093,0.0432309,-0.296973,0.161976,0.000302619,-0.533975,0.115901,-0.287906,0.360541,-0.0609184,0.826145,-0.0358278,-0.449974,0.199083,0.0698447,0.034117,0.278189,-0.341675,0.116614,-0.0783093,0.0432309,-0.296973,0.161976,0.000302619,-0.533975,-0.120385,-281.03
