# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/qjvo6oiw.json
# init = 2 (Default)
# random
#   seed = 19019
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1k1s3qwd7/poisson_1-20250829005243_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.203249
# Diagonal elements of inverse mass matrix:
# 0.0234018, 0.0256256, 0.0221385, 0.030969, 0.0250047, 0.0254213, 0.0278613, 0.0300425, 0.0277394, 0.0244151, 0.0279448, 0.0258482, 0.030695, 0.0241966, 0.0222496, 0.0274617, 0.0327611, 0.0280229, 0.0200963
-428.464,0.997236,0.203249,5,63,0,441.78,0.441762,-0.460506,0.6342,0.146473,0.555846,0.217025,-0.274316,-0.188242,0.321182,-0.298487,0.448092,-0.260434,-0.26501,-0.447063,0.177194,-0.325928,0.152971,-0.418732,-0.661538,0.441762,-0.460506,0.6342,0.146473,0.555846,0.217025,-0.274316,-0.188242,0.321182,-0.298487,0.448092,-0.260434,-0.26501,-0.447063,0.177194,-0.325928,0.152971,-0.418732,-0.661538,0.505511,-427.063
-424.141,0.966391,0.203249,4,15,0,436.228,-0.00258118,-0.476459,0.513804,0.100783,0.121337,-0.306609,0.133093,0.379518,0.156045,0.00394538,-0.111107,-0.281993,0.448557,-0.0831647,-0.198648,-0.352245,0.0530204,-0.0153149,-0.280346,-0.00258118,-0.476459,0.513804,0.100783,0.121337,-0.306609,0.133093,0.379518,0.156045,0.00394538,-0.111107,-0.281993,0.448557,-0.0831647,-0.198648,-0.352245,0.0530204,-0.0153149,-0.280346,0.198364,-423.471
-421.519,0.976178,0.203249,4,15,0,434.591,-0.00588393,-0.486498,0.608289,0.286193,0.144128,-0.202817,0.247008,0.233949,0.217497,-0.213828,-0.0858762,-0.27101,0.435419,-0.0410256,-0.116995,-0.507036,0.157913,-0.229089,-0.331473,-0.00588393,-0.486498,0.608289,0.286193,0.144128,-0.202817,0.247008,0.233949,0.217497,-0.213828,-0.0858762,-0.27101,0.435419,-0.0410256,-0.116995,-0.507036,0.157913,-0.229089,-0.331473,0.161137,-420.674
-420.96,0.986192,0.203249,4,31,0,426.814,0.259895,-0.403473,0.669275,0.300691,0.28677,-0.103803,0.0266351,0.327669,0.0769877,-0.202643,-0.147312,-0.294563,0.260649,0.0209511,-0.307549,-0.516176,0.145733,-0.168495,-0.303357,0.259895,-0.403473,0.669275,0.300691,0.28677,-0.103803,0.0266351,0.327669,0.0769877,-0.202643,-0.147312,-0.294563,0.260649,0.0209511,-0.307549,-0.516176,0.145733,-0.168495,-0.303357,0.072113,-420.112
-424.738,0.928137,0.203249,4,15,0,436.666,0.191102,-0.484493,0.789224,0.198392,0.0357632,-0.267142,0.0565827,0.498256,0.0617458,-0.16451,-0.101114,-0.318777,-0.00249348,0.0165956,-0.257462,-0.356672,0.145323,-0.0675109,-0.235861,0.191102,-0.484493,0.789224,0.198392,0.0357632,-0.267142,0.0565827,0.498256,0.0617458,-0.16451,-0.101114,-0.318777,-0.00249348,0.0165956,-0.257462,-0.356672,0.145323,-0.0675109,-0.235861,0.26305,-423.9
-420.382,0.830407,0.203249,5,31,0,432.11,0.0944713,-0.538054,0.438054,0.235891,0.55612,0.00432604,-0.251245,-0.0686523,0.381809,-0.0943644,0.312563,-0.22359,0.243911,-0.147406,-0.0750257,-0.304778,-0.119788,0.0142965,-0.45315,0.0944713,-0.538054,0.438054,0.235891,0.55612,0.00432604,-0.251245,-0.0686523,0.381809,-0.0943644,0.312563,-0.22359,0.243911,-0.147406,-0.0750257,-0.304778,-0.119788,0.0142965,-0.45315,-0.00538955,-419.569
