# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/n3gk3uup.json
# init = 2 (Default)
# random
#   seed = 84785
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1ar80jzfq/poisson_1-20250829005244_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.224642
# Diagonal elements of inverse mass matrix:
# 0.0203134, 0.0166368, 0.0174734, 0.0193887, 0.0227341, 0.0178444, 0.0228547, 0.0221217, 0.0206516, 0.0174273, 0.0213406, 0.0192778, 0.0212338, 0.0188472, 0.0204294, 0.0205067, 0.0184159, 0.0187434, 0.0196865
-566.984,0.927332,0.224642,4,15,0,576.175,0.213381,-0.61827,0.187966,0.439951,0.728631,-0.093648,-0.0625026,0.00610816,0.0882026,-0.242306,0.159998,-0.327125,0.0165494,-0.325764,0.236415,0.0756078,-0.0244451,-0.224166,-0.59441,0.213381,-0.61827,0.187966,0.439951,0.728631,-0.093648,-0.0625026,0.00610816,0.0882026,-0.242306,0.159998,-0.327125,0.0165494,-0.325764,0.236415,0.0756078,-0.0244451,-0.224166,-0.59441,0.359827,-565.998
-561.186,0.936154,0.224642,4,15,0,574.133,0.164383,-0.344973,0.557812,-0.0955344,0.308722,0.242383,-0.0324638,0.0255836,0.140235,0.0747867,-0.17676,-0.247188,-0.0765617,-0.241158,0.117623,-0.11681,0.000476505,-0.137192,-0.592231,0.164383,-0.344973,0.557812,-0.0955344,0.308722,0.242383,-0.0324638,0.0255836,0.140235,0.0747867,-0.17676,-0.247188,-0.0765617,-0.241158,0.117623,-0.11681,0.000476505,-0.137192,-0.592231,0.428867,-560.586
-562.735,0.939892,0.224642,4,15,0,573.755,0.310138,-0.390337,0.760944,0.0141349,0.252555,0.00183593,-0.0385006,-0.103319,0.126838,0.0040933,0.33107,-0.342751,-0.136072,-0.2216,0.2975,-0.275923,0.222132,-0.290573,-0.499913,0.310138,-0.390337,0.760944,0.0141349,0.252555,0.00183593,-0.0385006,-0.103319,0.126838,0.0040933,0.33107,-0.342751,-0.136072,-0.2216,0.2975,-0.275923,0.222132,-0.290573,-0.499913,-0.0222538,-561.853
-571.393,0.908363,0.224642,4,15,0,578.905,0.110508,-0.338105,0.108028,0.284089,0.547846,0.0412024,0.0791186,0.360081,-0.0985439,-0.335556,0.00669107,-0.165378,0.530701,-0.29263,0.0143036,-0.152477,-0.120458,0.0179323,-0.570162,0.110508,-0.338105,0.108028,0.284089,0.547846,0.0412024,0.0791186,0.360081,-0.0985439,-0.335556,0.00669107,-0.165378,0.530701,-0.29263,0.0143036,-0.152477,-0.120458,0.0179323,-0.570162,-0.0271903,-570.625
-569.302,0.997367,0.224642,4,15,0,578.483,0.210232,-0.396841,0.896716,-0.00766681,0.316986,-0.0612074,-0.130468,-0.198833,0.360356,0.165804,0.1408,-0.412586,-0.383762,-0.210494,0.253345,-0.223314,0.234023,-0.280018,-0.473751,0.210232,-0.396841,0.896716,-0.00766681,0.316986,-0.0612074,-0.130468,-0.198833,0.360356,0.165804,0.1408,-0.412586,-0.383762,-0.210494,0.253345,-0.223314,0.234023,-0.280018,-0.473751,0.200678,-568.213
-563.237,0.92671,0.224642,4,15,0,580.318,0.0481908,-0.699627,0.575212,0.213327,0.311726,-0.130269,-0.0202784,0.0579264,0.0903325,-0.127333,0.115086,-0.133152,0.360296,0.0384216,-0.00396166,-0.453539,0.15948,-0.10546,-0.376273,0.0481908,-0.699627,0.575212,0.213327,0.311726,-0.130269,-0.0202784,0.0579264,0.0903325,-0.127333,0.115086,-0.133152,0.360296,0.0384216,-0.00396166,-0.453539,0.15948,-0.10546,-0.376273,0.079892,-562.459
