# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/n3gk3uup.json
# init = 2 (Default)
# random
#   seed = 84785
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1ar80jzfq/poisson_1-20250829005244_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.231399
# Diagonal elements of inverse mass matrix:
# 0.0223748, 0.0177944, 0.0197411, 0.0167357, 0.0184841, 0.0196297, 0.0208054, 0.0212361, 0.0209518, 0.020686, 0.0181134, 0.018562, 0.0200579, 0.0200244, 0.0212488, 0.0195678, 0.02013, 0.0203013, 0.0148126
-564.745,0.869824,0.231399,4,15,0,577.357,-0.0222589,-0.259205,0.412996,0.0440568,0.555764,-0.083856,0.250152,0.26617,-0.09103,-0.0229783,-0.143611,-0.0493315,0.102582,-0.178589,0.184843,-0.404478,0.225156,-0.20172,-0.737319,-0.0222589,-0.259205,0.412996,0.0440568,0.555764,-0.083856,0.250152,0.26617,-0.09103,-0.0229783,-0.143611,-0.0493315,0.102582,-0.178589,0.184843,-0.404478,0.225156,-0.20172,-0.737319,0.152657,-563.946
-561.787,0.992471,0.231399,4,15,0,572.776,0.274639,-0.554636,0.661602,0.00515323,0.290621,0.0259533,0.0344501,-0.130411,0.353029,-0.109429,0.00570266,-0.300705,-0.0350455,-0.0597691,0.173181,-0.154195,-0.153924,0.116691,-0.568797,0.274639,-0.554636,0.661602,0.00515323,0.290621,0.0259533,0.0344501,-0.130411,0.353029,-0.109429,0.00570266,-0.300705,-0.0350455,-0.0597691,0.173181,-0.154195,-0.153924,0.116691,-0.568797,0.125889,-561.001
-563.159,0.880248,0.231399,4,15,0,571.46,-0.0998646,-0.211612,0.365505,0.262149,0.479028,-0.0614342,-0.0501111,0.295775,-0.146295,0.0144491,0.151505,-0.24606,0.209431,-0.374932,0.0633768,-0.226375,0.28077,-0.317164,-0.477194,-0.0998646,-0.211612,0.365505,0.262149,0.479028,-0.0614342,-0.0501111,0.295775,-0.146295,0.0144491,0.151505,-0.24606,0.209431,-0.374932,0.0633768,-0.226375,0.28077,-0.317164,-0.477194,0.0890517,-562.493
-563.518,0.932142,0.231399,4,15,0,574.097,-0.0378018,-0.263898,0.318307,0.118155,0.584292,-0.0900524,-0.30424,0.375334,0.206605,-0.0930833,-0.0038761,-0.261363,0.000779801,-0.228323,0.0605752,-0.0655176,0.141234,-0.333674,-0.356929,-0.0378018,-0.263898,0.318307,0.118155,0.584292,-0.0900524,-0.30424,0.375334,0.206605,-0.0930833,-0.0038761,-0.261363,0.000779801,-0.228323,0.0605752,-0.0655176,0.141234,-0.333674,-0.356929,0.233477,-562.915
-562.362,0.998518,0.231399,4,15,0,572.269,0.240344,-0.219654,0.634071,0.052226,0.421652,0.0836472,0.0139462,0.189024,-0.024803,0.0425,-0.0904301,-0.367963,-0.104314,-0.35275,0.425701,-0.411907,0.031205,-0.0822536,-0.697757,0.240344,-0.219654,0.634071,0.052226,0.421652,0.0836472,0.0139462,0.189024,-0.024803,0.0425,-0.0904301,-0.367963,-0.104314,-0.35275,0.425701,-0.411907,0.031205,-0.0822536,-0.697757,0.217513,-561.433
-563.959,0.991581,0.231399,4,15,0,573.363,0.0988698,-0.547993,0.361293,0.115657,0.285966,-0.281421,-0.046469,0.0605088,0.243128,-0.15888,0.113306,-0.15014,0.386603,-0.16552,-0.14039,0.102595,0.100887,-0.205726,-0.385758,0.0988698,-0.547993,0.361293,0.115657,0.285966,-0.281421,-0.046469,0.0605088,0.243128,-0.15888,0.113306,-0.15014,0.386603,-0.16552,-0.14039,0.102595,0.100887,-0.205726,-0.385758,0.213482,-563.385
