# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1wi841fw.json
# init = 2 (Default)
# random
#   seed = 90449
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_18xbl1pc4/poisson_1-20250829005238_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.238352
# Diagonal elements of inverse mass matrix:
# 0.0121888, 0.0103202, 0.0100243, 0.0142919, 0.0102213, 0.0119591, 0.010936, 0.0126194, 0.0103402, 0.0112609, 0.00959699, 0.0110072, 0.0108233, 0.0104026, 0.0117651, 0.0134118, 0.0121406, 0.0124208, 0.00904535
-1097.86,0.875189,0.238352,4,15,0,1106.89,0.306786,-0.288276,0.0159303,0.0862332,0.46382,-0.0506821,-0.0382724,0.154017,0.214301,-0.0237279,0.399554,-0.316737,-0.044304,-0.425891,0.0511843,-0.29716,-0.0642477,0.0282472,-0.38672,0.306786,-0.288276,0.0159303,0.0862332,0.46382,-0.0506821,-0.0382724,0.154017,0.214301,-0.0237279,0.399554,-0.316737,-0.044304,-0.425891,0.0511843,-0.29716,-0.0642477,0.0282472,-0.38672,0.215944,-1097.28
-1098.94,0.999842,0.238352,4,15,0,1108.9,0.213077,-0.351371,0.0204559,-0.0565873,0.622696,-0.0801924,-0.237383,0.0366571,0.102257,-0.0477025,0.450793,-0.13437,0.0908628,-0.132794,0.106841,-0.26379,-0.00312577,-0.00122164,-0.500449,0.213077,-0.351371,0.0204559,-0.0565873,0.622696,-0.0801924,-0.237383,0.0366571,0.102257,-0.0477025,0.450793,-0.13437,0.0908628,-0.132794,0.106841,-0.26379,-0.00312577,-0.00122164,-0.500449,0.165347,-1098.33
-1099.99,0.931238,0.238352,4,15,0,1106.57,0.176936,-0.350408,0.0362666,-0.103636,0.684436,-0.0232999,-0.210342,0.0176132,0.122703,-0.0602752,0.452948,-0.171427,0.09744,-0.105312,0.0270982,-0.177086,-0.0444164,-0.00894723,-0.455367,0.176936,-0.350408,0.0362666,-0.103636,0.684436,-0.0232999,-0.210342,0.0176132,0.122703,-0.0602752,0.452948,-0.171427,0.09744,-0.105312,0.0270982,-0.177086,-0.0444164,-0.00894723,-0.455367,0.0950762,-1099.39
-1100.23,0.998137,0.238352,4,15,0,1112.05,0.0265618,-0.588813,0.445549,0.0955369,0.200334,0.0691012,0.0488883,0.0175154,0.16591,-0.0938537,0.393334,-0.233366,0.280656,-0.505691,0.185612,-0.247196,0.111839,-0.0679867,-0.318447,0.0265618,-0.588813,0.445549,0.0955369,0.200334,0.0691012,0.0488883,0.0175154,0.16591,-0.0938537,0.393334,-0.233366,0.280656,-0.505691,0.185612,-0.247196,0.111839,-0.0679867,-0.318447,0.0145156,-1099.53
-1091.27,0.811308,0.238352,4,15,0,1106.45,0.183913,-0.393711,0.306536,0.00377689,0.438512,-0.00878683,0.0796646,0.131375,0.1226,-0.0103044,0.250803,-0.248021,-0.101978,-0.309112,0.0633334,-0.212164,0.0185112,-0.0355339,-0.485347,0.183913,-0.393711,0.306536,0.00377689,0.438512,-0.00878683,0.0796646,0.131375,0.1226,-0.0103044,0.250803,-0.248021,-0.101978,-0.309112,0.0633334,-0.212164,0.0185112,-0.0355339,-0.485347,0.205934,-1090.76
-1092.93,0.939064,0.238352,4,15,0,1101.67,0.147689,-0.38941,0.142163,0.0145047,0.300932,0.0713962,-0.138338,-0.0946097,0.24505,-0.106166,0.245611,0.0199166,0.236263,-0.29762,0.123671,-0.222737,-0.0253963,0.00302867,-0.51671,0.147689,-0.38941,0.142163,0.0145047,0.300932,0.0713962,-0.138338,-0.0946097,0.24505,-0.106166,0.245611,0.0199166,0.236263,-0.29762,0.123671,-0.222737,-0.0253963,0.00302867,-0.51671,0.240763,-1092.46
-1093.13,0.999312,0.238352,4,15,0,1098.96,0.208339,-0.302497,0.314184,0.118931,0.351064,0.0386382,-0.0760192,0.0267996,0.393305,-0.0631501,0.0742156,-0.144717,-0.0925153,-0.350066,0.117057,-0.265131,-0.0528072,0.000341586,-0.403625,0.208339,-0.302497,0.314184,0.118931,0.351064,0.0386382,-0.0760192,0.0267996,0.393305,-0.0631501,0.0742156,-0.144717,-0.0925153,-0.350066,0.117057,-0.265131,-0.0528072,0.000341586,-0.403625,0.107653,-1092.66
-1095.18,0.978449,0.238352,4,15,0,1102.49,0.137942,-0.282447,0.328325,-0.0224888,0.287955,0.085808,-0.136093,-0.0422953,0.00970237,0.0654393,0.117316,-0.0442795,0.0219212,-0.0253481,0.19238,-0.236068,-0.0506225,0.0397856,-0.491857,0.137942,-0.282447,0.328325,-0.0224888,0.287955,0.085808,-0.136093,-0.0422953,0.00970237,0.0654393,0.117316,-0.0442795,0.0219212,-0.0253481,0.19238,-0.236068,-0.0506225,0.0397856,-0.491857,0.0449244,-1094.84
-1098.39,0.933268,0.238352,4,15,0,1107.1,0.157291,-0.275021,0.0950894,0.0405478,0.315402,0.133372,0.171833,3.96936e-05,0.109347,-0.0358635,0.0854117,-0.220629,0.167413,-0.239199,0.248242,-0.0874566,-0.29902,0.00423822,-0.511061,0.157291,-0.275021,0.0950894,0.0405478,0.315402,0.133372,0.171833,3.96936e-05,0.109347,-0.0358635,0.0854117,-0.220629,0.167413,-0.239199,0.248242,-0.0874566,-0.29902,0.00423822,-0.511061,0.140023,-1097.98
-1092.61,1,0.238352,4,15,0,1104.18,0.2737,-0.49256,0.201798,0.16941,0.369182,0.093128,0.158546,-0.0234153,0.0985663,-0.0221631,0.178993,-0.224213,0.131785,-0.370808,0.0715619,-0.29895,0.0398126,0.121071,-0.51271,0.2737,-0.49256,0.201798,0.16941,0.369182,0.093128,0.158546,-0.0234153,0.0985663,-0.0221631,0.178993,-0.224213,0.131785,-0.370808,0.0715619,-0.29895,0.0398126,0.121071,-0.51271,0.0372651,-1092.02
-1099.57,0.770336,0.238352,4,15,0,1105.43,0.145159,-0.516905,0.229041,0.0396481,0.326358,0.217138,0.150886,-0.0564583,0.0546047,0.125036,0.16169,-0.351062,0.202371,-0.264754,-0.0672951,-0.157956,0.122132,0.159508,-0.397094,0.145159,-0.516905,0.229041,0.0396481,0.326358,0.217138,0.150886,-0.0564583,0.0546047,0.125036,0.16169,-0.351062,0.202371,-0.264754,-0.0672951,-0.157956,0.122132,0.159508,-0.397094,-0.122048,-1099.06
-1093.86,0.996748,0.238352,4,15,0,1107.54,0.226557,-0.338465,0.166414,-0.0328405,0.231368,-0.0617963,-0.101369,0.100459,0.195174,-0.0972387,0.175837,0.0236814,-0.0410747,-0.120629,0.0151426,-0.227597,0.0457021,-0.00821222,-0.344241,0.226557,-0.338465,0.166414,-0.0328405,0.231368,-0.0617963,-0.101369,0.100459,0.195174,-0.0972387,0.175837,0.0236814,-0.0410747,-0.120629,0.0151426,-0.227597,0.0457021,-0.00821222,-0.344241,0.193129,-1093.59
-1099.34,0.983195,0.238352,4,15,0,1106.31,0.389749,-0.510476,0.161356,0.056945,0.340473,0.202248,-0.176966,0.0608268,0.250227,-0.0263114,0.397207,-0.020013,-0.0971298,-0.405201,0.05274,-0.106767,-0.0216889,0.0260481,-0.672455,0.389749,-0.510476,0.161356,0.056945,0.340473,0.202248,-0.176966,0.0608268,0.250227,-0.0263114,0.397207,-0.020013,-0.0971298,-0.405201,0.05274,-0.106767,-0.0216889,0.0260481,-0.672455,0.0991892,-1098.59
-1095.68,0.989772,0.238352,4,15,0,1106.32,0.0230523,-0.136482,0.295294,0.0306311,0.255479,-0.0758633,0.0228661,0.0641032,0.0900909,-0.199357,0.1076,-0.124458,0.171246,-0.214908,0.118277,-0.252098,-0.020331,0.0145881,-0.269131,0.0230523,-0.136482,0.295294,0.0306311,0.255479,-0.0758633,0.0228661,0.0641032,0.0900909,-0.199357,0.1076,-0.124458,0.171246,-0.214908,0.118277,-0.252098,-0.020331,0.0145881,-0.269131,0.0993989,-1095.43
-1094.46,0.995008,0.238352,4,15,0,1101.21,0.201916,-0.26452,0.388952,-0.00966567,0.128159,-0.00990372,0.0369333,0.0896428,0.0611593,-0.139846,0.124265,-0.0966686,0.0826599,-0.135605,0.155723,-0.231585,-0.10057,0.0219585,-0.428029,0.201916,-0.26452,0.388952,-0.00966567,0.128159,-0.00990372,0.0369333,0.0896428,0.0611593,-0.139846,0.124265,-0.0966686,0.0826599,-0.135605,0.155723,-0.231585,-0.10057,0.0219585,-0.428029,0.125024,-1094.14
-1094.56,0.976199,0.238352,4,15,0,1107.29,0.0809922,-0.358384,0.0258628,0.162683,0.525216,0.094331,-0.0240411,0.10824,0.207862,-0.0155797,0.326474,-0.187211,-0.104074,-0.250846,0.0294008,-0.147893,-0.047319,-0.0456551,-0.393211,0.0809922,-0.358384,0.0258628,0.162683,0.525216,0.094331,-0.0240411,0.10824,0.207862,-0.0155797,0.326474,-0.187211,-0.104074,-0.250846,0.0294008,-0.147893,-0.047319,-0.0456551,-0.393211,0.0131515,-1094.11
-1095.85,0.964634,0.238352,4,15,0,1101.48,0.27746,-0.378799,0.448603,-0.110592,0.212851,-0.114855,0.0233028,-0.0185099,0.111608,-0.0376154,0.0899603,0.0149315,0.272851,-0.302305,0.173542,-0.2449,0.040248,0.0636658,-0.564891,0.27746,-0.378799,0.448603,-0.110592,0.212851,-0.114855,0.0233028,-0.0185099,0.111608,-0.0376154,0.0899603,0.0149315,0.272851,-0.302305,0.173542,-0.2449,0.040248,0.0636658,-0.564891,0.0434434,-1095.3
-1089.82,0.98925,0.238352,4,15,0,1100.82,0.127337,-0.337543,0.32957,0.0461785,0.36153,0.00495081,0.126124,0.134562,0.0926456,-0.0656515,0.252273,-0.198626,0.0744882,-0.286485,0.154374,-0.31871,-0.0303148,-0.0491781,-0.486162,0.127337,-0.337543,0.32957,0.0461785,0.36153,0.00495081,0.126124,0.134562,0.0926456,-0.0656515,0.252273,-0.198626,0.0744882,-0.286485,0.154374,-0.31871,-0.0303148,-0.0491781,-0.486162,0.0686358,-1089.33
-1097.5,0.931452,0.238352,4,15,0,1101.17,0.26097,-0.52614,0.229357,0.169056,0.308702,-0.0814192,-0.164384,0.105673,0.159506,-0.0213632,0.331581,0.0844718,-0.00802956,-0.114142,0.12188,-0.264736,-0.0683227,-0.201242,-0.337702,0.26097,-0.52614,0.229357,0.169056,0.308702,-0.0814192,-0.164384,0.105673,0.159506,-0.0213632,0.331581,0.0844718,-0.00802956,-0.114142,0.12188,-0.264736,-0.0683227,-0.201242,-0.337702,0.0162842,-1097.02
-1095.46,0.946717,0.238352,4,15,0,1102.81,0.0752695,-0.186209,0.216359,-0.00850393,0.374442,0.0234213,0.10044,0.0713392,0.231864,0.0440617,0.0517356,-0.284736,0.111309,-0.472312,0.0124414,-0.139175,0.0318573,0.183798,-0.483113,0.0752695,-0.186209,0.216359,-0.00850393,0.374442,0.0234213,0.10044,0.0713392,0.231864,0.0440617,0.0517356,-0.284736,0.111309,-0.472312,0.0124414,-0.139175,0.0318573,0.183798,-0.483113,0.0457109,-1095.01
-1098.12,0.939964,0.238352,4,15,0,1111.29,0.0271298,-0.291354,0.133799,0.0838717,0.422724,-0.133661,0.22171,0.157583,0.380339,0.0219349,0.110264,-0.201998,-0.0739973,-0.192222,0.0403537,-0.131733,-0.0412823,-0.0997626,-0.50502,0.0271298,-0.291354,0.133799,0.0838717,0.422724,-0.133661,0.22171,0.157583,0.380339,0.0219349,0.110264,-0.201998,-0.0739973,-0.192222,0.0403537,-0.131733,-0.0412823,-0.0997626,-0.50502,0.0713213,-1097.67
-1096.7,0.993178,0.238352,4,15,0,1108.68,0.116904,-0.515346,0.294852,0.0475239,0.479615,0.166002,-0.185186,-0.170857,0.208656,-0.0388486,0.331462,-0.0259575,0.0434225,-0.387679,0.0394549,-0.196175,0.198174,0.149126,-0.568975,0.116904,-0.515346,0.294852,0.0475239,0.479615,0.166002,-0.185186,-0.170857,0.208656,-0.0388486,0.331462,-0.0259575,0.0434225,-0.387679,0.0394549,-0.196175,0.198174,0.149126,-0.568975,0.0138328,-1095.98
-1095.06,0.946186,0.238352,4,15,0,1107.88,0.122778,-0.269979,0.222017,-0.0640336,0.331722,0.0243804,-0.0670245,-0.0437284,0.284163,0.0685047,0.111218,-0.0326054,0.0677392,-0.362429,0.282631,-0.372276,-0.095388,0.199482,-0.498548,0.122778,-0.269979,0.222017,-0.0640336,0.331722,0.0243804,-0.0670245,-0.0437284,0.284163,0.0685047,0.111218,-0.0326054,0.0677392,-0.362429,0.282631,-0.372276,-0.095388,0.199482,-0.498548,0.0913771,-1094.56
