# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/gzdmo09m.json
# init = 2 (Default)
# random
#   seed = 53219
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1nnjrkvba/poisson_1-20250829005239_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.225117
# Diagonal elements of inverse mass matrix:
# 0.0794341, 0.0736392, 0.0665923, 0.0702305, 0.0624685, 0.0639322, 0.0676822, 0.0834596, 0.0895453, 0.0801428, 0.083519, 0.0758993, 0.0796842, 0.0780512, 0.0843985, 0.0806828, 0.0775522, 0.0760955, 0.0724577
-143.872,0.847753,0.225117,4,15,0,153.392,-0.0220042,-0.357974,0.623581,0.25182,0.36387,-0.434865,-0.275332,-0.17944,-0.348486,0.0806439,0.302231,0.677672,-0.193727,-0.17747,0.126709,-0.499859,0.474228,0.276525,-0.799477,-0.0220042,-0.357974,0.623581,0.25182,0.36387,-0.434865,-0.275332,-0.17944,-0.348486,0.0806439,0.302231,0.677672,-0.193727,-0.17747,0.126709,-0.499859,0.474228,0.276525,-0.799477,0.111353,-142.39
-148.17,0.928901,0.225117,4,15,0,155.971,-0.085728,-0.209978,0.345261,0.279069,0.836274,-0.203392,-0.74137,0.102346,-0.492203,-0.613222,0.196631,0.16061,-0.146196,0.191329,0.392369,-0.660746,0.385035,0.404792,-0.315852,-0.085728,-0.209978,0.345261,0.279069,0.836274,-0.203392,-0.74137,0.102346,-0.492203,-0.613222,0.196631,0.16061,-0.146196,0.191329,0.392369,-0.660746,0.385035,0.404792,-0.315852,0.174971,-146.524
-146.202,0.960076,0.225117,4,15,0,153.65,-0.15434,-0.890484,0.301451,0.512728,0.39966,-0.288821,-0.187404,-0.00174113,0.0634347,-0.0822493,-0.00890332,-0.139389,0.104813,0.163903,-0.264021,-0.54118,0.632052,-0.0789013,-0.37299,-0.15434,-0.890484,0.301451,0.512728,0.39966,-0.288821,-0.187404,-0.00174113,0.0634347,-0.0822493,-0.00890332,-0.139389,0.104813,0.163903,-0.264021,-0.54118,0.632052,-0.0789013,-0.37299,0.832381,-144.989
-148.23,0.627348,0.225117,4,15,0,158.67,0.142031,-0.31796,0.125353,0.557145,0.708353,-0.544762,-0.124671,-0.017557,-0.454508,-0.131907,-0.306983,-0.184874,-0.0780947,0.420102,0.0132909,0.0794215,0.523218,-0.369844,-0.564874,0.142031,-0.31796,0.125353,0.557145,0.708353,-0.544762,-0.124671,-0.017557,-0.454508,-0.131907,-0.306983,-0.184874,-0.0780947,0.420102,0.0132909,0.0794215,0.523218,-0.369844,-0.564874,0.52712,-146.963
-151.061,0.707191,0.225117,4,15,0,158.318,0.276111,-0.618028,1.23032,0.0378448,0.3395,-0.557732,-0.430162,0.22247,-0.543246,-0.0886187,0.849436,0.38133,-0.449942,-0.53058,0.409265,-1.09066,0.249004,0.311103,-0.737083,0.276111,-0.618028,1.23032,0.0378448,0.3395,-0.557732,-0.430162,0.22247,-0.543246,-0.0886187,0.849436,0.38133,-0.449942,-0.53058,0.409265,-1.09066,0.249004,0.311103,-0.737083,0.739677,-147.887
-144.913,0.955129,0.225117,4,15,0,156.036,0.440882,-0.262575,0.697053,0.642092,0.390698,-0.552361,-0.0794008,-0.506644,-0.290478,0.0773712,0.0246407,0.307667,-0.630566,-0.301706,0.318064,-0.168774,0.530687,0.0612054,-0.81289,0.440882,-0.262575,0.697053,0.642092,0.390698,-0.552361,-0.0794008,-0.506644,-0.290478,0.0773712,0.0246407,0.307667,-0.630566,-0.301706,0.318064,-0.168774,0.530687,0.0612054,-0.81289,0.115032,-143.097
