# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/plw3_ajb.json
# init = 2 (Default)
# random
#   seed = 79327
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_13j5_xcze/poisson_1-20250829005249_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.239739
# Diagonal elements of inverse mass matrix:
# 0.0355994, 0.0414854, 0.0457307, 0.0347513, 0.0407164, 0.0396305, 0.0397621, 0.0426196, 0.0366731, 0.0415215, 0.0357328, 0.0459983, 0.0410599, 0.0367188, 0.0384868, 0.0403284, 0.0426234, 0.0407294, 0.0482948
-281.75,0.993291,0.239739,4,15,0,287.56,0.362761,-0.0541074,-0.0388032,0.000637633,-0.387059,0.782228,-0.191761,-0.209096,-0.289091,-0.459638,-0.250529,-0.257669,0.0422603,-0.0723216,0.7745,0.100813,-0.259132,0.263715,0.0443897,0.362761,-0.0541074,-0.0388032,0.000637633,-0.387059,0.782228,-0.191761,-0.209096,-0.289091,-0.459638,-0.250529,-0.257669,0.0422603,-0.0723216,0.7745,0.100813,-0.259132,0.263715,0.0443897,0.0979037,-280.671
-281.356,0.951578,0.239739,4,15,0,295.386,0.271441,-0.265502,0.160066,0.149226,-0.475666,0.560656,-0.213241,-0.00756385,-0.486211,-0.354499,-0.202776,-0.122432,0.329737,0.0860326,0.39716,0.359889,-0.132066,0.765065,-0.389103,0.271441,-0.265502,0.160066,0.149226,-0.475666,0.560656,-0.213241,-0.00756385,-0.486211,-0.354499,-0.202776,-0.122432,0.329737,0.0860326,0.39716,0.359889,-0.132066,0.765065,-0.389103,-0.43021,-280.179
-278.152,1,0.239739,4,15,0,287.372,-0.0187826,0.386404,-0.0981361,0.191247,0.0674373,0.505124,-0.592255,-0.170052,-0.654775,-0.162531,-0.150527,0.403228,0.360642,-0.103275,0.129451,-0.189514,-0.364198,0.19342,0.187645,-0.0187826,0.386404,-0.0981361,0.191247,0.0674373,0.505124,-0.592255,-0.170052,-0.654775,-0.162531,-0.150527,0.403228,0.360642,-0.103275,0.129451,-0.189514,-0.364198,0.19342,0.187645,0.0794459,-277.215
-280.423,0.959873,0.239739,4,15,0,288.408,0.0264025,0.435523,-0.24515,0.334237,0.123182,0.532865,-0.653537,-0.188095,-0.588176,-0.190534,-0.328121,0.460486,0.494196,-0.0349451,0.262818,-0.282961,-0.41538,0.280457,0.127838,0.0264025,0.435523,-0.24515,0.334237,0.123182,0.532865,-0.653537,-0.188095,-0.588176,-0.190534,-0.328121,0.460486,0.494196,-0.0349451,0.262818,-0.282961,-0.41538,0.280457,0.127838,-0.151105,-279.179
-277.792,0.976138,0.239739,4,15,0,285.182,0.211556,-0.00285216,0.475284,0.314631,-0.42101,0.444975,-0.258821,0.119429,-0.596669,-0.320324,-0.231381,-0.353705,-0.00105509,-0.141512,0.264035,0.0977261,-0.0372231,0.493298,0.101553,0.211556,-0.00285216,0.475284,0.314631,-0.42101,0.444975,-0.258821,0.119429,-0.596669,-0.320324,-0.231381,-0.353705,-0.00105509,-0.141512,0.264035,0.0977261,-0.0372231,0.493298,0.101553,-0.157933,-276.883
-277.142,0.966209,0.239739,4,15,0,286.651,0.240149,0.221065,0.0797094,0.362929,-0.384177,0.55142,-0.253312,0.0340018,-0.654414,-0.318419,-0.40859,-0.224502,-0.0171754,-0.0443169,0.229507,0.331931,0.0439038,0.348536,-0.069591,0.240149,0.221065,0.0797094,0.362929,-0.384177,0.55142,-0.253312,0.0340018,-0.654414,-0.318419,-0.40859,-0.224502,-0.0171754,-0.0443169,0.229507,0.331931,0.0439038,0.348536,-0.069591,-0.0686533,-276.241
