# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/6jqommu_.json
# init = 2 (Default)
# random
#   seed = 77009
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1rltn68oe/poisson_1-20250829005252_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.236949
# Diagonal elements of inverse mass matrix:
# 0.0211798, 0.0203827, 0.018666, 0.0215377, 0.022113, 0.0204772, 0.0242155, 0.021574, 0.0194642, 0.0184757, 0.0225599, 0.0183755, 0.019348, 0.0190438, 0.0230046, 0.0205207, 0.017972, 0.0188667, 0.0199045
-544.833,0.919883,0.236949,4,15,0,558.682,0.121723,0.0633331,0.126043,0.42663,-0.356384,0.411877,-0.048538,-0.0570247,-0.106795,-0.200683,-0.264537,-0.0624407,0.404325,0.17612,-0.234982,-0.0970119,-0.452169,0.206581,-0.0125935,0.121723,0.0633331,0.126043,0.42663,-0.356384,0.411877,-0.048538,-0.0570247,-0.106795,-0.200683,-0.264537,-0.0624407,0.404325,0.17612,-0.234982,-0.0970119,-0.452169,0.206581,-0.0125935,-0.0434733,-544.257
-549.941,0.739778,0.236949,4,15,0,559.296,0.0297047,0.14248,0.176523,0.141487,-0.194639,0.0040955,0.0477461,0.0923721,0.0690184,0.0577487,-0.0861276,0.185668,0.0835516,0.299927,-0.0781745,-0.0576337,-0.50277,0.223133,-0.191762,0.0297047,0.14248,0.176523,0.141487,-0.194639,0.0040955,0.0477461,0.0923721,0.0690184,0.0577487,-0.0861276,0.185668,0.0835516,0.299927,-0.0781745,-0.0576337,-0.50277,0.223133,-0.191762,-0.442347,-549.633
-556.196,0.982712,0.236949,4,15,0,566.149,0.0427212,0.133536,0.402088,0.0977652,-0.379842,0.613567,-0.388708,-0.0596275,-0.168638,0.012287,-0.128094,-0.128957,-0.0192493,0.458301,0.373204,-0.0188819,-0.57263,0.193191,-0.0290027,0.0427212,0.133536,0.402088,0.0977652,-0.379842,0.613567,-0.388708,-0.0596275,-0.168638,0.012287,-0.128094,-0.128957,-0.0192493,0.458301,0.373204,-0.0188819,-0.57263,0.193191,-0.0290027,-0.43303,-555.374
-549.755,1,0.236949,4,15,0,564.513,0.0146667,-0.0602639,-0.0222478,0.54377,0.0083936,-0.0200593,-0.122432,0.0312089,-0.107766,-0.368279,-0.119162,0.148657,0.20431,-0.154389,-0.142535,-0.0679107,-0.306418,0.295158,0.257625,0.0146667,-0.0602639,-0.0222478,0.54377,0.0083936,-0.0200593,-0.122432,0.0312089,-0.107766,-0.368279,-0.119162,0.148657,0.20431,-0.154389,-0.142535,-0.0679107,-0.306418,0.295158,0.257625,-0.0123266,-549.337
-549.684,0.980466,0.236949,4,15,0,561.923,0.0874311,0.253472,0.451697,-0.0131906,-0.285125,0.534218,-0.24591,-0.095626,-0.33897,-0.0987952,-0.328944,-0.262859,0.0730785,0.317334,0.277814,-0.156057,-0.379117,0.384747,-0.137052,0.0874311,0.253472,0.451697,-0.0131906,-0.285125,0.534218,-0.24591,-0.095626,-0.33897,-0.0987952,-0.328944,-0.262859,0.0730785,0.317334,0.277814,-0.156057,-0.379117,0.384747,-0.137052,-0.038146,-548.918
-550.071,0.898595,0.236949,4,15,0,559.265,0.0402589,-0.109542,-0.0885814,0.629607,-0.110705,0.0966403,-0.186772,0.0387934,-0.232164,-0.255078,0.0440534,0.0511741,0.0468939,-0.107064,-0.0197171,-0.142136,-0.144718,0.184022,0.203856,0.0402589,-0.109542,-0.0885814,0.629607,-0.110705,0.0966403,-0.186772,0.0387934,-0.232164,-0.255078,0.0440534,0.0511741,0.0468939,-0.107064,-0.0197171,-0.142136,-0.144718,0.184022,0.203856,0.0611775,-549.706
