# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/xvy_8dhx.json
# init = 2 (Default)
# random
#   seed = 6670
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1hnpm73vg/poisson_1-20250829005246_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.24113
# Diagonal elements of inverse mass matrix:
# 0.0135391, 0.0109943, 0.011461, 0.00989296, 0.00938286, 0.0107725, 0.0126739, 0.0135548, 0.010467, 0.0111138, 0.0118088, 0.0113776, 0.0119987, 0.0118734, 0.0107892, 0.00836564, 0.0106788, 0.0113965, 0.0106527
-1049.28,0.893082,0.24113,4,15,0,1056.58,0.177534,-0.0168654,-0.00965838,0.436904,-0.127255,0.328358,-0.0560661,-0.0372005,-0.0891295,-0.107088,0.261239,-0.0710794,0.093312,0.225132,-0.244084,-0.294601,-0.425288,0.254444,-0.102369,0.177534,-0.0168654,-0.00965838,0.436904,-0.127255,0.328358,-0.0560661,-0.0372005,-0.0891295,-0.107088,0.261239,-0.0710794,0.093312,0.225132,-0.244084,-0.294601,-0.425288,0.254444,-0.102369,-0.19624,-1048.83
-1053.35,0.981609,0.24113,4,15,0,1057.85,0.325009,-0.120793,0.0110489,0.248554,0.0587012,0.369381,-0.112479,-0.222654,-0.298711,0.0378759,0.164315,-0.181896,-0.00977702,0.176578,-0.0490609,-0.157557,-0.202335,0.346559,-0.264574,0.325009,-0.120793,0.0110489,0.248554,0.0587012,0.369381,-0.112479,-0.222654,-0.298711,0.0378759,0.164315,-0.181896,-0.00977702,0.176578,-0.0490609,-0.157557,-0.202335,0.346559,-0.264574,-0.118184,-1052.94
-1057.61,0.853504,0.24113,4,15,0,1065.35,0.0258815,0.0969964,-0.00528624,0.236337,-0.253599,0.170449,-0.0338499,-0.0046239,-0.19873,0.0543541,0.169827,-0.122413,0.234431,-0.0150142,-0.0213486,-0.152902,-0.281186,0.0707912,0.0172563,0.0258815,0.0969964,-0.00528624,0.236337,-0.253599,0.170449,-0.0338499,-0.0046239,-0.19873,0.0543541,0.169827,-0.122413,0.234431,-0.0150142,-0.0213486,-0.152902,-0.281186,0.0707912,0.0172563,0.012629,-1057.41
-1051.76,0.99768,0.24113,4,15,0,1063.46,0.00944821,-0.0714528,0.1434,0.41881,-0.0183443,0.162733,-0.0199614,0.0432883,-0.243573,-0.0307907,0.0371284,-0.0421394,0.0905323,0.121406,-0.0823212,-0.21135,-0.275394,0.13883,-0.199425,0.00944821,-0.0714528,0.1434,0.41881,-0.0183443,0.162733,-0.0199614,0.0432883,-0.243573,-0.0307907,0.0371284,-0.0421394,0.0905323,0.121406,-0.0823212,-0.21135,-0.275394,0.13883,-0.199425,0.0291755,-1051.51
-1050.72,0.996069,0.24113,4,15,0,1060.65,0.3697,0.0800176,-0.0940466,0.281146,-0.256453,0.340336,-0.118092,-0.103217,-0.142925,-0.185614,0.130913,-0.0361795,0.109977,0.236287,-0.140182,-0.224132,-0.312909,0.246754,-0.199301,0.3697,0.0800176,-0.0940466,0.281146,-0.256453,0.340336,-0.118092,-0.103217,-0.142925,-0.185614,0.130913,-0.0361795,0.109977,0.236287,-0.140182,-0.224132,-0.312909,0.246754,-0.199301,0.0179213,-1050.3
-1054.67,0.97337,0.24113,4,15,0,1060.01,0.118183,-0.16587,0.143965,0.290206,-0.188218,0.349662,-0.0910371,-0.0137296,-0.27658,-0.0726137,0.246089,-0.0978387,0.306476,0.239547,-0.251817,-0.0160971,-0.411958,0.279473,-0.201751,0.118183,-0.16587,0.143965,0.290206,-0.188218,0.349662,-0.0910371,-0.0137296,-0.27658,-0.0726137,0.246089,-0.0978387,0.306476,0.239547,-0.251817,-0.0160971,-0.411958,0.279473,-0.201751,-0.186088,-1054.18
