# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/l69196bs.json
# init = 2 (Default)
# random
#   seed = 75643
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1tgz4m2mg/poisson_1-20250829005248_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.19813
# Diagonal elements of inverse mass matrix:
# 0.0788423, 0.0673105, 0.0832292, 0.0923936, 0.0701748, 0.0932383, 0.0751807, 0.0910825, 0.0721149, 0.0816941, 0.0830621, 0.0702803, 0.0982411, 0.0810466, 0.0735523, 0.0679287, 0.0941937, 0.0840713, 0.0735734
-132.325,0.974899,0.19813,4,31,0,143.525,0.0207169,0.185958,-0.173035,0.621296,-0.580184,-0.242153,0.170962,0.479034,-0.565843,-0.0637928,0.274442,0.49811,-0.253926,0.208015,0.249303,-1.05127,-0.218488,0.0471089,0.262099,0.0207169,0.185958,-0.173035,0.621296,-0.580184,-0.242153,0.170962,0.479034,-0.565843,-0.0637928,0.274442,0.49811,-0.253926,0.208015,0.249303,-1.05127,-0.218488,0.0471089,0.262099,0.131645,-130.752
-138.872,0.854883,0.19813,4,31,0,146.225,0.763841,0.256036,-0.15731,0.0764908,-0.872155,-0.268195,0.317306,-0.156196,0.0193029,0.154559,-0.191687,0.360123,-0.308522,0.172603,0.107049,-0.537695,-0.607728,-0.0392568,0.76425,0.763841,0.256036,-0.15731,0.0764908,-0.872155,-0.268195,0.317306,-0.156196,0.0193029,0.154559,-0.191687,0.360123,-0.308522,0.172603,0.107049,-0.537695,-0.607728,-0.0392568,0.76425,0.147185,-137.268
-138.799,0.997182,0.19813,5,31,0,147.269,-0.645403,-0.206674,-0.0211822,0.301714,-0.644959,0.034434,-0.482431,0.853324,-0.302788,-0.0590887,0.587752,0.461364,0.252568,0.411682,0.413059,-1.07848,-0.430013,0.0427066,0.462656,-0.645403,-0.206674,-0.0211822,0.301714,-0.644959,0.034434,-0.482431,0.853324,-0.302788,-0.0590887,0.587752,0.461364,0.252568,0.411682,0.413059,-1.07848,-0.430013,0.0427066,0.462656,0.0497627,-136.524
-135.652,0.807982,0.19813,4,15,0,145.839,0.478319,0.0863784,0.0713276,0.436074,-0.640573,-0.0303732,0.111193,-0.401466,-0.186662,-0.061767,-0.238329,0.289983,0.109285,0.283179,-0.0475036,-0.77993,-0.17058,0.575542,0.421332,0.478319,0.0863784,0.0713276,0.436074,-0.640573,-0.0303732,0.111193,-0.401466,-0.186662,-0.061767,-0.238329,0.289983,0.109285,0.283179,-0.0475036,-0.77993,-0.17058,0.575542,0.421332,-0.305429,-134.434
-135.449,0.882169,0.19813,4,31,0,142.88,0.00677042,0.00770597,0.316243,0.0451329,-0.33356,0.0702855,-0.0281293,0.298762,-0.676916,-0.259237,0.542621,0.617421,0.351618,0.0150823,-0.05858,-0.923452,-0.161309,-0.172453,0.765031,0.00677042,0.00770597,0.316243,0.0451329,-0.33356,0.0702855,-0.0281293,0.298762,-0.676916,-0.259237,0.542621,0.617421,0.351618,0.0150823,-0.05858,-0.923452,-0.161309,-0.172453,0.765031,-0.423038,-133.884
-138.154,0.671042,0.19813,4,15,0,152.381,0.411066,-0.0313238,0.462791,1.0321,-0.65003,-0.0528599,-0.363988,-0.232568,-0.403429,-0.337837,-0.325735,0.514526,0.0669288,0.828716,0.071085,-0.768662,-0.348813,0.296151,0.239278,0.411066,-0.0313238,0.462791,1.0321,-0.65003,-0.0528599,-0.363988,-0.232568,-0.403429,-0.337837,-0.325735,0.514526,0.0669288,0.828716,0.071085,-0.768662,-0.348813,0.296151,0.239278,-0.407401,-136.022
-135.613,1,0.19813,4,15,0,145.266,0.407448,-0.0286902,0.143865,0.850381,-0.458585,0.0766999,-0.348508,-0.136238,-0.744766,-0.469244,0.133645,0.385976,-0.147944,0.693512,-0.0979022,-0.509619,-0.340144,0.174134,0.0680773,0.407448,-0.0286902,0.143865,0.850381,-0.458585,0.0766999,-0.348508,-0.136238,-0.744766,-0.469244,0.133645,0.385976,-0.147944,0.693512,-0.0979022,-0.509619,-0.340144,0.174134,0.0680773,0.347903,-134.047
-143.621,0.881855,0.19813,4,15,0,152.055,0.588402,-0.137733,0.681813,0.4561,-0.0910631,0.0416184,-0.318067,-0.0849733,-1.34079,-0.0996109,-0.209276,0.859932,-0.0206855,0.430574,-0.536302,-1.05228,-0.00150019,0.45297,0.260091,0.588402,-0.137733,0.681813,0.4561,-0.0910631,0.0416184,-0.318067,-0.0849733,-1.34079,-0.0996109,-0.209276,0.859932,-0.0206855,0.430574,-0.536302,-1.05228,-0.00150019,0.45297,0.260091,0.120782,-140.821
-144.348,1,0.19813,4,15,0,154.76,0.578949,-0.014802,0.976207,0.592968,0.150459,-0.189444,-0.0972653,-0.447622,-1.20254,-0.287546,-0.354303,0.674791,0.138928,0.365189,-0.366206,-1.08327,-0.024188,0.493963,0.307491,0.578949,-0.014802,0.976207,0.592968,0.150459,-0.189444,-0.0972653,-0.447622,-1.20254,-0.287546,-0.354303,0.674791,0.138928,0.365189,-0.366206,-1.08327,-0.024188,0.493963,0.307491,-0.211756,-141.44
-144.309,0.968507,0.19813,4,15,0,161.194,0.894582,-2.60335e-05,0.704735,0.896326,-0.0927587,-0.640192,-0.154972,-0.418624,-0.839035,-0.554103,0.0953406,0.229148,0.332656,0.29387,-0.251683,-1.15409,-0.31004,0.0486694,0.716379,0.894582,-2.60335e-05,0.704735,0.896326,-0.0927587,-0.640192,-0.154972,-0.418624,-0.839035,-0.554103,0.0953406,0.229148,0.332656,0.29387,-0.251683,-1.15409,-0.31004,0.0486694,0.716379,0.203819,-141.312
-143.469,0.983208,0.19813,4,15,0,151.985,-0.212219,0.142637,-0.208584,0.485267,-0.958871,0.732229,-0.653814,0.448841,-0.478396,-0.0808222,-0.0272932,0.292022,0.255723,0.224221,0.264237,-0.638144,0.416124,0.384207,-0.176785,-0.212219,0.142637,-0.208584,0.485267,-0.958871,0.732229,-0.653814,0.448841,-0.478396,-0.0808222,-0.0272932,0.292022,0.255723,0.224221,0.264237,-0.638144,0.416124,0.384207,-0.176785,-0.210579,-141.621
-133.495,0.990404,0.19813,4,15,0,150.062,0.211461,-0.115323,-0.0980127,0.499142,-0.672744,0.476359,-0.302376,0.329573,-0.51365,-0.0812918,0.0449712,0.215174,0.676268,0.0965501,0.140332,-0.851762,-0.208399,0.252924,-0.0979053,0.211461,-0.115323,-0.0980127,0.499142,-0.672744,0.476359,-0.302376,0.329573,-0.51365,-0.0812918,0.0449712,0.215174,0.676268,0.0965501,0.140332,-0.851762,-0.208399,0.252924,-0.0979053,-0.00129129,-132.073
