# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:52:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/nt4am4kp.json
# init = 2 (Default)
# random
#   seed = 78537
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2oy6hyrn0/poisson_2-20250829005258_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.221399
# Diagonal elements of inverse mass matrix:
# 0.0183453, 0.0219087, 0.0207224, 0.0216219, 0.0245539, 0.0202305, 0.0243767, 0.0230768, 0.0234832, 0.0248266, 0.021767, 0.0220709, 0.027568, 0.0234483, 0.0228649, 0.0224115, 0.0259395, 0.0212983, 0.0210619, 0.00526595
-407.589,0.887039,0.221399,4,15,0,416.98,-0.0580974,0.380464,-0.0442626,-0.14127,0.20036,-0.338782,0.453751,-0.27425,0.286223,0.135289,0.4073,-0.0396796,-0.29342,-0.495752,-0.200919,0.430854,0.0153206,-0.0790192,0.169605,0.235761,-0.0580974,0.380464,-0.0442626,-0.14127,0.20036,-0.338782,0.453751,-0.27425,0.286223,0.135289,0.4073,-0.0396796,-0.29342,-0.495752,-0.200919,0.430854,0.0153206,-0.0790192,0.169605,-0.513714,-406.828
-400.228,1,0.221399,4,15,0,411.668,-0.107692,0.320573,0.0510781,-0.49533,0.0399304,-0.47339,0.427207,-0.0110677,0.427232,-0.031137,0.29004,-0.17442,-0.255627,-0.226595,-0.3649,0.129258,-0.0325568,0.364787,0.0522872,0.375713,-0.107692,0.320573,0.0510781,-0.49533,0.0399304,-0.47339,0.427207,-0.0110677,0.427232,-0.031137,0.29004,-0.17442,-0.255627,-0.226595,-0.3649,0.129258,-0.0325568,0.364787,0.0522872,0.0703246,-399.421
-403.639,0.981459,0.221399,4,15,0,413.753,0.00186857,0.359816,0.0336926,-0.554528,0.0887607,-0.435666,0.474994,-0.210638,0.279842,0.0328398,0.384274,-0.0886823,-0.0840944,-0.266304,-0.0603489,0.0437864,-0.0820181,0.524694,0.0290183,0.392156,0.00186857,0.359816,0.0336926,-0.554528,0.0887607,-0.435666,0.474994,-0.210638,0.279842,0.0328398,0.384274,-0.0886823,-0.0840944,-0.266304,-0.0603489,0.0437864,-0.0820181,0.524694,0.0290183,-0.471307,-402.808
-405.681,0.891853,0.221399,4,15,0,417.243,-0.122256,0.369977,0.171805,-0.693634,0.100096,-0.54351,0.465554,-0.277448,0.321869,0.0143471,0.36107,-0.20965,-0.223895,-0.271745,-0.140354,0.0536507,-0.0378735,0.52695,-0.00148104,0.357645,-0.122256,0.369977,0.171805,-0.693634,0.100096,-0.54351,0.465554,-0.277448,0.321869,0.0143471,0.36107,-0.20965,-0.223895,-0.271745,-0.140354,0.0536507,-0.0378735,0.52695,-0.00148104,0.136527,-404.635
-402.558,0.781843,0.221399,4,31,0,414.851,-0.0106155,0.132009,0.073311,-0.0520178,0.0300626,-0.427109,0.272662,0.0817769,0.3669,-0.0599553,0.314322,-0.168979,-0.165033,-0.237544,-0.367459,0.0984504,0.191763,0.01081,0.327947,0.252058,-0.0106155,0.132009,0.073311,-0.0520178,0.0300626,-0.427109,0.272662,0.0817769,0.3669,-0.0599553,0.314322,-0.168979,-0.165033,-0.237544,-0.367459,0.0984504,0.191763,0.01081,0.327947,-0.411301,-402.062
-403.696,0.939692,0.221399,4,15,0,410.411,-0.0208838,0.446181,0.0278173,-0.599794,0.188305,-0.379731,0.516307,-0.203928,0.154579,0.018429,0.306016,-0.430733,-0.159489,-0.286326,-0.131637,0.290281,0.00157729,0.463484,-0.0697768,0.344596,-0.0208838,0.446181,0.0278173,-0.599794,0.188305,-0.379731,0.516307,-0.203928,0.154579,0.018429,0.306016,-0.430733,-0.159489,-0.286326,-0.131637,0.290281,0.00157729,0.463484,-0.0697768,-0.130677,-402.747
