# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:52:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/lwazap8y.json
# init = 2 (Default)
# random
#   seed = 55412
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2o5t0sbjc/poisson_2-20250829005259_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.230636
# Diagonal elements of inverse mass matrix:
# 0.0187705, 0.0186178, 0.0174666, 0.0162706, 0.019036, 0.0173867, 0.0176122, 0.0227841, 0.0186513, 0.0205998, 0.0166435, 0.0165511, 0.0174767, 0.0175935, 0.0193725, 0.0177103, 0.0187303, 0.0217454, 0.0164629, 0.00326238
-534.919,0.939349,0.230636,4,15,0,543.048,0.207564,0.174078,-0.121987,-0.259979,0.0263529,-0.394168,0.103733,-0.000622897,0.150085,0.0496994,0.676101,-0.158281,-0.375748,-0.178921,-0.303806,0.0270576,0.0556921,0.133104,0.251623,0.337441,0.207564,0.174078,-0.121987,-0.259979,0.0263529,-0.394168,0.103733,-0.000622897,0.150085,0.0496994,0.676101,-0.158281,-0.375748,-0.178921,-0.303806,0.0270576,0.0556921,0.133104,0.251623,-0.0615771,-534.272
-534.103,0.997105,0.230636,4,15,0,541.492,0.185616,0.115686,0.046505,-0.106717,0.0780898,-0.395166,0.533056,-0.213651,0.0908689,-0.0937904,0.37077,-0.234802,-0.262401,-0.285701,-0.273081,0.091218,0.184852,0.167627,0.251981,0.296543,0.185616,0.115686,0.046505,-0.106717,0.0780898,-0.395166,0.533056,-0.213651,0.0908689,-0.0937904,0.37077,-0.234802,-0.262401,-0.285701,-0.273081,0.091218,0.184852,0.167627,0.251981,-0.250961,-533.498
-539.164,0.927636,0.230636,4,15,0,545.253,0.24691,0.0197679,-0.00796498,-0.596508,-0.175253,-0.222303,0.230541,0.21773,0.248983,0.232824,0.508485,-0.0882141,-0.181802,-0.235641,-0.218316,0.210534,0.0199119,0.0500583,-0.010259,0.300115,0.24691,0.0197679,-0.00796498,-0.596508,-0.175253,-0.222303,0.230541,0.21773,0.248983,0.232824,0.508485,-0.0882141,-0.181802,-0.235641,-0.218316,0.210534,0.0199119,0.0500583,-0.010259,-0.249484,-538.537
-539.331,0.99833,0.230636,4,15,0,546.521,0.208887,0.183489,-0.0120573,-0.335608,0.196832,-0.423006,0.409277,-0.259585,0.189473,-0.16009,0.604041,-0.537991,-0.343016,-0.349278,-0.347684,0.154942,0.131418,0.404154,0.357194,0.16709,0.208887,0.183489,-0.0120573,-0.335608,0.196832,-0.423006,0.409277,-0.259585,0.189473,-0.16009,0.604041,-0.537991,-0.343016,-0.349278,-0.347684,0.154942,0.131418,0.404154,0.357194,-0.0713921,-538.292
-537.879,0.992047,0.230636,4,15,0,550.842,0.227693,0.155568,-0.0360449,-0.331585,-0.208818,-0.223045,0.255467,0.0863697,0.166429,0.0688501,0.362505,0.0862237,-0.122056,-0.152899,-0.271317,0.151594,0.0818738,-0.0421161,-0.0820179,0.370873,0.227693,0.155568,-0.0360449,-0.331585,-0.208818,-0.223045,0.255467,0.0863697,0.166429,0.0688501,0.362505,0.0862237,-0.122056,-0.152899,-0.271317,0.151594,0.0818738,-0.0421161,-0.0820179,-0.172675,-537.473
-540.736,0.717819,0.230636,4,15,0,550.096,0.295114,0.206802,0.0101057,-0.444773,-0.0388937,-0.132875,0.396009,0.115729,0.0812592,-0.0843516,0.383881,-0.0944606,0.0681931,-0.423047,-0.399066,-0.00836993,0.251713,0.107403,0.0975544,0.398737,0.295114,0.206802,0.0101057,-0.444773,-0.0388937,-0.132875,0.396009,0.115729,0.0812592,-0.0843516,0.383881,-0.0944606,0.0681931,-0.423047,-0.399066,-0.00836993,0.251713,0.107403,0.0975544,-0.387926,-540.099
-538.634,0.949962,0.230636,4,15,0,552.648,0.194928,0.321738,-0.143622,-0.363622,-0.10243,-0.330725,0.345534,0.0573817,0.183694,0.0813826,0.663825,-0.06723,0.0378153,-0.285153,-0.493756,0.0401816,-0.0850367,0.0587399,0.116181,0.374926,0.194928,0.321738,-0.143622,-0.363622,-0.10243,-0.330725,0.345534,0.0573817,0.183694,0.0813826,0.663825,-0.06723,0.0378153,-0.285153,-0.493756,0.0401816,-0.0850367,0.0587399,0.116181,-0.229824,-537.876
-538.42,0.951736,0.230636,4,15,0,546.955,0.141091,0.332855,-0.0995258,-0.403604,-0.00779779,-0.33574,0.22779,-0.0314041,0.117183,-0.0869334,0.664655,0.114208,-0.0368315,-0.239101,-0.459545,0.0357182,0.191593,-0.0349582,0.168918,0.302514,0.141091,0.332855,-0.0995258,-0.403604,-0.00779779,-0.33574,0.22779,-0.0314041,0.117183,-0.0869334,0.664655,0.114208,-0.0368315,-0.239101,-0.459545,0.0357182,0.191593,-0.0349582,0.168918,-0.258571,-537.733
-539.152,0.892356,0.230636,4,15,0,549.601,0.197465,-0.111448,0.164941,-0.299015,0.16244,-0.320541,0.361052,-0.0563481,0.0849059,0.0497243,0.22968,-0.486759,-0.284811,-0.27834,-0.2437,0.0955498,0.149651,0.321255,0.209628,0.349859,0.197465,-0.111448,0.164941,-0.299015,0.16244,-0.320541,0.361052,-0.0563481,0.0849059,0.0497243,0.22968,-0.486759,-0.284811,-0.27834,-0.2437,0.0955498,0.149651,0.321255,0.209628,0.0546677,-538.528
-538.896,0.999388,0.230636,4,15,0,547.195,0.278456,0.432737,-0.223303,-0.410152,-0.212281,-0.347455,0.296188,-0.1226,0.238962,-0.0903309,0.735974,0.0499596,-0.178797,-0.211965,-0.353463,0.196988,0.0454997,0.0315412,0.0332723,0.194777,0.278456,0.432737,-0.223303,-0.410152,-0.212281,-0.347455,0.296188,-0.1226,0.238962,-0.0903309,0.735974,0.0499596,-0.178797,-0.211965,-0.353463,0.196988,0.0454997,0.0315412,0.0332723,-0.18923,-538.075
-543.421,0.931766,0.230636,4,15,0,550.357,0.239319,0.564926,-0.00831013,-0.484134,-0.174146,-0.285699,0.311077,-0.0993192,0.37477,-0.017072,0.733761,-0.175942,-0.249808,-0.454837,-0.503475,0.204882,-0.156378,0.0293129,0.193589,0.1693,0.239319,0.564926,-0.00831013,-0.484134,-0.174146,-0.285699,0.311077,-0.0993192,0.37477,-0.017072,0.733761,-0.175942,-0.249808,-0.454837,-0.503475,0.204882,-0.156378,0.0293129,0.193589,-0.0425154,-542.323
-542.026,0.867066,0.230636,4,15,0,553.139,0.2129,-0.238465,-0.0570476,-0.219304,0.114199,-0.345556,0.374623,-0.0229517,0.00129911,-0.0223195,0.23401,-0.24508,-0.20532,-0.0542939,-0.071208,0.122616,0.34275,0.330352,0.110661,0.33753,0.2129,-0.238465,-0.0570476,-0.219304,0.114199,-0.345556,0.374623,-0.0229517,0.00129911,-0.0223195,0.23401,-0.24508,-0.20532,-0.0542939,-0.071208,0.122616,0.34275,0.330352,0.110661,-0.361866,-541.546
-542.913,0.881884,0.230636,4,15,0,552.191,0.156274,-0.331194,-0.00414342,-0.21829,0.17629,-0.293047,0.317151,-0.0782295,0.0781449,0.0472465,0.242102,-0.220892,-0.190588,-0.167532,-0.0989141,0.128753,0.352233,0.293997,0.0601396,0.372495,0.156274,-0.331194,-0.00414342,-0.21829,0.17629,-0.293047,0.317151,-0.0782295,0.0781449,0.0472465,0.242102,-0.220892,-0.190588,-0.167532,-0.0989141,0.128753,0.352233,0.293997,0.0601396,-0.2495,-542.431
-539.662,0.890214,0.230636,4,15,0,554.921,0.306172,0.338694,0.103325,-0.549628,-0.0414511,-0.412275,0.205861,-0.0611342,0.213206,-0.0957081,0.332566,-0.47038,-0.0389412,-0.0861468,-0.173866,0.142342,-0.0060221,0.277248,-0.0191493,0.356892,0.306172,0.338694,0.103325,-0.549628,-0.0414511,-0.412275,0.205861,-0.0611342,0.213206,-0.0957081,0.332566,-0.47038,-0.0389412,-0.0861468,-0.173866,0.142342,-0.0060221,0.277248,-0.0191493,0.0352871,-538.967
-534.979,0.996183,0.230636,4,15,0,546.29,0.45313,0.152425,-0.091946,-0.196863,-0.175534,-0.319326,0.341516,-0.142414,0.210162,-0.0550237,0.562849,-0.132618,-0.0376512,-0.31084,-0.411454,0.0770941,0.187887,-0.00956713,0.125769,0.307349,0.45313,0.152425,-0.091946,-0.196863,-0.175534,-0.319326,0.341516,-0.142414,0.210162,-0.0550237,0.562849,-0.132618,-0.0376512,-0.31084,-0.411454,0.0770941,0.187887,-0.00956713,0.125769,-0.227596,-534.306
-534.002,0.988603,0.230636,4,15,0,540.181,0.188726,0.130948,0.049734,-0.278651,0.116767,-0.27164,0.354756,0.0909719,0.0452118,0.0331498,0.41935,-0.274103,-0.369175,-0.365826,-0.345978,0.133819,0.318896,0.240253,-0.00876849,0.245668,0.188726,0.130948,0.049734,-0.278651,0.116767,-0.27164,0.354756,0.0909719,0.0452118,0.0331498,0.41935,-0.274103,-0.369175,-0.365826,-0.345978,0.133819,0.318896,0.240253,-0.00876849,-0.208441,-533.384
-534.328,0.989132,0.230636,4,15,0,540.597,0.166685,0.279215,-0.0671272,-0.280444,0.161956,-0.26054,0.477309,-0.173173,0.258227,-0.206793,0.34576,-0.323764,-0.24493,-0.250314,-0.334198,0.286824,-0.0475391,0.251221,0.090827,0.253913,0.166685,0.279215,-0.0671272,-0.280444,0.161956,-0.26054,0.477309,-0.173173,0.258227,-0.206793,0.34576,-0.323764,-0.24493,-0.250314,-0.334198,0.286824,-0.0475391,0.251221,0.090827,-0.1292,-533.664
-534.788,0.91749,0.230636,4,15,0,545.099,0.241931,0.351959,-0.0618883,-0.312474,0.231032,-0.335569,0.420199,-0.0235645,0.274364,-0.141728,0.429865,-0.300529,-0.321527,-0.271871,-0.26229,0.229971,-0.107513,0.218875,0.0298829,0.283207,0.241931,0.351959,-0.0618883,-0.312474,0.231032,-0.335569,0.420199,-0.0235645,0.274364,-0.141728,0.429865,-0.300529,-0.321527,-0.271871,-0.26229,0.229971,-0.107513,0.218875,0.0298829,-0.289126,-534.07
-539.858,0.972644,0.230636,4,15,0,545.649,0.186626,0.280637,-0.0918539,-0.394212,-0.000458478,-0.0332242,0.308963,-0.252935,-0.187726,-0.0940098,0.361336,-0.0822683,-0.31157,-0.162667,-0.377027,0.241578,0.361741,0.307836,0.119138,0.240797,0.186626,0.280637,-0.0918539,-0.394212,-0.000458478,-0.0332242,0.308963,-0.252935,-0.187726,-0.0940098,0.361336,-0.0822683,-0.31157,-0.162667,-0.377027,0.241578,0.361741,0.307836,0.119138,-0.179902,-539.238
-537.897,0.846656,0.230636,4,15,0,550.643,0.405277,0.194679,-0.292104,-0.225145,0.0788597,-0.275922,0.382152,0.0650189,0.192282,-0.265294,0.448797,-0.0969229,-0.277337,-0.301539,-0.0795954,-0.0461647,0.0283694,0.0585875,0.171194,0.284038,0.405277,0.194679,-0.292104,-0.225145,0.0788597,-0.275922,0.382152,0.0650189,0.192282,-0.265294,0.448797,-0.0969229,-0.277337,-0.301539,-0.0795954,-0.0461647,0.0283694,0.0585875,0.171194,-0.165192,-537.308
-536.483,0.976482,0.230636,4,15,0,549.339,0.105547,0.098355,0.256856,-0.425062,-0.116273,-0.348596,0.264929,-0.165403,0.134624,0.186737,0.47072,-0.325994,-0.154093,-0.172635,-0.484762,0.301288,0.147138,0.350826,0.0841649,0.276771,0.105547,0.098355,0.256856,-0.425062,-0.116273,-0.348596,0.264929,-0.165403,0.134624,0.186737,0.47072,-0.325994,-0.154093,-0.172635,-0.484762,0.301288,0.147138,0.350826,0.0841649,-0.208369,-535.738
-536.465,0.972651,0.230636,4,15,0,545.632,0.202103,0.194065,0.00467633,-0.329239,0.0387498,-0.518498,0.438135,-0.0682699,0.157339,0.00248778,0.58765,-0.349863,-0.197253,0.0559329,-0.463095,0.0159334,0.258324,0.159827,-0.0602766,0.225908,0.202103,0.194065,0.00467633,-0.329239,0.0387498,-0.518498,0.438135,-0.0682699,0.157339,0.00248778,0.58765,-0.349863,-0.197253,0.0559329,-0.463095,0.0159334,0.258324,0.159827,-0.0602766,-0.128727,-535.69
-539.148,0.980106,0.230636,4,15,0,546.181,0.304325,0.307649,0.308538,-0.549732,-0.150914,-0.477059,0.393675,-0.0992866,0.145952,-0.0659922,0.37868,-0.255056,-0.30065,-0.0275371,-0.415386,0.0298965,0.176651,0.384313,0.0160282,0.29171,0.304325,0.307649,0.308538,-0.549732,-0.150914,-0.477059,0.393675,-0.0992866,0.145952,-0.0659922,0.37868,-0.255056,-0.30065,-0.0275371,-0.415386,0.0298965,0.176651,0.384313,0.0160282,-0.104095,-538.266
-535.825,0.988808,0.230636,4,15,0,547.797,0.235954,0.318494,0.0179945,-0.307714,-0.0518624,-0.18219,0.0970376,-0.0775451,0.354784,-0.0789622,0.602609,-0.187679,-0.221827,-0.447586,-0.233274,0.254408,-0.0667523,0.144465,0.06584,0.232301,0.235954,0.318494,0.0179945,-0.307714,-0.0518624,-0.18219,0.0970376,-0.0775451,0.354784,-0.0789622,0.602609,-0.187679,-0.221827,-0.447586,-0.233274,0.254408,-0.0667523,0.144465,0.06584,-0.236195,-535.182
-535.34,0.865724,0.230636,4,15,0,542.695,0.337395,0.13019,-0.0314497,-0.491682,0.0441115,-0.471394,0.349644,-0.180687,-0.0717465,0.041758,0.588776,-0.232591,-0.27565,-0.143022,-0.180087,-0.00260407,0.138896,0.267498,0.283275,0.263151,0.337395,0.13019,-0.0314497,-0.491682,0.0441115,-0.471394,0.349644,-0.180687,-0.0717465,0.041758,0.588776,-0.232591,-0.27565,-0.143022,-0.180087,-0.00260407,0.138896,0.267498,0.283275,-0.100629,-534.575
-535.054,0.995655,0.230636,4,15,0,542.508,0.133619,0.222099,-0.0266863,-0.224979,-0.0600329,-0.165655,0.278673,-0.00682062,0.432194,-0.0908795,0.371679,-0.256758,-0.205695,-0.329606,-0.435181,0.322003,0.0870955,0.122254,-0.00989527,0.252738,0.133619,0.222099,-0.0266863,-0.224979,-0.0600329,-0.165655,0.278673,-0.00682062,0.432194,-0.0908795,0.371679,-0.256758,-0.205695,-0.329606,-0.435181,0.322003,0.0870955,0.122254,-0.00989527,-0.157428,-534.476
-542.9,0.843115,0.230636,4,15,0,551.188,0.256488,0.131321,0.0223717,-0.229772,0.241608,-0.389228,0.553388,-0.0734154,-0.0843382,-0.13821,0.718624,-0.31572,-0.436617,-0.335737,-0.466919,0.0390785,-0.0686338,0.493263,0.228921,0.184863,0.256488,0.131321,0.0223717,-0.229772,0.241608,-0.389228,0.553388,-0.0734154,-0.0843382,-0.13821,0.718624,-0.31572,-0.436617,-0.335737,-0.466919,0.0390785,-0.0686338,0.493263,0.228921,-0.146474,-541.822
-534.91,0.996788,0.230636,4,15,0,548.891,0.490405,0.061281,0.0161558,-0.409096,0.154893,-0.338443,0.264488,-0.0634178,0.259218,0.0666815,0.306151,-0.211906,-0.166777,-0.351606,-0.262312,-0.0351433,0.066561,0.22989,0.123194,0.268337,0.490405,0.061281,0.0161558,-0.409096,0.154893,-0.338443,0.264488,-0.0634178,0.259218,0.0666815,0.306151,-0.211906,-0.166777,-0.351606,-0.262312,-0.0351433,0.066561,0.22989,0.123194,-0.200217,-534.31
-535.389,0.680748,0.230636,4,15,0,543.302,0.237579,0.197476,-0.055101,-0.230424,0.122524,-0.261844,0.17123,0.132,0.219654,-0.245831,0.408968,-0.217621,-0.241053,-0.142447,-0.337489,0.118443,0.154638,0.19098,0.19558,0.298064,0.237579,0.197476,-0.055101,-0.230424,0.122524,-0.261844,0.17123,0.132,0.219654,-0.245831,0.408968,-0.217621,-0.241053,-0.142447,-0.337489,0.118443,0.154638,0.19098,0.19558,-0.417263,-534.889
-535.275,0.938095,0.230636,4,15,0,544.639,0.373365,0.144316,-0.000771371,-0.327184,0.129576,-0.39195,0.432237,-0.189911,0.0819328,0.0116637,0.651127,-0.229519,-0.424877,-0.0110871,-0.331767,0.117815,0.0376531,0.0813183,0.00514822,0.280763,0.373365,0.144316,-0.000771371,-0.327184,0.129576,-0.39195,0.432237,-0.189911,0.0819328,0.0116637,0.651127,-0.229519,-0.424877,-0.0110871,-0.331767,0.117815,0.0376531,0.0813183,0.00514822,-0.159086,-534.508
-537.293,0.924854,0.230636,4,15,0,545.774,0.307266,0.230827,-0.202744,-0.202184,0.0997185,-0.502853,0.526988,-0.180754,0.266094,0.0152309,0.56536,-0.403488,-0.411467,-0.198074,-0.213047,0.135073,0.0494872,0.170522,0.0225157,0.175821,0.307266,0.230827,-0.202744,-0.202184,0.0997185,-0.502853,0.526988,-0.180754,0.266094,0.0152309,0.56536,-0.403488,-0.411467,-0.198074,-0.213047,0.135073,0.0494872,0.170522,0.0225157,-0.0744689,-536.448
-536.983,0.99105,0.230636,4,15,0,545.039,0.274876,0.191446,0.128506,-0.543297,0.135875,-0.375954,0.127387,-0.0140227,0.227937,0.113955,0.319152,-0.0708967,-0.228051,-0.235256,-0.215611,0.288823,0.0322887,0.0155113,-0.0274452,0.273057,0.274876,0.191446,0.128506,-0.543297,0.135875,-0.375954,0.127387,-0.0140227,0.227937,0.113955,0.319152,-0.0708967,-0.228051,-0.235256,-0.215611,0.288823,0.0322887,0.0155113,-0.0274452,-0.145223,-536.44
-543.54,0.700094,0.230636,4,15,0,552.078,0.367803,-0.0014797,-0.316088,-0.307214,0.0152283,-0.710444,0.532839,-0.0488275,0.282734,-0.139673,0.53345,-0.194216,-0.145085,-0.227061,-0.182138,0.229641,0.322792,0.342277,0.102784,0.280168,0.367803,-0.0014797,-0.316088,-0.307214,0.0152283,-0.710444,0.532839,-0.0488275,0.282734,-0.139673,0.53345,-0.194216,-0.145085,-0.227061,-0.182138,0.229641,0.322792,0.342277,0.102784,-0.457323,-542.534
-539.43,1,0.230636,4,15,0,551.505,0.362896,0.0498308,-0.0723407,-0.579846,0.0085549,-0.287921,0.399366,-0.0435588,0.270579,-0.0743729,0.441575,0.0269056,-0.223192,-0.120662,-0.477056,0.0649146,0.202172,0.284755,0.227977,0.170015,0.362896,0.0498308,-0.0723407,-0.579846,0.0085549,-0.287921,0.399366,-0.0435588,0.270579,-0.0743729,0.441575,0.0269056,-0.223192,-0.120662,-0.477056,0.0649146,0.202172,0.284755,0.227977,-0.460576,-538.683
