# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:52:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/lwazap8y.json
# init = 2 (Default)
# random
#   seed = 55412
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2o5t0sbjc/poisson_2-20250829005259_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.251098
# Diagonal elements of inverse mass matrix:
# 0.013971, 0.0171924, 0.0165638, 0.0159497, 0.0164331, 0.0164837, 0.0172618, 0.0151459, 0.0214702, 0.0194267, 0.0148455, 0.0196262, 0.0168563, 0.0171738, 0.015566, 0.0231424, 0.0172551, 0.0160216, 0.0224827, 0.00334316
-539.451,0.968425,0.251098,4,15,0,548.848,0.254125,0.127374,-0.219521,-0.388915,-0.203793,-0.46864,0.375794,0.0342042,0.403489,0.141665,0.56869,0.0653336,-0.224454,-0.213413,-0.58505,0.12862,0.134831,0.075275,0.112365,0.315166,0.254125,0.127374,-0.219521,-0.388915,-0.203793,-0.46864,0.375794,0.0342042,0.403489,0.141665,0.56869,0.0653336,-0.224454,-0.213413,-0.58505,0.12862,0.134831,0.075275,0.112365,-0.117979,-538.559
-537.582,0.963955,0.251098,4,15,0,549.878,0.0515724,0.238554,0.172368,-0.285118,0.0617365,-0.346915,0.373295,-0.0377919,-0.103959,0.0717509,0.346175,-0.304867,-0.192424,-0.372745,-0.31541,0.0284733,0.380743,0.189276,0.225605,0.327641,0.0515724,0.238554,0.172368,-0.285118,0.0617365,-0.346915,0.373295,-0.0377919,-0.103959,0.0717509,0.346175,-0.304867,-0.192424,-0.372745,-0.31541,0.0284733,0.380743,0.189276,0.225605,-0.180318,-536.942
-536.722,0.600371,0.251098,4,15,0,549.845,0.245193,0.185624,-0.216277,-0.321548,-0.133127,-0.285434,0.345612,-0.0367805,0.436859,-0.176919,0.505308,-0.106974,-0.137489,-0.0919629,-0.346044,0.24656,-0.169014,0.213633,0.00773266,0.255864,0.245193,0.185624,-0.216277,-0.321548,-0.133127,-0.285434,0.345612,-0.0367805,0.436859,-0.176919,0.505308,-0.106974,-0.137489,-0.0919629,-0.346044,0.24656,-0.169014,0.213633,0.00773266,-0.164952,-536.071
-534.615,0.995094,0.251098,4,15,0,542.599,0.185306,0.282229,0.0134765,-0.281097,-0.0496882,-0.355691,0.347442,-0.132672,-0.0413009,0.132577,0.657491,-0.264307,-0.312889,-0.259512,-0.295636,0.0104214,0.0597606,0.18052,0.312598,0.224822,0.185306,0.282229,0.0134765,-0.281097,-0.0496882,-0.355691,0.347442,-0.132672,-0.0413009,0.132577,0.657491,-0.264307,-0.312889,-0.259512,-0.295636,0.0104214,0.0597606,0.18052,0.312598,-0.189028,-533.905
-532.775,0.994554,0.251098,4,15,0,538.853,0.260831,0.385275,-0.136544,-0.279617,-0.186255,-0.31246,0.401856,-0.205963,0.310003,-0.00433323,0.486926,-0.198535,-0.287659,-0.251338,-0.319087,0.208294,0.0716735,0.137685,0.0971587,0.267667,0.260831,0.385275,-0.136544,-0.279617,-0.186255,-0.31246,0.401856,-0.205963,0.310003,-0.00433323,0.486926,-0.198535,-0.287659,-0.251338,-0.319087,0.208294,0.0716735,0.137685,0.0971587,-0.177912,-532.066
-535.822,0.949848,0.251098,4,15,0,541.044,0.378678,0.321659,-0.00497919,-0.174481,-0.122165,-0.309545,0.429145,-0.262492,0.331696,-0.0774164,0.486059,-0.16345,-0.288204,-0.312332,-0.342297,0.22088,0.103555,0.0304026,-0.0954384,0.206941,0.378678,0.321659,-0.00497919,-0.174481,-0.122165,-0.309545,0.429145,-0.262492,0.331696,-0.0774164,0.486059,-0.16345,-0.288204,-0.312332,-0.342297,0.22088,0.103555,0.0304026,-0.0954384,-0.149277,-535.106
-536.992,0.951817,0.251098,4,15,0,543.367,0.13065,0.170596,-0.0979655,-0.405248,-0.0422445,-0.302394,0.30709,0.0751442,0.0023056,0.172214,0.402438,-0.368519,-0.208095,-0.00160723,-0.381216,0.040581,0.231157,0.120082,0.37465,0.278882,0.13065,0.170596,-0.0979655,-0.405248,-0.0422445,-0.302394,0.30709,0.0751442,0.0023056,0.172214,0.402438,-0.368519,-0.208095,-0.00160723,-0.381216,0.040581,0.231157,0.120082,0.37465,-0.219618,-536.384
-539.761,0.994264,0.251098,4,15,0,544.725,0.262622,0.133718,0.110372,-0.207856,-0.18663,-0.237495,0.382568,-0.292841,0.286869,-0.174364,0.541953,-0.0317087,-0.0966933,-0.421269,-0.121332,0.228865,-0.0648359,0.275526,-0.176152,0.306116,0.262622,0.133718,0.110372,-0.207856,-0.18663,-0.237495,0.382568,-0.292841,0.286869,-0.174364,0.541953,-0.0317087,-0.0966933,-0.421269,-0.121332,0.228865,-0.0648359,0.275526,-0.176152,-0.211315,-539.095
-538.9,0.918307,0.251098,4,15,0,548.988,0.390072,0.206067,-0.00757463,-0.415489,-0.154163,-0.0366209,0.486659,-0.189842,0.244679,-0.00949849,0.22598,-0.232177,-0.160601,-0.452811,-0.160312,0.193002,0.0351623,0.241867,-0.101853,0.277101,0.390072,0.206067,-0.00757463,-0.415489,-0.154163,-0.0366209,0.486659,-0.189842,0.244679,-0.00949849,0.22598,-0.232177,-0.160601,-0.452811,-0.160312,0.193002,0.0351623,0.241867,-0.101853,-0.102547,-538.264
