# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:52:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/hk1wq5__.json
# init = 2 (Default)
# random
#   seed = 59272
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_24ym6ta27/poisson_2-20250829005255_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.18796
# Diagonal elements of inverse mass matrix:
# 0.0649351, 0.07533, 0.0607256, 0.0769533, 0.0755622, 0.0727154, 0.0596222, 0.0726922, 0.0749089, 0.0785162, 0.0716361, 0.0751279, 0.0848786, 0.0818043, 0.0802554, 0.0747755, 0.0838304, 0.0618015, 0.0809348, 0.0109177
-140.812,0.998834,0.18796,4,31,0,148.821,-0.2611,-0.417243,-0.147118,-0.293934,-0.0105702,-0.41443,0.986106,0.521644,0.306311,0.12444,0.380993,-0.177477,0.0367848,-0.0865447,0.00804921,0.403686,-0.203686,0.278066,-0.0684938,0.254898,-0.2611,-0.417243,-0.147118,-0.293934,-0.0105702,-0.41443,0.986106,0.521644,0.306311,0.12444,0.380993,-0.177477,0.0367848,-0.0865447,0.00804921,0.403686,-0.203686,0.278066,-0.0684938,-0.965485,-139.606
-139.327,0.999254,0.18796,5,31,0,145.543,-0.307957,-0.0849069,0.359094,-0.1455,-0.00307515,0.00603228,0.851095,0.0352075,0.341115,0.263571,-0.110573,-0.420371,-0.238829,0.124788,-0.0204645,0.451206,-0.177892,0.0633103,-0.15035,0.199169,-0.307957,-0.0849069,0.359094,-0.1455,-0.00307515,0.00603228,0.851095,0.0352075,0.341115,0.263571,-0.110573,-0.420371,-0.238829,0.124788,-0.0204645,0.451206,-0.177892,0.0633103,-0.15035,-0.835501,-138.463
-142.733,0.988224,0.18796,4,15,0,148.297,-0.177167,0.0152313,0.337426,-0.244689,-0.0794997,-0.0662749,0.881034,-0.48602,0.707658,0.191625,0.579808,-0.330844,-0.252997,0.389749,-0.482952,0.0641571,0.0394372,-0.321002,-0.223606,0.145953,-0.177167,0.0152313,0.337426,-0.244689,-0.0794997,-0.0662749,0.881034,-0.48602,0.707658,0.191625,0.579808,-0.330844,-0.252997,0.389749,-0.482952,0.0641571,0.0394372,-0.321002,-0.223606,-0.541074,-141.313
-147.843,0.947933,0.18796,4,15,0,157.006,-0.227536,0.0835592,-0.248439,0.227722,0.263373,-0.525227,0.866878,0.295232,0.144563,0.550622,-0.659907,-0.300896,0.490936,0.419684,-0.0351308,-0.148429,0.315533,-0.368022,-0.342334,0.171505,-0.227536,0.0835592,-0.248439,0.227722,0.263373,-0.525227,0.866878,0.295232,0.144563,0.550622,-0.659907,-0.300896,0.490936,0.419684,-0.0351308,-0.148429,0.315533,-0.368022,-0.342334,-0.802181,-146.329
-145.184,0.999808,0.18796,5,31,0,156.611,0.102197,-0.302749,0.30268,-0.759896,0.452943,-0.133582,0.494689,-0.169607,0.55925,0.054883,0.313589,0.294363,-0.130448,0.52964,-0.656937,0.126524,-0.371448,0.00639172,0.0368315,0.358178,0.102197,-0.302749,0.30268,-0.759896,0.452943,-0.133582,0.494689,-0.169607,0.55925,0.054883,0.313589,0.294363,-0.130448,0.52964,-0.656937,0.126524,-0.371448,0.00639172,0.0368315,-0.749316,-143.793
-142.245,0.993369,0.18796,4,15,0,151.5,0.206608,-0.296706,0.143079,-0.607216,0.245125,-0.507498,0.796345,-0.167202,0.481754,0.21784,0.504625,-0.0252277,0.110088,0.392157,-0.294112,-0.0155556,-0.554541,-0.085534,0.0451669,0.292318,0.206608,-0.296706,0.143079,-0.607216,0.245125,-0.507498,0.796345,-0.167202,0.481754,0.21784,0.504625,-0.0252277,0.110088,0.392157,-0.294112,-0.0155556,-0.554541,-0.085534,0.0451669,-0.589197,-140.9
-141.353,0.976452,0.18796,5,31,0,152.924,-0.40604,0.167805,-0.297349,0.102826,-0.329444,-0.199012,0.58888,0.178279,0.272676,-0.131203,-0.119424,-0.442588,-0.00830167,0.0428953,0.234645,0.420477,0.505188,0.251429,-0.115319,0.359386,-0.40604,0.167805,-0.297349,0.102826,-0.329444,-0.199012,0.58888,0.178279,0.272676,-0.131203,-0.119424,-0.442588,-0.00830167,0.0428953,0.234645,0.420477,0.505188,0.251429,-0.115319,-0.716418,-140.445
-142.538,0.81456,0.18796,4,15,0,152.951,0.0781287,-0.428417,0.258979,-0.590205,0.156435,-0.680009,0.372113,-0.027295,0.671757,0.509003,0.358988,-0.20813,-0.102797,0.143953,-0.329239,-0.387954,0.122449,0.246022,0.279033,0.327444,0.0781287,-0.428417,0.258979,-0.590205,0.156435,-0.680009,0.372113,-0.027295,0.671757,0.509003,0.358988,-0.20813,-0.102797,0.143953,-0.329239,-0.387954,0.122449,0.246022,0.279033,-0.442815,-141.206
-139.916,0.991573,0.18796,4,15,0,147.652,-0.0139106,-0.22601,-0.0258742,-0.127052,-0.0972691,-0.376232,0.292393,-0.115378,0.400744,0.0485801,0.278466,-0.576517,-0.0183212,0.115876,-0.092836,0.366169,0.37779,0.458995,-0.277162,0.399691,-0.0139106,-0.22601,-0.0258742,-0.127052,-0.0972691,-0.376232,0.292393,-0.115378,0.400744,0.0485801,0.278466,-0.576517,-0.0183212,0.115876,-0.092836,0.366169,0.37779,0.458995,-0.277162,-0.392451,-139.098
-142.004,0.956146,0.18796,4,31,0,147.567,0.0920451,0.391395,-0.288339,-0.0787537,0.168084,-0.349552,0.592842,-0.499912,0.446396,0.232761,0.143816,-0.238176,-0.168761,0.177203,-0.277781,-0.285376,0.568573,0.119259,-0.0522151,0.264842,0.0920451,0.391395,-0.288339,-0.0787537,0.168084,-0.349552,0.592842,-0.499912,0.446396,0.232761,0.143816,-0.238176,-0.168761,0.177203,-0.277781,-0.285376,0.568573,0.119259,-0.0522151,-0.693508,-141.023
-146.427,0.971166,0.18796,4,15,0,152.942,-0.182204,0.232231,-0.344232,-0.137189,0.549675,-0.309255,0.210679,-0.184089,0.487477,0.129369,-0.232112,-0.597088,0.207265,-0.217112,-0.258948,0.108258,0.131341,0.543453,0.418774,0.340259,-0.182204,0.232231,-0.344232,-0.137189,0.549675,-0.309255,0.210679,-0.184089,0.487477,0.129369,-0.232112,-0.597088,0.207265,-0.217112,-0.258948,0.108258,0.131341,0.543453,0.418774,-0.556294,-145.358
-145.468,0.999025,0.18796,5,31,0,156.678,-0.321975,-0.116119,0.494494,-0.263439,-0.151834,-0.213236,1.26884,0.267593,0.116978,0.0211811,0.686006,0.0691664,0.172202,-0.0282817,-0.239452,0.645945,-0.529518,-0.479597,-0.708977,0.271188,-0.321975,-0.116119,0.494494,-0.263439,-0.151834,-0.213236,1.26884,0.267593,0.116978,0.0211811,0.686006,0.0691664,0.172202,-0.0282817,-0.239452,0.645945,-0.529518,-0.479597,-0.708977,-0.68998,-143.337
-141.271,0.999542,0.18796,5,31,0,152.495,-0.160344,0.300563,-0.33656,-0.329176,0.440117,-0.103631,0.470028,-0.318803,0.591284,0.0560339,-0.253656,-0.372399,-0.172486,0.102685,-0.027003,0.154698,0.183758,0.124776,0.27243,0.30108,-0.160344,0.300563,-0.33656,-0.329176,0.440117,-0.103631,0.470028,-0.318803,0.591284,0.0560339,-0.253656,-0.372399,-0.172486,0.102685,-0.027003,0.154698,0.183758,0.124776,0.27243,-0.622315,-140.421
-142.065,0.708578,0.18796,5,31,0,150.885,-0.222192,-0.187675,0.128187,-0.481525,-0.157334,-0.669259,0.480573,0.110636,0.314181,0.235619,0.245253,-0.0711544,0.301557,0.731381,-0.222157,-0.363394,0.0115843,0.445852,-0.180408,0.388225,-0.222192,-0.187675,0.128187,-0.481525,-0.157334,-0.669259,0.480573,0.110636,0.314181,0.235619,0.245253,-0.0711544,0.301557,0.731381,-0.222157,-0.363394,0.0115843,0.445852,-0.180408,-0.449727,-140.836
-143.496,0.987482,0.18796,5,31,0,152.903,-0.360235,0.271254,0.459857,-0.383749,-0.319221,0.182333,1.32895,0.218435,0.155755,-0.0438837,0.293075,-0.544451,-0.303494,0.0493834,-0.274571,-0.0481291,-0.0560997,0.157847,-0.362729,0.338549,-0.360235,0.271254,0.459857,-0.383749,-0.319221,0.182333,1.32895,0.218435,0.155755,-0.0438837,0.293075,-0.544451,-0.303494,0.0493834,-0.274571,-0.0481291,-0.0560997,0.157847,-0.362729,-0.420331,-141.813
-139.698,1,0.18796,4,15,0,148.754,-0.462036,0.0771697,0.0785794,-0.332456,0.109557,-0.409594,0.940974,0.0463919,0.490985,0.134809,0.0763925,-0.486499,0.0582942,0.0482632,-0.275884,0.519544,-0.126007,0.213804,-0.0895743,0.103086,-0.462036,0.0771697,0.0785794,-0.332456,0.109557,-0.409594,0.940974,0.0463919,0.490985,0.134809,0.0763925,-0.486499,0.0582942,0.0482632,-0.275884,0.519544,-0.126007,0.213804,-0.0895743,-0.612714,-138.529
-144.418,0.970647,0.18796,4,15,0,149.491,-0.386794,-0.271469,0.101332,-0.209906,0.310067,-0.479545,1.22974,0.0205811,0.499754,-0.211667,0.12477,-0.269152,0.420282,-0.0835241,-0.153985,0.303199,-0.186719,-0.201758,0.209057,0.0897217,-0.386794,-0.271469,0.101332,-0.209906,0.310067,-0.479545,1.22974,0.0205811,0.499754,-0.211667,0.12477,-0.269152,0.420282,-0.0835241,-0.153985,0.303199,-0.186719,-0.201758,0.209057,-0.764257,-142.956
