# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/euc_sxsd.json
# init = 2 (Default)
# random
#   seed = 51153
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2cwnig9f0/poisson_2-20250829005305_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.222121
# Diagonal elements of inverse mass matrix:
# 0.0230188, 0.0266542, 0.0213902, 0.0235711, 0.0270287, 0.0234926, 0.0249189, 0.0223168, 0.0275059, 0.0250685, 0.0277304, 0.0230171, 0.021934, 0.0205421, 0.0262896, 0.025008, 0.0218855, 0.0185568, 0.0212706, 0.0046699
-404.319,1,0.222121,4,15,0,418.283,0.148487,0.231996,0.0090567,-0.0335005,0.263916,-0.179676,0.208587,-0.422443,0.0365176,0.001785,-0.0117422,0.279613,-0.15081,0.0238185,-0.335865,0.309714,-0.0275311,-0.278278,-0.389,0.111709,0.148487,0.231996,0.0090567,-0.0335005,0.263916,-0.179676,0.208587,-0.422443,0.0365176,0.001785,-0.0117422,0.279613,-0.15081,0.0238185,-0.335865,0.309714,-0.0275311,-0.278278,-0.389,0.315354,-403.842
-407.747,0.980845,0.222121,4,31,0,414.825,0.0301375,0.412698,-0.171223,0.0698207,0.109587,-0.0186529,-0.125994,-0.599175,-0.0731618,-0.199729,0.0124937,0.144322,-0.140123,0.0517052,-0.236164,0.443964,0.250815,0.0149093,-0.281001,0.092469,0.0301375,0.412698,-0.171223,0.0698207,0.109587,-0.0186529,-0.125994,-0.599175,-0.0731618,-0.199729,0.0124937,0.144322,-0.140123,0.0517052,-0.236164,0.443964,0.250815,0.0149093,-0.281001,0.30477,-407.205
-406.745,0.989043,0.222121,4,15,0,419.173,0.322864,0.222025,-0.270972,-0.32653,0.18867,-0.138552,0.481586,0.232521,-0.164927,-0.231382,-0.00619105,0.179502,-0.236686,-0.268786,-0.376372,0.272126,0.0629082,0.15066,-0.289556,0.337704,0.322864,0.222025,-0.270972,-0.32653,0.18867,-0.138552,0.481586,0.232521,-0.164927,-0.231382,-0.00619105,0.179502,-0.236686,-0.268786,-0.376372,0.272126,0.0629082,0.15066,-0.289556,0.197091,-406.067
-402.896,0.830332,0.222121,4,15,0,416.566,0.269459,0.536069,0.0301008,-0.425077,0.0821165,-0.269425,0.159292,0.00141945,-0.131172,-0.142395,-0.0391537,0.136334,-0.162093,-0.0702798,-0.109636,0.219712,-0.0431023,-0.0781468,-0.452183,0.27661,0.269459,0.536069,0.0301008,-0.425077,0.0821165,-0.269425,0.159292,0.00141945,-0.131172,-0.142395,-0.0391537,0.136334,-0.162093,-0.0702798,-0.109636,0.219712,-0.0431023,-0.0781468,-0.452183,0.488161,-402.354
-401.837,0.970611,0.222121,4,15,0,414.736,0.19362,0.110658,-0.0216742,0.0379429,0.128423,-0.042803,-0.132615,0.00569952,-0.17684,0.0516313,0.0568024,0.1108,-0.149431,-0.146014,-0.37415,0.348182,-0.0769002,-0.146102,-0.144581,0.200738,0.19362,0.110658,-0.0216742,0.0379429,0.128423,-0.042803,-0.132615,0.00569952,-0.17684,0.0516313,0.0568024,0.1108,-0.149431,-0.146014,-0.37415,0.348182,-0.0769002,-0.146102,-0.144581,0.367351,-401.571
-403.337,0.968991,0.222121,4,15,0,411.763,0.0563679,0.218835,-0.126129,0.0999417,0.24908,0.10999,0.265447,-0.244651,-0.288678,-0.0534179,0.159587,-0.0706312,-0.182862,-0.188195,-0.247885,0.228319,-0.153863,0.140505,-0.161615,0.292952,0.0563679,0.218835,-0.126129,0.0999417,0.24908,0.10999,0.265447,-0.244651,-0.288678,-0.0534179,0.159587,-0.0706312,-0.182862,-0.188195,-0.247885,0.228319,-0.153863,0.140505,-0.161615,0.189855,-402.969
