# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1smi4gm2.json
# init = 2 (Default)
# random
#   seed = 67590
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_28zn5bvvp/poisson_2-20250829005307_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.230186
# Diagonal elements of inverse mass matrix:
# 0.0174986, 0.0192065, 0.0159965, 0.0196301, 0.0178729, 0.0179507, 0.0207317, 0.0156067, 0.0197394, 0.0163362, 0.0215478, 0.0206812, 0.0178354, 0.019767, 0.0202845, 0.018602, 0.019847, 0.0184738, 0.0157054, 0.00349847
-550.738,0.989645,0.230186,4,15,0,563.47,0.116935,0.0466847,-0.107403,-0.302976,0.504316,-0.252023,0.0720325,-0.133084,-0.250862,-0.258634,0.18167,0.356041,-0.0702845,-0.351969,0.0634371,0.254055,-0.00822567,0.00552013,-0.220995,0.177299,0.116935,0.0466847,-0.107403,-0.302976,0.504316,-0.252023,0.0720325,-0.133084,-0.250862,-0.258634,0.18167,0.356041,-0.0702845,-0.351969,0.0634371,0.254055,-0.00822567,0.00552013,-0.220995,0.355764,-550.224
-549.54,0.964105,0.230186,4,15,0,570.534,0.059136,0.320288,-0.222435,0.128773,-0.196268,0.124545,0.0578267,-0.020445,0.0811776,-0.0170995,0.0816948,-0.0819801,-0.257979,0.162211,-0.338677,0.267913,0.127116,-0.107829,-0.503098,0.29821,0.059136,0.320288,-0.222435,0.128773,-0.196268,0.124545,0.0578267,-0.020445,0.0811776,-0.0170995,0.0816948,-0.0819801,-0.257979,0.162211,-0.338677,0.267913,0.127116,-0.107829,-0.503098,0.335129,-549.09
-552.142,0.990194,0.230186,4,15,0,558.56,0.112403,0.398561,-0.293252,0.197235,-0.103458,0.100379,0.032466,-0.115244,0.190117,-0.0148014,0.110619,-0.206214,-0.167015,0.0927141,-0.348995,0.33282,-0.0100397,-0.15947,-0.456352,0.342058,0.112403,0.398561,-0.293252,0.197235,-0.103458,0.100379,0.032466,-0.115244,0.190117,-0.0148014,0.110619,-0.206214,-0.167015,0.0927141,-0.348995,0.33282,-0.0100397,-0.15947,-0.456352,0.307528,-551.621
-546.651,0.956068,0.230186,4,15,0,560.788,0.00249634,0.27885,-0.138151,-0.233783,0.108491,-0.136239,0.274912,-0.130453,-0.112508,-0.326121,0.0661736,0.351065,-0.0393971,-0.307391,-0.0348174,0.0944772,0.000168967,-0.0197472,-0.00705872,0.25575,0.00249634,0.27885,-0.138151,-0.233783,0.108491,-0.136239,0.274912,-0.130453,-0.112508,-0.326121,0.0661736,0.351065,-0.0393971,-0.307391,-0.0348174,0.0944772,0.000168967,-0.0197472,-0.00705872,0.309031,-546.304
-550.074,0.986824,0.230186,4,15,0,558.843,0.0661228,0.0576218,-0.245498,0.255134,0.16066,-0.104766,0.0749642,-0.123434,-0.401787,-0.360833,0.150864,0.163564,-0.0767856,0.159769,-0.282732,0.575147,-0.0385529,-0.0200301,-0.371983,0.289435,0.0661228,0.0576218,-0.245498,0.255134,0.16066,-0.104766,0.0749642,-0.123434,-0.401787,-0.360833,0.150864,0.163564,-0.0767856,0.159769,-0.282732,0.575147,-0.0385529,-0.0200301,-0.371983,0.362555,-549.475
-544.534,0.944685,0.230186,4,15,0,558.176,0.202236,0.191238,-0.0385798,0.178279,-0.00311375,-0.254176,-0.0613787,-0.228062,-0.146932,-0.19122,0.163546,0.121782,0.133877,-0.10007,-0.209795,0.171537,0.103636,-0.226452,-0.216755,0.294769,0.202236,0.191238,-0.0385798,0.178279,-0.00311375,-0.254176,-0.0613787,-0.228062,-0.146932,-0.19122,0.163546,0.121782,0.133877,-0.10007,-0.209795,0.171537,0.103636,-0.226452,-0.216755,0.410402,-544.22
-542.75,0.838621,0.230186,4,15,0,560.402,0.103699,0.248662,-0.337769,-0.301717,0.165117,-0.0103394,0.254512,0.0886212,-0.0997522,-0.0434675,0.0426566,0.0619345,-0.301589,-0.0645832,-0.0772428,0.245097,0.0475532,0.0212088,-0.33361,0.268001,0.103699,0.248662,-0.337769,-0.301717,0.165117,-0.0103394,0.254512,0.0886212,-0.0997522,-0.0434675,0.0426566,0.0619345,-0.301589,-0.0645832,-0.0772428,0.245097,0.0475532,0.0212088,-0.33361,0.291009,-542.378
-543.027,0.935054,0.230186,4,15,0,548.735,-0.0696391,0.0594674,-0.0342103,-0.0177942,0.0318397,-0.354972,0.103522,-0.079216,0.119963,-0.136656,0.257537,0.318201,-0.123275,-0.0789104,-0.169119,0.205953,0.0110864,-0.192457,-0.270326,0.269102,-0.0696391,0.0594674,-0.0342103,-0.0177942,0.0318397,-0.354972,0.103522,-0.079216,0.119963,-0.136656,0.257537,0.318201,-0.123275,-0.0789104,-0.169119,0.205953,0.0110864,-0.192457,-0.270326,0.419006,-542.712
-543.382,0.839125,0.230186,4,15,0,550.657,0.209119,0.293838,-0.290885,-0.146314,0.182429,0.144663,0.0270593,-0.0669367,-0.256438,-0.142876,0.0500507,-0.142176,-0.131057,-0.0527468,-0.0801284,0.303259,0.0545769,0.0216492,-0.29299,0.286664,0.209119,0.293838,-0.290885,-0.146314,0.182429,0.144663,0.0270593,-0.0669367,-0.256438,-0.142876,0.0500507,-0.142176,-0.131057,-0.0527468,-0.0801284,0.303259,0.0545769,0.0216492,-0.29299,0.315904,-543.035
-543.807,0.967984,0.230186,4,15,0,549.153,0.237798,0.269872,-0.289627,-0.142471,0.177732,0.179771,0.0749918,-0.101876,-0.256554,-0.14784,0.058436,-0.135747,-0.169873,-0.0929723,-0.106408,0.274191,0.0461293,0.00851213,-0.293073,0.288867,0.237798,0.269872,-0.289627,-0.142471,0.177732,0.179771,0.0749918,-0.101876,-0.256554,-0.14784,0.058436,-0.135747,-0.169873,-0.0929723,-0.106408,0.274191,0.0461293,0.00851213,-0.293073,0.409007,-543.447
-544.383,0.944241,0.230186,4,15,0,551.39,-0.216897,0.207076,-0.0869519,-0.0576824,0.247291,-0.0275163,0.149405,-0.180602,-0.232001,-0.139816,0.13726,-0.0195193,0.105521,-0.104674,-0.112132,0.262611,0.164597,-0.0136427,-0.322802,0.241885,-0.216897,0.207076,-0.0869519,-0.0576824,0.247291,-0.0275163,0.149405,-0.180602,-0.232001,-0.139816,0.13726,-0.0195193,0.105521,-0.104674,-0.112132,0.262611,0.164597,-0.0136427,-0.322802,0.240477,-544.081
-544.827,0.998853,0.230186,4,15,0,551.711,0.212006,0.0102273,-0.0625581,-0.159692,0.115047,0.0914653,-0.197437,0.1116,-0.10992,-0.233171,0.260475,0.112112,-0.124905,-0.0318687,-0.222486,0.259179,0.000396094,-0.00540026,-0.443639,0.282434,0.212006,0.0102273,-0.0625581,-0.159692,0.115047,0.0914653,-0.197437,0.1116,-0.10992,-0.233171,0.260475,0.112112,-0.124905,-0.0318687,-0.222486,0.259179,0.000396094,-0.00540026,-0.443639,0.418569,-544.475
-545.667,0.978973,0.230186,4,15,0,551.368,-0.139369,0.305217,-0.208568,0.0499158,0.133918,-0.31427,0.311575,-0.202907,-0.10489,-0.0320303,-0.0744044,0.108492,-0.106234,-0.132117,0.00158063,0.326903,0.0647296,-0.241207,-0.141102,0.289795,-0.139369,0.305217,-0.208568,0.0499158,0.133918,-0.31427,0.311575,-0.202907,-0.10489,-0.0320303,-0.0744044,0.108492,-0.106234,-0.132117,0.00158063,0.326903,0.0647296,-0.241207,-0.141102,0.394767,-545.294
-543.254,0.873783,0.230186,4,15,0,555.377,0.0541083,0.307401,-0.11944,-0.0782504,0.226474,-0.154091,0.303801,0.00525368,-0.144673,-0.269423,0.0244535,0.120308,-0.0613959,-0.130554,-0.295753,0.30608,0.0802598,-0.130069,-0.183959,0.351657,0.0541083,0.307401,-0.11944,-0.0782504,0.226474,-0.154091,0.303801,0.00525368,-0.144673,-0.269423,0.0244535,0.120308,-0.0613959,-0.130554,-0.295753,0.30608,0.0802598,-0.130069,-0.183959,0.139468,-542.866
-542.289,0.996923,0.230186,4,15,0,550.285,0.0726431,0.193297,-0.146577,-0.0850732,0.114894,-0.193702,0.23644,0.0102004,0.0361188,-0.228614,-0.134426,0.102609,-0.0544365,-0.0840105,-0.25839,0.2628,-0.00391138,-0.00950602,-0.335777,0.33192,0.0726431,0.193297,-0.146577,-0.0850732,0.114894,-0.193702,0.23644,0.0102004,0.0361188,-0.228614,-0.134426,0.102609,-0.0544365,-0.0840105,-0.25839,0.2628,-0.00391138,-0.00950602,-0.335777,0.505421,-541.974
-551.849,0.967357,0.230186,4,15,0,556.718,0.383301,0.259631,-0.0787887,0.158397,-0.112621,-0.427233,0.0757817,-0.0230098,0.195309,-0.143052,-0.0385376,0.0307845,-0.197914,-0.0539158,-0.329182,0.321818,-0.109186,-0.135945,-0.282301,0.365131,0.383301,0.259631,-0.0787887,0.158397,-0.112621,-0.427233,0.0757817,-0.0230098,0.195309,-0.143052,-0.0385376,0.0307845,-0.197914,-0.0539158,-0.329182,0.321818,-0.109186,-0.135945,-0.282301,0.506665,-551.346
-546.35,0.996628,0.230186,4,15,0,560.436,0.157315,0.0938895,0.156131,-0.18849,0.115002,-0.22187,-0.00124927,-0.0335123,-0.153248,-0.266311,0.0229311,0.122665,-0.298268,0.0395334,0.0915282,0.100968,0.0632151,-0.126284,-0.219715,0.309318,0.157315,0.0938895,0.156131,-0.18849,0.115002,-0.22187,-0.00124927,-0.0335123,-0.153248,-0.266311,0.0229311,0.122665,-0.298268,0.0395334,0.0915282,0.100968,0.0632151,-0.126284,-0.219715,0.545769,-546.08
-543.036,0.933584,0.230186,4,15,0,551.806,0.0923796,0.0348351,-0.0441537,-0.0235624,0.158251,-0.229364,0.0561884,-0.0538986,-0.0963552,-0.307462,-0.0560251,0.263811,-0.185422,-0.119867,-0.219087,0.373997,0.0442306,0.115414,-0.294077,0.304162,0.0923796,0.0348351,-0.0441537,-0.0235624,0.158251,-0.229364,0.0561884,-0.0538986,-0.0963552,-0.307462,-0.0560251,0.263811,-0.185422,-0.119867,-0.219087,0.373997,0.0442306,0.115414,-0.294077,0.490168,-542.684
-544.134,0.966887,0.230186,4,15,0,552.47,0.0266257,0.36761,-0.294489,-0.0157345,0.0696877,0.00907632,0.0733295,-0.0982948,-0.100521,0.0489869,0.309729,0.0339212,-0.0774963,-0.0284364,-0.0514465,0.145766,0.0361182,-0.305678,-0.303757,0.267117,0.0266257,0.36761,-0.294489,-0.0157345,0.0696877,0.00907632,0.0733295,-0.0982948,-0.100521,0.0489869,0.309729,0.0339212,-0.0774963,-0.0284364,-0.0514465,0.145766,0.0361182,-0.305678,-0.303757,0.155003,-543.813
-544.813,0.970498,0.230186,4,15,0,553.415,0.17863,0.27067,-0.0803683,-0.416416,0.283586,-0.124835,-0.109507,-0.00780834,-0.152021,-0.238762,0.114556,0.154286,-0.135213,-0.131787,-0.0151495,0.174075,0.0072826,-0.0414947,-0.27637,0.25378,0.17863,0.27067,-0.0803683,-0.416416,0.283586,-0.124835,-0.109507,-0.00780834,-0.152021,-0.238762,0.114556,0.154286,-0.135213,-0.131787,-0.0151495,0.174075,0.0072826,-0.0414947,-0.27637,0.546648,-544.454
-546.961,0.974221,0.230186,4,15,0,555.221,-0.229352,0.25349,-0.164563,0.19288,0.0719774,-0.0715192,0.259269,0.0606386,0.044037,-0.0848281,0.012715,-0.0324367,-0.240392,-0.0380391,-0.178875,0.264969,0.16813,-0.239868,-0.255836,0.347364,-0.229352,0.25349,-0.164563,0.19288,0.0719774,-0.0715192,0.259269,0.0606386,0.044037,-0.0848281,0.012715,-0.0324367,-0.240392,-0.0380391,-0.178875,0.264969,0.16813,-0.239868,-0.255836,0.207602,-546.608
-546.293,0.949622,0.230186,4,15,0,558.106,0.388564,0.136878,-0.0191076,-0.237338,0.187403,-0.135282,-0.130583,-0.0970925,-0.208281,-0.290879,0.134887,0.195419,0.0798803,-0.148145,-0.0617143,0.307974,-0.0790616,0.0172685,-0.32034,0.207593,0.388564,0.136878,-0.0191076,-0.237338,0.187403,-0.135282,-0.130583,-0.0970925,-0.208281,-0.290879,0.134887,0.195419,0.0798803,-0.148145,-0.0617143,0.307974,-0.0790616,0.0172685,-0.32034,0.27955,-545.908
-546.346,0.995178,0.230186,4,15,0,555.271,-0.215077,0.25427,-0.337816,0.0769188,0.0549713,-0.109703,0.269615,-0.0133914,0.0474541,0.00196639,0.110711,0.0992552,-0.360748,0.00745163,-0.216784,0.245108,0.16998,-0.191745,-0.302722,0.330646,-0.215077,0.25427,-0.337816,0.0769188,0.0549713,-0.109703,0.269615,-0.0133914,0.0474541,0.00196639,0.110711,0.0992552,-0.360748,0.00745163,-0.216784,0.245108,0.16998,-0.191745,-0.302722,0.410286,-545.922
-546.086,0.511629,0.230186,4,15,0,558.475,-0.187267,0.145382,-0.222867,-0.0281255,0.0354903,-0.1673,0.342425,0.109689,0.0325497,0.122521,0.203232,0.151842,-0.340411,-0.112494,-0.186745,0.180146,0.097821,-0.114957,-0.337373,0.262363,-0.187267,0.145382,-0.222867,-0.0281255,0.0354903,-0.1673,0.342425,0.109689,0.0325497,0.122521,0.203232,0.151842,-0.340411,-0.112494,-0.186745,0.180146,0.097821,-0.114957,-0.337373,0.276444,-545.713
-545.065,0.999875,0.230186,4,15,0,550.885,-0.225115,0.0598097,-0.265312,0.0356427,0.0895452,-0.072507,0.365622,0.00124082,0.00396465,0.00674705,0.214284,0.183402,-0.254567,-0.190586,-0.223045,0.211984,0.0202816,-0.073372,-0.301528,0.282543,-0.225115,0.0598097,-0.265312,0.0356427,0.0895452,-0.072507,0.365622,0.00124082,0.00396465,0.00674705,0.214284,0.183402,-0.254567,-0.190586,-0.223045,0.211984,0.0202816,-0.073372,-0.301528,0.413509,-544.703
-546.258,0.756768,0.230186,4,15,0,555.504,0.318342,0.0973296,-0.191909,0.0204458,0.185848,0.0112527,-0.0404767,-0.135693,-0.0611559,-0.185328,0.177035,-0.0621254,-0.0195734,0.116296,-0.382869,0.0796308,-0.121985,-0.0355494,-0.253754,0.253727,0.318342,0.0973296,-0.191909,0.0204458,0.185848,0.0112527,-0.0404767,-0.135693,-0.0611559,-0.185328,0.177035,-0.0621254,-0.0195734,0.116296,-0.382869,0.0796308,-0.121985,-0.0355494,-0.253754,0.484238,-545.964
-548.588,0.989808,0.230186,4,15,0,558.503,-0.129309,0.0381457,-0.126502,-0.0938591,0.0702381,-0.105925,0.136308,-0.298849,-0.189012,-0.176281,0.271439,0.216746,-0.306628,-0.166909,0.296723,0.435359,0.22477,-0.0431541,-0.298635,0.276905,-0.129309,0.0381457,-0.126502,-0.0938591,0.0702381,-0.105925,0.136308,-0.298849,-0.189012,-0.176281,0.271439,0.216746,-0.306628,-0.166909,0.296723,0.435359,0.22477,-0.0431541,-0.298635,0.245333,-548.102
-549.162,0.956535,0.230186,4,15,0,562.847,0.247934,0.276835,-0.286241,-0.0903246,0.20685,-0.145808,0.0305143,0.232365,0.0862292,-0.0908679,-0.00874893,0.0523808,0.0396589,-0.000391566,-0.536538,0.119272,-0.13864,-0.145962,-0.288644,0.250644,0.247934,0.276835,-0.286241,-0.0903246,0.20685,-0.145808,0.0305143,0.232365,0.0862292,-0.0908679,-0.00874893,0.0523808,0.0396589,-0.000391566,-0.536538,0.119272,-0.13864,-0.145962,-0.288644,0.440125,-548.734
-545.921,0.99853,0.230186,4,15,0,556.829,-0.185705,0.200972,-0.0262155,-0.0362405,-0.0381436,-0.0440066,0.0475226,-0.041995,-0.0774182,-0.213729,0.280903,0.0472546,-0.218191,-0.249686,0.148979,0.392794,0.229086,-0.179878,-0.281436,0.319299,-0.185705,0.200972,-0.0262155,-0.0362405,-0.0381436,-0.0440066,0.0475226,-0.041995,-0.0774182,-0.213729,0.280903,0.0472546,-0.218191,-0.249686,0.148979,0.392794,0.229086,-0.179878,-0.281436,0.245133,-545.536
-549.108,0.914776,0.230186,4,15,0,559.762,0.196599,-0.181619,-0.380057,-0.126361,-0.00395218,-0.00361732,0.0221658,-0.103718,-0.115879,-0.117567,0.152149,-0.0593392,0.192776,0.0346702,-0.0607402,0.246408,0.203993,0.142933,-0.341084,0.313553,0.196599,-0.181619,-0.380057,-0.126361,-0.00395218,-0.00361732,0.0221658,-0.103718,-0.115879,-0.117567,0.152149,-0.0593392,0.192776,0.0346702,-0.0607402,0.246408,0.203993,0.142933,-0.341084,0.302239,-548.77
-550.13,0.88701,0.230186,4,15,0,562.467,-0.0587099,0.47308,-0.0913331,-0.0987889,0.269799,-0.38465,0.0820184,0.129994,-0.0183763,-0.0368347,0.154078,0.190318,-0.321974,-0.0918909,-0.216502,0.50073,-0.0876832,-0.320549,-0.280323,0.165708,-0.0587099,0.47308,-0.0913331,-0.0987889,0.269799,-0.38465,0.0820184,0.129994,-0.0183763,-0.0368347,0.154078,0.190318,-0.321974,-0.0918909,-0.216502,0.50073,-0.0876832,-0.320549,-0.280323,0.207597,-549.541
-548.008,0.93672,0.230186,4,15,0,560.583,-0.0904948,0.448555,-0.195407,-0.179158,0.0530264,-0.306917,0.279779,-0.052241,0.0415135,-0.255191,0.326574,0.335176,-0.150085,-0.152643,-0.0989673,0.234007,-0.0913658,-0.155559,-0.10527,0.278294,-0.0904948,0.448555,-0.195407,-0.179158,0.0530264,-0.306917,0.279779,-0.052241,0.0415135,-0.255191,0.326574,0.335176,-0.150085,-0.152643,-0.0989673,0.234007,-0.0913658,-0.155559,-0.10527,0.114669,-547.521
-546.188,0.999883,0.230186,4,15,0,553.839,-0.0246429,0.228298,-0.303323,-0.25935,0.0733271,-0.298176,0.164766,-0.100642,0.0435777,-0.122031,0.291373,0.382544,-0.183686,-0.237833,-0.135112,0.201403,-0.0809364,-0.118793,-0.112715,0.254929,-0.0246429,0.228298,-0.303323,-0.25935,0.0733271,-0.298176,0.164766,-0.100642,0.0435777,-0.122031,0.291373,0.382544,-0.183686,-0.237833,-0.135112,0.201403,-0.0809364,-0.118793,-0.112715,0.591951,-545.769
-548.742,0.993535,0.230186,4,15,0,556.286,0.297116,0.00466194,0.00392658,0.254501,0.375755,-0.0679517,0.155608,-0.21569,-0.179942,-0.116173,-0.0321392,0.00672422,-0.165974,-0.0502743,-0.136618,0.215376,-0.0585564,-0.11718,-0.258964,0.323787,0.297116,0.00466194,0.00392658,0.254501,0.375755,-0.0679517,0.155608,-0.21569,-0.179942,-0.116173,-0.0321392,0.00672422,-0.165974,-0.0502743,-0.136618,0.215376,-0.0585564,-0.11718,-0.258964,0.0857925,-548.392
-546.314,0.963777,0.230186,4,15,0,557.672,0.280293,0.257373,-0.430022,0.0500243,0.151218,-0.106671,-0.0646647,0.0527336,0.0523792,-0.0654523,0.237052,-0.0183487,-0.156847,0.0266067,-0.201756,0.297623,0.0550032,-0.096539,-0.363048,0.337989,0.280293,0.257373,-0.430022,0.0500243,0.151218,-0.106671,-0.0646647,0.0527336,0.0523792,-0.0654523,0.237052,-0.0183487,-0.156847,0.0266067,-0.201756,0.297623,0.0550032,-0.096539,-0.363048,0.0430419,-545.889
-545.737,0.996656,0.230186,4,15,0,555.022,0.0748868,-0.0523843,-0.155035,0.202418,0.160216,-0.0736438,0.238691,-0.407,-0.0548331,-0.083663,0.112799,0.18118,-0.00421927,-0.0886217,-0.271893,0.242265,-0.0108135,-0.032807,-0.27237,0.312039,0.0748868,-0.0523843,-0.155035,0.202418,0.160216,-0.0736438,0.238691,-0.407,-0.0548331,-0.083663,0.112799,0.18118,-0.00421927,-0.0886217,-0.271893,0.242265,-0.0108135,-0.032807,-0.27237,0.294827,-545.389
-548.98,0.965028,0.230186,4,15,0,558.021,0.0823441,0.320056,-0.239611,-0.0684586,0.452758,-0.016903,-0.0311144,-0.312298,0.153198,0.0606487,0.276194,-0.00196996,-0.337414,-0.194542,-0.0765006,0.264343,-0.100021,-0.284336,-0.260016,0.282721,0.0823441,0.320056,-0.239611,-0.0684586,0.452758,-0.016903,-0.0311144,-0.312298,0.153198,0.0606487,0.276194,-0.00196996,-0.337414,-0.194542,-0.0765006,0.264343,-0.100021,-0.284336,-0.260016,0.313643,-548.458
-551.142,0.85995,0.230186,4,15,0,562.747,0.0985268,-0.253798,-0.50132,-0.288912,0.160767,0.0827789,0.0355706,-0.0155591,-0.114351,-0.131281,0.0883469,0.153205,-0.113084,0.0176272,-8.12497e-05,0.152594,0.130818,0.0351341,-0.0621854,0.270745,0.0985268,-0.253798,-0.50132,-0.288912,0.160767,0.0827789,0.0355706,-0.0155591,-0.114351,-0.131281,0.0883469,0.153205,-0.113084,0.0176272,-8.12497e-05,0.152594,0.130818,0.0351341,-0.0621854,0.525203,-550.824
-546.313,0.999973,0.230186,4,15,0,561.338,0.120092,0.329568,-0.0138807,-0.172034,0.164717,-0.241144,0.101138,-0.100441,-0.19091,0.0932722,0.299001,-0.0533205,-0.3994,-0.147574,-0.114966,0.425297,-0.0032479,-0.0728256,-0.205686,0.301639,0.120092,0.329568,-0.0138807,-0.172034,0.164717,-0.241144,0.101138,-0.100441,-0.19091,0.0932722,0.299001,-0.0533205,-0.3994,-0.147574,-0.114966,0.425297,-0.0032479,-0.0728256,-0.205686,0.182345,-545.858
-548.177,0.974107,0.230186,4,15,0,555.451,0.176344,0.160974,-0.384143,0.17236,0.00262001,-0.173746,0.0806618,0.117465,0.0808505,-0.357242,0.102375,0.296129,0.0435997,-0.313837,-0.128569,0.0997491,0.15269,-0.052042,-0.427622,0.259533,0.176344,0.160974,-0.384143,0.17236,0.00262001,-0.173746,0.0806618,0.117465,0.0808505,-0.357242,0.102375,0.296129,0.0435997,-0.313837,-0.128569,0.0997491,0.15269,-0.052042,-0.427622,0.351383,-547.717
