# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/wailr7yt.json
# init = 2 (Default)
# random
#   seed = 16617
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_257h_niv5/poisson_2-20250829005301_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.236451
# Diagonal elements of inverse mass matrix:
# 0.00943839, 0.0100178, 0.00837695, 0.0115907, 0.0108273, 0.0094152, 0.010125, 0.00897799, 0.0108896, 0.00876645, 0.00910025, 0.0115099, 0.00844196, 0.00948237, 0.0104001, 0.00938701, 0.00922882, 0.00994684, 0.00961966, 0.00233351
-1055.56,0.943548,0.236451,4,15,0,1061.61,0.263475,0.199575,-0.437445,-0.20054,0.282725,-0.19189,0.128585,0.0639728,-0.00996965,-0.0222297,0.0600306,0.000947761,-0.185034,0.160848,0.0628828,0.167309,-0.28826,-0.0261185,-0.210876,0.279885,0.263475,0.199575,-0.437445,-0.20054,0.282725,-0.19189,0.128585,0.0639728,-0.00996965,-0.0222297,0.0600306,0.000947761,-0.185034,0.160848,0.0628828,0.167309,-0.28826,-0.0261185,-0.210876,0.182014,-1055.17
-1052.15,0.949503,0.236451,4,15,0,1066.47,0.35585,0.134934,-0.410612,-0.208682,0.128424,-0.0905447,-0.0531345,0.149633,0.0867157,-0.113276,0.105889,0.245656,0.0207642,-0.0273564,-0.243865,0.16676,-0.12997,-0.0777488,-0.173144,0.34989,0.35585,0.134934,-0.410612,-0.208682,0.128424,-0.0905447,-0.0531345,0.149633,0.0867157,-0.113276,0.105889,0.245656,0.0207642,-0.0273564,-0.243865,0.16676,-0.12997,-0.0777488,-0.173144,0.133709,-1051.77
-1051.75,0.999594,0.236451,4,15,0,1060.49,0.0561491,0.227952,-0.418106,-0.157987,0.09406,-0.124917,0.0789989,0.233696,0.0728602,0.0666349,0.115311,0.126005,-0.302332,-0.0218374,-0.0720202,0.357174,-0.192586,-0.114212,-0.208547,0.283744,0.0561491,0.227952,-0.418106,-0.157987,0.09406,-0.124917,0.0789989,0.233696,0.0728602,0.0666349,0.115311,0.126005,-0.302332,-0.0218374,-0.0720202,0.357174,-0.192586,-0.114212,-0.208547,0.183705,-1051.36
-1059.13,0.947785,0.236451,4,15,0,1064.54,0.101718,0.124509,-0.52042,-0.075411,0.150877,-0.205876,0.0954435,0.12624,0.245635,0.000319544,0.0524219,0.269167,-0.327218,-0.135519,-0.138919,0.399886,-0.0229299,-0.193942,-0.0973904,0.24947,0.101718,0.124509,-0.52042,-0.075411,0.150877,-0.205876,0.0954435,0.12624,0.245635,0.000319544,0.0524219,0.269167,-0.327218,-0.135519,-0.138919,0.399886,-0.0229299,-0.193942,-0.0973904,0.151409,-1058.66
-1053.19,0.801366,0.236451,4,15,0,1068.25,0.276461,0.103835,-0.488909,-0.203042,0.187731,-0.127151,0.0930393,0.195974,0.0219469,-0.035379,0.112525,0.0600153,-0.229673,0.103212,-0.0802843,0.174884,0.0446589,0.0305322,-0.204826,0.305122,0.276461,0.103835,-0.488909,-0.203042,0.187731,-0.127151,0.0930393,0.195974,0.0219469,-0.035379,0.112525,0.0600153,-0.229673,0.103212,-0.0802843,0.174884,0.0446589,0.0305322,-0.204826,-0.0355494,-1052.83
-1057.33,0.893032,0.236451,4,15,0,1071.85,0.161803,0.00444762,-0.152555,-0.185138,0.301604,-0.31547,-0.135418,0.0366315,-0.066188,-0.229216,0.21543,0.303744,-0.192571,0.0766789,-0.0482406,0.310879,-0.187353,0.00410029,-0.24652,0.270823,0.161803,0.00444762,-0.152555,-0.185138,0.301604,-0.31547,-0.135418,0.0366315,-0.066188,-0.229216,0.21543,0.303744,-0.192571,0.0766789,-0.0482406,0.310879,-0.187353,0.00410029,-0.24652,0.343353,-1056.93
