# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/wailr7yt.json
# init = 2 (Default)
# random
#   seed = 16617
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_257h_niv5/poisson_2-20250829005301_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.229831
# Diagonal elements of inverse mass matrix:
# 0.00888031, 0.00896676, 0.010031, 0.00778122, 0.00964473, 0.00805503, 0.0086102, 0.00928935, 0.00899822, 0.00987174, 0.00882707, 0.00789944, 0.00978014, 0.00828043, 0.00953784, 0.00958624, 0.00839315, 0.0111942, 0.00960089, 0.00259133
-1055.08,0.869108,0.229831,4,15,0,1063.63,0.352021,0.246886,-0.223562,-0.240718,0.182542,-0.122273,0.200661,0.248512,0.0381264,-0.282678,0.177857,0.0235477,-0.135392,0.0756404,-0.334125,0.150798,-0.205826,-0.0201902,-0.223735,0.275666,0.352021,0.246886,-0.223562,-0.240718,0.182542,-0.122273,0.200661,0.248512,0.0381264,-0.282678,0.177857,0.0235477,-0.135392,0.0756404,-0.334125,0.150798,-0.205826,-0.0201902,-0.223735,0.091909,-1054.63
-1050.66,0.997031,0.229831,4,15,0,1060.46,0.286861,0.296105,-0.399714,-0.122418,0.193485,-0.133966,0.191346,0.214931,-0.0302373,-0.158782,0.157732,0.0494386,-0.205146,0.00614957,-0.356783,0.233095,-0.226787,-0.0458664,-0.137841,0.315113,0.286861,0.296105,-0.399714,-0.122418,0.193485,-0.133966,0.191346,0.214931,-0.0302373,-0.158782,0.157732,0.0494386,-0.205146,0.00614957,-0.356783,0.233095,-0.226787,-0.0458664,-0.137841,0.188396,-1050.2
-1054.37,0.976003,0.229831,4,15,0,1061.02,0.253208,0.34335,-0.4132,-0.243202,0.248216,-0.140643,0.236909,0.171486,-0.0262811,-0.126779,0.170055,0.0626298,-0.292768,0.117124,-0.263992,0.156796,-0.204963,-0.122493,-0.0973796,0.328489,0.253208,0.34335,-0.4132,-0.243202,0.248216,-0.140643,0.236909,0.171486,-0.0262811,-0.126779,0.170055,0.0626298,-0.292768,0.117124,-0.263992,0.156796,-0.204963,-0.122493,-0.0973796,0.171927,-1053.87
-1055.03,0.859933,0.229831,4,15,0,1062.66,0.18176,0.0538217,-0.183984,0.0115341,0.0489127,-0.216593,-0.211082,0.0465164,0.0479717,0.0395121,0.119208,0.185823,-0.0847907,-0.0576743,-0.197797,0.383354,-0.0229645,0.169626,-0.344403,0.283036,0.18176,0.0538217,-0.183984,0.0115341,0.0489127,-0.216593,-0.211082,0.0465164,0.0479717,0.0395121,0.119208,0.185823,-0.0847907,-0.0576743,-0.197797,0.383354,-0.0229645,0.169626,-0.344403,0.0312483,-1054.7
-1053.16,0.975131,0.229831,4,15,0,1069.13,0.225494,0.127859,-0.34357,0.0455163,0.160162,-0.0755768,0.124978,0.121142,0.0435342,-0.165505,0.128836,0.227102,-0.425452,0.051125,-0.354918,0.174294,-0.116915,-0.0300371,-0.106389,0.359162,0.225494,0.127859,-0.34357,0.0455163,0.160162,-0.0755768,0.124978,0.121142,0.0435342,-0.165505,0.128836,0.227102,-0.425452,0.051125,-0.354918,0.174294,-0.116915,-0.0300371,-0.106389,0.188321,-1052.74
-1054.58,0.977315,0.229831,4,15,0,1063.69,0.201549,-0.00969504,-0.107222,-0.101447,0.104833,-0.30415,0.133501,0.0897802,0.0571774,-0.0910535,0.116086,0.238226,-0.0447557,0.174103,-0.379099,0.222422,-0.182813,0.00750685,-0.362165,0.282274,0.201549,-0.00969504,-0.107222,-0.101447,0.104833,-0.30415,0.133501,0.0897802,0.0571774,-0.0910535,0.116086,0.238226,-0.0447557,0.174103,-0.379099,0.222422,-0.182813,0.00750685,-0.362165,0.237215,-1054.21
-1053.42,0.940423,0.229831,4,15,0,1063.13,0.174696,0.00358346,-0.133196,-0.0897974,0.0414667,-0.264176,0.0843949,0.121467,0.141946,-0.145602,0.11197,0.226814,-0.0820746,0.13436,-0.38941,0.303955,-0.186266,-0.00514939,-0.318437,0.296261,0.174696,0.00358346,-0.133196,-0.0897974,0.0414667,-0.264176,0.0843949,0.121467,0.141946,-0.145602,0.11197,0.226814,-0.0820746,0.13436,-0.38941,0.303955,-0.186266,-0.00514939,-0.318437,0.269457,-1053.04
-1051.11,0.989016,0.229831,4,15,0,1060.75,0.0825441,0.391172,-0.263172,-0.0415839,0.130294,-0.0672636,-0.110722,0.0364172,-0.011077,-0.0584072,0.133125,-0.0124731,-0.204231,0.0129256,-0.315578,0.344561,-0.00694193,0.0651418,-0.197099,0.324875,0.0825441,0.391172,-0.263172,-0.0415839,0.130294,-0.0672636,-0.110722,0.0364172,-0.011077,-0.0584072,0.133125,-0.0124731,-0.204231,0.0129256,-0.315578,0.344561,-0.00694193,0.0651418,-0.197099,0.0923681,-1050.77
-1059.91,0.94133,0.229831,4,15,0,1067.52,0.250501,-0.0786106,-0.391661,-0.0458909,-0.00137328,-0.281621,0.0378995,0.172322,-0.0491703,-0.0609078,0.134841,-0.0205547,-0.0176768,0.0763575,-0.259814,0.176776,-0.15627,0.295175,-0.0283818,0.247344,0.250501,-0.0786106,-0.391661,-0.0458909,-0.00137328,-0.281621,0.0378995,0.172322,-0.0491703,-0.0609078,0.134841,-0.0205547,-0.0176768,0.0763575,-0.259814,0.176776,-0.15627,0.295175,-0.0283818,0.248061,-1059.59
-1056.92,0.998362,0.229831,4,15,0,1070.56,0.435534,0.356834,-0.384233,-0.18719,0.223546,-0.136697,-0.0368878,0.17694,-0.0416422,-0.141393,0.0759691,0.142896,-0.298948,0.0343858,-0.223082,0.269765,0.0705545,-0.0120282,-0.47337,0.369394,0.435534,0.356834,-0.384233,-0.18719,0.223546,-0.136697,-0.0368878,0.17694,-0.0416422,-0.141393,0.0759691,0.142896,-0.298948,0.0343858,-0.223082,0.269765,0.0705545,-0.0120282,-0.47337,0.149049,-1056.3
-1053.27,0.998513,0.229831,4,15,0,1063.84,0.450907,0.298772,-0.341574,-0.192753,0.235528,-0.0123988,0.00161114,0.131166,-0.124019,-0.140763,0.0533164,0.10368,-0.256342,-0.00550723,-0.202973,0.225714,-0.0255762,-0.0268382,-0.380636,0.313307,0.450907,0.298772,-0.341574,-0.192753,0.235528,-0.0123988,0.00161114,0.131166,-0.124019,-0.140763,0.0533164,0.10368,-0.256342,-0.00550723,-0.202973,0.225714,-0.0255762,-0.0268382,-0.380636,0.208686,-1052.79
-1053.33,0.987669,0.229831,4,15,0,1061.97,0.0078177,0.0575608,-0.333783,-0.109959,0.162127,-0.236433,-0.135212,-0.0777356,0.149223,0.0387604,0.251537,0.207238,-0.0684419,0.0628767,-0.187759,0.351043,-0.13298,0.0353978,-0.24054,0.274725,0.0078177,0.0575608,-0.333783,-0.109959,0.162127,-0.236433,-0.135212,-0.0777356,0.149223,0.0387604,0.251537,0.207238,-0.0684419,0.0628767,-0.187759,0.351043,-0.13298,0.0353978,-0.24054,0.199262,-1052.98
-1057.17,0.980897,0.229831,4,15,0,1065.54,0.197425,0.311887,-0.288447,-0.120894,0.0332221,-0.200615,0.119755,0.260226,-0.00154843,-0.114832,0.109156,-0.239644,-0.176527,0.12399,-0.259226,0.18851,0.0716178,0.109756,-0.287765,0.353136,0.197425,0.311887,-0.288447,-0.120894,0.0332221,-0.200615,0.119755,0.260226,-0.00154843,-0.114832,0.109156,-0.239644,-0.176527,0.12399,-0.259226,0.18851,0.0716178,0.109756,-0.287765,0.163953,-1056.76
-1049.27,0.99421,0.229831,4,15,0,1065.24,0.238842,0.11161,-0.295165,-0.125171,0.174891,-0.239315,0.0220156,-0.0548601,-0.0196199,-0.13446,0.212218,0.267678,-0.163855,-0.0226071,-0.07879,0.299144,-0.169347,-0.0259871,-0.197712,0.264999,0.238842,0.11161,-0.295165,-0.125171,0.174891,-0.239315,0.0220156,-0.0548601,-0.0196199,-0.13446,0.212218,0.267678,-0.163855,-0.0226071,-0.07879,0.299144,-0.169347,-0.0259871,-0.197712,0.200489,-1048.94
-1047.89,0.966359,0.229831,4,15,0,1057.9,0.23205,0.289501,-0.362558,-0.0933866,0.113183,-0.108314,-0.0256969,0.0371965,0.0363634,0.00241162,0.114374,-0.0205268,-0.164791,0.077599,-0.253127,0.165228,-0.0518376,0.00842203,-0.231028,0.362713,0.23205,0.289501,-0.362558,-0.0933866,0.113183,-0.108314,-0.0256969,0.0371965,0.0363634,0.00241162,0.114374,-0.0205268,-0.164791,0.077599,-0.253127,0.165228,-0.0518376,0.00842203,-0.231028,0.234937,-1047.58
-1050.33,0.996136,0.229831,4,15,0,1054.15,0.0947812,0.232894,-0.30239,0.0238333,0.0624965,-0.161142,0.0406663,0.160043,0.01993,-0.0998705,0.0672526,0.356063,-0.233681,-0.0145034,-0.198536,0.34131,-0.14955,-0.0648791,-0.304748,0.273233,0.0947812,0.232894,-0.30239,0.0238333,0.0624965,-0.161142,0.0406663,0.160043,0.01993,-0.0998705,0.0672526,0.356063,-0.233681,-0.0145034,-0.198536,0.34131,-0.14955,-0.0648791,-0.304748,0.130031,-1049.96
-1051.35,0.911489,0.229831,4,15,0,1059.5,0.216435,0.19149,-0.203301,-0.0918533,0.186201,-0.169153,0.1244,0.050159,-0.106575,-0.217611,0.198673,0.305393,-0.334427,0.0556501,-0.369236,0.218187,-0.0660977,-0.0198211,-0.243673,0.324893,0.216435,0.19149,-0.203301,-0.0918533,0.186201,-0.169153,0.1244,0.050159,-0.106575,-0.217611,0.198673,0.305393,-0.334427,0.0556501,-0.369236,0.218187,-0.0660977,-0.0198211,-0.243673,0.27516,-1050.91
-1055.07,0.986457,0.229831,4,15,0,1061.38,0.120609,0.226754,-0.394977,-0.0363203,0.159208,-0.200545,-0.101428,0.0803302,0.160621,0.108295,0.0310262,-0.145707,-0.0719232,0.026581,-0.102,0.249991,-0.211733,0.0238246,-0.224771,0.295974,0.120609,0.226754,-0.394977,-0.0363203,0.159208,-0.200545,-0.101428,0.0803302,0.160621,0.108295,0.0310262,-0.145707,-0.0719232,0.026581,-0.102,0.249991,-0.211733,0.0238246,-0.224771,0.302165,-1054.76
-1052.62,0.998776,0.229831,4,15,0,1061.96,0.0377184,0.157563,-0.286515,-0.0553969,0.230071,-0.148058,-0.0415343,0.0509978,0.100327,0.144671,0.0275321,-0.0276038,-0.0530522,0.0682137,-0.187525,0.295704,-0.208332,0.0388212,-0.232233,0.287328,0.0377184,0.157563,-0.286515,-0.0553969,0.230071,-0.148058,-0.0415343,0.0509978,0.100327,0.144671,0.0275321,-0.0276038,-0.0530522,0.0682137,-0.187525,0.295704,-0.208332,0.0388212,-0.232233,0.0886307,-1052.36
-1054.97,0.983423,0.229831,4,15,0,1068.41,0.172653,0.121636,-0.280066,-0.0323696,0.0066974,-0.257318,-0.0178051,0.14096,0.0891654,-0.286752,0.119152,0.218628,-0.0534803,-0.00610506,-0.239108,0.131341,0.0923568,-0.0354503,-0.121237,0.3883,0.172653,0.121636,-0.280066,-0.0323696,0.0066974,-0.257318,-0.0178051,0.14096,0.0891654,-0.286752,0.119152,0.218628,-0.0534803,-0.00610506,-0.239108,0.131341,0.0923568,-0.0354503,-0.121237,0.237103,-1054.66
-1053.97,0.996599,0.229831,4,15,0,1065.13,0.144807,0.290355,-0.409006,-0.000449083,0.101367,-0.220975,-0.0786894,0.159833,-0.00761248,-0.272539,0.00849826,0.299291,-0.158501,0.126818,-0.145455,0.195309,-0.143033,0.139129,-0.267869,0.369034,0.144807,0.290355,-0.409006,-0.000449083,0.101367,-0.220975,-0.0786894,0.159833,-0.00761248,-0.272539,0.00849826,0.299291,-0.158501,0.126818,-0.145455,0.195309,-0.143033,0.139129,-0.267869,0.238723,-1053.54
-1048.86,0.894874,0.229831,4,15,0,1061.91,0.234772,0.238633,-0.36386,-0.00505331,0.157684,-0.0755781,-0.0818904,0.0388316,0.0293863,-0.0912471,0.139238,0.125311,-0.141693,-0.0606858,-0.272674,0.283289,-0.196074,-0.0739998,-0.230571,0.280023,0.234772,0.238633,-0.36386,-0.00505331,0.157684,-0.0755781,-0.0818904,0.0388316,0.0293863,-0.0912471,0.139238,0.125311,-0.141693,-0.0606858,-0.272674,0.283289,-0.196074,-0.0739998,-0.230571,0.346181,-1048.52
