# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/xxhjg4kf.json
# init = 2 (Default)
# random
#   seed = 9150
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2fw8_rqkm/poisson_2-20250829005303_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.23494
# Diagonal elements of inverse mass matrix:
# 0.0710336, 0.0738584, 0.0969624, 0.0722048, 0.0887983, 0.0735226, 0.0786912, 0.108849, 0.0872732, 0.0715987, 0.0791064, 0.0649282, 0.0789531, 0.0741185, 0.0859971, 0.0652017, 0.0780329, 0.0863408, 0.0798919, 0.0175246
-132.468,0.971606,0.23494,4,15,0,145.41,-0.59896,0.139767,-0.240603,-0.158138,0.401185,0.33471,-0.219352,0.438503,0.554765,-0.247165,0.161761,0.324938,-0.256579,-0.207733,-0.510774,0.941363,-0.351631,-0.217462,-0.597037,-0.0184186,-0.59896,0.139767,-0.240603,-0.158138,0.401185,0.33471,-0.219352,0.438503,0.554765,-0.247165,0.161761,0.324938,-0.256579,-0.207733,-0.510774,0.941363,-0.351631,-0.217462,-0.597037,0.30844,-130.839
-134.773,0.98188,0.23494,4,15,0,144.393,-0.517401,0.0400548,-0.104396,-0.528551,0.240763,0.588705,0.767575,-0.0567825,0.258285,0.0106573,0.310605,0.139281,-0.450506,-0.445981,-0.492968,0.921117,0.28431,-0.337153,-0.782669,0.0290068,-0.517401,0.0400548,-0.104396,-0.528551,0.240763,0.588705,0.767575,-0.0567825,0.258285,0.0106573,0.310605,0.139281,-0.450506,-0.445981,-0.492968,0.921117,0.28431,-0.337153,-0.782669,0.155055,-132.752
-133.639,0.87723,0.23494,4,15,0,140.764,-0.22335,0.103038,-0.345563,0.233497,0.291082,0.262587,-0.625301,-0.192904,-0.0390855,-0.258601,0.0360206,0.667017,-0.0277101,-0.359069,0.00128767,0.353769,-0.646763,0.17131,0.105712,0.0634451,-0.22335,0.103038,-0.345563,0.233497,0.291082,0.262587,-0.625301,-0.192904,-0.0390855,-0.258601,0.0360206,0.667017,-0.0277101,-0.359069,0.00128767,0.353769,-0.646763,0.17131,0.105712,0.493026,-132.614
-138.131,0.877531,0.23494,4,15,0,149.938,-0.318709,0.241793,0.579718,0.611109,0.71358,0.237097,-0.0122167,-0.539528,-0.0112585,-0.259528,0.100256,0.042478,-0.887408,-0.697039,-0.440065,-0.122043,-0.0812631,0.209994,0.00612003,0.0990427,-0.318709,0.241793,0.579718,0.611109,0.71358,0.237097,-0.0122167,-0.539528,-0.0112585,-0.259528,0.100256,0.042478,-0.887408,-0.697039,-0.440065,-0.122043,-0.0812631,0.209994,0.00612003,0.626913,-136.457
-131.052,0.994839,0.23494,4,15,0,148.223,-0.335258,-0.0782511,0.0491867,0.513612,0.448285,-0.0428072,0.0113989,-0.0516554,-0.0740827,-0.687813,0.0550556,0.158661,-0.019557,-0.4264,-0.0582472,0.461205,0.188819,0.00871164,-0.483799,-0.10631,-0.335258,-0.0782511,0.0491867,0.513612,0.448285,-0.0428072,0.0113989,-0.0516554,-0.0740827,-0.687813,0.0550556,0.158661,-0.019557,-0.4264,-0.0582472,0.461205,0.188819,0.00871164,-0.483799,0.362935,-130.164
-131.267,0.999973,0.23494,4,15,0,138.29,-0.335612,-0.173093,0.038032,0.587921,0.437346,0.0385717,0.0641525,-0.0731764,-0.0755469,-0.670583,-0.0676009,0.213963,0.0204531,-0.369234,-0.0924422,0.491399,0.115608,-0.00362124,-0.516993,-0.134895,-0.335612,-0.173093,0.038032,0.587921,0.437346,0.0385717,0.0641525,-0.0731764,-0.0755469,-0.670583,-0.0676009,0.213963,0.0204531,-0.369234,-0.0924422,0.491399,0.115608,-0.00362124,-0.516993,0.370456,-130.325
-134.407,0.989163,0.23494,4,15,0,141.8,-0.301076,-0.0163671,-0.445358,-0.779156,-0.195802,0.685638,0.0284286,-0.258583,0.5508,0.250132,0.783297,0.201524,-0.0458393,-0.210811,-0.47043,0.240615,-0.181847,-0.132856,-0.00177607,0.179692,-0.301076,-0.0163671,-0.445358,-0.779156,-0.195802,0.685638,0.0284286,-0.258583,0.5508,0.250132,0.783297,0.201524,-0.0458393,-0.210811,-0.47043,0.240615,-0.181847,-0.132856,-0.00177607,0.299467,-132.956
-129.874,0.971655,0.23494,4,15,0,140.9,-0.492412,-0.0270612,-0.14611,0.501746,0.424385,0.376964,-0.281237,-0.439999,-0.279621,-0.17327,-0.294728,0.184541,0.141835,-0.0478368,-0.312053,0.450243,0.310055,-0.0414402,-0.234909,0.0687745,-0.492412,-0.0270612,-0.14611,0.501746,0.424385,0.376964,-0.281237,-0.439999,-0.279621,-0.17327,-0.294728,0.184541,0.141835,-0.0478368,-0.312053,0.450243,0.310055,-0.0414402,-0.234909,0.380909,-128.963
-131.639,0.949465,0.23494,4,15,0,136.798,-0.428465,0.319262,-0.036506,-0.352875,0.0102291,0.655683,0.637102,0.23417,0.0406235,-0.345342,0.452965,0.316117,-0.468441,-0.249518,-0.39508,0.312995,-0.587071,-0.0816542,-0.514935,0.075453,-0.428465,0.319262,-0.036506,-0.352875,0.0102291,0.655683,0.637102,0.23417,0.0406235,-0.345342,0.452965,0.316117,-0.468441,-0.249518,-0.39508,0.312995,-0.587071,-0.0816542,-0.514935,0.48074,-130.196
-131.536,0.957097,0.23494,4,15,0,140.033,-0.113672,0.182657,-0.129391,0.508498,0.150788,0.304093,-0.598609,-0.202436,-0.152094,-0.216285,0.332946,0.31747,0.00479895,-0.0410186,-0.347342,0.877717,-0.0493228,-0.407009,-0.635345,0.0184338,-0.113672,0.182657,-0.129391,0.508498,0.150788,0.304093,-0.598609,-0.202436,-0.152094,-0.216285,0.332946,0.31747,0.00479895,-0.0410186,-0.347342,0.877717,-0.0493228,-0.407009,-0.635345,0.213556,-130.245
-133.774,0.99387,0.23494,4,15,0,140.553,0.221995,0.0721071,0.150649,-0.0580679,-0.226723,0.635122,0.400651,0.252918,-0.11173,-0.560026,0.663608,-0.0920396,-0.461205,-0.0455096,-0.0730192,0.305848,-0.379421,-0.60646,-0.360123,0.0397636,0.221995,0.0721071,0.150649,-0.0580679,-0.226723,0.635122,0.400651,0.252918,-0.11173,-0.560026,0.663608,-0.0920396,-0.461205,-0.0455096,-0.0730192,0.305848,-0.379421,-0.60646,-0.360123,0.271426,-132.528
-133.361,0.963593,0.23494,4,15,0,145.591,-0.170112,0.434397,0.172919,0.0668756,-0.154231,0.164114,0.381596,0.0281969,-0.251787,-0.564656,0.549492,0.249733,-0.0714421,-0.279762,-0.851701,0.651382,-0.0524944,-0.0475722,-0.444329,0.341553,-0.170112,0.434397,0.172919,0.0668756,-0.154231,0.164114,0.381596,0.0281969,-0.251787,-0.564656,0.549492,0.249733,-0.0714421,-0.279762,-0.851701,0.651382,-0.0524944,-0.0475722,-0.444329,0.189384,-131.987
-130.153,1,0.23494,4,15,0,138.055,-0.136421,0.329365,-0.0253142,0.143337,0.0922952,0.42189,-0.354226,-0.0181767,0.127401,-0.208455,0.183702,0.286534,-0.508867,-0.149083,0.496758,0.446898,-0.230065,-0.357602,-0.793585,-0.0618821,-0.136421,0.329365,-0.0253142,0.143337,0.0922952,0.42189,-0.354226,-0.0181767,0.127401,-0.208455,0.183702,0.286534,-0.508867,-0.149083,0.496758,0.446898,-0.230065,-0.357602,-0.793585,0.253616,-129.064
