# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/51k80lmi.json
# init = 2 (Default)
# random
#   seed = 98956
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2i_3eb22i/poisson_2-20250829005312_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.266282
# Diagonal elements of inverse mass matrix:
# 0.041072, 0.0372872, 0.0374202, 0.037891, 0.0462252, 0.0431634, 0.0354928, 0.0345885, 0.0317174, 0.0371895, 0.0364337, 0.0397441, 0.0374288, 0.0442372, 0.0403519, 0.0381554, 0.0323411, 0.0388901, 0.0431204, 0.00893623
-274.356,0.725963,0.266282,4,15,0,290.108,0.0855774,0.257587,-0.0546695,-0.3262,-0.420128,-0.0262183,0.147064,0.304137,-0.0656012,-0.080725,0.245355,-0.240819,-0.0331975,-0.0474258,-0.0307875,-0.434932,0.00404746,0.3613,0.23375,0.161576,0.0855774,0.257587,-0.0546695,-0.3262,-0.420128,-0.0262183,0.147064,0.304137,-0.0656012,-0.080725,0.245355,-0.240819,-0.0331975,-0.0474258,-0.0307875,-0.434932,0.00404746,0.3613,0.23375,0.121885,-273.851
-267.913,0.998393,0.266282,4,15,0,282.218,0.075468,0.0874045,0.238468,-0.186566,-0.0499967,0.0903205,0.17332,0.397866,-0.101223,-0.264235,-0.00663023,-0.190428,0.317977,-0.127996,0.138465,-0.149862,-0.411508,0.363368,-0.202045,0.294562,0.075468,0.0874045,0.238468,-0.186566,-0.0499967,0.0903205,0.17332,0.397866,-0.101223,-0.264235,-0.00663023,-0.190428,0.317977,-0.127996,0.138465,-0.149862,-0.411508,0.363368,-0.202045,-0.192166,-267.409
-270.842,0.822104,0.266282,4,15,0,277.087,0.0250268,0.636478,-0.115931,0.235409,-0.0205688,0.144343,-0.0380966,-0.0806295,-0.32727,-0.200006,-0.0640641,-0.145147,0.0800184,-0.119033,0.385363,-0.284594,-0.289086,0.569231,-0.0184878,0.0646992,0.0250268,0.636478,-0.115931,0.235409,-0.0205688,0.144343,-0.0380966,-0.0806295,-0.32727,-0.200006,-0.0640641,-0.145147,0.0800184,-0.119033,0.385363,-0.284594,-0.289086,0.569231,-0.0184878,-0.372955,-270.173
-272.535,0.927535,0.266282,4,15,0,280.509,-0.0172685,0.593328,-0.0220854,0.258409,-0.0802626,0.259802,-0.0357797,-0.0990247,-0.228667,-0.181869,-0.200823,-0.105849,0.0925806,0.0565125,0.274284,-0.324321,-0.341694,0.455603,-0.115717,-0.0529002,-0.0172685,0.593328,-0.0220854,0.258409,-0.0802626,0.259802,-0.0357797,-0.0990247,-0.228667,-0.181869,-0.200823,-0.105849,0.0925806,0.0565125,0.274284,-0.324321,-0.341694,0.455603,-0.115717,-0.237157,-271.948
-270.512,1,0.266282,4,15,0,277.592,0.274316,0.219222,0.19378,-0.14471,-0.47714,-0.178577,-0.131925,0.275057,-0.339375,-0.204003,0.401684,-0.220434,0.423548,0.0632257,0.377334,-0.101831,-0.468242,0.516264,-0.357532,0.181249,0.274316,0.219222,0.19378,-0.14471,-0.47714,-0.178577,-0.131925,0.275057,-0.339375,-0.204003,0.401684,-0.220434,0.423548,0.0632257,0.377334,-0.101831,-0.468242,0.516264,-0.357532,-0.120662,-269.57
-270.151,0.994932,0.266282,4,15,0,276.879,0.117351,0.230912,0.165385,-0.362528,-0.3697,-0.184728,0.0637049,0.412663,-0.247173,-0.247697,0.077476,0.103567,0.52918,-0.052433,0.444971,-0.0344606,-0.366403,0.270238,-0.461888,0.0634926,0.117351,0.230912,0.165385,-0.362528,-0.3697,-0.184728,0.0637049,0.412663,-0.247173,-0.247697,0.077476,0.103567,0.52918,-0.052433,0.444971,-0.0344606,-0.366403,0.270238,-0.461888,-0.088438,-269.342
-269.961,0.944815,0.266282,4,15,0,282.035,0.176172,0.499166,-0.177405,0.26672,-0.171557,0.174719,0.0870227,0.425614,-0.250154,-0.0563433,-0.316878,-0.507184,-0.136957,-0.0644077,0.288215,-0.247556,-0.262194,0.368721,0.0458842,0.161214,0.176172,0.499166,-0.177405,0.26672,-0.171557,0.174719,0.0870227,0.425614,-0.250154,-0.0563433,-0.316878,-0.507184,-0.136957,-0.0644077,0.288215,-0.247556,-0.262194,0.368721,0.0458842,-0.141599,-269.234
-269.178,0.933226,0.266282,4,15,0,283.562,0.11776,0.168057,0.219514,-0.251865,-0.0694338,-0.131372,-0.00191671,0.00474564,-0.15067,-0.193392,0.133854,0.0722658,0.394453,-0.0989654,0.14367,-0.235508,-0.295752,0.499526,-0.241583,0.154417,0.11776,0.168057,0.219514,-0.251865,-0.0694338,-0.131372,-0.00191671,0.00474564,-0.15067,-0.193392,0.133854,0.0722658,0.394453,-0.0989654,0.14367,-0.235508,-0.295752,0.499526,-0.241583,-0.083387,-268.718
