# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/51k80lmi.json
# init = 2 (Default)
# random
#   seed = 98956
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2i_3eb22i/poisson_2-20250829005312_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.216453
# Diagonal elements of inverse mass matrix:
# 0.0416088, 0.0449926, 0.0364656, 0.0440496, 0.03685, 0.0434875, 0.0423142, 0.040667, 0.0392975, 0.0415119, 0.0446056, 0.0392072, 0.0354616, 0.0398887, 0.0410039, 0.0370117, 0.0387723, 0.040294, 0.0354906, 0.0105414
-272.267,0.98931,0.216453,4,15,0,285.294,0.135478,0.101362,-0.226875,0.105004,-0.00117915,0.255859,0.20166,0.398239,-0.382132,-0.176124,-0.181751,-0.392272,0.491995,-0.0284072,0.442841,-0.0582914,-0.170644,-0.158594,-0.181981,0.108785,0.135478,0.101362,-0.226875,0.105004,-0.00117915,0.255859,0.20166,0.398239,-0.382132,-0.176124,-0.181751,-0.392272,0.491995,-0.0284072,0.442841,-0.0582914,-0.170644,-0.158594,-0.181981,-0.174187,-271.636
-271.716,0.905246,0.216453,4,15,0,278.729,0.102023,0.324315,0.144816,-0.0719784,-0.251739,-0.124566,0.0778004,0.209022,-0.243247,-0.143614,0.183962,-0.027584,-0.18146,0.232988,0.234367,-0.35779,-0.502549,0.822656,-0.179369,0.141043,0.102023,0.324315,0.144816,-0.0719784,-0.251739,-0.124566,0.0778004,0.209022,-0.243247,-0.143614,0.183962,-0.027584,-0.18146,0.232988,0.234367,-0.35779,-0.502549,0.822656,-0.179369,-0.248054,-270.898
-270.687,0.933657,0.216453,4,15,0,279.283,0.042049,0.0864917,0.0280129,0.16326,0.132082,-0.0105813,0.190117,0.227813,-0.261092,-0.222544,0.111095,0.122835,0.207515,0.0278775,0.288946,-0.726222,-0.216768,0.498704,-0.295942,0.127157,0.042049,0.0864917,0.0280129,0.16326,0.132082,-0.0105813,0.190117,0.227813,-0.261092,-0.222544,0.111095,0.122835,0.207515,0.0278775,0.288946,-0.726222,-0.216768,0.498704,-0.295942,-0.39365,-270.017
-269.308,0.902511,0.216453,4,31,0,281.451,0.188741,0.506159,-0.0603367,-0.107365,-0.538475,0.0406236,0.17483,0.390112,-0.221798,0.0160801,0.0262417,-0.498006,0.255669,-0.0328808,0.144463,0.126429,-0.413579,0.376147,-0.0490126,0.0563884,0.188741,0.506159,-0.0603367,-0.107365,-0.538475,0.0406236,0.17483,0.390112,-0.221798,0.0160801,0.0262417,-0.498006,0.255669,-0.0328808,0.144463,0.126429,-0.413579,0.376147,-0.0490126,-0.324043,-268.558
-272.871,0.825228,0.216453,4,15,0,279.928,0.204691,0.229872,0.156923,-0.121033,-0.117973,0.0567592,0.370282,0.183575,-0.323343,-0.226344,0.110433,-0.0411111,-0.015772,-0.172535,0.697141,-0.453738,-0.311775,0.229956,0.0577466,0.00950936,0.204691,0.229872,0.156923,-0.121033,-0.117973,0.0567592,0.370282,0.183575,-0.323343,-0.226344,0.110433,-0.0411111,-0.015772,-0.172535,0.697141,-0.453738,-0.311775,0.229956,0.0577466,-0.513753,-272.188
-272.51,0.939746,0.216453,4,15,0,277.645,0.138569,0.327428,-0.26128,0.144748,-0.316708,-0.0219752,-0.0503693,0.578582,-0.155688,-0.088396,-0.0339986,-0.360875,0.403595,0.256706,0.0132804,0.0935562,-0.304646,0.47205,-0.438474,0.231717,0.138569,0.327428,-0.26128,0.144748,-0.316708,-0.0219752,-0.0503693,0.578582,-0.155688,-0.088396,-0.0339986,-0.360875,0.403595,0.256706,0.0132804,0.0935562,-0.304646,0.47205,-0.438474,-0.396103,-271.702
