# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/3bd2d4pw.json
# init = 2 (Default)
# random
#   seed = 59067
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2slznr0jb/poisson_2-20250829005309_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.218848
# Diagonal elements of inverse mass matrix:
# 0.00948637, 0.0109044, 0.0129209, 0.00962816, 0.0109384, 0.0107142, 0.0100945, 0.0103288, 0.00931774, 0.00919763, 0.0100844, 0.0101059, 0.011659, 0.00827727, 0.0117558, 0.0093784, 0.010889, 0.00825762, 0.00990465, 0.00235309
-1019.54,0.876533,0.218848,4,15,0,1024.73,0.441662,0.121186,0.0655094,0.18512,-0.186083,-0.145648,0.0967372,-0.0572185,-0.106373,-0.239396,0.19765,-0.223386,0.076003,-0.0671263,-0.0197771,0.12512,-0.357109,0.0450864,-0.0274461,0.107531,0.441662,0.121186,0.0655094,0.18512,-0.186083,-0.145648,0.0967372,-0.0572185,-0.106373,-0.239396,0.19765,-0.223386,0.076003,-0.0671263,-0.0197771,0.12512,-0.357109,0.0450864,-0.0274461,0.0754902,-1019.22
-1018.13,1,0.218848,4,15,0,1030.62,0.293408,0.141447,0.00513452,-0.230189,0.0758838,0.224552,0.573807,-0.0570955,0.101076,-0.282738,-0.163735,0.0493984,-0.28551,-0.0371945,-0.0402953,0.000138974,-0.467674,0.103232,-0.00387398,0.267427,0.293408,0.141447,0.00513452,-0.230189,0.0758838,0.224552,0.573807,-0.0570955,0.101076,-0.282738,-0.163735,0.0493984,-0.28551,-0.0371945,-0.0402953,0.000138974,-0.467674,0.103232,-0.00387398,0.000228109,-1017.6
-1015.49,0.977363,0.218848,4,15,0,1025.18,0.397976,0.163165,0.114196,0.0578488,-0.16338,-0.232117,0.109217,-0.0504687,0.11429,0.0422838,0.146452,-0.100027,0.0380371,-0.0703062,-0.153768,0.0381198,-0.448185,0.07037,-0.0753782,0.127987,0.397976,0.163165,0.114196,0.0578488,-0.16338,-0.232117,0.109217,-0.0504687,0.11429,0.0422838,0.146452,-0.100027,0.0380371,-0.0703062,-0.153768,0.0381198,-0.448185,0.07037,-0.0753782,0.00167427,-1015.19
-1017.84,0.975305,0.218848,4,15,0,1026.8,0.196279,0.064369,0.031668,-0.172007,-0.138844,0.342186,0.503423,0.0307313,-0.0268922,-0.168252,-0.0283302,-0.000468596,-0.257587,-0.0486858,0.206248,0.0565296,-0.46401,0.0278664,0.038756,0.218845,0.196279,0.064369,0.031668,-0.172007,-0.138844,0.342186,0.503423,0.0307313,-0.0268922,-0.168252,-0.0283302,-0.000468596,-0.257587,-0.0486858,0.206248,0.0565296,-0.46401,0.0278664,0.038756,-0.19298,-1017.41
-1013.94,0.914097,0.218848,4,15,0,1029.74,0.422051,0.0141198,0.0459991,-0.361249,-0.0984155,-0.0150314,0.265133,-0.172488,0.127274,-0.075299,0.0440523,-0.0384103,-0.0961901,-0.00697386,0.0949404,0.0153844,-0.286216,0.147355,0.0518632,0.211083,0.422051,0.0141198,0.0459991,-0.361249,-0.0984155,-0.0150314,0.265133,-0.172488,0.127274,-0.075299,0.0440523,-0.0384103,-0.0961901,-0.00697386,0.0949404,0.0153844,-0.286216,0.147355,0.0518632,-0.0778997,-1013.63
-1017.23,0.970396,0.218848,4,15,0,1027.21,0.298149,0.275508,-0.0207789,0.182807,-0.0176704,-0.0881779,0.302003,-0.115252,-0.0436348,-0.0386032,-0.0163209,-0.354268,-0.0858369,0.0105332,-0.150135,0.330658,-0.521225,0.185415,-0.0623933,0.152677,0.298149,0.275508,-0.0207789,0.182807,-0.0176704,-0.0881779,0.302003,-0.115252,-0.0436348,-0.0386032,-0.0163209,-0.354268,-0.0858369,0.0105332,-0.150135,0.330658,-0.521225,0.185415,-0.0623933,-0.0707766,-1016.77
