# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/0jg22e9z.json
# init = 2 (Default)
# random
#   seed = 11838
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2bzpiqbq8/poisson_2-20250829005320_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.239407
# Diagonal elements of inverse mass matrix:
# 0.0373193, 0.0417803, 0.043664, 0.035239, 0.0339888, 0.0311178, 0.0347843, 0.0331634, 0.0358327, 0.0385559, 0.0331501, 0.0365043, 0.0380487, 0.0417466, 0.0358411, 0.038894, 0.0370624, 0.0338992, 0.0397926, 0.00893595
-265.244,0.870773,0.239407,4,15,0,276.164,0.0330348,-0.117201,0.260984,0.329726,0.365089,-0.00636071,0.466611,0.103074,-0.230651,0.122267,-0.302659,-0.0100687,-0.418214,-0.141456,-0.259457,-0.00577626,-0.195913,-0.0763714,-0.0622019,0.113456,0.0330348,-0.117201,0.260984,0.329726,0.365089,-0.00636071,0.466611,0.103074,-0.230651,0.122267,-0.302659,-0.0100687,-0.418214,-0.141456,-0.259457,-0.00577626,-0.195913,-0.0763714,-0.0622019,0.145544,-264.726
-265.483,0.969403,0.239407,4,15,0,277.44,-0.0760234,-0.0998366,0.0828841,0.244656,0.311367,0.0563388,0.416544,0.0784109,-0.21133,0.229009,-0.0514593,0.0427498,-0.34972,-0.148767,-0.0485281,-0.00138629,-0.231165,-0.000248931,0.073839,0.140383,-0.0760234,-0.0998366,0.0828841,0.244656,0.311367,0.0563388,0.416544,0.0784109,-0.21133,0.229009,-0.0514593,0.0427498,-0.34972,-0.148767,-0.0485281,-0.00138629,-0.231165,-0.000248931,0.073839,-0.317334,-265.138
-268.534,0.76531,0.239407,4,15,0,277.095,0.188493,0.116456,-0.107679,0.127513,0.0368509,0.06431,0.321016,0.252007,0.0140152,0.150771,-0.579611,0.0434289,-0.216192,-0.10648,-0.358558,0.0407655,-0.122964,-0.105617,-0.0920395,0.465408,0.188493,0.116456,-0.107679,0.127513,0.0368509,0.06431,0.321016,0.252007,0.0140152,0.150771,-0.579611,0.0434289,-0.216192,-0.10648,-0.358558,0.0407655,-0.122964,-0.105617,-0.0920395,0.333514,-268.01
-269.578,0.992479,0.239407,4,15,0,277.454,0.173155,0.257093,-0.246481,0.0380849,-0.00197336,0.00286074,0.420259,0.126065,0.120723,0.040697,-0.487638,-0.0575953,-0.131946,0.147679,-0.112028,0.0644039,0.0631564,-0.0577008,-0.0434643,0.361857,0.173155,0.257093,-0.246481,0.0380849,-0.00197336,0.00286074,0.420259,0.126065,0.120723,0.040697,-0.487638,-0.0575953,-0.131946,0.147679,-0.112028,0.0644039,0.0631564,-0.0577008,-0.0434643,-0.31535,-269.175
-269.755,0.968835,0.239407,4,15,0,285.131,-0.0313873,-0.170569,-0.0837556,0.250642,-0.193312,-0.165581,0.494969,0.42561,-0.194325,0.187396,-0.0883074,0.0910174,-0.206949,-0.174266,-0.496967,-0.192678,-0.0517989,0.223135,0.205765,0.292635,-0.0313873,-0.170569,-0.0837556,0.250642,-0.193312,-0.165581,0.494969,0.42561,-0.194325,0.187396,-0.0883074,0.0910174,-0.206949,-0.174266,-0.496967,-0.192678,-0.0517989,0.223135,0.205765,0.171362,-269.146
-273.539,0.989842,0.239407,4,15,0,282.705,-0.205587,0.191833,0.136701,0.384452,0.204916,0.308927,0.0100618,0.317802,-0.345877,0.00311369,-0.10092,-0.000862549,-0.431301,-0.0560183,-0.0364176,-0.187692,0.0349105,-0.205363,-0.0168016,0.122013,-0.205587,0.191833,0.136701,0.384452,0.204916,0.308927,0.0100618,0.317802,-0.345877,0.00311369,-0.10092,-0.000862549,-0.431301,-0.0560183,-0.0364176,-0.187692,0.0349105,-0.205363,-0.0168016,-0.00587785,-273.09
