# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/0jg22e9z.json
# init = 2 (Default)
# random
#   seed = 11838
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2bzpiqbq8/poisson_2-20250829005320_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.228461
# Diagonal elements of inverse mass matrix:
# 0.0394629, 0.0355197, 0.0392313, 0.0362154, 0.0371227, 0.038878, 0.0337304, 0.0335115, 0.0345277, 0.0339736, 0.0410748, 0.0356534, 0.0385622, 0.0362599, 0.037735, 0.0374985, 0.0364575, 0.0351424, 0.0411763, 0.00826776
-267.842,0.998235,0.228461,4,15,0,278.275,0.104973,0.0752137,0.188514,0.0285457,0.30932,0.173042,0.361643,0.0509989,-0.00854539,0.0356083,-0.353695,0.0191835,-0.0701725,0.013062,-0.250805,-0.222421,-0.331345,0.284243,-0.236329,0.293543,0.104973,0.0752137,0.188514,0.0285457,0.30932,0.173042,0.361643,0.0509989,-0.00854539,0.0356083,-0.353695,0.0191835,-0.0701725,0.013062,-0.250805,-0.222421,-0.331345,0.284243,-0.236329,-0.171034,-267.397
-272.11,0.973767,0.228461,4,15,0,278.675,0.362489,-0.0236024,-0.163746,0.261797,0.156684,-0.0290442,0.476582,0.265608,-0.402202,0.320472,-0.246626,-0.0317677,-0.461678,0.137928,-0.549476,-0.0895255,-0.35959,0.446572,0.0998151,0.355258,0.362489,-0.0236024,-0.163746,0.261797,0.156684,-0.0290442,0.476582,0.265608,-0.402202,0.320472,-0.246626,-0.0317677,-0.461678,0.137928,-0.549476,-0.0895255,-0.35959,0.446572,0.0998151,-0.17069,-271.168
-266.725,1,0.228461,4,15,0,276.343,0.081093,0.150586,0.196325,0.0444033,0.224093,0.0698659,0.350681,-0.048077,-0.173162,-0.223779,-0.240845,0.110133,-0.263282,-0.299876,-0.055647,-0.0902548,0.171971,-0.144794,0.118797,0.178981,0.081093,0.150586,0.196325,0.0444033,0.224093,0.0698659,0.350681,-0.048077,-0.173162,-0.223779,-0.240845,0.110133,-0.263282,-0.299876,-0.055647,-0.0902548,0.171971,-0.144794,0.118797,0.0217679,-266.392
-272.031,0.861842,0.228461,4,15,0,278.39,0.163704,0.0764579,0.187592,-0.134082,0.115947,0.205886,0.2176,0.14495,-0.156949,0.375835,-0.533406,0.28811,-0.463963,0.0997127,-0.530375,0.2443,0.104845,-0.13038,-0.00439776,0.257958,0.163704,0.0764579,0.187592,-0.134082,0.115947,0.205886,0.2176,0.14495,-0.156949,0.375835,-0.533406,0.28811,-0.463963,0.0997127,-0.530375,0.2443,0.104845,-0.13038,-0.00439776,-0.271387,-271.329
-272.153,1,0.228461,4,15,0,280.905,0.232639,0.165826,-0.0830545,0.566505,0.157274,-0.208382,0.717297,0.0234285,-0.201313,-0.0548535,-0.158899,-0.205965,-0.174573,-0.557664,0.134792,-0.232109,-0.222226,0.0849067,0.166413,0.213116,0.232639,0.165826,-0.0830545,0.566505,0.157274,-0.208382,0.717297,0.0234285,-0.201313,-0.0548535,-0.158899,-0.205965,-0.174573,-0.557664,0.134792,-0.232109,-0.222226,0.0849067,0.166413,-0.150041,-271.329
-270.241,0.711587,0.228461,4,15,0,282.712,0.235095,0.15083,0.218309,0.300994,0.0461512,-0.373306,0.620667,0.111036,-0.305099,-0.0259347,-0.559402,-0.0356354,-0.423221,-0.0719914,-0.158349,-0.286281,-0.132726,-0.128888,0.432204,0.128139,0.235095,0.15083,0.218309,0.300994,0.0461512,-0.373306,0.620667,0.111036,-0.305099,-0.0259347,-0.559402,-0.0356354,-0.423221,-0.0719914,-0.158349,-0.286281,-0.132726,-0.128888,0.432204,0.385545,-269.395
