# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/cpvfg5wk.json
# init = 2 (Default)
# random
#   seed = 69716
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2gj5i4fw4/poisson_2-20250829005321_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.215667
# Diagonal elements of inverse mass matrix:
# 0.0312444, 0.0228034, 0.0262339, 0.023137, 0.0205946, 0.0200083, 0.0226615, 0.0218701, 0.0231779, 0.0255189, 0.024638, 0.0229803, 0.0226962, 0.02613, 0.0264335, 0.0220798, 0.0238052, 0.0232626, 0.0219408, 0.00502436
-409.037,0.996363,0.215667,4,15,0,424.081,0.379195,0.211576,0.515773,0.136113,0.14886,-0.0785859,0.597322,-0.0369593,-0.203745,-0.086822,-0.505184,0.112896,-0.159682,-0.464901,-0.160771,0.144286,-0.00511694,-0.0150499,-0.322879,0.146488,0.379195,0.211576,0.515773,0.136113,0.14886,-0.0785859,0.597322,-0.0369593,-0.203745,-0.086822,-0.505184,0.112896,-0.159682,-0.464901,-0.160771,0.144286,-0.00511694,-0.0150499,-0.322879,-0.206325,-408.241
-405.35,0.986238,0.215667,4,15,0,417.264,0.37001,0.0768823,0.314943,0.155107,-0.0486254,-0.094498,0.518615,-0.130101,-0.0324765,-0.219723,-0.427478,0.0770796,-0.187583,-0.239101,-0.0844826,0.396639,-0.0710914,-0.0931199,-0.219031,0.218451,0.37001,0.0768823,0.314943,0.155107,-0.0486254,-0.094498,0.518615,-0.130101,-0.0324765,-0.219723,-0.427478,0.0770796,-0.187583,-0.239101,-0.0844826,0.396639,-0.0710914,-0.0931199,-0.219031,-0.0619648,-404.766
-404.962,0.993324,0.215667,4,15,0,410.437,0.0431304,0.302895,-0.0157614,-0.029605,0.178559,0.215687,0.23567,0.143979,-0.154924,0.374344,-0.21162,0.0139685,-0.17294,-0.15228,-0.000891939,-0.104441,-0.0581003,-0.378338,-0.0518625,0.306087,0.0431304,0.302895,-0.0157614,-0.029605,0.178559,0.215687,0.23567,0.143979,-0.154924,0.374344,-0.21162,0.0139685,-0.17294,-0.15228,-0.000891939,-0.104441,-0.0581003,-0.378338,-0.0518625,-0.177469,-404.58
-410.81,0.974231,0.215667,4,15,0,418.539,0.476464,0.211108,0.123006,0.073554,0.0830144,0.385574,0.239918,-0.118061,-0.422199,0.0213286,-0.202306,0.00496717,-0.62182,-0.289788,-0.00322115,0.199679,0.0847717,-0.00475413,-0.0524967,0.310047,0.476464,0.211108,0.123006,0.073554,0.0830144,0.385574,0.239918,-0.118061,-0.422199,0.0213286,-0.202306,0.00496717,-0.62182,-0.289788,-0.00322115,0.199679,0.0847717,-0.00475413,-0.0524967,-0.188737,-410.132
-412.251,0.857181,0.215667,4,15,0,423.061,-0.267199,0.0156116,0.206945,0.262477,0.401773,-0.204647,0.526236,-0.0216421,0.174141,0.117432,-0.450897,0.137979,-0.36328,-0.0792681,-0.209829,0.270997,-0.336028,-0.0475411,-0.298885,0.167822,-0.267199,0.0156116,0.206945,0.262477,0.401773,-0.204647,0.526236,-0.0216421,0.174141,0.117432,-0.450897,0.137979,-0.36328,-0.0792681,-0.209829,0.270997,-0.336028,-0.0475411,-0.298885,0.165623,-411.542
-412.313,1,0.215667,4,15,0,423.554,0.149641,0.189734,-0.0607135,0.160393,0.366102,0.0190449,0.289122,0.347023,0.448178,0.0601383,-0.556062,0.0179444,-0.387741,-0.307835,-0.27532,0.271817,-0.427869,-0.199823,-0.229404,0.218278,0.149641,0.189734,-0.0607135,0.160393,0.366102,0.0190449,0.289122,0.347023,0.448178,0.0601383,-0.556062,0.0179444,-0.387741,-0.307835,-0.27532,0.271817,-0.427869,-0.199823,-0.229404,0.125629,-411.483
-411.577,0.997973,0.215667,4,15,0,422.054,0.145025,0.0747168,-0.120747,0.143655,0.0407872,0.0175945,0.1508,0.124029,0.45676,0.324428,-0.339187,0.145868,-0.455669,-0.369055,-0.254285,0.297933,-0.290388,-0.0908331,-0.100079,0.270294,0.145025,0.0747168,-0.120747,0.143655,0.0407872,0.0175945,0.1508,0.124029,0.45676,0.324428,-0.339187,0.145868,-0.455669,-0.369055,-0.254285,0.297933,-0.290388,-0.0908331,-0.100079,0.0986478,-410.964
-407.156,0.97423,0.215667,4,15,0,421.942,0.236644,0.142445,0.00574642,0.251151,0.2432,0.00066743,0.469037,0.259888,-0.28601,0.0813276,-0.149194,0.109737,-0.541169,-0.28945,-0.14792,0.352661,-0.214537,-0.166645,-0.333023,0.324383,0.236644,0.142445,0.00574642,0.251151,0.2432,0.00066743,0.469037,0.259888,-0.28601,0.0813276,-0.149194,0.109737,-0.541169,-0.28945,-0.14792,0.352661,-0.214537,-0.166645,-0.333023,-0.0245556,-406.445
-415.11,0.87821,0.215667,4,15,0,424.272,0.148026,0.0567408,0.213174,-0.113789,-0.159552,0.302943,0.447783,-0.0814948,0.0429421,0.274312,-0.213551,0.227239,-0.176758,-0.348879,0.518307,-0.0720797,-0.343589,-0.320195,-0.128393,0.0995455,0.148026,0.0567408,0.213174,-0.113789,-0.159552,0.302943,0.447783,-0.0814948,0.0429421,0.274312,-0.213551,0.227239,-0.176758,-0.348879,0.518307,-0.0720797,-0.343589,-0.320195,-0.128393,-0.273186,-414.482
-413.981,0.883599,0.215667,4,31,0,436.308,0.173947,0.0897274,0.201203,-0.152356,-0.16477,0.21494,0.449042,-0.0114323,0.134434,0.247468,-0.259725,0.148769,-0.236444,-0.426773,0.491649,-0.115445,-0.365239,-0.324789,-0.127156,0.121744,0.173947,0.0897274,0.201203,-0.152356,-0.16477,0.21494,0.449042,-0.0114323,0.134434,0.247468,-0.259725,0.148769,-0.236444,-0.426773,0.491649,-0.115445,-0.365239,-0.324789,-0.127156,0.03295,-413.327
-405.545,0.889718,0.215667,4,15,0,422.631,0.184468,0.170162,0.382198,0.0158269,0.035036,0.0512549,0.32584,-0.186218,-0.208843,0.324765,-0.460759,0.177094,-0.163294,-0.171812,-0.260486,0.264532,0.0143742,-0.365281,-0.114128,0.207906,0.184468,0.170162,0.382198,0.0158269,0.035036,0.0512549,0.32584,-0.186218,-0.208843,0.324765,-0.460759,0.177094,-0.163294,-0.171812,-0.260486,0.264532,0.0143742,-0.365281,-0.114128,-0.0147318,-404.979
-403.176,0.85836,0.215667,4,15,0,411.923,0.0788868,0.162667,0.0780847,0.345274,0.221151,0.128748,0.359546,0.0159028,0.0247602,0.0810839,-0.578292,0.0891263,-0.209107,-0.228105,-0.152954,0.27241,-0.00463052,-0.140917,-0.205553,0.245931,0.0788868,0.162667,0.0780847,0.345274,0.221151,0.128748,0.359546,0.0159028,0.0247602,0.0810839,-0.578292,0.0891263,-0.209107,-0.228105,-0.152954,0.27241,-0.00463052,-0.140917,-0.205553,-0.338082,-402.667
-409.136,0.620485,0.215667,4,15,0,416.603,0.0492955,-0.00457748,0.0494658,0.225246,0.310058,0.120472,0.382853,-0.126569,-0.234491,-0.0688865,-0.301431,-0.10108,-0.200158,-0.177312,-0.224861,0.314537,0.00809688,-0.162205,-0.282183,0.281866,0.0492955,-0.00457748,0.0494658,0.225246,0.310058,0.120472,0.382853,-0.126569,-0.234491,-0.0688865,-0.301431,-0.10108,-0.200158,-0.177312,-0.224861,0.314537,0.00809688,-0.162205,-0.282183,0.423729,-408.688
-406.441,0.972838,0.215667,4,31,0,418.735,0.267337,-0.14607,0.0321059,0.427829,0.35831,0.168483,0.407222,-0.117437,-0.108173,0.153188,-0.364829,0.0563446,-0.223253,-0.178198,-0.0799203,0.256336,-0.227724,-0.136003,-0.13639,0.155311,0.267337,-0.14607,0.0321059,0.427829,0.35831,0.168483,0.407222,-0.117437,-0.108173,0.153188,-0.364829,0.0563446,-0.223253,-0.178198,-0.0799203,0.256336,-0.227724,-0.136003,-0.13639,-0.40916,-405.915
