# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/w4ya5k4s.json
# init = 2 (Default)
# random
#   seed = 45079
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_26cchyxkw/poisson_2-20250829005323_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.213896
# Diagonal elements of inverse mass matrix:
# 0.0191722, 0.0210294, 0.0155232, 0.0201089, 0.018152, 0.0142167, 0.0159677, 0.020979, 0.0136805, 0.0182668, 0.0173588, 0.0169108, 0.0193789, 0.0189933, 0.0198451, 0.0200233, 0.0186695, 0.0167043, 0.0147498, 0.00330469
-543.104,0.922261,0.213896,4,15,0,554.681,0.0594456,0.183855,0.279322,0.0970794,0.17477,0.0234165,0.069977,0.25995,-0.14614,0.0991129,-0.294235,0.370405,-0.0463734,-0.0759555,-0.369958,0.011271,-0.168135,-0.38307,-0.270641,0.320238,0.0594456,0.183855,0.279322,0.0970794,0.17477,0.0234165,0.069977,0.25995,-0.14614,0.0991129,-0.294235,0.370405,-0.0463734,-0.0759555,-0.369958,0.011271,-0.168135,-0.38307,-0.270641,0.125906,-542.615
-546.185,0.971479,0.213896,4,15,0,558.044,0.180379,0.176566,0.378843,-0.201516,0.252962,0.162286,0.274006,0.111252,-0.25934,0.226105,-0.245443,-0.0011489,-0.376849,-0.297459,-0.0710545,-0.0817856,-0.132772,-0.0104093,-0.239677,0.329083,0.180379,0.176566,0.378843,-0.201516,0.252962,0.162286,0.274006,0.111252,-0.25934,0.226105,-0.245443,-0.0011489,-0.376849,-0.297459,-0.0710545,-0.0817856,-0.132772,-0.0104093,-0.239677,0.155055,-545.67
-546.341,0.91098,0.213896,4,15,0,559.379,-0.0288275,0.102989,0.0253074,0.515156,-0.154412,0.112493,0.382727,-0.0310033,-0.0285022,-0.0459126,-0.408689,0.315407,-0.0571841,-0.0286205,-0.373328,0.439339,-0.294065,-0.357438,0.0619384,0.278826,-0.0288275,0.102989,0.0253074,0.515156,-0.154412,0.112493,0.382727,-0.0310033,-0.0285022,-0.0459126,-0.408689,0.315407,-0.0571841,-0.0286205,-0.373328,0.439339,-0.294065,-0.357438,0.0619384,-0.147376,-545.659
-544.865,0.986774,0.213896,4,15,0,554.814,0.116419,0.248704,0.350107,-0.182321,0.0603032,0.146768,0.480799,-0.0537378,-0.168651,0.0953335,-0.0588421,0.0798205,-0.153547,-0.267686,-0.0787849,-0.167798,-0.054398,-0.0790843,-0.355681,0.333705,0.116419,0.248704,0.350107,-0.182321,0.0603032,0.146768,0.480799,-0.0537378,-0.168651,0.0953335,-0.0588421,0.0798205,-0.153547,-0.267686,-0.0787849,-0.167798,-0.054398,-0.0790843,-0.355681,0.0422778,-544.408
-550.76,0.864465,0.213896,4,15,0,559.989,-0.123733,0.184557,0.0567609,0.336723,-0.116727,0.290702,0.319593,0.0961446,0.154302,-0.0566891,-0.145052,0.0952407,-0.0128345,-0.147721,-0.38359,0.604382,-0.525193,-0.138507,-0.155379,0.174342,-0.123733,0.184557,0.0567609,0.336723,-0.116727,0.290702,0.319593,0.0961446,0.154302,-0.0566891,-0.145052,0.0952407,-0.0128345,-0.147721,-0.38359,0.604382,-0.525193,-0.138507,-0.155379,-0.33298,-550.102
-544.971,0.9952,0.213896,4,15,0,561.118,-0.168912,0.170614,0.160753,0.270646,-0.252265,0.0972436,0.215933,0.0355035,0.0838115,0.122589,-0.393936,0.0636018,-0.128698,-0.116619,-0.246731,0.575736,-0.23254,-0.199477,-0.163351,0.168671,-0.168912,0.170614,0.160753,0.270646,-0.252265,0.0972436,0.215933,0.0355035,0.0838115,0.122589,-0.393936,0.0636018,-0.128698,-0.116619,-0.246731,0.575736,-0.23254,-0.199477,-0.163351,0.106099,-544.456
-543.022,0.968505,0.213896,4,15,0,554.371,0.059576,0.101364,0.019628,0.0903497,0.167864,-0.0483157,0.451288,-0.114432,-0.0612411,0.222792,-0.0821356,0.0734242,-0.201907,-0.326477,-0.182757,-0.0336497,-0.110366,0.0301649,-0.0175475,0.427067,0.059576,0.101364,0.019628,0.0903497,0.167864,-0.0483157,0.451288,-0.114432,-0.0612411,0.222792,-0.0821356,0.0734242,-0.201907,-0.326477,-0.182757,-0.0336497,-0.110366,0.0301649,-0.0175475,-0.0376219,-542.665
-539.865,0.991029,0.213896,4,15,0,549.792,-0.0574537,0.185535,0.286409,0.216225,0.0554709,0.126668,0.171942,0.0512793,-0.183996,0.0538202,-0.320543,0.0848398,-0.240996,0.0346866,-0.363319,0.459247,-0.133703,-0.0726612,-0.259189,0.181325,-0.0574537,0.185535,0.286409,0.216225,0.0554709,0.126668,0.171942,0.0512793,-0.183996,0.0538202,-0.320543,0.0848398,-0.240996,0.0346866,-0.363319,0.459247,-0.133703,-0.0726612,-0.259189,-0.0942606,-539.42
-541.746,0.988573,0.213896,4,15,0,549.134,-0.0339729,0.145087,0.377639,0.0424188,0.227424,0.0630584,0.128453,-0.134355,-0.263558,0.0469876,-0.10709,0.183331,-0.105988,-0.158821,0.0137944,0.211353,-0.0373857,-0.292122,-0.220381,0.279909,-0.0339729,0.145087,0.377639,0.0424188,0.227424,0.0630584,0.128453,-0.134355,-0.263558,0.0469876,-0.10709,0.183331,-0.105988,-0.158821,0.0137944,0.211353,-0.0373857,-0.292122,-0.220381,-0.0858726,-541.412
-537.625,0.996592,0.213896,4,15,0,547.462,0.106445,0.174387,0.476338,0.0610568,0.0627572,0.141456,0.229784,-0.055018,-0.243283,0.211364,-0.330359,0.148356,-0.124599,-0.226718,-0.420617,0.271622,-0.229678,-0.0457287,-0.152947,0.246909,0.106445,0.174387,0.476338,0.0610568,0.0627572,0.141456,0.229784,-0.055018,-0.243283,0.211364,-0.330359,0.148356,-0.124599,-0.226718,-0.420617,0.271622,-0.229678,-0.0457287,-0.152947,-0.0546192,-537.103
-536.619,0.969799,0.213896,4,15,0,544.081,0.113347,0.264532,0.322701,0.170307,0.144578,0.218641,0.401263,-0.0544199,-0.298977,0.0852032,-0.322805,0.0447256,-0.224588,-0.120352,-0.0724254,0.00369705,-0.300044,-0.131829,-0.149415,0.294718,0.113347,0.264532,0.322701,0.170307,0.144578,0.218641,0.401263,-0.0544199,-0.298977,0.0852032,-0.322805,0.0447256,-0.224588,-0.120352,-0.0724254,0.00369705,-0.300044,-0.131829,-0.149415,-0.0941387,-536.149
-538.904,0.908854,0.213896,4,15,0,543.817,-0.0385441,0.0946642,0.312816,0.200826,0.0849096,0.113747,0.447278,0.0867369,0.184164,0.22022,-0.332866,0.313961,-0.19774,-0.236085,-0.410285,0.205353,-0.344974,-0.228784,-0.264293,0.294337,-0.0385441,0.0946642,0.312816,0.200826,0.0849096,0.113747,0.447278,0.0867369,0.184164,0.22022,-0.332866,0.313961,-0.19774,-0.236085,-0.410285,0.205353,-0.344974,-0.228784,-0.264293,-0.211107,-538.254
-540.378,0.99375,0.213896,4,15,0,547.002,0.185959,0.109765,0.311083,0.0259195,0.18936,0.0845056,0.365498,0.0707674,-0.0611528,0.163123,-0.288958,0.0730708,-0.32018,-0.219924,-0.0106117,0.368192,-0.575388,-0.11445,-0.174913,0.278182,0.185959,0.109765,0.311083,0.0259195,0.18936,0.0845056,0.365498,0.0707674,-0.0611528,0.163123,-0.288958,0.0730708,-0.32018,-0.219924,-0.0106117,0.368192,-0.575388,-0.11445,-0.174913,-0.181666,-539.786
-542.325,0.922382,0.213896,4,15,0,551.317,0.128896,0.121523,0.106946,0.210811,-0.156334,0.371289,0.305974,-0.0301349,0.0820053,0.23672,-0.214709,0.347611,-0.0827098,-0.21449,-0.15814,0.222188,-0.459869,-0.348325,-0.229037,0.309052,0.128896,0.121523,0.106946,0.210811,-0.156334,0.371289,0.305974,-0.0301349,0.0820053,0.23672,-0.214709,0.347611,-0.0827098,-0.21449,-0.15814,0.222188,-0.459869,-0.348325,-0.229037,-0.240214,-541.734
-542.421,0.970501,0.213896,4,31,0,551.352,0.115781,0.32168,0.227689,-0.160688,0.158891,-0.0648151,0.371332,0.0955593,-0.14815,0.102015,-0.410437,-0.118248,-0.203239,0.0996636,-0.213115,0.15726,-0.0178963,-0.104248,-0.345163,0.286531,0.115781,0.32168,0.227689,-0.160688,0.158891,-0.0648151,0.371332,0.0955593,-0.14815,0.102015,-0.410437,-0.118248,-0.203239,0.0996636,-0.213115,0.15726,-0.0178963,-0.104248,-0.345163,0.136128,-541.962
