# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/4406_tha.json
# init = 2 (Default)
# random
#   seed = 94252
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_25qfetukf/poisson_2-20250829005317_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.227626
# Diagonal elements of inverse mass matrix:
# 0.0105768, 0.00879764, 0.0104127, 0.0102388, 0.0120759, 0.00811854, 0.00820611, 0.0105421, 0.0115055, 0.00900769, 0.00870276, 0.0100752, 0.0100963, 0.00916606, 0.00880533, 0.0079256, 0.00900655, 0.00883107, 0.00879005, 0.00191554
-1016.93,0.713005,0.227626,4,15,0,1026.49,-0.0128637,0.328449,0.246232,0.200976,0.286667,0.0191274,0.455992,0.138465,-0.13126,0.0288833,-0.4713,-0.0958833,0.0107191,-0.120019,-0.169032,0.2627,-0.438367,0.0727075,-0.260797,0.282936,-0.0128637,0.328449,0.246232,0.200976,0.286667,0.0191274,0.455992,0.138465,-0.13126,0.0288833,-0.4713,-0.0958833,0.0107191,-0.120019,-0.169032,0.2627,-0.438367,0.0727075,-0.260797,-0.351395,-1016.32
-1015.28,0.959664,0.227626,4,15,0,1024.74,0.0697729,0.192958,0.287236,0.0717512,0.0748927,0.193924,0.42904,0.014181,-0.133264,0.13489,-0.419358,-0.0608525,0.093463,-0.00770417,-0.189081,0.145054,-0.302801,-0.0115631,-0.256653,0.189938,0.0697729,0.192958,0.287236,0.0717512,0.0748927,0.193924,0.42904,0.014181,-0.133264,0.13489,-0.419358,-0.0608525,0.093463,-0.00770417,-0.189081,0.145054,-0.302801,-0.0115631,-0.256653,-0.325886,-1014.87
-1017.5,0.973243,0.227626,4,15,0,1027.06,0.0346189,0.510884,0.366204,-0.000402027,0.105932,-0.00471296,0.283212,0.0141568,0.0433977,0.0593525,-0.319622,-0.0946321,-0.236276,-0.157611,-0.144952,0.117289,-0.181639,-0.0240515,-0.171423,0.288733,0.0346189,0.510884,0.366204,-0.000402027,0.105932,-0.00471296,0.283212,0.0141568,0.0433977,0.0593525,-0.319622,-0.0946321,-0.236276,-0.157611,-0.144952,0.117289,-0.181639,-0.0240515,-0.171423,-0.199726,-1017.07
-1012.67,0.971672,0.227626,4,15,0,1025.19,0.0531368,0.227975,0.190757,0.0123356,0.297147,-0.0630264,0.49537,-0.0892452,-0.0652896,0.113466,-0.532865,-0.0894235,0.18979,-0.0980989,-0.34028,0.320376,-0.293689,-0.068553,-0.235555,0.262028,0.0531368,0.227975,0.190757,0.0123356,0.297147,-0.0630264,0.49537,-0.0892452,-0.0652896,0.113466,-0.532865,-0.0894235,0.18979,-0.0980989,-0.34028,0.320376,-0.293689,-0.068553,-0.235555,-0.0243268,-1012.06
-1011.94,0.69056,0.227626,4,15,0,1020.04,0.116548,0.300744,0.271702,0.0397065,-0.0242417,0.0127793,0.30128,-0.0332749,0.0241942,0.0958062,-0.311238,-0.126771,-0.0411296,-0.161663,-0.019191,0.137903,-0.261301,0.120182,-0.212103,0.310096,0.116548,0.300744,0.271702,0.0397065,-0.0242417,0.0127793,0.30128,-0.0332749,0.0241942,0.0958062,-0.311238,-0.126771,-0.0411296,-0.161663,-0.019191,0.137903,-0.261301,0.120182,-0.212103,-0.229933,-1011.61
-1012.23,1,0.227626,4,15,0,1016.67,0.0749653,0.231267,0.206102,0.0108442,0.308938,-0.047445,0.520827,-0.105958,-0.057845,0.122182,-0.46093,-0.0655982,0.176833,-0.0881706,-0.358745,0.305525,-0.251845,-0.0922195,-0.210223,0.281755,0.0749653,0.231267,0.206102,0.0108442,0.308938,-0.047445,0.520827,-0.105958,-0.057845,0.122182,-0.46093,-0.0655982,0.176833,-0.0881706,-0.358745,0.305525,-0.251845,-0.0922195,-0.210223,-0.218506,-1011.64
