# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/4406_tha.json
# init = 2 (Default)
# random
#   seed = 94252
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_25qfetukf/poisson_2-20250829005317_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.21394
# Diagonal elements of inverse mass matrix:
# 0.00964232, 0.00850255, 0.00916836, 0.0110806, 0.00975934, 0.00880397, 0.00892411, 0.0098663, 0.0101515, 0.00952088, 0.0104747, 0.00955727, 0.00998914, 0.00816733, 0.0092745, 0.0096158, 0.0100257, 0.0108543, 0.00970226, 0.00182176
-1015.82,0.934424,0.21394,4,15,0,1020.23,0.320861,0.393264,0.300771,0.0418097,0.126858,-0.103538,0.329899,-0.0097546,0.0521409,-0.0324443,-0.280226,-0.069855,0.0371913,-0.256773,-0.269076,0.231012,-0.277098,0.0625131,-0.35991,0.252392,0.320861,0.393264,0.300771,0.0418097,0.126858,-0.103538,0.329899,-0.0097546,0.0521409,-0.0324443,-0.280226,-0.069855,0.0371913,-0.256773,-0.269076,0.231012,-0.277098,0.0625131,-0.35991,-0.237645,-1015.3
-1015.83,0.989802,0.21394,4,15,0,1026.02,0.156588,0.378551,0.287603,-0.0420322,0.0865146,0.0360681,0.226889,0.0290878,0.0943521,0.0954022,-0.544091,-0.069849,0.0464955,-0.198157,-0.238921,0.0378089,-0.340866,0.16901,-0.116458,0.334451,0.156588,0.378551,0.287603,-0.0420322,0.0865146,0.0360681,0.226889,0.0290878,0.0943521,0.0954022,-0.544091,-0.069849,0.0464955,-0.198157,-0.238921,0.0378089,-0.340866,0.16901,-0.116458,-0.0939956,-1015.33
-1012.8,0.897178,0.21394,4,15,0,1022.98,0.0395198,0.486613,0.142801,0.0704824,0.222545,-0.0049906,0.21414,0.0339046,0.00541046,0.0928714,-0.357367,-0.121883,0.0537204,-0.135124,-0.188666,0.161306,-0.34656,0.0543495,-0.2437,0.342292,0.0395198,0.486613,0.142801,0.0704824,0.222545,-0.0049906,0.21414,0.0339046,0.00541046,0.0928714,-0.357367,-0.121883,0.0537204,-0.135124,-0.188666,0.161306,-0.34656,0.0543495,-0.2437,-0.179374,-1012.35
-1015.84,0.858693,0.21394,4,15,0,1034.04,0.173998,0.105406,0.310108,0.0331911,0.0687999,-0.0349488,0.527203,-0.225249,-0.0253728,0.040021,-0.448499,-0.144724,0.11794,-0.197658,0.0493017,0.300321,-0.217641,-0.07049,-0.174925,0.227017,0.173998,0.105406,0.310108,0.0331911,0.0687999,-0.0349488,0.527203,-0.225249,-0.0253728,0.040021,-0.448499,-0.144724,0.11794,-0.197658,0.0493017,0.300321,-0.217641,-0.07049,-0.174925,-0.186782,-1015.35
-1017.92,0.975155,0.21394,4,15,0,1028.89,0.156695,0.119014,0.347903,0.0861857,0.0201677,0.0265642,0.382334,0.0276961,0.0669993,-0.058857,-0.487945,-0.254316,0.159092,0.162671,-0.278999,0.10909,-0.281716,0.0618308,-0.221116,0.326904,0.156695,0.119014,0.347903,0.0861857,0.0201677,0.0265642,0.382334,0.0276961,0.0669993,-0.058857,-0.487945,-0.254316,0.159092,0.162671,-0.278999,0.10909,-0.281716,0.0618308,-0.221116,-0.143293,-1017.41
-1013.36,0.991331,0.21394,4,15,0,1026.5,0.0236691,0.276165,0.35588,0.170368,0.159636,-0.140985,0.439038,-0.11476,0.099318,-0.0745667,-0.315767,-0.171906,0.0227948,-0.0801617,-0.183548,0.26441,-0.236962,-0.0313872,-0.338532,0.243187,0.0236691,0.276165,0.35588,0.170368,0.159636,-0.140985,0.439038,-0.11476,0.099318,-0.0745667,-0.315767,-0.171906,0.0227948,-0.0801617,-0.183548,0.26441,-0.236962,-0.0313872,-0.338532,-0.122703,-1012.87
