# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1r5jrqxb.json
# init = 2 (Default)
# random
#   seed = 69198
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2et1iqdrq/poisson_2-20250829005328_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.239468
# Diagonal elements of inverse mass matrix:
# 0.034479, 0.0306225, 0.0347258, 0.0334132, 0.0400106, 0.0307294, 0.0336168, 0.0388427, 0.0310953, 0.03684, 0.0329204, 0.0372093, 0.0342406, 0.0314072, 0.0301913, 0.0369502, 0.0373693, 0.0327948, 0.0346096, 0.00710269
-281.576,0.97699,0.239468,4,15,0,289.536,0.601429,-0.580776,0.598712,-0.173794,0.600797,-0.470151,-0.339861,0.308957,-0.238235,-0.206282,-0.0174951,-0.196849,0.065544,0.0278918,0.319708,-0.188308,-0.0640476,0.0710283,-0.0588183,0.299818,0.601429,-0.580776,0.598712,-0.173794,0.600797,-0.470151,-0.339861,0.308957,-0.238235,-0.206282,-0.0174951,-0.196849,0.065544,0.0278918,0.319708,-0.188308,-0.0640476,0.0710283,-0.0588183,-0.0594492,-280.444
-282.286,1,0.239468,4,15,0,292.983,0.264512,-0.35526,0.107664,0.259411,0.46739,-0.000180807,0.226999,-0.163503,0.106047,-0.324211,0.0696926,-0.434331,0.337011,0.0530648,-0.139428,-0.237291,0.0193743,0.221064,-0.793045,0.167644,0.264512,-0.35526,0.107664,0.259411,0.46739,-0.000180807,0.226999,-0.163503,0.106047,-0.324211,0.0696926,-0.434331,0.337011,0.0530648,-0.139428,-0.237291,0.0193743,0.221064,-0.793045,0.31502,-281.396
-281.676,0.996973,0.239468,4,15,0,290.118,0.357211,-0.46546,0.635202,-0.076961,0.305813,-0.441626,-0.471436,0.369091,-0.107716,0.106673,0.346085,-0.0245115,-0.343797,-0.126056,0.0590162,-0.221417,0.214947,-0.30687,-0.0922048,0.43196,0.357211,-0.46546,0.635202,-0.076961,0.305813,-0.441626,-0.471436,0.369091,-0.107716,0.106673,0.346085,-0.0245115,-0.343797,-0.126056,0.0590162,-0.221417,0.214947,-0.30687,-0.0922048,0.284019,-280.643
-278.823,0.689687,0.239468,4,15,0,288.574,0.200678,-0.296089,0.216153,0.242298,0.56419,0.0045021,0.102319,-0.104593,0.27821,-0.547291,0.323146,-0.346659,0.203804,0.139614,-0.00643571,-0.458019,-0.0817252,-0.00196285,-0.598138,0.116102,0.200678,-0.296089,0.216153,0.242298,0.56419,0.0045021,0.102319,-0.104593,0.27821,-0.547291,0.323146,-0.346659,0.203804,0.139614,-0.00643571,-0.458019,-0.0817252,-0.00196285,-0.598138,0.166001,-277.911
-280.384,0.798383,0.239468,4,15,0,288.765,0.239737,-0.308315,-0.0787288,0.145762,0.44781,-0.197818,-0.0707176,0.0796654,0.406823,-0.334246,0.437268,-0.244456,0.107486,0.139451,0.119166,-0.651075,0.0802622,-0.0400446,-0.752886,0.202146,0.239737,-0.308315,-0.0787288,0.145762,0.44781,-0.197818,-0.0707176,0.0796654,0.406823,-0.334246,0.437268,-0.244456,0.107486,0.139451,0.119166,-0.651075,0.0802622,-0.0400446,-0.752886,0.474856,-279.362
-283.227,0.992243,0.239468,4,15,0,293.43,0.308777,-0.557823,0.82029,-0.0771139,0.490542,-0.362075,-0.268413,0.00623562,-0.0339753,-0.716599,0.273914,-0.424181,0.0904162,0.0722888,0.428614,0.0367342,0.166995,0.182912,-0.31619,0.201612,0.308777,-0.557823,0.82029,-0.0771139,0.490542,-0.362075,-0.268413,0.00623562,-0.0339753,-0.716599,0.273914,-0.424181,0.0904162,0.0722888,0.428614,0.0367342,0.166995,0.182912,-0.31619,-0.121349,-281.877
