# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/hv44llzh.json
# init = 2 (Default)
# random
#   seed = 49466
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2zrs477vb/poisson_2-20250829005329_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.249436
# Diagonal elements of inverse mass matrix:
# 0.0231215, 0.0276932, 0.0207952, 0.0208684, 0.0261527, 0.0255193, 0.0208737, 0.0251161, 0.0218779, 0.0214799, 0.0216802, 0.0248431, 0.0213541, 0.0190523, 0.0218444, 0.0211758, 0.0279388, 0.0252723, 0.0197556, 0.00513767
-416.544,0.927505,0.249436,4,15,0,424.902,0.249737,-0.460843,0.414723,0.392789,0.603417,-0.0310713,-0.405131,0.0310833,0.247509,-0.300655,-0.058652,-0.225592,0.0279322,-0.194893,-0.057494,-0.220149,0.42462,0.0276136,-0.630499,0.173925,0.249737,-0.460843,0.414723,0.392789,0.603417,-0.0310713,-0.405131,0.0310833,0.247509,-0.300655,-0.058652,-0.225592,0.0279322,-0.194893,-0.057494,-0.220149,0.42462,0.0276136,-0.630499,0.165556,-415.526
-411.356,0.876474,0.249436,4,15,0,422.445,0.161062,-0.0243693,0.544399,0.364779,0.192377,-0.0914229,-0.10103,0.037406,0.184827,-0.315744,0.17472,-0.212346,0.00613845,-0.195896,0.0780874,-0.299729,0.155018,-0.109182,-0.470284,0.283084,0.161062,-0.0243693,0.544399,0.364779,0.192377,-0.0914229,-0.10103,0.037406,0.184827,-0.315744,0.17472,-0.212346,0.00613845,-0.195896,0.0780874,-0.299729,0.155018,-0.109182,-0.470284,-0.07881,-410.759
-411.858,0.992405,0.249436,4,15,0,414.888,0.180304,-0.657576,0.375223,0.0191544,0.445234,-0.00257844,-0.0630712,0.16071,0.168362,-0.0281115,0.113288,-0.208475,0.122654,-0.172232,0.0364842,-0.144254,0.0444432,-0.0486204,-0.253915,0.33885,0.180304,-0.657576,0.375223,0.0191544,0.445234,-0.00257844,-0.0630712,0.16071,0.168362,-0.0281115,0.113288,-0.208475,0.122654,-0.172232,0.0364842,-0.144254,0.0444432,-0.0486204,-0.253915,-0.0870241,-411.273
-414.823,0.95823,0.249436,4,15,0,421.054,0.359224,0.0684186,0.416041,0.267622,0.117605,-0.291362,-0.0855231,0.151333,-0.073187,-0.150865,0.11833,-0.258209,0.0140958,-0.219216,0.107989,-0.374836,0.211981,0.105889,-0.490872,0.256062,0.359224,0.0684186,0.416041,0.267622,0.117605,-0.291362,-0.0855231,0.151333,-0.073187,-0.150865,0.11833,-0.258209,0.0140958,-0.219216,0.107989,-0.374836,0.211981,0.105889,-0.490872,0.00554136,-414.234
-414.588,0.951802,0.249436,4,15,0,423.398,0.195434,-0.741663,0.525193,0.0938044,0.375853,0.163171,0.0173599,-0.0725968,0.205544,-0.242145,0.194871,-0.319184,0.24959,-0.612988,0.164053,-0.176679,0.229967,-0.124536,-0.370342,0.30945,0.195434,-0.741663,0.525193,0.0938044,0.375853,0.163171,0.0173599,-0.0725968,0.205544,-0.242145,0.194871,-0.319184,0.24959,-0.612988,0.164053,-0.176679,0.229967,-0.124536,-0.370342,0.245295,-413.545
-414.818,0.836075,0.249436,4,15,0,423.703,0.115831,-0.180284,0.612567,0.024458,0.57714,-0.0293068,-0.0118117,-0.0625283,-0.0281745,-0.398292,0.106692,-0.0983371,0.0296542,-0.204079,0.0228517,-0.218032,-0.0539024,0.0966025,-0.219042,0.258471,0.115831,-0.180284,0.612567,0.024458,0.57714,-0.0293068,-0.0118117,-0.0625283,-0.0281745,-0.398292,0.106692,-0.0983371,0.0296542,-0.204079,0.0228517,-0.218032,-0.0539024,0.0966025,-0.219042,-0.0820062,-414.239
