# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/nrrki6kz.json
# init = 2 (Default)
# random
#   seed = 44732
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2gwxgg74w/poisson_2-20250829005325_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.262663
# Diagonal elements of inverse mass matrix:
# 0.00842251, 0.00838147, 0.00942452, 0.00975005, 0.0115172, 0.0105923, 0.00979597, 0.00787459, 0.00992403, 0.00763578, 0.00932197, 0.010097, 0.00961752, 0.00916362, 0.0104654, 0.0106165, 0.010402, 0.00946228, 0.00805527, 0.00192271
-1068.97,0.991871,0.262663,4,15,0,1079.21,0.149085,-0.271823,0.114403,-0.0619006,0.252211,-0.115294,-0.0377356,0.00685036,0.233756,-0.151517,0.329597,-0.0346528,-0.00522244,-0.243021,0.108047,-0.168554,0.0419405,0.0272689,-0.270964,0.271764,0.149085,-0.271823,0.114403,-0.0619006,0.252211,-0.115294,-0.0377356,0.00685036,0.233756,-0.151517,0.329597,-0.0346528,-0.00522244,-0.243021,0.108047,-0.168554,0.0419405,0.0272689,-0.270964,0.0975265,-1068.66
-1068.28,0.959139,0.262663,4,15,0,1078.21,0.173321,-0.381964,0.303574,0.0923196,0.374757,0.111032,0.0160807,0.0446396,0.0480887,0.0409309,0.0618873,-0.169819,0.143076,-0.259007,0.0507194,-0.198804,-0.0226405,-0.0155307,-0.500218,0.352195,0.173321,-0.381964,0.303574,0.0923196,0.374757,0.111032,0.0160807,0.0446396,0.0480887,0.0409309,0.0618873,-0.169819,0.143076,-0.259007,0.0507194,-0.198804,-0.0226405,-0.0155307,-0.500218,0.0875567,-1067.79
-1071.54,0.955837,0.262663,4,15,0,1076.98,0.149194,-0.28854,0.134986,-0.0189689,0.247728,-0.0339637,-0.0784788,0.126883,0.192081,-0.138157,0.322658,0.0606768,-0.0405693,-0.123771,0.139353,-0.365432,-0.0642366,0.0625049,-0.291644,0.307167,0.149194,-0.28854,0.134986,-0.0189689,0.247728,-0.0339637,-0.0784788,0.126883,0.192081,-0.138157,0.322658,0.0606768,-0.0405693,-0.123771,0.139353,-0.365432,-0.0642366,0.0625049,-0.291644,0.00769689,-1071.18
-1071.08,0.993563,0.262663,4,15,0,1078.08,0.0484797,-0.263735,0.296067,0.0537084,0.385301,-0.0116248,0.00367796,-0.113748,0.207411,-0.188293,0.154445,-0.264491,0.12109,-0.265378,0.161305,-0.0394819,0.047648,0.0970149,-0.522503,0.325508,0.0484797,-0.263735,0.296067,0.0537084,0.385301,-0.0116248,0.00367796,-0.113748,0.207411,-0.188293,0.154445,-0.264491,0.12109,-0.265378,0.161305,-0.0394819,0.047648,0.0970149,-0.522503,0.0931065,-1070.58
-1076.61,0.858604,0.262663,4,15,0,1084.46,0.00344885,-0.395786,0.256883,0.0847973,0.365359,-0.108671,0.107797,0.155005,0.0669052,-0.165967,0.239091,0.0729454,-0.0285233,-0.322696,0.17625,-0.0989242,0.151386,-0.207151,-0.262941,0.254993,0.00344885,-0.395786,0.256883,0.0847973,0.365359,-0.108671,0.107797,0.155005,0.0669052,-0.165967,0.239091,0.0729454,-0.0285233,-0.322696,0.17625,-0.0989242,0.151386,-0.207151,-0.262941,-0.089209,-1076.18
-1073.4,0.995058,0.262663,4,15,0,1086.78,0.19805,-0.255023,0.108227,-0.00821021,0.259915,0.135618,-0.0781651,-0.0512918,0.169992,0.0814536,0.169398,-0.136997,0.121489,-0.0572222,-0.00411914,-0.157593,-0.106397,0.212885,-0.537628,0.352751,0.19805,-0.255023,0.108227,-0.00821021,0.259915,0.135618,-0.0781651,-0.0512918,0.169992,0.0814536,0.169398,-0.136997,0.121489,-0.0572222,-0.00411914,-0.157593,-0.106397,0.212885,-0.537628,-0.0643803,-1073
