# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/nrrki6kz.json
# init = 2 (Default)
# random
#   seed = 44732
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2gwxgg74w/poisson_2-20250829005325_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.222211
# Diagonal elements of inverse mass matrix:
# 0.00966704, 0.0106167, 0.00978029, 0.0102087, 0.00929163, 0.00849372, 0.00799942, 0.0100097, 0.0088945, 0.00900399, 0.00900286, 0.00914294, 0.0089593, 0.0108999, 0.0114722, 0.00838099, 0.00866437, 0.0112137, 0.0108252, 0.00169731
-1075.79,0.840122,0.222211,4,15,0,1082.31,0.101064,-0.345158,0.243968,-0.0692847,0.43811,0.0422739,0.164295,0.185245,-0.0161572,0.0826257,0.232052,-0.237877,-0.003144,-0.326534,0.0283585,-0.158815,0.19439,-0.075103,-0.300152,0.344636,0.101064,-0.345158,0.243968,-0.0692847,0.43811,0.0422739,0.164295,0.185245,-0.0161572,0.0826257,0.232052,-0.237877,-0.003144,-0.326534,0.0283585,-0.158815,0.19439,-0.075103,-0.300152,-0.180157,-1075.32
-1078.03,0.997701,0.222211,4,15,0,1084.97,0.0798535,-0.378227,0.349049,-0.0715259,0.391731,0.0147416,0.184141,0.0428491,-0.0276009,-0.00402727,0.192153,-0.177652,-0.198343,-0.355491,0.0522794,-0.183665,0.233443,-0.0906344,-0.228235,0.328603,0.0798535,-0.378227,0.349049,-0.0715259,0.391731,0.0147416,0.184141,0.0428491,-0.0276009,-0.00402727,0.192153,-0.177652,-0.198343,-0.355491,0.0522794,-0.183665,0.233443,-0.0906344,-0.228235,0.175162,-1077.55
-1074.62,0.991228,0.222211,4,15,0,1084,0.195471,-0.300362,0.0568416,0.101617,0.217114,0.080097,-0.161929,-0.0234539,0.27647,-0.0783344,0.221717,-0.012184,0.241874,-0.181908,0.108836,-0.213312,-0.192316,0.0989,-0.571987,0.274889,0.195471,-0.300362,0.0568416,0.101617,0.217114,0.080097,-0.161929,-0.0234539,0.27647,-0.0783344,0.221717,-0.012184,0.241874,-0.181908,0.108836,-0.213312,-0.192316,0.0989,-0.571987,0.136848,-1074.14
-1074.39,0.969342,0.222211,4,15,0,1083,0.0823266,-0.376055,0.434248,-0.122987,0.263893,0.130108,0.131701,0.110517,0.0440992,0.0662284,0.214938,-0.110664,-0.0650391,-0.346502,0.0959187,-0.218686,0.128647,-0.129437,-0.261863,0.301271,0.0823266,-0.376055,0.434248,-0.122987,0.263893,0.130108,0.131701,0.110517,0.0440992,0.0662284,0.214938,-0.110664,-0.0650391,-0.346502,0.0959187,-0.218686,0.128647,-0.129437,-0.261863,-0.0713932,-1073.94
-1074.53,0.958187,0.222211,4,15,0,1087.79,0.117097,-0.318892,0.288447,-0.192105,0.228159,0.131089,0.0754398,0.0747239,0.0927799,-0.03529,0.110404,-0.241,-0.0598968,-0.272557,0.0485221,-0.235277,0.181789,0.00186033,-0.159482,0.315465,0.117097,-0.318892,0.288447,-0.192105,0.228159,0.131089,0.0754398,0.0747239,0.0927799,-0.03529,0.110404,-0.241,-0.0598968,-0.272557,0.0485221,-0.235277,0.181789,0.00186033,-0.159482,0.164189,-1074.19
-1069.09,0.912857,0.222211,4,15,0,1081.04,0.0572891,-0.26572,0.201537,0.0385443,0.169526,-0.0529094,0.0360304,0.0877688,-0.0367906,0.0415052,0.135863,-0.0997965,0.0432581,-0.228656,0.18818,-0.15309,0.108834,0.00930569,-0.329952,0.27563,0.0572891,-0.26572,0.201537,0.0385443,0.169526,-0.0529094,0.0360304,0.0877688,-0.0367906,0.0415052,0.135863,-0.0997965,0.0432581,-0.228656,0.18818,-0.15309,0.108834,0.00930569,-0.329952,0.0492727,-1068.85
-1076.62,0.67285,0.222211,4,15,0,1083.91,0.0774739,-0.36098,0.233533,-0.0233192,0.570942,0.0498736,0.0959964,0.0364747,0.224303,-0.102949,0.240219,-0.184692,0.0466318,-0.384865,0.00546273,-0.000272469,-0.179515,-0.0068464,-0.535899,0.358327,0.0774739,-0.36098,0.233533,-0.0233192,0.570942,0.0498736,0.0959964,0.0364747,0.224303,-0.102949,0.240219,-0.184692,0.0466318,-0.384865,0.00546273,-0.000272469,-0.179515,-0.0068464,-0.535899,0.198427,-1075.98
-1073.3,0.98785,0.222211,4,15,0,1088.63,0.263878,-0.44521,0.151904,4.95668e-05,0.145391,0.0460597,-0.105912,0.0131688,0.134955,0.0583264,0.242309,0.0595891,0.0536292,-0.19395,0.0611763,-0.329365,0.155197,-0.01662,-0.266349,0.241133,0.263878,-0.44521,0.151904,4.95668e-05,0.145391,0.0460597,-0.105912,0.0131688,0.134955,0.0583264,0.242309,0.0595891,0.0536292,-0.19395,0.0611763,-0.329365,0.155197,-0.01662,-0.266349,-0.0282275,-1072.94
-1069.84,1,0.222211,4,15,0,1077.72,-0.0428725,-0.263008,0.336814,0.0266857,0.421504,0.00229494,0.0829274,0.111934,0.176891,-0.100302,0.181349,-0.185339,0.0342182,-0.297351,0.146706,-0.195447,-0.0849915,0.070372,-0.467674,0.360426,-0.0428725,-0.263008,0.336814,0.0266857,0.421504,0.00229494,0.0829274,0.111934,0.176891,-0.100302,0.181349,-0.185339,0.0342182,-0.297351,0.146706,-0.195447,-0.0849915,0.070372,-0.467674,0.0452886,-1069.34
