# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/hfecv147.json
# init = 2 (Default)
# random
#   seed = 40069
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2zzt2sf0e/poisson_2-20250829005327_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.174163
# Diagonal elements of inverse mass matrix:
# 0.0701085, 0.0713545, 0.0720983, 0.0673537, 0.0653202, 0.0581724, 0.0726943, 0.0727683, 0.0811933, 0.0793311, 0.069171, 0.0572176, 0.0715669, 0.0836044, 0.0705914, 0.0668801, 0.0760383, 0.073934, 0.0695258, 0.014258
-147.646,0.977729,0.174163,5,31,0,156.493,-0.188628,-0.0788571,0.665116,0.570557,0.567763,-0.992656,-0.219768,-0.452595,-0.692429,-0.19214,0.406125,0.082794,-0.278408,-0.366019,0.758905,0.052122,0.649951,0.0482191,-0.642591,0.419315,-0.188628,-0.0788571,0.665116,0.570557,0.567763,-0.992656,-0.219768,-0.452595,-0.692429,-0.19214,0.406125,0.082794,-0.278408,-0.366019,0.758905,0.052122,0.649951,0.0482191,-0.642591,0.30254,-145.214
-149.921,0.996834,0.174163,5,31,0,157.239,0.155752,-0.761195,0.504208,0.0928973,0.306935,0.275223,-0.0063871,0.47199,0.0839439,-0.136102,0.24257,0.35338,-0.0863045,0.552909,-0.512559,-1.2048,-0.00657781,-0.409773,-0.407843,0.113275,0.155752,-0.761195,0.504208,0.0928973,0.306935,0.275223,-0.0063871,0.47199,0.0839439,-0.136102,0.24257,0.35338,-0.0863045,0.552909,-0.512559,-1.2048,-0.00657781,-0.409773,-0.407843,0.491734,-148
-144.082,0.998805,0.174163,5,31,0,159.094,-0.303071,-0.178403,0.44303,0.486541,0.361141,-0.879927,-0.227787,-0.171267,-0.270909,-0.0668533,0.255963,-0.123917,0.00365775,0.00380031,0.579429,-0.0462512,0.357299,-0.00360874,-0.519218,0.420401,-0.303071,-0.178403,0.44303,0.486541,0.361141,-0.879927,-0.227787,-0.171267,-0.270909,-0.0668533,0.255963,-0.123917,0.00365775,0.00380031,0.579429,-0.0462512,0.357299,-0.00360874,-0.519218,0.300349,-142.776
-146.41,0.922254,0.174163,5,31,0,157.515,-0.15736,-0.308291,1.00697,0.391098,0.462154,-0.470148,-0.16042,0.444711,-0.262092,-0.501642,0.941285,0.00366463,0.170397,-0.0231013,0.122467,-0.464571,-0.0876327,-0.582829,-0.625149,0.341178,-0.15736,-0.308291,1.00697,0.391098,0.462154,-0.470148,-0.16042,0.444711,-0.262092,-0.501642,0.941285,0.00366463,0.170397,-0.0231013,0.122467,-0.464571,-0.0876327,-0.582829,-0.625149,0.100488,-144.277
-142.487,0.997594,0.174163,5,31,0,154.262,0.104751,-0.245815,0.872938,0.619315,0.638891,-0.581747,0.106154,-0.0280259,-0.445731,-0.519145,-0.0998535,0.115192,-0.237116,-0.483591,-0.0412433,-0.140824,0.407168,0.131762,-0.298323,0.367757,0.104751,-0.245815,0.872938,0.619315,0.638891,-0.581747,0.106154,-0.0280259,-0.445731,-0.519145,-0.0998535,0.115192,-0.237116,-0.483591,-0.0412433,-0.140824,0.407168,0.131762,-0.298323,0.125243,-140.894
-143.215,0.996621,0.174163,5,31,0,151.848,0.204561,-0.684828,0.368892,-0.0495034,0.496862,-0.434716,-0.302882,0.0158052,-0.169358,0.0880077,0.697541,0.172641,-0.0599208,0.427966,0.565722,-0.840244,0.0876168,0.0794605,-0.852963,0.175522,0.204561,-0.684828,0.368892,-0.0495034,0.496862,-0.434716,-0.302882,0.0158052,-0.169358,0.0880077,0.697541,0.172641,-0.0599208,0.427966,0.565722,-0.840244,0.0876168,0.0794605,-0.852963,0.189341,-141.357
