# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/47x6t3xj.json
# init = 2 (Default)
# random
#   seed = 84935
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2_lgqcdzk/poisson_2-20250829005337_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.265797
# Diagonal elements of inverse mass matrix:
# 0.0330278, 0.0378249, 0.0422395, 0.0331954, 0.0354744, 0.0387428, 0.0451712, 0.0412887, 0.0338727, 0.0305658, 0.0392236, 0.038666, 0.0323325, 0.0424838, 0.0442357, 0.0317194, 0.0372122, 0.0376743, 0.0355156, 0.00930389
-278.982,0.95403,0.265797,4,15,0,288.524,0.216023,0.298059,-0.104085,-0.165513,-0.0788439,0.667785,-0.0775103,0.208989,-0.550309,-0.409758,-0.0427232,-0.0490172,0.110945,-0.261828,-0.00475198,-0.478776,0.0196666,0.43581,0.126358,0.227966,0.216023,0.298059,-0.104085,-0.165513,-0.0788439,0.667785,-0.0775103,0.208989,-0.550309,-0.409758,-0.0427232,-0.0490172,0.110945,-0.261828,-0.00475198,-0.478776,0.0196666,0.43581,0.126358,0.139482,-278.122
-275.558,0.92019,0.265797,4,15,0,287.724,0.143992,0.197006,-0.0168265,-0.127378,-0.161494,0.409199,-0.341816,0.208435,-0.73115,-0.25443,0.0400468,-0.119347,0.354953,0.0234048,0.226331,0.081912,-0.256106,0.25596,-0.0204707,0.374301,0.143992,0.197006,-0.0168265,-0.127378,-0.161494,0.409199,-0.341816,0.208435,-0.73115,-0.25443,0.0400468,-0.119347,0.354953,0.0234048,0.226331,0.081912,-0.256106,0.25596,-0.0204707,0.0877776,-274.807
-276.248,0.993854,0.265797,4,15,0,285.64,0.0355467,0.408089,-0.0549113,0.594762,-0.397033,0.00933102,-0.127386,-0.109068,-0.334467,-0.113625,-0.186703,0.100938,0.0740114,-0.0903908,0.123835,-0.3482,0.0724964,0.629529,-0.135594,0.0806617,0.0355467,0.408089,-0.0549113,0.594762,-0.397033,0.00933102,-0.127386,-0.109068,-0.334467,-0.113625,-0.186703,0.100938,0.0740114,-0.0903908,0.123835,-0.3482,0.0724964,0.629529,-0.135594,-0.15116,-275.519
-272.079,0.66546,0.265797,4,15,0,282.503,0.245577,-0.164947,0.127358,0.329281,-0.163957,0.535192,-0.479848,0.0862542,-0.707261,-0.291992,0.0387152,-0.0888533,0.289574,-0.148027,0.473188,-0.0996247,-0.217511,0.338517,-0.0835373,0.262491,0.245577,-0.164947,0.127358,0.329281,-0.163957,0.535192,-0.479848,0.0862542,-0.707261,-0.291992,0.0387152,-0.0888533,0.289574,-0.148027,0.473188,-0.0996247,-0.217511,0.338517,-0.0835373,-0.0180984,-271.111
-276.462,0.929295,0.265797,4,15,0,283.766,0.354821,0.158861,0.17104,-0.133755,0.0242708,0.387303,-0.293488,0.27582,-0.397938,-0.354968,-0.219383,-0.125131,-0.0255216,-0.216104,0.628462,-0.111927,-0.416342,0.30187,-0.0410385,0.211266,0.354821,0.158861,0.17104,-0.133755,0.0242708,0.387303,-0.293488,0.27582,-0.397938,-0.354968,-0.219383,-0.125131,-0.0255216,-0.216104,0.628462,-0.111927,-0.416342,0.30187,-0.0410385,0.0331479,-275.649
-281.168,0.94427,0.265797,4,15,0,290.946,0.160127,0.0803173,0.489628,-0.000141046,-0.0146344,0.449505,-0.601923,-0.1609,-0.790706,-0.425354,0.275578,-0.115638,0.00144247,-0.0816421,0.321696,0.252716,0.0448154,0.385463,-0.223958,0.110484,0.160127,0.0803173,0.489628,-0.000141046,-0.0146344,0.449505,-0.601923,-0.1609,-0.790706,-0.425354,0.275578,-0.115638,0.00144247,-0.0816421,0.321696,0.252716,0.0448154,0.385463,-0.223958,-0.0463909,-280.095
-271.165,0.996842,0.265797,4,15,0,283.359,0.405185,0.130147,-0.13217,0.397814,-0.0663853,0.250516,-0.253553,-0.170938,-0.429999,-0.340423,-0.231816,-0.142181,0.35599,-0.0821326,0.264261,-0.0597554,-0.134128,0.341681,-0.0835505,0.234244,0.405185,0.130147,-0.13217,0.397814,-0.0663853,0.250516,-0.253553,-0.170938,-0.429999,-0.340423,-0.231816,-0.142181,0.35599,-0.0821326,0.264261,-0.0597554,-0.134128,0.341681,-0.0835505,-0.0185628,-270.517
-270.283,0.893118,0.265797,3,15,0,280.372,0.2599,0.0848928,-0.0123944,0.297401,-0.22866,0.245938,-0.436115,-0.084452,-0.33811,-0.248892,-0.192566,-0.188197,0.246429,0.125948,0.260357,-0.0635765,-0.0686471,0.418929,-0.0598128,0.183325,0.2599,0.0848928,-0.0123944,0.297401,-0.22866,0.245938,-0.436115,-0.084452,-0.33811,-0.248892,-0.192566,-0.188197,0.246429,0.125948,0.260357,-0.0635765,-0.0686471,0.418929,-0.0598128,-0.0183741,-269.739
-276.682,0.940421,0.265797,3,15,0,280.09,0.494966,0.176338,-0.0707304,0.459308,-0.0988675,0.456753,-0.513554,0.167731,-0.403452,-0.0220283,-0.285182,-0.354376,0.137692,0.108337,0.176479,-0.266192,-0.00433348,0.334572,-0.406675,0.181741,0.494966,0.176338,-0.0707304,0.459308,-0.0988675,0.456753,-0.513554,0.167731,-0.403452,-0.0220283,-0.285182,-0.354376,0.137692,0.108337,0.176479,-0.266192,-0.00433348,0.334572,-0.406675,-0.0867851,-275.774
