# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/gp6rpidn.json
# init = 2 (Default)
# random
#   seed = 79279
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2qov7tg8t/poisson_2-20250829005339_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.207532
# Diagonal elements of inverse mass matrix:
# 0.0232964, 0.024964, 0.0223925, 0.0226661, 0.0262505, 0.0247556, 0.0236177, 0.0276339, 0.0229857, 0.0249466, 0.0226771, 0.0206048, 0.01978, 0.0265984, 0.0210142, 0.026162, 0.0218332, 0.0230864, 0.025569, 0.00447439
-408.458,1,0.207532,4,15,0,413.307,0.0735298,0.0819778,0.0168759,0.323965,-0.405957,0.0748656,-0.0960521,-0.0753171,-0.026293,-0.365084,-0.114466,-0.21755,0.287063,-0.0273356,0.247844,0.176731,-0.19272,0.160987,0.0587851,0.303634,0.0735298,0.0819778,0.0168759,0.323965,-0.405957,0.0748656,-0.0960521,-0.0753171,-0.026293,-0.365084,-0.114466,-0.21755,0.287063,-0.0273356,0.247844,0.176731,-0.19272,0.160987,0.0587851,0.0181511,-408.042
-409.947,0.993116,0.207532,4,15,0,417.817,-0.128264,0.212437,0.0888098,0.144931,-0.269022,0.0972348,-0.411043,-0.0735642,-0.0117535,-0.604736,-0.12185,-0.0158194,0.252739,0.0462757,0.210944,0.185189,-0.184242,0.356182,0.259902,0.325019,-0.128264,0.212437,0.0888098,0.144931,-0.269022,0.0972348,-0.411043,-0.0735642,-0.0117535,-0.604736,-0.12185,-0.0158194,0.252739,0.0462757,0.210944,0.185189,-0.184242,0.356182,0.259902,-0.0343484,-409.344
-411.22,0.881429,0.207532,4,15,0,420.343,0.19652,0.183076,0.0717474,0.2894,-0.104832,0.458935,-0.526087,-0.0402777,-0.266878,0.0817892,-0.393505,-0.104164,0.197303,0.128666,0.2269,-0.32495,-0.353976,0.0321632,0.105287,0.295445,0.19652,0.183076,0.0717474,0.2894,-0.104832,0.458935,-0.526087,-0.0402777,-0.266878,0.0817892,-0.393505,-0.104164,0.197303,0.128666,0.2269,-0.32495,-0.353976,0.0321632,0.105287,0.142882,-410.549
-408.982,0.9985,0.207532,4,15,0,418.325,0.109067,0.149974,-0.0750683,0.320514,-0.213751,0.340592,-0.518642,0.0256686,-0.464964,-0.0559316,-0.0941941,0.0426521,0.354121,-0.0997265,0.222661,0.0386895,-0.413664,0.178779,0.0390142,0.359945,0.109067,0.149974,-0.0750683,0.320514,-0.213751,0.340592,-0.518642,0.0256686,-0.464964,-0.0559316,-0.0941941,0.0426521,0.354121,-0.0997265,0.222661,0.0386895,-0.413664,0.178779,0.0390142,0.11421,-408.319
-409.338,0.834588,0.207532,4,31,0,418.214,0.111275,0.0108483,0.0651761,0.259089,-0.25846,0.197853,-0.335815,0.132737,-0.455328,-0.0232728,-0.0240168,-0.090541,0.542648,-0.0591134,0.112827,0.00611078,-0.41286,0.236852,0.00209752,0.312823,0.111275,0.0108483,0.0651761,0.259089,-0.25846,0.197853,-0.335815,0.132737,-0.455328,-0.0232728,-0.0240168,-0.090541,0.542648,-0.0591134,0.112827,0.00611078,-0.41286,0.236852,0.00209752,-0.0181049,-408.752
-408.285,0.985955,0.207532,4,15,0,415.237,-0.129248,0.287155,0.084473,0.343755,-0.175254,0.328763,-0.294587,-0.0392481,-0.00384981,-0.508175,-0.338716,0.0924949,-0.0901287,0.102306,0.189222,-0.159647,-0.0667672,0.410023,-0.0333126,0.285476,-0.129248,0.287155,0.084473,0.343755,-0.175254,0.328763,-0.294587,-0.0392481,-0.00384981,-0.508175,-0.338716,0.0924949,-0.0901287,0.102306,0.189222,-0.159647,-0.0667672,0.410023,-0.0333126,0.000742164,-407.701
