# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/wt3rrncl.json
# init = 2 (Default)
# random
#   seed = 90477
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_2x_bafq0n/poisson_2-20250829005341_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.219757
# Diagonal elements of inverse mass matrix:
# 0.0178646, 0.0205207, 0.0211167, 0.0157604, 0.0175618, 0.0170131, 0.017225, 0.0158087, 0.0219109, 0.0187027, 0.0174694, 0.0204619, 0.0177951, 0.0179405, 0.0198924, 0.0187427, 0.0163856, 0.016709, 0.0171269, 0.00384869
-535.151,0.987931,0.219757,4,15,0,545.844,0.177825,0.173349,0.05393,0.386188,-0.251915,0.269034,-0.273279,0.151601,-0.380051,-0.171774,-0.0694481,-0.161194,0.400865,-0.0524482,0.0526051,-0.235316,-0.350878,0.387674,0.0241812,0.245447,0.177825,0.173349,0.05393,0.386188,-0.251915,0.269034,-0.273279,0.151601,-0.380051,-0.171774,-0.0694481,-0.161194,0.400865,-0.0524482,0.0526051,-0.235316,-0.350878,0.387674,0.0241812,-0.130949,-534.548
-537.485,0.869505,0.219757,4,15,0,551.503,-0.129614,0.0398617,0.294198,0.0952883,-0.166839,0.169551,-0.0297447,-0.084749,0.0697976,-0.151026,-0.300308,0.271679,-0.117316,0.286139,0.188267,-0.0778588,-0.267721,0.184575,-0.143231,0.243309,-0.129614,0.0398617,0.294198,0.0952883,-0.166839,0.169551,-0.0297447,-0.084749,0.0697976,-0.151026,-0.300308,0.271679,-0.117316,0.286139,0.188267,-0.0778588,-0.267721,0.184575,-0.143231,-0.130947,-537.139
-536.677,0.966889,0.219757,4,15,0,544.943,-0.0950622,0.0596055,0.269693,0.126998,-0.185909,0.185981,-0.0667144,-0.171613,-0.160892,-0.26338,-0.337283,0.345909,-0.00860188,0.304938,0.289432,-0.127239,-0.289655,0.209574,-0.0492763,0.228614,-0.0950622,0.0596055,0.269693,0.126998,-0.185909,0.185981,-0.0667144,-0.171613,-0.160892,-0.26338,-0.337283,0.345909,-0.00860188,0.304938,0.289432,-0.127239,-0.289655,0.209574,-0.0492763,-0.0365044,-536.223
-533.872,0.937962,0.219757,4,15,0,550.601,0.142703,0.147699,0.241853,0.352054,-0.321398,0.248737,-0.121959,0.163702,-0.305544,-0.250053,-0.104843,-0.16932,0.270148,-0.0843301,-0.0440784,-0.0709497,-0.396,0.362359,0.125819,0.207524,0.142703,0.147699,0.241853,0.352054,-0.321398,0.248737,-0.121959,0.163702,-0.305544,-0.250053,-0.104843,-0.16932,0.270148,-0.0843301,-0.0440784,-0.0709497,-0.396,0.362359,0.125819,-0.186599,-533.342
-537.233,0.992762,0.219757,4,15,0,542.687,0.400145,0.0957211,0.276788,0.408613,-0.305338,0.271921,-0.128881,0.0374288,-0.345369,-0.391862,-0.211451,0.0290555,0.137426,0.0682305,0.0465376,-0.383206,-0.304932,0.224794,0.254394,0.238574,0.400145,0.0957211,0.276788,0.408613,-0.305338,0.271921,-0.128881,0.0374288,-0.345369,-0.391862,-0.211451,0.0290555,0.137426,0.0682305,0.0465376,-0.383206,-0.304932,0.224794,0.254394,-0.180016,-536.556
-533.016,0.899122,0.219757,4,15,0,544.364,0.105469,0.0454426,0.143615,0.0531923,-0.0903045,0.220038,-0.168808,0.0991404,-0.0756839,0.0533551,-0.128023,-0.23078,0.0195076,0.15522,0.0813655,-0.1072,-0.390712,0.368538,-0.0107268,0.274906,0.105469,0.0454426,0.143615,0.0531923,-0.0903045,0.220038,-0.168808,0.0991404,-0.0756839,0.0533551,-0.128023,-0.23078,0.0195076,0.15522,0.0813655,-0.1072,-0.390712,0.368538,-0.0107268,-0.142646,-532.708
