# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_2_model
# start_datetime = 2025-08-29 03:53:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/dlbmzi7y.json
# init = 2 (Default)
# random
#   seed = 84598
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_25spfvmfb/poisson_2-20250829005334_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.223236
# Diagonal elements of inverse mass matrix:
# 0.00975292, 0.00754695, 0.00875929, 0.0091598, 0.0107664, 0.00889985, 0.00915676, 0.00925271, 0.00874922, 0.00860418, 0.0110605, 0.00889587, 0.0106073, 0.00944561, 0.00950748, 0.0097011, 0.00853912, 0.00899781, 0.0100637, 0.00187082
-1028.92,0.633099,0.223236,4,15,0,1040.89,0.0753283,0.0450791,0.0976309,0.161006,-0.080255,0.280612,-0.0929522,0.0802909,-0.226579,-0.0639134,0.15985,-0.0205716,0.101629,-0.0644696,-0.0839497,-0.0969632,-0.170633,0.284588,-0.237435,0.349889,0.0753283,0.0450791,0.0976309,0.161006,-0.080255,0.280612,-0.0929522,0.0802909,-0.226579,-0.0639134,0.15985,-0.0205716,0.101629,-0.0644696,-0.0839497,-0.0969632,-0.170633,0.284588,-0.237435,-0.148291,-1028.65
-1030.08,0.810907,0.223236,4,15,0,1039.18,0.155537,-0.0121928,-0.0498895,0.282032,-0.067947,0.213753,-0.249004,0.0960504,-0.227136,-0.0588563,0.170732,0.129861,0.278044,0.0877636,-0.110682,-0.262366,-0.241203,0.0782864,-0.121729,0.308734,0.155537,-0.0121928,-0.0498895,0.282032,-0.067947,0.213753,-0.249004,0.0960504,-0.227136,-0.0588563,0.170732,0.129861,0.278044,0.0877636,-0.110682,-0.262366,-0.241203,0.0782864,-0.121729,-0.0910527,-1029.74
-1034.39,0.819591,0.223236,4,15,0,1043.57,0.0883185,-0.058502,-0.0671239,0.327862,-0.076158,0.440248,-0.00206173,-0.0147402,0.0352743,-0.0801811,0.107539,-0.294504,-0.0735755,0.181075,-0.132986,0.0266431,-0.367621,0.149626,-0.124486,0.384858,0.0883185,-0.058502,-0.0671239,0.327862,-0.076158,0.440248,-0.00206173,-0.0147402,0.0352743,-0.0801811,0.107539,-0.294504,-0.0735755,0.181075,-0.132986,0.0266431,-0.367621,0.149626,-0.124486,-0.064647,-1033.99
-1033.97,0.943557,0.223236,4,15,0,1046.84,0.218723,0.0639552,-0.083755,0.372733,-0.0681653,0.486332,-0.130374,0.0242649,0.100284,-0.0715784,0.0196217,-0.305488,0.0617705,0.162548,0.0134367,-0.196218,-0.319871,0.249284,-0.397303,0.328458,0.218723,0.0639552,-0.083755,0.372733,-0.0681653,0.486332,-0.130374,0.0242649,0.100284,-0.0715784,0.0196217,-0.305488,0.0617705,0.162548,0.0134367,-0.196218,-0.319871,0.249284,-0.397303,-0.200202,-1033.44
-1032.14,0.998524,0.223236,4,15,0,1042.95,-0.00940351,0.00245335,0.0346182,0.390775,-0.0108934,0.176717,-0.106592,-0.0339704,-0.221717,-0.0452791,0.158027,0.0682655,0.0290442,-0.0891681,-0.0322464,-0.15335,-0.331185,0.313137,-0.0632203,0.232683,-0.00940351,0.00245335,0.0346182,0.390775,-0.0108934,0.176717,-0.106592,-0.0339704,-0.221717,-0.0452791,0.158027,0.0682655,0.0290442,-0.0891681,-0.0322464,-0.15335,-0.331185,0.313137,-0.0632203,-0.0760124,-1031.85
-1026.25,0.943459,0.223236,4,15,0,1041.94,0.192116,0.0113883,0.0914826,0.436985,-0.14883,0.371807,-0.0634689,-0.0403389,-0.154159,-0.0842282,0.0506058,-0.00036713,0.0147912,0.258673,-0.185236,-0.258766,-0.286359,0.146863,-0.140803,0.286044,0.192116,0.0113883,0.0914826,0.436985,-0.14883,0.371807,-0.0634689,-0.0403389,-0.154159,-0.0842282,0.0506058,-0.00036713,0.0147912,0.258673,-0.185236,-0.258766,-0.286359,0.146863,-0.140803,-0.212156,-1025.84
