# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:53:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/eykq2wba.json
# init = 2 (Default)
# random
#   seed = 53128
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3spct6ioe/poisson_3-20250829005347_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.260715
# Diagonal elements of inverse mass matrix:
# 0.0731116, 0.0764636, 0.0682971, 0.184163, 0.0887881, 0.215188, 0.0586324, 0.0822922, 0.0892534, 0.0941708, 0.0445125, 0.125824, 0.0692134, 0.0823835, 0.0992158, 0.0787808, 0.0819663, 0.0875462, 0.0791042, 0.0705525, 0.142688, 0.0701137, 0.071231, 0.103693, 0.0692046, 0.266868, 0.0670317, 0.146397, 0.115594, 0.0960808, 0.0629119, 0.064766, 0.068513, 0.0722152, 0.103822, 0.0792554, 0.165219, 0.0798079, 0.0736542
-277.442,0.924679,0.260715,4,15,0,298.359,0.152351,-0.136611,0.665729,-1.12536,-0.507972,-0.979969,0.967814,0.239022,-0.120304,-0.826233,0.844239,0.185245,0.496242,0.166855,0.20772,-0.0480904,0.105481,-0.26393,-0.0938605,0.256275,-0.491457,0.0497664,-0.539237,-0.44834,0.417473,-0.691216,-0.237565,-0.626553,0.147202,0.106848,0.595207,0.267906,0.0485508,-0.00849402,-0.0914324,-0.261637,-0.631339,0.377019,-0.33912,0.152351,-0.136611,0.665729,-1.12536,-0.507972,-0.979969,0.967814,0.239022,-0.120304,-0.826233,0.844239,0.185245,0.496242,0.166855,0.20772,-0.0480904,0.105481,-0.26393,-0.0938605,0.0716269,-272.985
-279.79,0.986856,0.260715,4,15,0,296.969,0.59447,0.0420047,0.453597,-1.07293,-0.429694,-0.130955,0.849947,-0.164444,-1.07872,-0.243192,0.565498,-0.0198573,0.245792,-0.118503,-0.318149,-0.198325,0.0656468,-0.0105061,0.53962,-0.125041,-0.909793,-0.41076,0.108745,-0.57834,-0.160334,-0.986753,0.238137,-0.872908,-1.27665,-0.069867,0.430501,0.533612,0.613892,0.0745039,-0.81339,0.689897,-1.07766,-0.346763,0.646563,0.59447,0.0420047,0.453597,-1.07293,-0.429694,-0.130955,0.849947,-0.164444,-1.07872,-0.243192,0.565498,-0.0198573,0.245792,-0.118503,-0.318149,-0.198325,0.0656468,-0.0105061,0.53962,0.428699,-273.181
-270.701,0.745126,0.260715,4,15,0,302.013,-0.462016,-0.117829,0.346897,-0.615348,0.0614201,-1.47004,0.487158,0.152709,0.348351,-0.541998,0.664026,0.00613045,0.420433,0.196713,0.393503,0.195696,0.424967,-0.275778,-0.194581,0.297646,-0.17923,0.366333,0.0774882,0.371481,0.523716,-1.46698,-0.170185,-0.613527,0.113461,-0.0137586,0.457896,0.30399,0.0932966,0.21216,0.181602,-0.168972,-0.023526,0.0143784,0.327769,-0.462016,-0.117829,0.346897,-0.615348,0.0614201,-1.47004,0.487158,0.152709,0.348351,-0.541998,0.664026,0.00613045,0.420433,0.196713,0.393503,0.195696,0.424967,-0.275778,-0.194581,-0.0204099,-266.461
-271.796,0.615274,0.260715,4,15,0,290.952,0.0632808,0.323587,0.670287,-1.18047,-0.404592,-1.35927,0.876967,-0.0131906,-0.278796,-0.209393,0.740555,-0.0341465,0.10823,-0.308678,0.0306576,-0.0636265,0.441346,0.00701522,0.750016,-0.159423,-0.832503,-0.311015,0.116715,-0.513484,0.202607,-0.365174,0.437866,-1.11086,-0.79113,0.0516067,0.169074,0.161803,0.302127,0.149326,-0.746496,0.392127,-1.31171,-0.0401222,0.471988,0.0632808,0.323587,0.670287,-1.18047,-0.404592,-1.35927,0.876967,-0.0131906,-0.278796,-0.209393,0.740555,-0.0341465,0.10823,-0.308678,0.0306576,-0.0636265,0.441346,0.00701522,0.750016,-0.159776,-265.587
-273.288,0.990815,0.260715,4,15,0,286.429,-0.533102,0.497586,0.434315,-1.06519,0.224758,-0.65402,0.40325,-0.0479332,-0.474827,-0.411332,0.621546,0.134881,0.346545,0.345976,0.115162,-0.0673101,0.183976,-0.0356316,-0.026514,-0.277583,-0.0628569,0.151329,-0.323903,0.302176,0.442991,-1.5554,-0.0133822,0.0406379,0.177405,-0.189538,0.649472,0.596139,0.229056,0.0366527,0.264172,-0.163161,-0.515776,0.106229,0.235169,-0.533102,0.497586,0.434315,-1.06519,0.224758,-0.65402,0.40325,-0.0479332,-0.474827,-0.411332,0.621546,0.134881,0.346545,0.345976,0.115162,-0.0673101,0.183976,-0.0356316,-0.026514,0.00786556,-269.37
-270.487,0.793501,0.260715,4,15,0,290.422,-0.552828,0.385508,0.39527,-0.711856,0.065108,-0.42532,0.638809,-0.240326,0.380472,-0.308456,0.27624,-0.276169,-0.066434,0.168328,-0.549209,0.16147,0.0353696,0.26271,0.128069,0.0136708,-0.115437,0.321339,0.037385,-0.13166,0.482933,-0.587325,0.647023,-1.10861,-0.192443,-0.252357,0.617824,0.208087,0.542429,0.0211213,-0.248786,0.235824,-0.818278,0.164369,0.32193,-0.552828,0.385508,0.39527,-0.711856,0.065108,-0.42532,0.638809,-0.240326,0.380472,-0.308456,0.27624,-0.276169,-0.066434,0.168328,-0.549209,0.16147,0.0353696,0.26271,0.128069,0.233244,-267.134
