# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:53:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/dn_tyslu.json
# init = 2 (Default)
# random
#   seed = 5446
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3vy3nwdoi/poisson_3-20250829005348_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.26148
# Diagonal elements of inverse mass matrix:
# 0.0463591, 0.0396238, 0.0424482, 0.103632, 0.0440779, 0.144158, 0.0399454, 0.0644002, 0.0386092, 0.0596587, 0.0335686, 0.0704893, 0.0479653, 0.0599028, 0.0683296, 0.0518022, 0.0490564, 0.0547948, 0.0353669, 0.0493752, 0.0728006, 0.0689557, 0.0511187, 0.0888853, 0.0463573, 0.108556, 0.0514114, 0.0981742, 0.078145, 0.0519205, 0.0458338, 0.0369449, 0.0502535, 0.0365499, 0.0738916, 0.06995, 0.107433, 0.0673577, 0.046296
-402.115,0.977974,0.26148,4,15,0,418.804,0.412666,0.367733,0.259628,-0.735589,-0.152948,-1.28225,0.410489,0.128021,-0.0408298,0.13034,0.313093,-0.460661,0.306915,-0.311084,0.186984,0.0610007,-0.180151,0.224736,0.334717,0.240921,-0.251048,0.0841296,0.275567,0.222841,-0.0312008,-0.40063,0.173691,-0.375873,0.0146311,0.103154,0.249724,0.497516,0.501257,0.662803,-0.467714,-0.0841538,-0.951878,0.102505,0.396273,0.412666,0.367733,0.259628,-0.735589,-0.152948,-1.28225,0.410489,0.128021,-0.0408298,0.13034,0.313093,-0.460661,0.306915,-0.311084,0.186984,0.0610007,-0.180151,0.224736,0.334717,0.0271923,-398.906
-409.454,0.823385,0.26148,4,15,0,421.519,0.325103,0.274384,0.336418,-0.618782,0.243889,-1.32341,0.610922,-0.00927068,-0.0554106,-0.0394121,0.484422,-0.0234982,0.18237,-0.109394,-0.125865,0.104886,-0.35767,-0.295873,0.29546,0.705885,0.264316,-0.0596912,0.058497,-0.0582122,0.317836,-0.358619,0.650726,-0.452254,-0.179233,0.492442,0.133081,0.204337,0.52522,0.536141,-0.167631,-0.312896,-0.582796,-0.440551,0.067004,0.325103,0.274384,0.336418,-0.618782,0.243889,-1.32341,0.610922,-0.00927068,-0.0554106,-0.0394121,0.484422,-0.0234982,0.18237,-0.109394,-0.125865,0.104886,-0.35767,-0.295873,0.29546,0.100728,-406.217
-412.467,0.995806,0.26148,4,15,0,423.843,0.0776492,0.610303,0.0819823,-1.33976,0.113065,-0.777706,0.00763865,0.136295,0.412288,-0.373885,0.574317,-0.151286,0.211333,0.0853072,0.158128,-0.241663,0.167739,0.462029,0.128658,-0.262536,-0.286541,0.160524,0.451345,0.0454614,0.208784,-0.535218,0.0865217,-1.23445,0.162863,-0.405542,0.518264,0.489829,0.317652,0.253196,-0.148738,0.0569521,-0.593399,0.178779,0.517817,0.0776492,0.610303,0.0819823,-1.33976,0.113065,-0.777706,0.00763865,0.136295,0.412288,-0.373885,0.574317,-0.151286,0.211333,0.0853072,0.158128,-0.241663,0.167739,0.462029,0.128658,-0.342436,-408.638
-409.761,0.955858,0.26148,4,15,0,430.226,0.0201363,0.331677,0.116602,-1.65969,-0.0246173,-0.186277,0.398037,-0.0954183,0.192839,0.31347,0.611452,-0.309665,0.087109,-0.370623,0.293981,0.0861003,0.31164,0.00201957,0.0679715,0.09565,-0.491332,0.280596,0.448075,0.12284,0.249884,-0.242597,0.389212,-0.963743,0.266291,0.0236948,-0.0742618,0.379125,0.508276,0.404391,-0.339224,-0.160783,-0.582035,-0.023872,0.344415,0.0201363,0.331677,0.116602,-1.65969,-0.0246173,-0.186277,0.398037,-0.0954183,0.192839,0.31347,0.611452,-0.309665,0.087109,-0.370623,0.293981,0.0861003,0.31164,0.00201957,0.0679715,-0.186742,-406.253
-408.715,0.945049,0.26148,4,15,0,429.031,0.0175658,0.306431,0.0897861,-1.77799,-0.0679935,-0.308693,0.319852,-0.0310528,0.162379,0.233923,0.58182,-0.221462,0.0395382,-0.209624,0.320469,0.0958217,0.269893,0.0751904,0.0398486,0.127655,-0.425037,0.183963,0.444251,0.030973,0.337238,-0.231886,0.377624,-0.954478,0.273581,-0.0245865,-0.100274,0.424514,0.536158,0.418583,-0.159996,-0.153517,-0.705165,0.0720464,0.326176,0.0175658,0.306431,0.0897861,-1.77799,-0.0679935,-0.308693,0.319852,-0.0310528,0.162379,0.233923,0.58182,-0.221462,0.0395382,-0.209624,0.320469,0.0958217,0.269893,0.0751904,0.0398486,0.0642977,-405.11
-408.373,0.925276,0.26148,4,15,0,427.281,-0.0217446,0.184309,0.105669,-1.70798,-0.0920853,-0.311148,0.371823,0.0863724,0.19135,0.128535,0.563356,-0.286502,0.0450647,-0.196503,0.288892,0.130771,0.259935,0.0874468,0.035487,0.154553,-0.448205,0.180063,0.300777,0.0445225,0.308518,-0.193069,0.311607,-0.958164,0.213253,-0.105592,-0.110081,0.494457,0.437847,0.360332,-0.199361,-0.195165,-0.887136,0.0386922,0.312946,-0.0217446,0.184309,0.105669,-1.70798,-0.0920853,-0.311148,0.371823,0.0863724,0.19135,0.128535,0.563356,-0.286502,0.0450647,-0.196503,0.288892,0.130771,0.259935,0.0874468,0.035487,0.136955,-404.883
