# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:53:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1937etk3.json
# init = 2 (Default)
# random
#   seed = 73202
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3dvj9k8u0/poisson_3-20250829005350_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.21115
# Diagonal elements of inverse mass matrix:
# 0.0334638, 0.0318218, 0.03924, 0.0767035, 0.048015, 0.0896585, 0.027668, 0.0375535, 0.0399502, 0.0416379, 0.0247015, 0.0489604, 0.042345, 0.0418763, 0.0556171, 0.0313247, 0.0446507, 0.0423017, 0.0361048, 0.0405898, 0.0432225, 0.0382223, 0.0320747, 0.0419951, 0.0395724, 0.0648442, 0.0415225, 0.056968, 0.0431088, 0.0447626, 0.0273523, 0.0328603, 0.0268007, 0.0293178, 0.057241, 0.0477721, 0.0613461, 0.0400854, 0.0354643
-552.987,0.985702,0.21115,4,15,0,565.948,0.583873,0.32114,0.0919535,-0.895322,0.0301471,-1.13977,-0.00206067,0.0094034,0.159798,0.090047,0.818227,-0.0339387,-0.41107,-0.245016,0.0425156,0.449916,0.204073,-0.247284,0.296799,0.222636,-0.385431,0.251596,0.437436,-0.0272212,0.403779,-0.730553,-0.0468837,-0.694761,-0.356439,0.0314508,0.266876,-0.0836422,0.571329,0.507196,0.175193,0.0699488,-0.419176,0.333529,0.061682,0.583873,0.32114,0.0919535,-0.895322,0.0301471,-1.13977,-0.00206067,0.0094034,0.159798,0.090047,0.818227,-0.0339387,-0.41107,-0.245016,0.0425156,0.449916,0.204073,-0.247284,0.296799,-0.123436,-549.67
-539.844,0.992196,0.21115,4,15,0,566.684,0.134677,0.400492,0.0248427,-0.454707,-0.205083,-0.717816,0.313568,-0.191873,0.157421,-0.0973958,0.878231,-0.398738,0.124067,-0.0611397,-0.263296,0.388981,0.274291,-0.22282,0.0274959,0.315887,0.334804,-0.108167,0.291085,0.00581987,0.0486761,-0.564974,0.280662,-0.242521,0.0276565,-0.100909,0.168448,0.561616,0.385377,0.44306,-0.283518,-0.257197,-0.249221,-0.0943226,0.202967,0.134677,0.400492,0.0248427,-0.454707,-0.205083,-0.717816,0.313568,-0.191873,0.157421,-0.0973958,0.878231,-0.398738,0.124067,-0.0611397,-0.263296,0.388981,0.274291,-0.22282,0.0274959,-0.111198,-537.777
-550.316,0.731693,0.21115,4,15,0,564.999,0.509627,0.263932,0.0650405,-0.562848,-0.0595946,-0.923251,0.463894,-0.383685,-0.132106,-0.099454,0.778767,-0.164332,0.296016,0.34943,-0.594444,0.499481,0.142684,-0.129366,0.174834,0.081822,-0.366769,-0.0563053,0.293392,0.528807,-0.0426915,-0.17839,0.051895,-0.551004,-0.188096,0.226044,0.312834,0.633858,0.120237,0.476364,-0.148503,0.0803518,-0.590006,-0.0316001,0.104605,0.509627,0.263932,0.0650405,-0.562848,-0.0595946,-0.923251,0.463894,-0.383685,-0.132106,-0.099454,0.778767,-0.164332,0.296016,0.34943,-0.594444,0.499481,0.142684,-0.129366,0.174834,-0.494624,-547.579
-551.045,0.974425,0.21115,4,15,0,568.716,0.52836,0.16365,0.334168,-0.508986,0.0167085,-0.421833,0.252823,0.204879,0.1621,0.0177652,0.640855,-0.477876,-0.145653,-0.624465,-0.254973,-0.543351,0.213292,0.225059,0.181628,0.108281,0.211682,0.421047,0.17553,-0.494581,0.13154,-0.536095,0.332366,-0.599731,0.262516,-0.594048,0.206847,0.333347,0.576659,0.240789,-0.30421,-0.315495,-0.340684,-0.258993,0.249429,0.52836,0.16365,0.334168,-0.508986,0.0167085,-0.421833,0.252823,0.204879,0.1621,0.0177652,0.640855,-0.477876,-0.145653,-0.624465,-0.254973,-0.543351,0.213292,0.225059,0.181628,0.0358481,-548.438
-552.539,0.916653,0.21115,4,15,0,570.549,0.444718,0.0298067,0.0782998,-0.320638,0.105304,-0.750345,-0.0213052,0.300262,0.254399,0.136633,0.657757,-0.471322,-0.181551,-0.282673,-0.357033,-0.437467,0.0797589,0.0778047,0.650286,0.350153,0.0909038,-0.105945,0.117231,-0.563912,0.0160647,-0.768794,0.0619563,-0.390968,0.146714,0.138968,0.131952,0.388467,0.418983,0.305456,-0.578647,-0.129324,-0.525136,-0.155669,0.305555,0.444718,0.0298067,0.0782998,-0.320638,0.105304,-0.750345,-0.0213052,0.300262,0.254399,0.136633,0.657757,-0.471322,-0.181551,-0.282673,-0.357033,-0.437467,0.0797589,0.0778047,0.650286,0.00730377,-550.028
-552.483,0.963157,0.21115,4,15,0,577.186,0.581853,0.208314,0.348381,-1.40521,-0.0445887,-0.704199,0.201613,0.104114,0.128425,-0.0083337,0.720557,-0.435171,0.335201,-0.01673,0.181382,0.398941,0.0419775,-0.258275,-0.0686943,-0.0748065,-0.116503,0.186784,0.101479,-0.595076,0.221392,-0.719662,0.420627,-0.300934,-0.086569,-0.14451,0.718113,0.390014,0.150916,0.631105,-0.529173,-0.011494,-0.654098,-0.0620318,0.152109,0.581853,0.208314,0.348381,-1.40521,-0.0445887,-0.704199,0.201613,0.104114,0.128425,-0.0083337,0.720557,-0.435171,0.335201,-0.01673,0.181382,0.398941,0.0419775,-0.258275,-0.0686943,-0.309557,-548.865
