# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:53:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/ndgperaa.json
# init = 2 (Default)
# random
#   seed = 76019
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3x8wxc4gl/poisson_3-20250829005343_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.230716
# Diagonal elements of inverse mass matrix:
# 0.0141743, 0.0156625, 0.0257831, 0.0435088, 0.0240947, 0.0389257, 0.0146926, 0.018626, 0.0209415, 0.0241747, 0.0117476, 0.0265433, 0.0264539, 0.0228997, 0.0285424, 0.0285689, 0.0195989, 0.0218851, 0.0148389, 0.0230554, 0.0303862, 0.017672, 0.0156373, 0.0213783, 0.0167773, 0.0373721, 0.0221861, 0.0343441, 0.0217101, 0.0290328, 0.0220856, 0.0201868, 0.0132538, 0.0197244, 0.0261481, 0.0233432, 0.0273688, 0.0318423, 0.0258595
-1012.27,0.97175,0.230716,4,15,0,1040.93,0.522563,0.210582,0.0508181,-1.1056,-0.124906,-0.817667,0.43999,0.387837,-0.0708146,-0.585994,0.681202,-0.43914,-0.071622,0.326965,-0.113056,0.287457,0.134265,0.122738,0.193421,0.0994374,-0.348105,0.0226702,0.32924,0.128181,0.0426259,-0.342816,0.23481,-0.334794,0.000998957,-0.185777,-0.240353,-0.243421,0.498167,0.208644,-0.00385693,-0.19126,-0.190127,-0.332921,-0.0570308,0.522563,0.210582,0.0508181,-1.1056,-0.124906,-0.817667,0.43999,0.387837,-0.0708146,-0.585994,0.681202,-0.43914,-0.071622,0.326965,-0.113056,0.287457,0.134265,0.122738,0.193421,-0.0290362,-1009.76
-1010.02,0.942732,0.230716,4,15,0,1036.95,0.4061,0.294498,0.0633906,-0.581023,-0.0816439,-0.483183,0.430561,0.0150729,-0.00771063,-0.137841,0.756947,-0.148859,-0.290408,0.102419,-0.505754,-0.201733,0.277875,-0.200534,0.30789,0.0120736,-0.194653,0.266037,0.355018,-0.0759556,0.15193,-0.149468,0.253659,-0.171839,0.0126363,-0.377161,0.407225,0.131979,0.531462,0.294693,-0.183302,0.151437,-0.327644,-0.31,0.359147,0.4061,0.294498,0.0633906,-0.581023,-0.0816439,-0.483183,0.430561,0.0150729,-0.00771063,-0.137841,0.756947,-0.148859,-0.290408,0.102419,-0.505754,-0.201733,0.277875,-0.200534,0.30789,-0.0160643,-1008.17
-1009.88,0.967171,0.230716,4,15,0,1031.88,0.428296,0.39729,-0.068404,-0.923079,-0.167568,-0.466571,0.298058,0.377268,-0.169081,-0.409507,0.728499,-0.647994,0.190318,0.232916,-0.0155405,0.242631,-0.146024,0.14964,0.0322049,6.20643e-06,-0.122274,0.034837,0.453478,0.109302,0.434163,-0.46682,0.228862,-0.427376,0.187168,0.137334,-0.198316,0.116921,0.349743,0.191381,0.0906735,-0.14217,-0.0428735,-0.138889,-0.0874724,0.428296,0.39729,-0.068404,-0.923079,-0.167568,-0.466571,0.298058,0.377268,-0.169081,-0.409507,0.728499,-0.647994,0.190318,0.232916,-0.0155405,0.242631,-0.146024,0.14964,0.0322049,-0.0633516,-1007.77
-1016.87,0.876076,0.230716,4,15,0,1034.6,0.538888,0.463581,0.301564,-0.543274,-0.127486,-0.649863,0.554967,-0.0509406,-0.029963,-0.0164818,0.750701,-0.972507,-0.261383,0.112037,-0.203932,-0.186527,0.198711,0.0413235,0.286653,0.161279,-0.0729748,0.227775,0.183751,-0.0541821,0.0514541,0.0172447,0.179724,-0.160131,0.00445772,-0.202876,0.299485,-0.0770108,0.652007,0.364375,-0.156247,0.186237,-0.311582,-0.225806,0.141703,0.538888,0.463581,0.301564,-0.543274,-0.127486,-0.649863,0.554967,-0.0509406,-0.029963,-0.0164818,0.750701,-0.972507,-0.261383,0.112037,-0.203932,-0.186527,0.198711,0.0413235,0.286653,-0.206068,-1014.6
-1019.05,0.975024,0.230716,4,15,0,1043.16,0.47208,0.290818,0.287865,-0.603158,-0.489726,-0.502693,0.49346,-0.132636,0.0331364,0.0466457,0.892698,-0.679002,-0.0871146,0.0282237,-0.241897,-0.0185226,-0.00406492,0.00308171,0.254132,0.13702,-0.0145187,0.0227776,0.130292,-0.0978853,0.165844,-0.151863,0.184652,-0.208743,-0.261618,-0.109918,0.46194,0.0485922,0.490221,0.51182,-0.10127,-0.191917,-0.151928,-0.272216,0.0370344,0.47208,0.290818,0.287865,-0.603158,-0.489726,-0.502693,0.49346,-0.132636,0.0331364,0.0466457,0.892698,-0.679002,-0.0871146,0.0282237,-0.241897,-0.0185226,-0.00406492,0.00308171,0.254132,-0.0433265,-1017.04
-1012.06,0.975807,0.230716,4,15,0,1035.96,0.481991,0.469082,0.0419684,-0.486049,-0.416821,-0.498855,0.598897,-0.116359,0.00853026,-0.166177,0.762839,-0.624552,0.0724953,-0.0753277,-0.275938,0.153375,0.065514,0.0344439,0.140612,0.093782,-0.324739,0.204379,0.212372,-0.204593,0.14874,-0.360601,0.235753,-0.460085,-0.157101,0.110671,0.187408,0.117242,0.610702,0.415505,0.114267,-0.0121081,-0.054784,-0.295969,0.0888607,0.481991,0.469082,0.0419684,-0.486049,-0.416821,-0.498855,0.598897,-0.116359,0.00853026,-0.166177,0.762839,-0.624552,0.0724953,-0.0753277,-0.275938,0.153375,0.065514,0.0344439,0.140612,-0.169669,-1010.05
