# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:53:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/qzzbwrfz.json
# init = 2 (Default)
# random
#   seed = 92980
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3r7250gys/poisson_3-20250829005345_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.23259
# Diagonal elements of inverse mass matrix:
# 0.120504, 0.120823, 0.126654, 0.210324, 0.123233, 0.356769, 0.0955099, 0.174343, 0.159633, 0.166751, 0.140162, 0.164301, 0.12194, 0.177415, 0.171578, 0.148793, 0.187957, 0.153045, 0.144221, 0.101418, 0.149323, 0.138682, 0.200097, 0.175571, 0.136192, 0.358315, 0.14719, 0.328399, 0.171106, 0.158416, 0.137109, 0.139308, 0.177247, 0.167933, 0.195095, 0.207262, 0.218528, 0.183488, 0.132423
-141.628,0.990562,0.23259,4,15,0,158.636,0.322481,-0.297233,-0.0289833,-0.826031,0.0848305,-0.03368,0.681098,0.492739,-0.196338,-0.441805,0.597453,-0.255617,-0.098533,0.100281,-0.219636,-0.00586227,0.376297,-0.133693,0.441207,0.701194,0.363348,-0.0503808,0.142924,0.26482,-0.14707,-1.16027,-0.0468268,-1.66072,0.127097,0.281427,0.370283,0.394497,-0.0678531,0.265796,0.0471723,0.325127,-0.573161,-0.263415,0.875336,0.322481,-0.297233,-0.0289833,-0.826031,0.0848305,-0.03368,0.681098,0.492739,-0.196338,-0.441805,0.597453,-0.255617,-0.098533,0.100281,-0.219636,-0.00586227,0.376297,-0.133693,0.441207,-0.558976,-137.004
-151.837,0.840685,0.23259,4,15,0,168.624,0.275548,-0.103211,-0.203502,-0.60088,0.332849,-2.69255,0.735126,0.570528,-0.0721288,0.206916,-0.532813,0.541415,0.82739,-0.0329547,0.643583,-0.226515,0.311202,-0.0722845,-0.43077,0.249789,-0.647728,0.26692,-0.503305,-0.284088,-0.0506131,-1.62991,0.644457,-0.0524063,-0.446924,0.119801,0.589425,0.574228,-0.126706,-0.161057,-0.445878,0.284124,-0.618778,-0.119977,1.06446,0.275548,-0.103211,-0.203502,-0.60088,0.332849,-2.69255,0.735126,0.570528,-0.0721288,0.206916,-0.532813,0.541415,0.82739,-0.0329547,0.643583,-0.226515,0.311202,-0.0722845,-0.43077,0.523051,-143.094
-151.59,0.995766,0.23259,4,15,0,167.227,0.0415853,0.109727,0.160298,-1.14348,0.429911,0.285263,1.32089,-0.336239,0.0648022,-0.345396,0.347402,-0.195937,0.242204,0.414243,-0.7513,0.513681,0.386082,-0.499174,-0.0391183,0.20595,0.315036,-0.43217,0.297772,0.407642,-0.16946,-0.406053,-0.624776,-1.98469,-0.124229,0.198259,0.238699,-0.0132928,-0.458179,0.628239,-0.538648,0.530682,0.261297,0.165276,0.933944,0.0415853,0.109727,0.160298,-1.14348,0.429911,0.285263,1.32089,-0.336239,0.0648022,-0.345396,0.347402,-0.195937,0.242204,0.414243,-0.7513,0.513681,0.386082,-0.499174,-0.0391183,-1.00545,-145.303
-154.558,0.985796,0.23259,4,15,0,169.899,-0.045219,-0.176376,-0.428607,-0.869214,0.317261,-1.87385,1.45961,-0.849335,-0.479281,0.321577,0.79404,0.509438,0.872272,-0.0217004,0.231363,-0.021591,0.480283,0.118333,-0.188209,0.957354,-1.13509,-0.149167,-0.307118,0.127994,-0.0302471,-0.965994,-0.1827,-0.1563,-0.284712,0.388025,0.217292,0.748876,0.358677,0.283329,-0.650066,0.678631,-0.903137,-0.254613,1.26657,-0.045219,-0.176376,-0.428607,-0.869214,0.317261,-1.87385,1.45961,-0.849335,-0.479281,0.321577,0.79404,0.509438,0.872272,-0.0217004,0.231363,-0.021591,0.480283,0.118333,-0.188209,-0.150799,-145.807
-155.081,0.790439,0.23259,4,15,0,174.791,0.268228,-0.302638,-0.448187,-0.239076,0.139371,-2.43833,1.60348,0.181035,-0.0696488,-0.800466,0.775353,-0.148611,0.204814,-0.938806,0.681367,0.325441,0.519576,-0.315221,-0.110359,0.140882,-0.832923,-0.552898,-0.369661,0.858955,-0.785367,-1.10621,-0.325499,-0.704727,-0.977939,0.306172,0.0745309,0.504186,-0.0664807,0.129019,-0.896015,0.453817,-0.51088,-0.492613,0.793973,0.268228,-0.302638,-0.448187,-0.239076,0.139371,-2.43833,1.60348,0.181035,-0.0696488,-0.800466,0.775353,-0.148611,0.204814,-0.938806,0.681367,0.325441,0.519576,-0.315221,-0.110359,1.11267,-145.109
-159.112,0.965279,0.23259,4,15,0,174.85,-0.114973,0.427532,-0.571067,0.271588,0.0335738,-1.69829,1.5716,0.489947,0.171573,-0.637472,0.460041,-0.272208,1.4234,-0.979104,-0.322284,0.800373,0.238122,0.038223,0.0319023,0.342155,-0.92604,-0.627231,-0.195412,0.310495,-0.665309,-0.0638678,0.00735264,-1.19366,-0.0775612,0.34876,0.139378,0.535889,-0.256461,0.428495,-0.61981,0.509495,-0.172248,0.115814,0.793465,-0.114973,0.427532,-0.571067,0.271588,0.0335738,-1.69829,1.5716,0.489947,0.171573,-0.637472,0.460041,-0.272208,1.4234,-0.979104,-0.322284,0.800373,0.238122,0.038223,0.0319023,-1.36248,-151.074
-160.505,0.948994,0.23259,4,15,0,181.703,0.365799,-0.18474,0.55454,-1.72431,0.515069,0.0630369,1.08035,-1.06834,-0.103312,0.142844,1.05139,0.132667,0.395509,-0.934583,0.65336,-0.390784,-0.0804077,-0.110924,0.293885,-0.024233,-1.10101,0.0641494,0.333854,0.294184,-0.274323,-2.06132,-0.298259,-0.240333,-0.622455,0.0913521,0.278471,0.744834,-0.30771,-0.735056,-0.598115,0.010087,-0.399405,0.0157254,0.600503,0.365799,-0.18474,0.55454,-1.72431,0.515069,0.0630369,1.08035,-1.06834,-0.103312,0.142844,1.05139,0.132667,0.395509,-0.934583,0.65336,-0.390784,-0.0804077,-0.110924,0.293885,-0.65105,-151.844
-161.458,0.738003,0.23259,4,15,0,189.645,-0.0981362,-0.114045,-0.438365,0.567163,-0.065995,-1.47477,0.92743,0.63328,0.236042,-0.467925,-0.465368,-0.363988,0.770312,0.201246,-0.275197,0.210899,0.119051,-0.110974,-0.372993,0.486373,-0.205867,-0.823244,-0.175906,0.288784,0.566582,0.121547,0.537874,-0.511051,-0.199446,0.130363,0.881161,0.689443,0.326327,1.24861,0.0257008,0.527711,-0.522448,0.505359,1.0594,-0.0981362,-0.114045,-0.438365,0.567163,-0.065995,-1.47477,0.92743,0.63328,0.236042,-0.467925,-0.465368,-0.363988,0.770312,0.201246,-0.275197,0.210899,0.119051,-0.110974,-0.372993,0.582332,-155.267
-151.447,0.378168,0.23259,4,15,0,179.759,0.239353,0.0927292,0.351011,-1.5181,-0.0467588,-0.979926,0.851337,-0.339052,-0.399317,0.261164,0.82547,0.149903,0.597317,0.0301588,-0.493101,0.207547,1.08961,0.0156957,0.275039,0.171398,-0.123359,-0.151398,-0.302105,0.285511,-0.225189,-1.90197,0.00918601,-0.593307,-1.05847,0.383043,0.0405501,0.533573,-0.189475,-0.847525,0.258376,-0.156228,-0.748187,-0.480616,0.583091,0.239353,0.0927292,0.351011,-1.5181,-0.0467588,-0.979926,0.851337,-0.339052,-0.399317,0.261164,0.82547,0.149903,0.597317,0.0301588,-0.493101,0.207547,1.08961,0.0156957,0.275039,-1.21007,-143.984
-150.826,0.931819,0.23259,4,15,0,170.235,0.264537,-0.274189,-0.092762,-0.873666,0.59817,-1.491,0.481052,0.886849,0.53206,-0.511439,0.206374,-0.279613,0.120091,-0.253784,0.0550051,0.309518,-0.381306,-0.0419744,0.181828,0.588106,-0.115682,0.132164,-0.0343895,0.360213,0.576175,0.00167967,0.477385,-0.810976,-0.0736228,0.0545915,0.739099,0.349352,0.0328459,0.523502,-0.707852,0.625497,0.244176,0.33781,0.721416,0.264537,-0.274189,-0.092762,-0.873666,0.59817,-1.491,0.481052,0.886849,0.53206,-0.511439,0.206374,-0.279613,0.120091,-0.253784,0.0550051,0.309518,-0.381306,-0.0419744,0.181828,0.564253,-145.924
-147.424,1,0.23259,4,15,0,166.682,0.322827,-0.319943,-0.243424,-0.482886,0.0167388,-0.98905,1.12379,-0.510765,-0.0973895,0.15524,0.466235,0.713024,-0.0670612,-0.345379,0.118675,-0.365651,0.590186,-0.457307,0.19036,0.699786,0.015285,-0.335718,-0.117096,0.401567,-0.206505,-1.20617,-0.0440144,-0.449253,-0.434938,0.14518,0.623681,0.185926,-0.491677,-0.727688,-0.398725,-0.162189,-1.23534,-0.142173,0.948558,0.322827,-0.319943,-0.243424,-0.482886,0.0167388,-0.98905,1.12379,-0.510765,-0.0973895,0.15524,0.466235,0.713024,-0.0670612,-0.345379,0.118675,-0.365651,0.590186,-0.457307,0.19036,0.181779,-141.853
-143.801,0.922599,0.23259,4,15,0,171.359,0.2416,-0.172428,-0.406725,-1.02385,0.11647,-1.11002,0.966374,0.338453,0.122136,-0.414909,0.812149,-0.348784,0.638545,0.368788,0.100799,1.14963,0.0823882,-0.115779,-0.387918,0.637207,-0.239046,-0.290258,0.0584151,-0.207968,-0.339997,-0.875948,0.251881,-1.73414,-0.0503358,0.0840581,-0.0751337,0.554788,0.329548,0.041687,-0.495488,0.649998,0.235558,0.00192887,0.972629,0.2416,-0.172428,-0.406725,-1.02385,0.11647,-1.11002,0.966374,0.338453,0.122136,-0.414909,0.812149,-0.348784,0.638545,0.368788,0.100799,1.14963,0.0823882,-0.115779,-0.387918,-0.956918,-137.171
-146.168,0.981471,0.23259,4,15,0,158.751,0.19206,0.250325,-0.11196,-0.938232,0.225987,-0.135797,0.910882,0.043511,-0.49726,0.0679313,1.20823,-0.404873,0.254053,-0.00722866,-0.312072,0.234848,0.136549,-0.825798,0.00678901,0.957279,-0.281326,-0.0792713,-0.214588,0.890904,-0.105002,-1.55642,0.569069,-0.474354,0.377858,0.587112,0.0937773,0.507966,-0.201692,-0.418507,-0.400396,0.167997,-0.0770745,0.6279,1.19749,0.19206,0.250325,-0.11196,-0.938232,0.225987,-0.135797,0.910882,0.043511,-0.49726,0.0679313,1.20823,-0.404873,0.254053,-0.00722866,-0.312072,0.234848,0.136549,-0.825798,0.00678901,-0.297942,-139.916
