# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/wk4bzgca.json
# init = 2 (Default)
# random
#   seed = 61525
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3cxy9gkzn/poisson_3-20250829005400_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.187478
# Diagonal elements of inverse mass matrix:
# 0.0296461, 0.0251037, 0.0446201, 0.0376149, 0.0334854, 0.0457092, 0.0360904, 0.0383363, 0.0354186, 0.0433859, 0.045103, 0.0304212, 0.049795, 0.0381634, 0.0488245, 0.0248187, 0.0522176, 0.0561934, 0.0414177, 0.0348689, 0.0394337, 0.0322219, 0.0291896, 0.044135, 0.0365634, 0.0397001, 0.0381804, 0.0344923, 0.0362259, 0.0447108, 0.0460904, 0.0379913, 0.0417741, 0.0367557, 0.0611739, 0.0639391, 0.0420009, 0.0266438, 0.054782
-555.177,1,0.187478,4,15,0,571.834,0.266956,0.455472,-0.292132,-0.146056,0.165488,-0.238612,0.284137,-0.269253,0.202782,-0.12191,-0.244482,0.445838,-0.497598,0.452297,-0.221663,0.342492,-0.101339,-0.531037,-0.373801,0.26942,0.424296,0.279796,0.366096,-0.416469,0.499462,0.122106,0.126612,-0.425914,0.14309,0.23076,0.0223364,0.243515,0.231039,0.283525,-0.0948293,-0.272791,-0.336901,0.534786,0.0186782,0.266956,0.455472,-0.292132,-0.146056,0.165488,-0.238612,0.284137,-0.269253,0.202782,-0.12191,-0.244482,0.445838,-0.497598,0.452297,-0.221663,0.342492,-0.101339,-0.531037,-0.373801,0.422421,-553.258
-557.139,0.771553,0.187478,5,31,0,580.191,0.516765,0.403871,0.0155128,-0.0724158,-0.170816,-0.049728,0.211005,0.29508,-0.434525,-0.428235,-0.0427474,-0.0221453,0.0791947,-0.43987,-0.0637479,0.3644,-0.312404,-0.468686,0.503285,0.3058,0.0267129,0.0657697,0.182872,0.488794,0.141405,0.103483,0.0730066,0.448164,0.25174,-0.573156,0.356085,0.331616,0.376564,0.172982,-0.46154,-0.210113,-0.0928527,0.525169,-0.240794,0.516765,0.403871,0.0155128,-0.0724158,-0.170816,-0.049728,0.211005,0.29508,-0.434525,-0.428235,-0.0427474,-0.0221453,0.0791947,-0.43987,-0.0637479,0.3644,-0.312404,-0.468686,0.503285,0.116208,-555.194
-550.828,0.993901,0.187478,5,31,0,579.153,0.530275,0.653058,-0.365763,0.20341,-0.0436378,-0.472012,0.143611,-0.0206507,-0.12292,-0.298465,-0.0467752,0.328114,-0.182863,-0.0596728,-0.23929,0.362189,-0.366503,-0.401468,-0.00269263,0.301894,0.143825,-0.0108314,0.375124,-0.237479,0.375162,0.00740203,0.0116435,0.459924,0.53188,0.405991,0.440201,0.150623,0.58133,0.174229,-0.0529634,-0.0960204,0.131476,0.487441,-0.117084,0.530275,0.653058,-0.365763,0.20341,-0.0436378,-0.472012,0.143611,-0.0206507,-0.12292,-0.298465,-0.0467752,0.328114,-0.182863,-0.0596728,-0.23929,0.362189,-0.366503,-0.401468,-0.00269263,0.402057,-548.909
-552.68,0.759312,0.187478,5,31,0,576.284,0.0188416,0.0555727,-0.0547824,-0.078786,0.136098,0.292227,0.186837,-0.0367985,0.0466338,-0.208267,0.110667,0.0336384,-0.235784,-0.0172259,-0.292774,0.1314,-0.159643,-0.220937,-0.0396546,0.264214,0.259401,0.44157,0.302542,0.0475713,0.132722,0.272956,0.476711,0.0486214,-0.177241,-0.785565,-0.414332,0.273107,-0.127704,0.153638,-0.16787,-0.426566,-0.179597,0.652324,-0.457457,0.0188416,0.0555727,-0.0547824,-0.078786,0.136098,0.292227,0.186837,-0.0367985,0.0466338,-0.208267,0.110667,0.0336384,-0.235784,-0.0172259,-0.292774,0.1314,-0.159643,-0.220937,-0.0396546,0.332736,-551.177
-552.549,0.996163,0.187478,5,31,0,569.645,0.550503,0.711154,-0.488474,0.300727,0.174404,-0.536115,0.163872,0.0595613,-0.179176,-0.205588,-0.192814,0.344403,-0.189551,0.140603,-0.186479,0.228597,-0.363437,-0.698498,0.0340066,0.311297,0.0799447,-0.0598685,0.287097,0.0409931,0.330967,0.0396732,0.0131874,0.308826,0.453489,0.249253,0.497032,0.105412,0.611967,0.282437,-0.140445,-0.171066,0.152474,0.505165,0.00284378,0.550503,0.711154,-0.488474,0.300727,0.174404,-0.536115,0.163872,0.0595613,-0.179176,-0.205588,-0.192814,0.344403,-0.189551,0.140603,-0.186479,0.228597,-0.363437,-0.698498,0.0340066,0.332301,-550.456
-559.965,0.977994,0.187478,5,31,0,578.672,-0.0559209,0.0819293,0.225023,-0.129096,-0.256082,0.342609,0.0178486,-0.163893,0.327441,-0.35435,0.178236,-0.00754851,-0.137024,-0.168117,-0.517719,0.267611,-0.0792538,0.0922694,-0.041955,0.303229,0.240926,0.6073,0.300383,-0.148447,0.100591,0.34075,0.51763,0.232648,-0.172249,-0.437554,-0.353606,0.318766,-0.170076,0.203543,-0.23568,-0.279428,-0.01951,0.541361,-0.36527,-0.0559209,0.0819293,0.225023,-0.129096,-0.256082,0.342609,0.0178486,-0.163893,0.327441,-0.35435,0.178236,-0.00754851,-0.137024,-0.168117,-0.517719,0.267611,-0.0792538,0.0922694,-0.041955,0.377993,-558.409
