# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:53:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/ko_st791.json
# init = 2 (Default)
# random
#   seed = 47411
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3q3l15cz_/poisson_3-20250829005352_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.197258
# Diagonal elements of inverse mass matrix:
# 0.0136212, 0.0164527, 0.0286517, 0.0186005, 0.0180768, 0.022138, 0.019703, 0.0194688, 0.0201773, 0.0294037, 0.0185646, 0.0179454, 0.0262298, 0.0163453, 0.0269764, 0.0184859, 0.0290301, 0.0283002, 0.0211562, 0.0188368, 0.0211828, 0.0148401, 0.0150529, 0.0255234, 0.0210041, 0.0171859, 0.0227681, 0.0204526, 0.0224189, 0.021347, 0.0286679, 0.0223036, 0.0198422, 0.0159292, 0.0296672, 0.0229183, 0.0294535, 0.0158441, 0.0228044
-1073.68,0.6941,0.197258,4,15,0,1096.02,0.373661,0.380579,-0.744698,-0.0470386,0.135377,-0.0914943,0.0810763,0.192445,-0.270155,-0.0997288,0.15441,0.106845,-0.122387,0.0938342,0.19348,0.319746,-0.647904,-0.21174,0.194261,0.101862,0.0845316,0.541031,0.445646,0.240192,0.486353,0.325926,-0.348497,-0.00941525,-0.181961,-0.0172434,-0.141021,0.0924477,0.0367437,0.257722,0.098884,0.0641859,0.236101,0.509574,-0.257857,0.373661,0.380579,-0.744698,-0.0470386,0.135377,-0.0914943,0.0810763,0.192445,-0.270155,-0.0997288,0.15441,0.106845,-0.122387,0.0938342,0.19348,0.319746,-0.647904,-0.21174,0.194261,0.00943142,-1072.06
-1062.79,0.999363,0.197258,5,31,0,1094.46,0.317411,0.241211,-0.209172,0.0752864,0.103522,-0.209296,-0.0240218,0.207184,-0.30355,0.0125278,-0.118168,0.0994267,-0.116147,0.255963,-0.476135,0.409386,-0.423358,-0.202343,-0.0361922,0.184813,0.0446372,0.494645,0.545531,0.156523,0.587979,0.313518,0.0277086,0.044347,-0.130685,0.13269,-0.0930686,0.121845,0.196809,0.372386,0.38001,0.165666,0.0592345,0.295354,-0.157673,0.317411,0.241211,-0.209172,0.0752864,0.103522,-0.209296,-0.0240218,0.207184,-0.30355,0.0125278,-0.118168,0.0994267,-0.116147,0.255963,-0.476135,0.409386,-0.423358,-0.202343,-0.0361922,0.396465,-1061.44
-1058.9,0.990029,0.197258,4,15,0,1080.56,0.33243,0.300364,-0.257913,0.235093,0.104529,-0.32071,0.00591567,0.207884,-0.290636,0.059654,-0.0261787,0.0759328,-0.115579,0.282952,-0.446415,0.289804,-0.4199,-0.220453,-0.0369549,0.157311,0.0120769,0.500947,0.525201,0.081129,0.575535,0.279932,0.0792646,0.091879,-0.145878,0.160805,-0.143985,0.127399,0.208926,0.361699,0.229653,0.235308,-0.0235071,0.23982,-0.110236,0.33243,0.300364,-0.257913,0.235093,0.104529,-0.32071,0.00591567,0.207884,-0.290636,0.059654,-0.0261787,0.0759328,-0.115579,0.282952,-0.446415,0.289804,-0.4199,-0.220453,-0.0369549,0.240183,-1057.6
-1059.82,0.923878,0.197258,4,15,0,1083.17,0.308304,0.254149,-0.314887,0.0128509,0.200249,-0.0605559,0.247288,-0.0519467,-0.123017,-0.461521,0.315276,0.123671,-0.409406,0.122572,-0.40426,0.247274,-0.037564,-0.133471,-0.099213,0.373339,0.28513,0.531826,0.340903,-0.462961,0.182917,0.310147,0.0449801,-0.0830057,0.279273,0.037675,0.110187,0.424406,0.382182,0.468999,-0.392144,0.0484782,-0.11201,0.665402,0.291074,0.308304,0.254149,-0.314887,0.0128509,0.200249,-0.0605559,0.247288,-0.0519467,-0.123017,-0.461521,0.315276,0.123671,-0.409406,0.122572,-0.40426,0.247274,-0.037564,-0.133471,-0.099213,0.264206,-1058.1
-1059.7,0.964901,0.197258,5,31,0,1080.99,0.499426,0.373399,-0.291178,0.127705,-0.0594528,-0.345045,-0.0119906,0.214433,0.042719,0.155213,-0.0332911,0.230706,-0.270089,0.198663,-0.399786,0.318604,-0.646804,-0.239634,-0.0943118,0.087356,-0.0991681,0.368211,0.455657,0.256633,0.466029,0.167031,0.0104239,0.256568,-0.0769372,0.0590227,0.0500871,0.00729106,0.128425,0.119071,0.100099,0.0957215,-0.0815969,0.211609,-0.186376,0.499426,0.373399,-0.291178,0.127705,-0.0594528,-0.345045,-0.0119906,0.214433,0.042719,0.155213,-0.0332911,0.230706,-0.270089,0.198663,-0.399786,0.318604,-0.646804,-0.239634,-0.0943118,0.230715,-1058.46
-1061.8,0.86624,0.197258,4,15,0,1084.04,0.464716,0.393293,-0.322291,0.136878,-0.0663429,-0.405141,-0.0529841,0.213156,0.0383349,0.159464,0.0130932,0.246674,-0.314901,0.225178,-0.389612,0.263447,-0.617893,-0.270805,-0.117343,0.0824166,-0.089982,0.404924,0.458706,0.289752,0.434907,0.219502,0.00230998,0.282115,-0.076025,0.0848157,-0.0366979,0.0044966,0.1152,0.100901,0.145846,0.0657211,-0.0707699,0.176935,-0.152394,0.464716,0.393293,-0.322291,0.136878,-0.0663429,-0.405141,-0.0529841,0.213156,0.0383349,0.159464,0.0130932,0.246674,-0.314901,0.225178,-0.389612,0.263447,-0.617893,-0.270805,-0.117343,0.40308,-1060.52
