# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/9nxlw9lt.json
# init = 2 (Default)
# random
#   seed = 7062
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3j92uebjx/poisson_3-20250829005406_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.264773
# Diagonal elements of inverse mass matrix:
# 0.0566473, 0.0584847, 0.112127, 0.0977056, 0.120909, 0.0819323, 0.0766616, 0.0518357, 0.0907036, 0.145113, 0.0804008, 0.136317, 0.0528501, 0.0918172, 0.0569114, 0.0938492, 0.113906, 0.056427, 0.112379, 0.0796296, 0.114136, 0.112197, 0.0982224, 0.100314, 0.0909516, 0.102181, 0.0833742, 0.0637081, 0.104652, 0.0979227, 0.0656488, 0.0745904, 0.0903876, 0.0880564, 0.0633997, 0.0539617, 0.0850236, 0.116655, 0.082559
-275.519,0.774557,0.264773,4,15,0,293.601,0.399436,0.274789,-0.0313678,-0.0196001,-0.423588,-0.871288,0.130572,0.555676,0.0162886,-0.780716,-0.0565002,-0.349235,0.523303,0.283129,0.851293,-0.272568,-0.250881,0.88128,-0.0707456,0.406667,-0.21792,-0.268329,-0.153047,0.750414,-0.531112,0.0672667,-0.210213,0.459778,0.478177,-0.591214,0.360596,0.0724082,0.236922,-0.298993,-0.253439,0.336172,-0.693029,-0.102802,-0.055907,0.399436,0.274789,-0.0313678,-0.0196001,-0.423588,-0.871288,0.130572,0.555676,0.0162886,-0.780716,-0.0565002,-0.349235,0.523303,0.283129,0.851293,-0.272568,-0.250881,0.88128,-0.0707456,-0.789279,-271.931
-269.645,1,0.264773,4,15,0,290.042,0.368289,0.549743,-0.331836,-0.173359,-0.682164,-0.578838,0.261055,0.445026,-0.113811,-0.715715,-0.0119512,-0.22615,0.795273,0.568082,0.845176,-0.752204,-0.341959,0.726466,-0.454713,0.145519,-0.0697138,-0.273531,-0.034608,0.179175,-0.500262,0.192559,0.0766969,0.445844,0.368036,-0.193445,0.409189,0.0383028,-0.331289,-0.444988,-0.244656,0.0707422,-0.0514577,0.651908,-0.160137,0.368289,0.549743,-0.331836,-0.173359,-0.682164,-0.578838,0.261055,0.445026,-0.113811,-0.715715,-0.0119512,-0.22615,0.795273,0.568082,0.845176,-0.752204,-0.341959,0.726466,-0.454713,-0.176409,-266.095
-272.529,0.936946,0.264773,4,15,0,294.455,0.167426,0.483413,0.183011,0.00846552,-0.870807,0.0571316,0.154992,0.425363,0.143745,-0.324983,0.194769,-0.615299,0.268276,-0.510839,0.472337,0.486076,-0.181818,0.754678,-0.55449,-0.188904,-0.191432,-0.526618,-0.136374,-0.288575,-0.29673,-0.238158,-0.842387,-0.0288464,-0.656006,0.104207,-0.0333373,-0.243458,0.265637,0.509,0.264674,0.28814,0.0929817,-0.369762,0.150295,0.167426,0.483413,0.183011,0.00846552,-0.870807,0.0571316,0.154992,0.425363,0.143745,-0.324983,0.194769,-0.615299,0.268276,-0.510839,0.472337,0.486076,-0.181818,0.754678,-0.55449,-0.741447,-269.546
-266.445,0.968019,0.264773,4,15,0,291.143,0.192094,0.580823,-0.67118,-0.135668,-0.0245821,-0.514931,0.458766,0.561628,-0.19337,-0.926846,-0.0961076,-0.0401202,0.621282,0.0669022,0.68824,-0.631138,-0.162385,0.817412,-0.241682,-0.339728,-0.0827194,-0.488666,-0.308809,0.308022,-0.301381,0.160641,0.158025,0.458524,0.151241,-0.248453,0.470148,0.172418,-0.395955,-0.524577,0.127879,0.105751,0.0224581,0.439736,0.0155199,0.192094,0.580823,-0.67118,-0.135668,-0.0245821,-0.514931,0.458766,0.561628,-0.19337,-0.926846,-0.0961076,-0.0401202,0.621282,0.0669022,0.68824,-0.631138,-0.162385,0.817412,-0.241682,-0.349137,-263.22
-268.15,0.843783,0.264773,4,15,0,281.077,0.00395919,0.377852,-0.00625766,-0.183695,0.0128267,-0.396785,-0.37768,0.688488,-0.162289,-0.371378,0.44108,-0.635367,0.0833136,-0.129684,0.417277,-0.177123,-0.155729,0.82208,-0.0770709,0.119554,0.0398345,-0.370144,0.00830232,-0.1583,-0.850559,-0.379622,0.0398171,0.33137,-0.153494,0.213844,0.0833246,0.150335,0.281843,-0.0339015,0.121725,0.609028,0.0117544,-0.25526,0.212693,0.00395919,0.377852,-0.00625766,-0.183695,0.0128267,-0.396785,-0.37768,0.688488,-0.162289,-0.371378,0.44108,-0.635367,0.0833136,-0.129684,0.417277,-0.177123,-0.155729,0.82208,-0.0770709,-0.173818,-265.91
-266.685,0.95747,0.264773,4,15,0,285.055,0.227633,0.632294,-0.535911,-0.042821,-0.627996,-0.0453583,0.524844,0.288399,-0.12856,-1.05277,-0.335528,-0.0387084,0.808823,0.155265,0.849823,-0.0180947,-0.3107,0.654367,-0.436075,-0.349337,-0.00782304,-0.422799,-0.274275,0.398621,0.00289529,0.216554,-0.113386,0.344651,0.0566619,-0.154234,0.264046,0.0558518,-0.427064,0.217621,0.384636,-0.0622451,0.108594,0.487716,-0.249209,0.227633,0.632294,-0.535911,-0.042821,-0.627996,-0.0453583,0.524844,0.288399,-0.12856,-1.05277,-0.335528,-0.0387084,0.808823,0.155265,0.849823,-0.0180947,-0.3107,0.654367,-0.436075,-0.568925,-263.506
