# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/_ij4nav_.json
# init = 2 (Default)
# random
#   seed = 21955
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_380xhdfat/poisson_3-20250829005410_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.245666
# Diagonal elements of inverse mass matrix:
# 0.0224615, 0.0286908, 0.0480684, 0.0574364, 0.0668557, 0.0445027, 0.0363764, 0.0352781, 0.0367987, 0.0920089, 0.0448074, 0.0506646, 0.0396831, 0.0492837, 0.0384177, 0.0540571, 0.0528603, 0.0288076, 0.0445504, 0.0438842, 0.0475791, 0.0534635, 0.051289, 0.043898, 0.0505415, 0.0594999, 0.0417616, 0.042223, 0.0816169, 0.0447184, 0.0460529, 0.0288589, 0.0411231, 0.0486963, 0.0472076, 0.0348843, 0.0529288, 0.0495298, 0.0426528
-532.115,0.958265,0.245666,4,15,0,548.64,0.764768,0.311049,-0.52798,-0.318967,-0.49509,0.161792,0.227659,0.576435,0.0809404,-0.970418,0.0188574,-0.100199,0.355183,0.195982,0.216304,-0.138262,-0.425664,0.493666,-0.285463,-0.225193,-0.246915,-0.383223,-0.388367,-0.0525999,-0.149132,-0.252044,0.153846,0.189231,-0.546984,-0.106923,-0.0654101,0.124316,-0.268816,0.393719,-0.100348,0.45119,0.385839,-0.0528577,0.356853,0.764768,0.311049,-0.52798,-0.318967,-0.49509,0.161792,0.227659,0.576435,0.0809404,-0.970418,0.0188574,-0.100199,0.355183,0.195982,0.216304,-0.138262,-0.425664,0.493666,-0.285463,-0.140594,-529.605
-524.591,0.989263,0.245666,4,15,0,544.421,0.723607,0.667197,-0.21053,-0.360333,-0.278195,0.12629,0.404084,0.468213,0.206753,-1.45075,-0.025925,0.181401,0.110772,-0.0965619,0.0738809,-0.335921,-0.278769,0.334945,-0.104742,0.0764109,0.266101,-0.319465,-0.313908,0.204563,0.0641918,-0.638068,-0.189897,0.0678118,-0.252671,-0.0163735,0.0546422,0.516902,0.131919,0.427219,0.117748,0.238792,0.217595,-0.0421025,0.0705232,0.723607,0.667197,-0.21053,-0.360333,-0.278195,0.12629,0.404084,0.468213,0.206753,-1.45075,-0.025925,0.181401,0.110772,-0.0965619,0.0738809,-0.335921,-0.278769,0.334945,-0.104742,-0.155417,-521.806
-527.264,0.959818,0.245666,4,15,0,540.182,0.540071,0.473572,0.00767486,0.0441054,-0.130192,0.0696038,0.337058,0.215644,0.307905,-1.61914,0.0633498,-0.0237455,0.111914,0.0198837,-0.0782413,-0.204983,-0.241741,0.569188,-0.230443,-0.062332,0.305297,-0.329858,-0.116709,0.14793,0.324924,-0.354501,-0.387628,0.0557897,-0.530687,-0.233488,-0.216228,0.256329,0.21819,0.210139,0.00331358,0.223024,0.0158886,0.191318,0.0433999,0.540071,0.473572,0.00767486,0.0441054,-0.130192,0.0696038,0.337058,0.215644,0.307905,-1.61914,0.0633498,-0.0237455,0.111914,0.0198837,-0.0782413,-0.204983,-0.241741,0.569188,-0.230443,-0.23148,-524.678
-530.059,0.949975,0.245666,4,15,0,542.66,0.663852,0.364981,-0.11604,-0.273544,-0.62163,-0.168452,0.547874,0.611358,0.0762475,-0.190912,-0.343226,-0.393929,0.141764,-0.188016,0.307013,-0.378393,-0.114338,0.286105,0.0595171,-0.146606,0.0718157,-0.205818,-0.342987,-0.145843,-0.245325,-0.970219,0.10868,0.234121,-0.252606,0.212148,0.0922003,0.353638,-0.00874004,0.0499029,-0.208384,0.544953,0.217503,-0.314392,-0.155128,0.663852,0.364981,-0.11604,-0.273544,-0.62163,-0.168452,0.547874,0.611358,0.0762475,-0.190912,-0.343226,-0.393929,0.141764,-0.188016,0.307013,-0.378393,-0.114338,0.286105,0.0595171,-0.270232,-527.815
-533.32,0.876818,0.245666,4,15,0,549.731,0.456053,0.590903,-0.0583825,-0.295973,-0.118757,0.0999604,0.275266,0.254616,0.486313,-1.42241,0.0584861,-0.0768082,0.193729,0.036603,0.0160819,-0.860209,-0.219174,0.67787,0.167334,-0.00379491,0.181241,-0.404718,0.306324,-0.180622,0.212541,-0.54096,0.168033,0.0547848,-0.544323,-0.146261,-0.390351,0.491372,0.258638,0.378017,0.140629,0.127131,-0.107429,-0.016462,0.356248,0.456053,0.590903,-0.0583825,-0.295973,-0.118757,0.0999604,0.275266,0.254616,0.486313,-1.42241,0.0584861,-0.0768082,0.193729,0.036603,0.0160819,-0.860209,-0.219174,0.67787,0.167334,-0.261504,-530.227
-535.084,0.826839,0.245666,4,15,0,556.473,0.522145,0.530999,-0.0557037,-0.215899,-0.116922,0.196406,0.268151,0.303313,0.426918,-1.46905,0.0134669,-0.0556705,0.193239,-0.0407576,0.0898457,-0.802651,-0.225668,0.664389,0.345826,-0.0357933,0.148514,-0.391829,0.314914,-0.116362,0.308943,-0.563476,0.178611,0.0732498,-0.535356,-0.233957,-0.45218,0.490019,0.286334,0.375933,0.0783761,0.102741,-0.075741,-0.0690579,0.327456,0.522145,0.530999,-0.0557037,-0.215899,-0.116922,0.196406,0.268151,0.303313,0.426918,-1.46905,0.0134669,-0.0556705,0.193239,-0.0407576,0.0898457,-0.802651,-0.225668,0.664389,0.345826,-0.572374,-531.908
