# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1m_2tli_.json
# init = 2 (Default)
# random
#   seed = 20393
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3kgc6hr3z/poisson_3-20250829005403_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.224959
# Diagonal elements of inverse mass matrix:
# 0.0128703, 0.0168392, 0.0203279, 0.028655, 0.0284936, 0.0239357, 0.0151765, 0.0186863, 0.0226678, 0.0343495, 0.029086, 0.0210412, 0.0243796, 0.0235403, 0.0265211, 0.0200942, 0.027092, 0.0146945, 0.0252303, 0.02861, 0.0239734, 0.0278969, 0.0261884, 0.0280554, 0.0216586, 0.030263, 0.0198821, 0.0230734, 0.030957, 0.0228195, 0.0202112, 0.0229625, 0.0239517, 0.0229165, 0.0207125, 0.0148873, 0.0171672, 0.0253706, 0.0255822
-1015.84,0.95146,0.224959,4,15,0,1030.04,0.489754,0.344066,0.0593449,-0.516909,-0.186041,-0.150551,0.420777,0.0614972,0.207957,-0.927895,0.240434,-0.0583012,0.235298,0.139139,0.105,0.138264,-0.238798,0.176634,-0.421417,0.0782042,-0.162058,-0.428795,0.0163933,-0.0878986,-0.0970887,-0.420726,-0.146373,0.0839651,-0.0268307,0.150763,0.440702,0.296898,-0.0310226,0.0930944,0.0437702,0.595262,0.180563,-0.183244,0.207729,0.489754,0.344066,0.0593449,-0.516909,-0.186041,-0.150551,0.420777,0.0614972,0.207957,-0.927895,0.240434,-0.0583012,0.235298,0.139139,0.105,0.138264,-0.238798,0.176634,-0.421417,-0.118254,-1014.13
-1014.39,0.998819,0.224959,4,15,0,1028.85,0.570754,0.266131,0.148175,-0.389788,-0.0648623,-0.0825413,0.343161,0.0232535,0.209395,-0.631663,0.154907,-0.0918565,-0.0432183,0.0898927,-0.0702868,0.291423,-0.304781,0.0353182,-0.3805,0.0450784,-0.190003,-0.414088,-0.090079,-0.0139943,-0.0580978,-0.493535,-0.0511671,0.0561746,-0.208688,0.0267312,0.436472,0.257927,-0.0707761,0.0532578,0.0399272,0.534729,0.01592,-0.175867,0.0928109,0.570754,0.266131,0.148175,-0.389788,-0.0648623,-0.0825413,0.343161,0.0232535,0.209395,-0.631663,0.154907,-0.0918565,-0.0432183,0.0898927,-0.0702868,0.291423,-0.304781,0.0353182,-0.3805,-0.0729136,-1013.08
-1021.63,0.918667,0.224959,4,15,0,1037.87,0.448482,0.353504,0.104201,-0.571541,-0.226666,-0.152876,0.663103,0.29579,-0.0617944,-0.746334,-0.261568,0.399902,0.041645,-0.246393,0.143154,0.102468,-0.494073,0.318474,0.150618,-0.2129,0.0502493,0.187891,-0.104382,0.00161212,0.00130977,0.0555542,0.243085,-0.0424052,0.156474,-0.46277,0.156624,0.188249,0.124381,-0.119947,0.135008,0.437158,0.468257,0.144076,0.195498,0.448482,0.353504,0.104201,-0.571541,-0.226666,-0.152876,0.663103,0.29579,-0.0617944,-0.746334,-0.261568,0.399902,0.041645,-0.246393,0.143154,0.102468,-0.494073,0.318474,0.150618,-0.260098,-1019.88
-1010.47,0.998169,0.224959,4,15,0,1037.15,0.544795,0.312885,-0.00207592,-0.152922,-0.390371,-0.00122995,0.534052,0.212455,-0.103481,-0.622789,0.177794,-0.128607,0.147451,-0.321724,-0.159244,0.0673535,-0.26569,0.304058,-0.101906,-0.225427,0.210712,0.0257876,-0.3435,0.039041,-0.0314615,-0.335145,-0.0928969,-0.118684,-0.166139,0.0614538,0.235394,0.219629,-0.00768867,0.42306,-0.064414,0.436972,-0.127911,-0.293888,0.0327901,0.544795,0.312885,-0.00207592,-0.152922,-0.390371,-0.00122995,0.534052,0.212455,-0.103481,-0.622789,0.177794,-0.128607,0.147451,-0.321724,-0.159244,0.0673535,-0.26569,0.304058,-0.101906,-0.0508008,-1009.15
-1013.78,0.94635,0.224959,4,15,0,1030.73,0.571013,0.311365,0.0980302,-0.170136,-0.342895,-0.0567207,0.488131,0.142285,0.0727358,-0.577848,-0.250773,-0.10439,0.191858,-0.286945,0.179902,-0.138103,-0.429456,0.34991,0.0294643,-0.0662859,0.0382858,-0.0866398,0.20197,0.0500323,0.0771616,0.320893,0.0746233,-0.16276,0.0930881,-0.125075,0.105506,0.254043,0.108255,-0.104246,0.0352583,0.641381,0.419397,0.17704,0.0955526,0.571013,0.311365,0.0980302,-0.170136,-0.342895,-0.0567207,0.488131,0.142285,0.0727358,-0.577848,-0.250773,-0.10439,0.191858,-0.286945,0.179902,-0.138103,-0.429456,0.34991,0.0294643,-0.077427,-1012.44
-1005.94,0.98372,0.224959,4,15,0,1025.58,0.567825,0.366201,0.129274,-0.353741,-0.551112,-0.0267289,0.531958,0.185795,0.295248,-0.345959,-0.0750607,-0.0032939,0.240841,-0.0961661,0.0337589,-0.192366,-0.674976,0.190355,-0.0958451,-0.188839,0.165109,-0.0454575,0.0759879,-0.113683,0.0712681,-0.0519924,-0.0456294,0.171234,-0.195621,-0.0757463,0.203379,0.407303,0.0769391,0.084961,-0.103932,0.541038,0.191233,-0.0745346,0.100042,0.567825,0.366201,0.129274,-0.353741,-0.551112,-0.0267289,0.531958,0.185795,0.295248,-0.345959,-0.0750607,-0.0032939,0.240841,-0.0961661,0.0337589,-0.192366,-0.674976,0.190355,-0.0958451,-0.126008,-1004.55
