# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/r57g2we0.json
# init = 2 (Default)
# random
#   seed = 11971
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3sa45w7f6/poisson_3-20250829005415_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.222558
# Diagonal elements of inverse mass matrix:
# 0.0531627, 0.0827783, 0.0777212, 0.0676108, 0.0507121, 0.0700821, 0.0523901, 0.0843198, 0.0705472, 0.0758109, 0.0865866, 0.0828534, 0.117943, 0.100086, 0.118262, 0.0982865, 0.0823958, 0.0736939, 0.0711283, 0.0659635, 0.113739, 0.0953672, 0.101503, 0.0941819, 0.0807343, 0.162899, 0.0729666, 0.0601052, 0.0991377, 0.0737157, 0.0883555, 0.0743106, 0.0794753, 0.0775552, 0.104577, 0.0611412, 0.0778646, 0.0936679, 0.0720259
-272.264,0.998179,0.222558,4,31,0,291.425,0.513103,-0.284679,0.29595,-0.00208777,0.695831,-0.470116,0.0852608,0.214805,0.461481,0.15636,0.186727,-0.0533,-0.73558,-0.465066,-0.380593,-0.150865,-0.554858,0.157806,0.192542,0.398109,-0.52565,0.437865,-0.104202,0.441985,0.146354,-0.873202,-0.0135778,0.441923,0.264785,0.436008,-0.464886,-0.0378019,-0.128204,0.432107,0.0735101,-0.0252632,0.3592,-0.179929,0.0614155,0.513103,-0.284679,0.29595,-0.00208777,0.695831,-0.470116,0.0852608,0.214805,0.461481,0.15636,0.186727,-0.0533,-0.73558,-0.465066,-0.380593,-0.150865,-0.554858,0.157806,0.192542,0.137277,-269.551
-274.061,0.935241,0.222558,4,15,0,294.978,0.511387,-0.375254,0.234878,-0.0248762,0.74145,-0.571339,0.0605227,0.343344,0.545876,0.167691,0.237572,-0.0723784,-0.791266,-0.441317,-0.365828,-0.185736,-0.494568,0.137745,0.149078,0.441946,-0.594946,0.374683,-0.0231524,0.39063,0.0122276,-0.830627,-0.0237259,0.482828,0.28078,0.545083,-0.404747,-0.193664,-0.0203527,0.420472,0.0623035,-0.0564685,0.254831,-0.215928,-0.00603708,0.511387,-0.375254,0.234878,-0.0248762,0.74145,-0.571339,0.0605227,0.343344,0.545876,0.167691,0.237572,-0.0723784,-0.791266,-0.441317,-0.365828,-0.185736,-0.494568,0.137745,0.149078,0.193019,-271.181
-272.381,0.970197,0.222558,4,15,0,292.561,0.784151,-0.300947,0.00451204,-0.192839,0.033891,-0.473016,0.575455,0.157656,0.233015,0.352323,-0.0620926,-0.169982,-0.878149,-0.268543,-0.485652,0.0304537,0.0114562,-0.0279493,0.4462,0.289103,0.08286,0.16174,-0.098505,0.30097,0.468894,-0.850653,-0.119093,-0.0512726,0.197926,0.635798,-0.147621,-0.237974,0.0896484,-0.0681629,0.014967,0.334978,-0.15448,0.237064,0.149879,0.784151,-0.300947,0.00451204,-0.192839,0.033891,-0.473016,0.575455,0.157656,0.233015,0.352323,-0.0620926,-0.169982,-0.878149,-0.268543,-0.485652,0.0304537,0.0114562,-0.0279493,0.4462,0.230055,-270.01
-275.138,0.791305,0.222558,4,15,0,289.461,0.149294,0.130574,0.167619,0.418488,0.197252,-0.0947896,0.71439,0.314015,0.164629,0.402662,-0.34038,-0.554206,-0.630515,-0.654878,-0.817857,0.180956,-0.254296,-0.406654,0.341324,-0.100906,-0.0801344,-0.345811,-0.317246,0.0971708,0.137209,-0.48723,-0.204765,0.319955,0.113477,0.561743,-0.0966485,-0.271205,0.0437749,-0.0255134,-0.327706,0.583119,0.0450991,-0.0996059,0.457837,0.149294,0.130574,0.167619,0.418488,0.197252,-0.0947896,0.71439,0.314015,0.164629,0.402662,-0.34038,-0.554206,-0.630515,-0.654878,-0.817857,0.180956,-0.254296,-0.406654,0.341324,0.572373,-272.58
-282.327,0.746332,0.222558,4,15,0,315.163,0.364459,-0.0341747,0.0485084,-0.190104,0.80432,-0.304299,0.0862359,0.0422494,0.0613728,-0.0338457,0.352823,0.391681,-0.418286,-0.153287,-0.116078,-0.363927,0.0890938,0.397895,-0.203758,0.214476,-0.299643,0.512526,-0.353867,-0.0365801,0.0497543,-0.641503,0.165102,0.373212,-0.454417,0.306894,-0.140329,0.499926,-0.584305,0.691333,-0.0822342,-0.24826,0.38533,-0.534785,0.0848823,0.364459,-0.0341747,0.0485084,-0.190104,0.80432,-0.304299,0.0862359,0.0422494,0.0613728,-0.0338457,0.352823,0.391681,-0.418286,-0.153287,-0.116078,-0.363927,0.0890938,0.397895,-0.203758,-0.820879,-279.947
-290.533,0.937007,0.222558,4,15,0,310.321,0.585032,-0.45947,0.165358,0.166899,0.24164,-0.0638827,0.619277,0.542783,0.485496,0.199146,-0.508665,-0.300858,-0.211233,-0.726684,-0.0283932,-0.504834,-0.197546,0.538937,-0.0779077,-0.0917042,-0.136386,0.0319035,-0.610762,0.102614,0.503664,-0.465033,-0.052199,0.262385,0.255721,0.747424,-0.765085,-0.445288,0.608509,-0.434124,-0.0693293,-0.391325,-0.0250251,-0.0968124,-0.203533,0.585032,-0.45947,0.165358,0.166899,0.24164,-0.0638827,0.619277,0.542783,0.485496,0.199146,-0.508665,-0.300858,-0.211233,-0.726684,-0.0283932,-0.504834,-0.197546,0.538937,-0.0779077,-0.465094,-287.399
