# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/sdoh3_1k.json
# init = 2 (Default)
# random
#   seed = 66246
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3za0vfsd0/poisson_3-20250829005412_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.212191
# Diagonal elements of inverse mass matrix:
# 0.0208617, 0.0156356, 0.0138816, 0.0190475, 0.0165025, 0.0234521, 0.0130393, 0.0245643, 0.0260092, 0.022566, 0.0347912, 0.0179879, 0.0205118, 0.0250895, 0.020082, 0.0147574, 0.0256327, 0.0238548, 0.0268046, 0.0235148, 0.0255152, 0.0271129, 0.0242267, 0.0204208, 0.0209034, 0.0387145, 0.0244748, 0.0238944, 0.0284426, 0.0147364, 0.0178183, 0.0256881, 0.0254016, 0.0209996, 0.0269481, 0.0169617, 0.0246783, 0.0183298, 0.0184405
-1025.35,0.971391,0.212191,4,15,0,1043.84,0.111714,0.294278,0.165654,0.0787979,0.386396,-0.0487245,0.340691,-0.189836,-0.201333,-0.0508215,-0.23936,0.362751,-0.19665,-0.391893,-0.115912,0.454687,-0.216346,-0.149257,-0.157636,-0.036596,-0.0507246,-0.112987,-0.0524593,0.139687,0.225132,-0.0723148,-0.0535775,0.0863404,-0.150347,0.564192,0.152972,-0.117959,0.191755,0.394394,-0.0793446,0.334669,0.145789,0.305722,0.286169,0.111714,0.294278,0.165654,0.0787979,0.386396,-0.0487245,0.340691,-0.189836,-0.201333,-0.0508215,-0.23936,0.362751,-0.19665,-0.391893,-0.115912,0.454687,-0.216346,-0.149257,-0.157636,-0.237201,-1024.27
-1027.05,0.928286,0.212191,4,15,0,1053.31,-0.108337,0.254825,0.542583,-0.0722186,0.129015,0.220037,0.427778,-0.205082,0.0191494,0.0482207,-0.866509,-0.0387537,0.245889,-0.32069,-0.0542878,0.19946,-0.161992,0.0362885,-0.0414649,-0.0190733,-0.298011,0.198143,0.110371,0.0730109,0.0770522,-0.77036,0.143804,-0.0391185,-0.0867654,0.500064,0.441054,0.0852924,-0.21135,0.307252,0.0931949,0.49638,-0.195065,0.450159,0.286115,-0.108337,0.254825,0.542583,-0.0722186,0.129015,0.220037,0.427778,-0.205082,0.0191494,0.0482207,-0.866509,-0.0387537,0.245889,-0.32069,-0.0542878,0.19946,-0.161992,0.0362885,-0.0414649,-0.253911,-1025.25
-1027.7,0.991245,0.212191,4,15,0,1041.03,0.000281771,0.567584,0.372232,-0.0614751,0.0948851,0.130849,0.284554,-0.213292,0.00959617,-0.0164667,-0.626824,-0.0674467,0.187569,-0.193651,-0.150486,0.322728,-0.306083,-0.0510326,0.00718254,0.163178,-0.222913,0.00744368,0.0283527,0.139817,0.0309677,-0.893858,0.0751714,0.161973,-0.186945,0.647331,0.473471,-0.0137373,0.153966,0.222353,0.0788805,0.249389,0.0432464,0.394939,0.157409,0.000281771,0.567584,0.372232,-0.0614751,0.0948851,0.130849,0.284554,-0.213292,0.00959617,-0.0164667,-0.626824,-0.0674467,0.187569,-0.193651,-0.150486,0.322728,-0.306083,-0.0510326,0.00718254,-0.290704,-1026.08
-1030.14,0.949052,0.212191,4,15,0,1053.25,0.0309218,0.383222,0.33826,0.0867053,0.194985,0.0921192,0.438223,-0.393636,-0.127165,-0.189006,-0.326771,0.00354009,0.117008,-0.183224,-0.311531,0.23139,-0.483845,0.291776,-0.200145,0.0222957,-0.276254,-0.184051,-0.0865963,0.000345295,0.0160021,-0.767464,0.132436,0.0845109,-0.230909,0.468157,0.451661,-0.222768,0.169676,0.306356,0.203003,0.38176,0.277435,0.537693,0.171974,0.0309218,0.383222,0.33826,0.0867053,0.194985,0.0921192,0.438223,-0.393636,-0.127165,-0.189006,-0.326771,0.00354009,0.117008,-0.183224,-0.311531,0.23139,-0.483845,0.291776,-0.200145,0.00717237,-1028.47
-1028.99,1,0.212191,4,15,0,1045.54,0.13735,0.547073,0.176681,0.0511318,0.178519,0.107182,0.288588,-0.454868,-0.131703,-0.163133,-0.339164,0.05558,0.11659,-0.305198,-0.296059,0.434972,-0.325797,-0.0129083,-0.0390115,-0.0186149,-0.308088,0.197185,0.072575,0.363116,-0.0966127,-0.478024,-0.0792091,0.1357,-0.00379641,0.278042,0.468852,-0.0885129,0.0860029,0.363143,0.257681,0.399725,0.15815,0.372865,0.154154,0.13735,0.547073,0.176681,0.0511318,0.178519,0.107182,0.288588,-0.454868,-0.131703,-0.163133,-0.339164,0.05558,0.11659,-0.305198,-0.296059,0.434972,-0.325797,-0.0129083,-0.0390115,-0.0258258,-1027.63
-1025.63,0.931556,0.212191,4,15,0,1049.16,0.0415654,0.485819,0.175242,0.049258,0.215488,0.135587,0.387007,-0.486111,-0.0403355,-0.0938873,-0.433301,0.0653953,0.105319,-0.228595,-0.0962518,0.47528,-0.220169,-0.129843,-0.185816,0.0654997,-0.151911,0.201223,0.0881676,0.267271,-0.0812962,-0.657357,-0.0726577,0.137066,-0.00193248,0.449969,0.226394,-0.0242329,0.247166,0.256451,0.0646828,0.352677,0.161829,0.31227,0.18576,0.0415654,0.485819,0.175242,0.049258,0.215488,0.135587,0.387007,-0.486111,-0.0403355,-0.0938873,-0.433301,0.0653953,0.105319,-0.228595,-0.0962518,0.47528,-0.220169,-0.129843,-0.185816,-0.221652,-1024.33
