# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/53fqz0c9.json
# init = 2 (Default)
# random
#   seed = 41890
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_308aopwar/poisson_3-20250829005414_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.199544
# Diagonal elements of inverse mass matrix:
# 0.120095, 0.215413, 0.228684, 0.111891, 0.161313, 0.28634, 0.155906, 0.186298, 0.15566, 0.129704, 0.205432, 0.123696, 0.278799, 0.198643, 0.246929, 0.24256, 0.159087, 0.157279, 0.109508, 0.201035, 0.235428, 0.149362, 0.231255, 0.163748, 0.180432, 0.205285, 0.180665, 0.19972, 0.192885, 0.119629, 0.181192, 0.185148, 0.183059, 0.113975, 0.232033, 0.19694, 0.168661, 0.168319, 0.122304
-142.749,1,0.199544,5,31,0,161.721,0.643367,-0.185842,-0.039593,0.582804,0.632953,-0.988599,0.115001,0.409773,-0.0342114,0.780694,0.025724,0.160672,-1.43755,-0.281818,-1.04433,0.179137,-0.0525533,-0.319863,1.05897,-0.180104,-0.0108329,0.101193,-0.146842,-0.551431,-0.0855251,-0.563773,0.790297,-0.519209,-0.460349,0.472317,-1.12442,-0.252394,0.411307,0.728314,-0.94004,-0.251463,-0.0306796,-0.120929,-0.075202,0.643367,-0.185842,-0.039593,0.582804,0.632953,-0.988599,0.115001,0.409773,-0.0342114,0.780694,0.025724,0.160672,-1.43755,-0.281818,-1.04433,0.179137,-0.0525533,-0.319863,1.05897,-0.204739,-136.499
-147.499,0.972039,0.199544,4,15,0,160.67,-0.256007,-0.0087626,-0.435354,0.19949,0.729276,-0.554845,0.687682,-0.537975,0.561498,0.235547,-0.427531,0.632872,-0.789611,-0.166983,-0.195955,-1.00854,-0.0333051,1.15838,0.329906,-0.10729,-0.221346,-0.486288,-1.11031,0.920882,-0.0618915,0.412902,-0.396387,0.719979,-0.407204,0.0499349,0.400022,0.238939,0.158988,-0.215353,0.195474,-0.259244,0.435081,0.597696,0.569739,-0.256007,-0.0087626,-0.435354,0.19949,0.729276,-0.554845,0.687682,-0.537975,0.561498,0.235547,-0.427531,0.632872,-0.789611,-0.166983,-0.195955,-1.00854,-0.0333051,1.15838,0.329906,-0.119788,-142.164
-147.187,0.918993,0.199544,4,15,0,166.675,0.145586,-0.510039,-0.4337,0.149581,0.694555,-0.641041,0.447732,-0.957713,0.453879,0.479333,-0.997122,0.323563,0.287599,0.160236,-0.504779,-0.357769,0.182787,1.15626,0.585392,0.288095,0.161806,0.231352,-0.705269,-0.0615713,0.204167,0.783959,-0.282176,0.697516,-0.0234581,0.00820625,-0.246724,0.156952,0.549742,0.19501,-0.400592,-0.0491479,0.186742,0.794225,0.416495,0.145586,-0.510039,-0.4337,0.149581,0.694555,-0.641041,0.447732,-0.957713,0.453879,0.479333,-0.997122,0.323563,0.287599,0.160236,-0.504779,-0.357769,0.182787,1.15626,0.585392,-0.664342,-142.408
-148.008,0.979076,0.199544,4,31,0,163.304,0.665442,0.0463776,-0.639106,0.49755,0.0965559,-0.84331,0.772263,-0.520035,0.744477,-0.202372,0.389065,1.00703,-0.33465,-0.053629,-0.858345,-1.02458,-0.293191,-0.231131,0.263557,-0.603852,-0.119841,-0.490333,-0.137861,0.21106,-0.0793882,-0.0877375,-0.101355,0.533042,-1.67104,-0.0841484,-0.114031,0.415211,-0.430192,0.00968921,-0.320257,-0.0634639,0.0316818,-0.0377914,0.463582,0.665442,0.0463776,-0.639106,0.49755,0.0965559,-0.84331,0.772263,-0.520035,0.744477,-0.202372,0.389065,1.00703,-0.33465,-0.053629,-0.858345,-1.02458,-0.293191,-0.231131,0.263557,0.518023,-142.486
-140.941,0.989753,0.199544,5,31,0,163.138,-0.0231074,-0.237427,-0.377976,0.548407,0.999874,-0.764474,0.112949,0.135481,0.208343,0.486486,-0.738984,0.0345543,-0.962825,-0.126173,-0.481533,0.166622,-0.569038,0.654451,1.02239,0.232509,0.174026,-0.57655,-0.881828,-0.252059,-0.0204148,0.395633,-0.0787295,0.183132,0.398073,0.0354361,-0.0290764,-0.210164,0.86757,0.144648,-0.501628,-0.29456,0.280796,0.841419,0.145351,-0.0231074,-0.237427,-0.377976,0.548407,0.999874,-0.764474,0.112949,0.135481,0.208343,0.486486,-0.738984,0.0345543,-0.962825,-0.126173,-0.481533,0.166622,-0.569038,0.654451,1.02239,-0.0880246,-136.18
-142.777,0.79037,0.199544,4,15,0,161.726,0.251316,0.200585,-0.0224091,0.176626,0.500726,-0.81652,0.452229,0.0909639,-0.0694919,0.601418,0.253274,0.154072,-0.549851,0.125832,-0.750452,-1.01912,0.12819,-0.122984,0.514265,-0.433472,0.0030225,-0.562833,-1.03802,0.987526,-0.388804,-0.622956,0.702449,0.187891,-0.790829,0.872352,-0.836275,-0.475887,-0.0498014,0.717789,-0.0888619,-0.0739981,0.283181,-0.151484,0.526437,0.251316,0.200585,-0.0224091,0.176626,0.500726,-0.81652,0.452229,0.0909639,-0.0694919,0.601418,0.253274,0.154072,-0.549851,0.125832,-0.750452,-1.01912,0.12819,-0.122984,0.514265,-0.098667,-137.385
