# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/mzh2p2fa.json
# init = 2 (Default)
# random
#   seed = 14590
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3bcvkrodp/poisson_3-20250829005427_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.215763
# Diagonal elements of inverse mass matrix:
# 0.0289965, 0.0660658, 0.0346196, 0.0433629, 0.0399717, 0.0558538, 0.0542773, 0.0520114, 0.0397939, 0.073252, 0.047077, 0.0668804, 0.0385529, 0.0595447, 0.0399577, 0.0556428, 0.0480183, 0.0647129, 0.0509777, 0.0458877, 0.0424799, 0.128183, 0.0640937, 0.0715121, 0.0550837, 0.0451719, 0.0835316, 0.0601782, 0.0428849, 0.0673598, 0.0462678, 0.034649, 0.0444417, 0.056972, 0.0381341, 0.0796488, 0.0636048, 0.0294125, 0.0747732
-415.513,0.98142,0.215763,4,15,0,434.218,0.0376911,-0.429176,0.411815,0.343309,0.321826,-0.0756962,-0.0287315,0.163238,0.30105,-0.181826,0.211254,-0.442279,0.719274,-0.270124,0.00795187,0.0307432,-0.252509,-0.597508,-0.241687,0.153557,0.611257,-0.933384,-0.591263,-0.152247,-0.186435,0.316967,-0.41014,-0.173677,0.158129,0.012878,0.476409,0.103385,0.472078,-0.0884775,0.902629,-0.380117,0.0352904,0.59611,-0.592815,0.0376911,-0.429176,0.411815,0.343309,0.321826,-0.0756962,-0.0287315,0.163238,0.30105,-0.181826,0.211254,-0.442279,0.719274,-0.270124,0.00795187,0.0307432,-0.252509,-0.597508,-0.241687,-0.0286167,-412.423
-418.454,0.984376,0.215763,4,15,0,437.902,0.496586,0.0134985,-0.0312848,0.133877,0.00450008,-0.270633,-0.345545,-0.259691,0.101921,0.117219,-0.149548,0.0248012,0.277258,-0.124443,0.141848,-0.192583,0.0201678,0.121062,-0.0492665,0.183991,0.315981,-0.505678,0.201636,-0.16098,0.30483,0.326447,-0.187518,0.144139,0.615287,0.0209761,0.165029,0.79289,0.198918,0.368789,0.104844,-0.0857955,0.0316174,0.799163,0.252157,0.496586,0.0134985,-0.0312848,0.133877,0.00450008,-0.270633,-0.345545,-0.259691,0.101921,0.117219,-0.149548,0.0248012,0.277258,-0.124443,0.141848,-0.192583,0.0201678,0.121062,-0.0492665,-0.0297433,-416.762
-418.068,0.998009,0.215763,4,15,0,436.762,0.521215,-0.00243354,0.00962992,0.0667585,0.0711159,-0.333348,-0.326993,-0.239137,0.087957,0.112736,-0.0453569,0.000866928,0.281015,-0.140467,0.132506,-0.199822,-0.0718095,0.124365,-0.120803,0.226656,0.349844,-0.553532,0.238862,-0.205226,0.439736,0.324348,-0.122937,0.179337,0.650259,0.0177313,0.228897,0.787368,0.140602,0.32098,0.0664102,-0.131697,0.041472,0.814564,0.257348,0.521215,-0.00243354,0.00962992,0.0667585,0.0711159,-0.333348,-0.326993,-0.239137,0.087957,0.112736,-0.0453569,0.000866928,0.281015,-0.140467,0.132506,-0.199822,-0.0718095,0.124365,-0.120803,0.0720023,-416.234
-425.701,0.788231,0.215763,4,31,0,445.282,0.249089,-0.486772,0.725247,0.325379,0.556176,-0.102708,-0.186826,-0.366358,0.405974,-0.327974,0.0549612,-0.837813,0.657519,-0.105422,0.184851,-0.143228,-0.172749,-0.990876,-0.0938148,0.0962076,0.756621,-1.15587,-0.490078,-0.322443,-0.279047,-0.0496396,-0.552698,-0.303463,-0.124959,-0.136212,0.400916,-0.289732,0.587939,-0.249552,0.699695,-0.377958,-0.0981608,0.431538,-0.63207,0.249089,-0.486772,0.725247,0.325379,0.556176,-0.102708,-0.186826,-0.366358,0.405974,-0.327974,0.0549612,-0.837813,0.657519,-0.105422,0.184851,-0.143228,-0.172749,-0.990876,-0.0938148,0.655344,-421.416
-418.996,0.943229,0.215763,4,31,0,441.818,0.511703,-0.463012,0.0942615,0.0885863,0.172006,-0.384695,0.00131703,0.0781066,-0.144064,0.00915747,-0.0934101,-0.291223,0.346563,-0.0430068,0.21748,-0.387219,-0.256928,0.231297,-0.0413837,0.334995,0.32218,-0.792655,0.269469,-0.130765,0.240891,0.351387,0.117234,0.223846,0.395019,-0.0183548,0.150449,0.520532,0.0124785,0.230594,0.201107,-0.0613513,0.256151,0.753414,0.444424,0.511703,-0.463012,0.0942615,0.0885863,0.172006,-0.384695,0.00131703,0.0781066,-0.144064,0.00915747,-0.0934101,-0.291223,0.346563,-0.0430068,0.21748,-0.387219,-0.256928,0.231297,-0.0413837,0.354463,-417.102
-421.175,0.662468,0.215763,4,15,0,440.063,0.38818,-0.140723,0.0989365,0.287598,0.802783,-0.485946,0.0109477,0.099407,0.180153,-0.0813535,0.043275,-0.337205,0.532922,-0.150929,0.205704,-0.651567,-0.0928016,-0.398387,-0.167038,0.286263,0.453178,-0.453682,-0.178616,0.12296,0.267442,0.400968,-0.425539,0.13821,0.118958,-0.209494,0.350733,0.381893,-0.18054,-0.18792,0.811521,-0.150237,0.0648747,0.181659,-0.143884,0.38818,-0.140723,0.0989365,0.287598,0.802783,-0.485946,0.0109477,0.099407,0.180153,-0.0813535,0.043275,-0.337205,0.532922,-0.150929,0.205704,-0.651567,-0.0928016,-0.398387,-0.167038,-0.143957,-418.983
