# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/mzh2p2fa.json
# init = 2 (Default)
# random
#   seed = 14590
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3bcvkrodp/poisson_3-20250829005427_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.200083
# Diagonal elements of inverse mass matrix:
# 0.0311272, 0.0710815, 0.0333763, 0.0336319, 0.0421028, 0.0560422, 0.0671249, 0.069292, 0.0401382, 0.0551921, 0.0536252, 0.0879256, 0.036406, 0.0692395, 0.060575, 0.0563744, 0.0583555, 0.0656101, 0.0569403, 0.0500862, 0.0355761, 0.1056, 0.0747075, 0.0778376, 0.0694466, 0.0398611, 0.0861123, 0.0597389, 0.0430149, 0.0666826, 0.0479178, 0.0383981, 0.0489001, 0.0506586, 0.0396456, 0.0937661, 0.0711041, 0.0279571, 0.0689367
-425.082,0.992045,0.200083,4,15,0,446.081,0.588504,-0.361944,0.461325,0.305164,0.489723,-0.381104,0.174073,-0.493539,-0.0339715,-0.214898,-0.270521,-0.184634,0.459704,0.211513,0.0737332,-0.317452,-0.0693296,0.0663556,-0.492349,-0.148697,0.42292,-0.557981,0.412487,-0.57586,-0.164329,0.482221,-0.0251852,-0.471774,0.323192,-0.060642,0.606956,0.112488,-0.0131977,0.472498,0.230623,-0.123207,0.184417,0.641843,0.419684,0.588504,-0.361944,0.461325,0.305164,0.489723,-0.381104,0.174073,-0.493539,-0.0339715,-0.214898,-0.270521,-0.184634,0.459704,0.211513,0.0737332,-0.317452,-0.0693296,0.0663556,-0.492349,-0.0103542,-422.526
-422.333,0.971812,0.200083,4,31,0,445.024,0.165867,-0.419421,0.191406,-0.419505,0.186658,0.056968,-0.21129,0.245195,0.165559,0.158934,0.126952,-0.27148,0.565306,-0.318174,0.247449,-0.26284,-0.198868,-0.419045,0.11837,0.239335,0.736496,-0.617826,-0.677992,-0.524864,0.32921,0.15074,-0.720345,0.23591,0.098772,0.0642289,-0.0200678,0.716491,0.613035,-0.0697169,0.363057,-0.327512,-0.243884,0.744942,-0.54725,0.165867,-0.419421,0.191406,-0.419505,0.186658,0.056968,-0.21129,0.245195,0.165559,0.158934,0.126952,-0.27148,0.565306,-0.318174,0.247449,-0.26284,-0.198868,-0.419045,0.11837,0.291959,-419.35
-422.339,0.652117,0.200083,4,31,0,451.46,0.80687,-0.238427,0.733001,-0.284026,0.222425,-0.316514,-0.0755827,-0.562831,0.315153,-0.27185,-0.00386458,-0.494677,0.521186,-0.00744176,-0.334553,0.122907,0.00173102,-0.124525,-0.092636,0.0501757,0.350235,-0.729693,-0.143962,-0.068779,-0.243763,-0.128755,-0.513622,-0.522661,0.421858,-0.176125,0.307515,0.191479,-0.0820475,0.121784,0.601653,-0.299578,0.29986,0.620752,0.236296,0.80687,-0.238427,0.733001,-0.284026,0.222425,-0.316514,-0.0755827,-0.562831,0.315153,-0.27185,-0.00386458,-0.494677,0.521186,-0.00744176,-0.334553,0.122907,0.00173102,-0.124525,-0.092636,0.0836551,-419.699
-414.791,1,0.200083,4,15,0,434.548,0.486967,-0.120639,0.529138,-0.142621,0.348105,-0.336107,0.0995744,-0.168585,0.328552,-0.399578,-0.319381,-0.478395,0.567665,-0.189885,-0.0275728,0.158198,-0.0556051,-0.376574,-0.0744549,0.178813,0.287536,-0.290521,0.0322524,-0.141293,-0.0204877,-0.28375,-1.05486,-0.130974,0.328896,-0.235854,0.247578,0.254173,0.301352,-0.0905058,0.634957,-0.302518,0.198319,0.740063,0.0163347,0.486967,-0.120639,0.529138,-0.142621,0.348105,-0.336107,0.0995744,-0.168585,0.328552,-0.399578,-0.319381,-0.478395,0.567665,-0.189885,-0.0275728,0.158198,-0.0556051,-0.376574,-0.0744549,0.171197,-412.361
-413.58,0.969729,0.200083,4,15,0,433.542,0.507742,-0.0738402,0.494818,-0.196971,0.389034,-0.311542,0.0649075,-0.150894,0.373934,-0.340013,-0.269011,-0.43614,0.568083,-0.275595,-0.0867456,0.0389601,-0.0593842,-0.371523,-0.0885622,0.179735,0.313077,-0.354089,-0.032446,-0.0652153,-0.0542076,-0.329544,-0.917453,-0.14478,0.383841,-0.263221,0.240293,0.26636,0.250534,-0.0574259,0.631682,-0.297918,0.159017,0.723816,-0.0457618,0.507742,-0.0738402,0.494818,-0.196971,0.389034,-0.311542,0.0649075,-0.150894,0.373934,-0.340013,-0.269011,-0.43614,0.568083,-0.275595,-0.0867456,0.0389601,-0.0593842,-0.371523,-0.0885622,0.222743,-411.288
-418.386,0.931422,0.200083,4,15,0,436.521,0.628585,-0.0813437,0.381284,-0.107474,0.62531,-0.293329,0.235708,0.0678381,0.230384,-0.186493,-0.328714,-0.638752,0.467328,0.060964,-0.099312,0.0206849,-0.318883,-0.727271,-0.0541764,0.454459,0.523446,-0.706646,-0.040991,0.191494,-0.161298,-0.105435,-0.632014,-0.61997,0.710588,-0.079161,0.255389,0.381435,0.292398,0.0423929,0.498065,-0.0033486,0.00495557,0.734638,-0.196638,0.628585,-0.0813437,0.381284,-0.107474,0.62531,-0.293329,0.235708,0.0678381,0.230384,-0.186493,-0.328714,-0.638752,0.467328,0.060964,-0.099312,0.0206849,-0.318883,-0.727271,-0.0541764,0.117663,-415.365
