# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/kd4slc1p.json
# init = 2 (Default)
# random
#   seed = 62400
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3ph5bv_z6/poisson_3-20250829005423_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.153037
# Diagonal elements of inverse mass matrix:
# 0.136064, 0.261276, 0.117606, 0.143159, 0.0827688, 0.139315, 0.176929, 0.130562, 0.112109, 0.166262, 0.149911, 0.170777, 0.166258, 0.130415, 0.132821, 0.237149, 0.130555, 0.218903, 0.191805, 0.151368, 0.111966, 0.229479, 0.247555, 0.18444, 0.0848692, 0.107789, 0.176003, 0.146979, 0.15327, 0.218478, 0.161738, 0.120611, 0.180488, 0.197484, 0.115701, 0.217471, 0.171999, 0.0914169, 0.213048
-151.08,0.998678,0.153037,5,31,0,173.029,0.624171,-0.623235,0.681931,-0.146782,0.918305,-0.389819,0.110421,0.149079,-0.0382718,-0.0720402,-0.210107,-0.764121,0.288982,-0.0429195,-0.0868926,-1.0949,0.926191,-0.694275,-0.0327892,1.01729,0.496162,-0.65795,-0.489055,-0.0574134,0.354403,0.10203,0.835138,0.437632,0.44027,0.391744,-0.179558,0.287515,-0.215652,-0.339804,0.831033,-1.12759,-0.828415,0.885083,-0.35074,0.624171,-0.623235,0.681931,-0.146782,0.918305,-0.389819,0.110421,0.149079,-0.0382718,-0.0720402,-0.210107,-0.764121,0.288982,-0.0429195,-0.0868926,-1.0949,0.926191,-0.694275,-0.0327892,0.497072,-144.719
-146.166,0.999212,0.153037,5,31,0,162.845,0.174903,-0.146111,0.781906,-0.320943,0.698279,-0.303158,0.103927,0.208723,-0.360826,0.153275,0.494129,-0.0195185,0.0257196,-0.567949,0.0389394,-0.917054,0.0886987,-0.527729,-0.117788,-0.20698,0.663017,-0.263245,-0.561411,0.287422,0.493061,0.172968,-1.02181,0.627564,0.273623,-1.0667,-0.535285,0.602812,-0.570638,-0.156995,0.0730922,-0.696201,0.665854,1.19528,-0.280427,0.174903,-0.146111,0.781906,-0.320943,0.698279,-0.303158,0.103927,0.208723,-0.360826,0.153275,0.494129,-0.0195185,0.0257196,-0.567949,0.0389394,-0.917054,0.0886987,-0.527729,-0.117788,0.512577,-140.877
-154.634,0.956398,0.153037,5,31,0,166.603,-0.0993144,-0.675507,0.532229,-0.079752,0.936076,0.0222251,-0.551766,-0.75731,0.649629,-0.659957,0.1998,-0.345586,0.3742,0.150077,0.440927,-0.0373906,0.242959,-0.761464,0.0639938,0.577997,0.997832,0.0398669,-0.245026,-0.34734,-0.198389,0.396526,0.626317,0.701653,0.506898,0.540281,0.229801,-0.153275,-0.214086,0.104821,1.03106,-0.336237,-0.361139,0.218068,-0.63516,-0.0993144,-0.675507,0.532229,-0.079752,0.936076,0.0222251,-0.551766,-0.75731,0.649629,-0.659957,0.1998,-0.345586,0.3742,0.150077,0.440927,-0.0373906,0.242959,-0.761464,0.0639938,0.355929,-149.854
-154.846,0.996174,0.153037,5,31,0,169.611,0.768415,-0.435871,0.591136,0.0321784,0.925603,-0.986621,0.611815,0.294571,-0.0262057,-0.0485732,0.248058,-0.163073,-0.450735,0.148043,-0.0296546,-1.34156,0.0355282,0.166727,-0.806854,-0.00971482,0.341056,-0.501774,-0.846337,0.593867,0.323209,0.125351,-1.52493,1.17731,0.10739,-0.931369,-0.623509,0.459736,0.589888,-0.462094,-0.54393,-0.281328,0.313303,1.00232,0.457468,0.768415,-0.435871,0.591136,0.0321784,0.925603,-0.986621,0.611815,0.294571,-0.0262057,-0.0485732,0.248058,-0.163073,-0.450735,0.148043,-0.0296546,-1.34156,0.0355282,0.166727,-0.806854,0.46707,-147.238
-152.807,0.969213,0.153037,5,31,0,172.066,0.303954,-0.684771,0.558761,0.230258,0.77349,-0.403782,-0.904649,-0.782975,0.180414,-0.336685,0.281535,-0.204458,-0.0238091,-0.246121,0.139172,0.0249647,0.832552,-0.119754,-0.00814793,0.427372,0.478579,-0.219917,-0.304876,-0.122865,0.279446,0.436547,0.936757,0.25324,0.575275,0.626137,0.399581,0.138264,-0.588958,-0.187251,1.10016,-0.411725,-0.617973,0.600269,-0.65902,0.303954,-0.684771,0.558761,0.230258,0.77349,-0.403782,-0.904649,-0.782975,0.180414,-0.336685,0.281535,-0.204458,-0.0238091,-0.246121,0.139172,0.0249647,0.832552,-0.119754,-0.00814793,0.390051,-147.91
-154.987,0.958037,0.153037,5,31,0,174.58,0.0528837,-0.0875667,0.311529,0.579372,0.57941,-0.606304,-0.677408,-0.254514,0.0752847,-0.414498,0.583634,0.0359567,1.05838,-0.369681,-0.219692,-0.476544,0.335618,-0.744918,-0.00730826,-0.481319,0.727225,-0.463114,-0.621456,-0.398005,0.587522,0.564992,-0.0649697,-0.131456,0.8486,0.00882058,0.240409,-0.167444,-0.574452,0.513264,0.59228,-0.23406,-0.218293,0.83562,-0.361477,0.0528837,-0.0875667,0.311529,0.579372,0.57941,-0.606304,-0.677408,-0.254514,0.0752847,-0.414498,0.583634,0.0359567,1.05838,-0.369681,-0.219692,-0.476544,0.335618,-0.744918,-0.00730826,0.24637,-150.349
-154.888,0.866687,0.153037,5,31,0,188.325,0.869307,-1.10061,0.622698,-0.291199,0.952841,-0.845033,-0.060757,0.133528,0.644341,0.0698217,0.0855152,-0.00405176,-0.82797,-0.260311,-0.142095,-0.899574,0.69365,-0.572869,-0.229326,0.87646,-0.0247257,-0.454106,-1.19884,0.408205,-0.346505,0.143408,-0.230934,1.00173,-0.317452,0.543037,-0.874672,0.606311,-0.0640807,-1.29714,0.270168,-0.336128,-0.0630454,0.63088,0.17233,0.869307,-1.10061,0.622698,-0.291199,0.952841,-0.845033,-0.060757,0.133528,0.644341,0.0698217,0.0855152,-0.00405176,-0.82797,-0.260311,-0.142095,-0.899574,0.69365,-0.572869,-0.229326,1.16209,-147.606
-154.255,0.999031,0.153037,5,31,0,169.379,-0.117696,-0.433946,0.632626,0.136336,0.638985,-0.142286,-0.398196,0.261015,-1.09775,-0.164635,-0.132239,-0.0397677,0.46031,-0.0806608,0.640194,-0.26428,0.64696,-0.218698,-0.279235,-0.518921,0.857684,-0.60454,0.038435,0.0625917,1.11018,0.280412,0.36977,0.636313,1.07643,-0.64986,0.717387,0.21545,0.0192975,0.751216,0.623855,0.131619,-0.289138,1.28353,-0.736849,-0.117696,-0.433946,0.632626,0.136336,0.638985,-0.142286,-0.398196,0.261015,-1.09775,-0.164635,-0.132239,-0.0397677,0.46031,-0.0806608,0.640194,-0.26428,0.64696,-0.218698,-0.279235,-0.0470389,-148.062
-156.021,0.717094,0.153037,5,31,0,176.696,0.767884,-0.279851,0.66349,-0.101397,0.115395,-0.923224,0.252659,0.0860872,-0.0454889,0.190973,-0.37491,-0.212464,-0.71773,-0.149498,-0.116479,-0.740878,0.232827,-0.194645,0.28285,0.974464,0.380173,-0.33373,-1.49152,0.137333,0.354092,0.0863999,-0.116663,0.127114,-0.239644,0.470357,-0.613778,1.14101,0.0312201,-0.511463,0.395814,-0.647966,0.134492,0.710929,-0.126006,0.767884,-0.279851,0.66349,-0.101397,0.115395,-0.923224,0.252659,0.0860872,-0.0454889,0.190973,-0.37491,-0.212464,-0.71773,-0.149498,-0.116479,-0.740878,0.232827,-0.194645,0.28285,1.2644,-150.772
