# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/su_0d3c5.json
# init = 2 (Default)
# random
#   seed = 68603
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3ayufrf_h/poisson_3-20250829005434_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.199982
# Diagonal elements of inverse mass matrix:
# 0.0869446, 0.0548019, 0.0864937, 0.0572345, 0.0830001, 0.0698382, 0.115443, 0.071169, 0.128292, 0.0966462, 0.103409, 0.0657397, 0.0670821, 0.115632, 0.0672471, 0.0706698, 0.0927476, 0.0544117, 0.0498668, 0.12421, 0.0992205, 0.0803701, 0.103844, 0.0585678, 0.171919, 0.0604351, 0.0909572, 0.0504551, 0.0560984, 0.0898449, 0.0712771, 0.0849711, 0.0909756, 0.155004, 0.0648975, 0.0901729, 0.112009, 0.0539946, 0.0729081
-274.498,0.934913,0.199982,4,31,0,299.452,-0.348331,0.224747,-0.0159856,0.506114,0.289205,-0.0843028,-0.0050397,0.121911,-0.493189,-0.393153,-0.753598,0.221934,0.514123,-0.968894,0.197187,-0.0472464,0.0741364,0.464288,0.170361,-0.773806,0.364784,-0.279885,-0.230491,0.31602,-0.83612,0.433443,0.0306344,0.712272,0.19135,-0.306568,0.366727,0.419551,0.395536,-0.799057,0.631315,-0.0109233,0.0155692,0.71211,-0.450377,-0.348331,0.224747,-0.0159856,0.506114,0.289205,-0.0843028,-0.0050397,0.121911,-0.493189,-0.393153,-0.753598,0.221934,0.514123,-0.968894,0.197187,-0.0472464,0.0741364,0.464288,0.170361,0.325733,-270.625
-278.994,0.884662,0.199982,4,15,0,297.298,-0.467858,0.00766698,-0.0711989,0.388025,0.585931,-0.0356069,0.102069,0.0201515,0.211855,-0.38034,-0.769651,0.320897,0.405833,-0.857694,0.0504601,0.175389,-0.0334317,0.682542,0.0629724,-0.727466,0.53181,-0.429387,-0.241786,0.351595,-0.78755,0.392988,-0.184303,0.503515,0.149306,0.030875,0.291438,0.207422,0.480371,-0.793287,0.34971,-0.0538386,-0.117373,0.833718,-0.416362,-0.467858,0.00766698,-0.0711989,0.388025,0.585931,-0.0356069,0.102069,0.0201515,0.211855,-0.38034,-0.769651,0.320897,0.405833,-0.857694,0.0504601,0.175389,-0.0334317,0.682542,0.0629724,-0.398012,-275.355
-274.481,0.981838,0.199982,5,31,0,295.806,0.0977823,0.339578,-0.123156,0.0674046,0.204808,0.134438,-0.471939,0.108941,-0.862211,-0.408343,-0.68074,0.435937,0.375057,-0.504012,0.365388,0.143136,-0.133633,0.233191,0.323325,-0.454687,-0.235561,0.254719,0.0646886,0.607879,0.0969475,0.3866,0.204011,0.56748,0.129324,0.174051,0.439954,-0.558097,-0.174417,-0.5532,0.0509345,-0.0269398,-0.489024,0.189803,0.0545592,0.0977823,0.339578,-0.123156,0.0674046,0.204808,0.134438,-0.471939,0.108941,-0.862211,-0.408343,-0.68074,0.435937,0.375057,-0.504012,0.365388,0.143136,-0.133633,0.233191,0.323325,0.35505,-271.92
-280.45,0.864486,0.199982,4,15,0,298.296,-0.536028,0.150983,0.053257,0.845272,-0.0173267,0.122624,0.270546,0.16053,-0.311306,-1.23901,0.0817496,0.184468,-0.121384,0.149293,-0.0869377,-0.167468,-0.448958,0.86448,0.378451,-0.259902,0.123874,-0.465805,-0.284981,0.395284,-1.74272,0.509914,-0.148506,0.665431,0.167105,-0.240988,0.0700199,0.0873055,0.254436,-0.20185,0.714377,0.128649,0.306219,0.563072,0.424667,-0.536028,0.150983,0.053257,0.845272,-0.0173267,0.122624,0.270546,0.16053,-0.311306,-1.23901,0.0817496,0.184468,-0.121384,0.149293,-0.0869377,-0.167468,-0.448958,0.86448,0.378451,-0.333241,-275.65
-282.746,0.949079,0.199982,4,15,0,302.787,-0.0128582,0.102707,-0.318216,0.498327,-0.39369,-0.197751,0.212197,0.198799,-0.203435,-0.946801,-0.0979752,0.192311,-0.244108,0.335582,0.0462299,-0.264901,-0.147955,0.978195,0.222275,-0.151005,0.162792,-0.0629183,0.0268578,0.534209,-1.63181,0.402023,-0.231082,0.344397,0.26226,-0.36375,-0.0353486,0.21265,-0.0633413,-0.375672,1.01974,0.246601,0.395654,0.695211,0.127377,-0.0128582,0.102707,-0.318216,0.498327,-0.39369,-0.197751,0.212197,0.198799,-0.203435,-0.946801,-0.0979752,0.192311,-0.244108,0.335582,0.0462299,-0.264901,-0.147955,0.978195,0.222275,0.0410691,-278.555
-287.068,0.874196,0.199982,5,31,0,304.94,-0.515274,0.359141,0.31181,0.29304,0.500407,0.477405,-0.513079,-0.0344635,-0.564898,-0.0953157,-0.735096,0.555554,0.560321,-1.08048,0.282927,0.526223,-0.336374,-0.0441152,0.431722,-1.25813,-0.357268,-0.0755142,-0.159336,0.298611,-0.814456,0.661195,0.617939,0.769248,-0.0608345,-0.111433,0.511326,-0.601838,-0.118042,-0.389383,-0.573372,-0.223888,-0.558889,0.336336,-0.0950915,-0.515274,0.359141,0.31181,0.29304,0.500407,0.477405,-0.513079,-0.0344635,-0.564898,-0.0953157,-0.735096,0.555554,0.560321,-1.08048,0.282927,0.526223,-0.336374,-0.0441152,0.431722,-0.379453,-281.988
