# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/d_7zhsvd.json
# init = 2 (Default)
# random
#   seed = 80886
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3pe_1s5tf/poisson_3-20250829005436_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.233284
# Diagonal elements of inverse mass matrix:
# 0.0553613, 0.0383556, 0.040961, 0.0376966, 0.0493033, 0.0440826, 0.0971305, 0.0442412, 0.0517431, 0.0773515, 0.0760486, 0.0360121, 0.0362526, 0.0682774, 0.0506312, 0.0667418, 0.0640023, 0.0405577, 0.0449465, 0.0814901, 0.0483664, 0.0580477, 0.0747867, 0.0468874, 0.0676432, 0.0479028, 0.0515185, 0.0377288, 0.0398486, 0.0520936, 0.0368823, 0.0529156, 0.06049, 0.0670216, 0.0570014, 0.0388318, 0.079733, 0.0416386, 0.0394916
-424.592,0.879401,0.233284,4,15,0,440.703,0.0592613,0.703378,-0.0994577,0.157131,-0.205115,0.110142,-0.656354,0.0123835,0.139322,0.113804,-0.410682,-0.173844,0.177192,-0.0648436,-0.284113,0.179028,-0.241853,0.290411,0.236937,-0.581926,0.0534075,0.173581,0.321273,0.148999,-0.480314,-0.337023,-0.412202,0.226356,0.569525,0.308383,0.291108,-0.0710071,-0.211174,-0.398721,0.402984,0.421806,-0.380436,0.118877,0.0787964,0.0592613,0.703378,-0.0994577,0.157131,-0.205115,0.110142,-0.656354,0.0123835,0.139322,0.113804,-0.410682,-0.173844,0.177192,-0.0648436,-0.284113,0.179028,-0.241853,0.290411,0.236937,-0.0427269,-422.653
-420.792,0.941419,0.233284,4,15,0,445.182,-0.523906,0.0736191,0.277584,0.523963,0.378758,-0.0379271,-0.15674,-0.0756705,-0.11507,-1.30977,-0.103327,0.0208196,0.451852,-0.201298,0.516888,-0.31559,-0.275047,0.3472,0.178195,-0.305868,0.322085,0.0125745,-0.367179,0.575877,-0.273545,0.565929,0.141908,0.663013,0.0648659,0.287366,0.484692,0.182169,0.0678214,0.322742,0.141855,0.231643,0.1709,0.588681,0.577039,-0.523906,0.0736191,0.277584,0.523963,0.378758,-0.0379271,-0.15674,-0.0756705,-0.11507,-1.30977,-0.103327,0.0208196,0.451852,-0.201298,0.516888,-0.31559,-0.275047,0.3472,0.178195,0.345467,-417.717
-417.337,0.957152,0.233284,4,15,0,440.579,-0.0652233,-0.0150863,0.231746,0.138157,-0.180548,0.435636,-0.502334,0.411377,0.381573,-0.379016,-0.879929,0.118794,0.331322,0.0293345,-0.157023,-0.112463,-0.232964,0.334281,0.123638,-0.222925,-0.211164,0.0647258,-0.133927,0.239593,-0.139639,0.0371847,0.572597,0.163924,0.28614,0.123874,0.444901,0.0595654,-0.190198,-0.410646,0.302466,0.287232,-0.250742,-0.109632,-0.173052,-0.0652233,-0.0150863,0.231746,0.138157,-0.180548,0.435636,-0.502334,0.411377,0.381573,-0.379016,-0.879929,0.118794,0.331322,0.0293345,-0.157023,-0.112463,-0.232964,0.334281,0.123638,-0.0112719,-415.607
-411.097,0.999126,0.233284,4,15,0,429.606,-0.461983,0.20817,0.0270341,0.726192,0.138317,0.206909,-0.331738,0.0413171,0.107561,-0.353416,-0.652239,0.0719215,0.287319,-0.57656,-0.0210439,-0.0896255,-0.276769,0.438695,0.308091,-0.255399,0.0524695,-0.331787,-0.451644,0.151542,-0.34555,0.472929,-0.306579,0.57727,0.231662,0.0804589,0.199213,0.226669,-0.364744,-0.155414,0.150142,0.273551,0.183142,0.461805,0.400553,-0.461983,0.20817,0.0270341,0.726192,0.138317,0.206909,-0.331738,0.0413171,0.107561,-0.353416,-0.652239,0.0719215,0.287319,-0.57656,-0.0210439,-0.0896255,-0.276769,0.438695,0.308091,0.201846,-408.946
-416.735,0.925708,0.233284,4,15,0,425.173,0.032404,0.429132,0.0112706,-0.0232728,0.115936,0.263982,-0.504879,-0.102262,-0.0740932,-0.521463,-0.0528662,0.253787,0.184138,0.100842,-0.0964511,-0.1429,-0.11143,0.262398,0.150106,-0.474924,-0.0317624,0.316689,0.419829,0.433306,-0.354858,0.256974,0.587188,0.294901,0.360986,0.308009,0.560711,0.0533677,0.485057,0.199136,0.291268,0.265063,-0.383484,0.262382,0.000312816,0.032404,0.429132,0.0112706,-0.0232728,0.115936,0.263982,-0.504879,-0.102262,-0.0740932,-0.521463,-0.0528662,0.253787,0.184138,0.100842,-0.0964511,-0.1429,-0.11143,0.262398,0.150106,-0.174379,-414.955
-415.11,0.989729,0.233284,4,15,0,435.236,-0.0479637,0.130862,-0.0654875,0.422809,0.00296083,0.332709,-0.414846,-0.243544,-0.017115,-0.195188,-0.0958162,0.337215,0.290995,-0.475563,0.111146,-0.551152,-0.239616,0.524823,0.184129,-0.532617,-0.033935,0.380313,0.0704931,0.685744,-0.301743,0.256158,0.720731,0.324518,0.336894,0.1897,0.450621,0.281284,0.379061,-0.117919,0.231205,0.237507,-0.103379,0.0393039,0.24101,-0.0479637,0.130862,-0.0654875,0.422809,0.00296083,0.332709,-0.414846,-0.243544,-0.017115,-0.195188,-0.0958162,0.337215,0.290995,-0.475563,0.111146,-0.551152,-0.239616,0.524823,0.184129,0.0086417,-413.032
