# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/6q6u20cw.json
# init = 2 (Default)
# random
#   seed = 50199
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_3sqiinyo4/poisson_3-20250829005438_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.190369
# Diagonal elements of inverse mass matrix:
# 0.042322, 0.0266982, 0.0297024, 0.0280879, 0.0385403, 0.0304114, 0.0535257, 0.0404902, 0.0336099, 0.0557399, 0.0471698, 0.0363068, 0.0316809, 0.0386223, 0.0409802, 0.0451835, 0.054239, 0.0271285, 0.0400973, 0.0429729, 0.0350394, 0.0439552, 0.0444366, 0.0355596, 0.0627814, 0.0376389, 0.0397248, 0.0301528, 0.0405491, 0.0374885, 0.0301124, 0.0567469, 0.0432257, 0.0549804, 0.0399641, 0.0390316, 0.0463215, 0.0383596, 0.0401539
-549.897,0.9267,0.190369,5,31,0,571.449,-0.20357,0.180157,-0.215044,0.570069,-0.192444,0.373566,-0.487158,0.00142836,-0.069858,-0.221627,-0.128738,0.168274,0.0731245,0.162951,0.29703,-0.227807,-0.576142,0.746682,0.0623522,-0.755369,0.57518,-0.172926,0.282856,0.340366,-0.15396,0.0534938,-0.044468,0.328888,0.427719,-0.0395735,0.426591,0.185737,-0.271802,-0.262853,0.309213,0.474075,0.29592,0.42629,0.24936,-0.20357,0.180157,-0.215044,0.570069,-0.192444,0.373566,-0.487158,0.00142836,-0.069858,-0.221627,-0.128738,0.168274,0.0731245,0.162951,0.29703,-0.227807,-0.576142,0.746682,0.0623522,-0.313246,-547.656
-552.725,0.992812,0.190369,5,31,0,572.574,-0.313104,0.428075,0.470775,-0.00999994,0.0233979,-0.120719,-0.19195,0.258016,0.0726139,-0.241195,-0.36588,0.152264,0.274141,0.229184,0.256227,-0.322118,-0.551166,0.281163,-0.00117387,0.213299,-0.0797277,0.12099,-0.646847,0.77138,-0.35088,0.234658,-0.247048,0.51509,0.0646081,0.186989,0.440717,-0.049099,0.0777604,-0.0626177,0.0738358,0.744423,-0.636289,0.434233,0.1831,-0.313104,0.428075,0.470775,-0.00999994,0.0233979,-0.120719,-0.19195,0.258016,0.0726139,-0.241195,-0.36588,0.152264,0.274141,0.229184,0.256227,-0.322118,-0.551166,0.281163,-0.00117387,-0.328551,-550.455
-547.577,0.998555,0.190369,4,31,0,569.858,0.0250212,0.05037,-0.01595,0.0233263,-0.0965363,0.141631,-0.13749,-0.00906171,0.0707282,0.00420626,-0.395287,0.146279,-0.0723341,0.158402,0.00597505,-0.0926249,-0.0367954,-0.00841396,0.415452,-0.0162469,0.679468,-0.344738,-0.581657,0.280637,-0.0820354,0.177481,0.309333,0.366482,0.270944,0.182806,0.388114,0.0190556,-0.0964533,-0.00798249,-0.0787997,0.0503335,-0.104928,0.552487,0.157807,0.0250212,0.05037,-0.01595,0.0233263,-0.0965363,0.141631,-0.13749,-0.00906171,0.0707282,0.00420626,-0.395287,0.146279,-0.0723341,0.158402,0.00597505,-0.0926249,-0.0367954,-0.00841396,0.415452,-0.176896,-546.411
-543.437,0.998121,0.190369,4,15,0,563.544,0.155855,-0.0443392,-0.0223664,0.14029,0.0909494,0.261255,-0.124919,0.0403637,0.11904,-0.204146,-0.163454,0.0863874,-0.109815,0.181302,-0.0873687,-0.245248,-0.327701,0.0729883,0.282896,-0.0493028,0.628762,-0.13831,-0.442802,0.248505,-0.100684,0.26974,0.174907,0.423064,0.174931,0.135764,0.420908,0.0375611,-0.0521475,-0.175137,-0.139952,0.15289,-0.0244586,0.551964,0.19141,0.155855,-0.0443392,-0.0223664,0.14029,0.0909494,0.261255,-0.124919,0.0403637,0.11904,-0.204146,-0.163454,0.0863874,-0.109815,0.181302,-0.0873687,-0.245248,-0.327701,0.0729883,0.282896,-0.101969,-542.363
-551.597,0.957858,0.190369,4,15,0,567.919,-0.292461,0.267888,-0.0893264,-0.0700302,-0.100637,0.381784,-0.301358,0.0470446,0.0703289,-0.0224905,-0.156553,0.193909,-0.149442,0.192768,0.371844,0.104431,-0.300163,0.297744,-0.367992,-0.416796,0.0738697,0.336603,0.0933077,0.280089,0.22397,0.432739,0.131593,0.329041,0.32316,0.292797,0.286914,0.160777,-0.524457,-0.0634391,-0.150843,0.330268,0.188284,0.265878,0.354957,-0.292461,0.267888,-0.0893264,-0.0700302,-0.100637,0.381784,-0.301358,0.0470446,0.0703289,-0.0224905,-0.156553,0.193909,-0.149442,0.192768,0.371844,0.104431,-0.300163,0.297744,-0.367992,-0.0772898,-550.25
-554.231,0.937946,0.190369,5,31,0,572.883,0.0290673,0.211155,0.497206,0.537455,0.0727315,-0.103693,-0.381414,0.0453304,-0.402398,-0.605326,-0.352627,0.235665,0.48009,-0.00758024,-0.526858,-0.501686,-0.386382,0.431711,0.777324,0.0754572,0.253852,-0.432305,-0.448609,0.509536,-0.74069,-0.211356,0.167175,0.337106,0.0355839,0.133785,0.311881,-0.288668,0.3785,-0.0932592,0.418967,0.339998,-0.266068,0.309281,0.0273891,0.0290673,0.211155,0.497206,0.537455,0.0727315,-0.103693,-0.381414,0.0453304,-0.402398,-0.605326,-0.352627,0.235665,0.48009,-0.00758024,-0.526858,-0.501686,-0.386382,0.431711,0.777324,-0.0497719,-551.523
